humorous,ユーモアのある
deliverance,解放
bravery,勇敢さ
semiotic,記号学の
decipher,解読する
secondly,第二に
polymerization,重合
excessively,過度に
instructive,教育的な
ironically,皮肉にも
tractor,トラクター
cathode,陰極
gorge,峡谷
contentious,議論を呼ぶ
biomarkers,バイオマーカー（生体指標）
fortunately,幸いにも
satire,風刺
blueprint,設計図
rebellious,反抗的な
herb,ハーブ
saucepan,片手鍋
grassland,草原
municipality,自治体
twinkle,きらめき
undue,過度の
wrongly,誤って
motel,モーテル
muse,思索する
trio,三重奏
forcibly,強制的に
grimace,しかめ面
conserve,保存する
intrude,侵入する
inception,開始
emigration,移住
blindly,盲目的に
roughness,粗さ
dearly,心から
sclerosis,硬化症
lordship,領主権
caffeine,カフェイン
monumental,記念碑的な
unaffected,影響を受けない
amiable,感じの良い
amine,アミン（化学用語）
anode,陽極
wretch,みじめな人
displace,置き換える
gale,強風
powerfully,力強く
authorship,著作権
symmetrical,対称的な
perfusion,灌流
parsley,パセリ
phenomenological,現象学的な（哲学用語）
runway,滑走路
pathogenic,病原性の
spasm,痙攣
abolish,廃止する
entanglement,もつれ
homemade,自家製の
intercultural,異文化間の
mythical,神話の
amplifier,増幅器
watery,水っぽい
turf,芝生
stronghold,拠点
plum,プラム
underway,進行中の
psychosis,精神病
genus,属
tempo,テンポ
recount,詳述する
displeasure,不快感
occlusion,閉塞
graphical,図表の
bracket,かっこ
whimper,しくしく泣く
ablation,切除
nexus,結びつき
illustrative,説明的な
farmhouse,農家の家
retaliation,報復
pathogenesis,発病機序
waveform,波形
boredom,退屈
algebraic,代数の
censor,検閲する
coma,昏睡
economical,経済的な
vantage,有利な立場
denominator,分母
trespass,不法侵入
ischemic,虚血の
ebb,引き潮
impulsive,衝動的な
hyper,過剰な|超越した
homosexuality,同性愛
ng,ナノグラム（単位）
potency,効力
topography,地形
cater,提供する
ration,配給
og,オリジナル［=original］（口語）
incite,扇動する
waiver,権利放棄
exaggeration,誇張
cot,簡易ベッド
investigative,調査の
quadratic,二次の
condensation,凝縮
covariance,共分散
testosterone,テストステロン
helplessness,無力さ
unauthorized,無許可の
dialectical,弁証法的な
breaker,遮断器
porosity,多孔性
eligibility,資格
immature,未熟な
conceivable,考えられる
suspense,不安
coordinator,調整者
economist,経済学者
parole,仮釈放
incline,傾斜する
savor,味わう
situate,位置する
carelessly,不注意に
bearing,方向
decimal,小数
pronunciation,発音
primacy,第一位
unrealistic,非現実的な
reprint,再版
walnut,クルミ
thaw,解凍する
shooter,射手
frighten,怖がらせる
reddish,赤みがかった
tonic,強壮剤
ransom,身代金
reassurance,安心させること
disseminate,広める
conveniently,便利に
zoo,動物園
doorstep,玄関先
cucumber,キュウリ
materiality,物質性|重要性（哲学・法学用語）
coercive,強制的な
mischievous,いたずら好きな
agrarian,農業の
anion,陰イオン
settler,入植者
forfeit,没収する
marvelous,素晴らしい
disobey,従わない
hustle,押し売りする
grassroots,一般市民の
leash,リード
anesthetic,麻酔薬
extraordinarily,非常に
northward,北へ
punitive,懲罰的な
boycott,不買運動
utopian,ユートピア的な|理想主義的な
championship,選手権
palliative,緩和的な
hoof,蹄
sabotage,妨害行為
registry,登録簿
persevere,やり抜く
endocrine,内分泌の
charismatic,カリスマの
taper,先細りになる
vegetarian,菜食主義者
parody,パロディ
disparity,格差
manly,男らしい
tubular,管状の
generalize,一般化する
grotesque,奇怪な
disagreeable,不快な
eastward,東へ
awfully,ひどく
observance,遵守
litter,ゴミ
situational,状況による
outflow,流出
fissure,裂け目
hairy,毛深い
follower,支持者
determinant,決定要因
antagonism,敵対
intrinsically,本質的に
quadrant,四分円
overweight,太り過ぎの
bounty,報酬
tar,タール
flora,植物相
gamble,賭ける
treacherous,裏切りの
phenomenal,驚異的な
fowl,家禽
materialism,物質主義
profess,公言する
parametric,パラメトリックな
illustrious,著名な
caller,電話をかける人
herbal,ハーブの
gathering,集まり
primal,原始の|基本的な
archaeology,考古学の
denounce,非難する
conceit,うぬぼれ
lottery,くじ|抽選
unification,統一
skillet,フライパン
dean,学部長
ti,シ（音階）|ティー植物
purify,浄化する
lash,むち|むち打つ
amorphous,形のない|曖昧な
aback,不意を突かれて
dreary,退屈な|陰気な
bourgeoisie,中産階級
clown,道化師
beverage,飲み物
opaque,不透明な
soak,浸す|吸収する
polarity,極性
heresy,異端
professionally,専門的に
standardization,標準化
vintage,年代物の
atypical,典型的でない
nobleman,貴族
impediment,妨げ|障害
cranial,頭蓋の
brink,瀬戸際|ふち
sling,つり包帯|投げる
shunt,移す|転送する
disobedience,不服従
circumference,円周
hurdle,障害|ハードル
hallmark,特徴|証明
precondition,前提条件
swirl,渦巻く
indignant,憤慨した
normalization,正常化
emit,放出する
bustle,にぎわい|忙しく動く
compost,堆肥
fixture,備品|設備
pretext,口実
discreet,思慮深い|控えめな
flop,失敗|ばたっと倒れる
murderous,殺人的な
indefinitely,無期限に
unintended,意図しない
prudence,慎重さ
daze,ぼーっとさせる|呆然
refractory,手に負えない|耐火性の
visionary,先見の明がある|空想的な
privatization,民営化
amber,琥珀
rev,回転数を上げる
ascribe,〜のせいにする
vie,競う
redirect,方向を変える
moderation,節度
emphatically,強調して
harp,ハープ|しつこく言う
honourable,立派な|名誉ある
emerald,エメラルド
lumbar,腰の
correctness,正しさ
trough,谷|くぼみ
sarcasm,皮肉
downwards,下向きに
faulty,欠陥のある
brag,自慢する
provocative,挑発的な
shilling,シリング（通貨）
cynical,冷笑的な
agile,敏捷な
astronomer,天文学者
involuntarily,無意識に
deflect,そらす|偏向させる
insecure,不安な|不安定な
clutter,散らかり
politeness,礼儀正しさ
predator,捕食者
unavailable,利用できない
penal,刑罰の
qi,気（中国思想における生命エネルギー）
howling,遠ぼえする|猛烈な
redox,酸化還元の
hither,ここへ
emulsion,乳化液
absurdity,不条理
cripple,不自由にする|障害者
adultery,不倫
concise,簡潔な
gentleness,優しさ
containment,封じ込め
utilitarian,実用的な
suction,吸引
transformer,変圧器
lowly,身分の低い
elegance,優雅さ
jolly,陽気な
methanol,メタノール
recreate,再現する
prerogative,特権
chunk,大きな塊
fascist,ファシスト的な
fell,倒れた［fallの過去形］|伐採する
resolute,断固とした
halo,光輪
acutely,鋭く|激しく
clove,クローブ（香辛料）
quiz,小テスト
newsletter,会報|ニュースレター
china,磁器|陶磁器
monomer,モノマー|単量体
reliably,信頼できる方法で
eloquence,雄弁さ
multidisciplinary,学際的な
whichever,どちらでも
companionship,交友|仲間付き合い
horizontally,水平に
refill,詰め替える|補充する
naughty,いたずらな
vial,小瓶
brisk,活発な
censure,非難
palate,口蓋|味覚
egalitarian,平等主義の
carotid,頸動脈の
unsafe,危険な
categorization,分類
diode,ダイオード
contributor,寄稿者|貢献者
conduit,導管|経路
probation,保護観察|試用期間
centric,中心の
selfishness,利己主義
titanium,チタン
fraught,満ちた|伴う
tapestry,タペストリー|織物
inwardly,内心では
brittle,もろい
additionally,さらに
rigidity,硬直性
nozzle,ノズル
adorable,愛らしい
renovation,改修|リフォーム
skim,すくい取る|ざっと読む
enormously,非常に
dorm,寮
rite,儀式
interstate,州間の
milling,製粉すること|フライス加工
exogenous,外因性の
repel,撃退する|拒む
rotational,回転の
dangerously,危険なほどに
primordial,原初の
thrombosis,血栓症
cartridge,カートリッジ
pulpit,説教壇
clerical,事務の|聖職者の
horrid,恐ろしい
selectively,選択的に
attenuation,減衰
uterine,子宮の
juncture,接続点|重大な時点
harshly,厳しく
ballad,バラード|民謡
exacerbate,悪化させる
integrative,統合的な
generative,生成の
binder,バインダー|結合材
nip,つねる|つまむ
lovingly,愛情を込めて
humane,人道的な
perpetrator,加害者
offline,オフラインの
precedence,優先
bibliography,参考文献一覧
inert,不活性な
rake,熊手
sibling,兄弟姉妹
uranium,ウラン
heroin,ヘロイン
multidimensional,多次元の
conqueror,征服者
draught,すきま風|下描き（英）
dissociation,解離
lotus,ハス
redundancy,冗長性
blunder,大失敗
admissible,許容できる
mammalian,哺乳類の
materially,物質的に
grandma,おばあちゃん
directional,方向性のある
nude,裸の
liberalization,自由化
sap,樹液|弱らせる
splendor,華麗さ
ln,自然対数［logarithm naturalisの略語］
cedar,スギ
sane,正気の
replica,複製
humanist,人文主義者
perseverance,忍耐力
chitosan,キトサン（多糖類）
depot,倉庫
patriarch,家父長
thicket,茂み
enzymatic,酵素の
extremist,過激主義者
asymptomatic,無症状の
discontinuity,不連続
conversational,会話の
exaggerate,誇張する
coupon,クーポン|割引券
capacitance,電気容量
ischemia,虚血（医学用語）
plentiful,豊富な
personage,重要人物
archival,記録の
destroyer,駆逐艦|破壊者
astronomy,天文学
paraphrase,言い換え
cultivator,耕作者|栽培者
geometrical,幾何学的な
pornography,ポルノ
geopolitical,地政学的な
din,騒音
insure,保険をかける
ark,箱舟
rusty,さびた
regenerate,再生する
bouquet,花束
salty,しょっぱい
whistling,口笛を吹くこと
usher,案内係
anal,肛門の
intellectually,知的に
lucrative,儲かる
edifice,大建造物
uncanny,異様な|不可思議な
cleave,裂く|くっつく（文脈依存）
ref,審判［refereeの略語］|参考文献［referenceの略語］
sociocultural,社会文化的な
provocation,挑発
psychiatry,精神医学
sufficiency,十分さ
typology,類型論
unclean,不潔な
chew,噛む
dictator,独裁者
unspoken,暗黙の
outrageous,ひどい|法外な
duality,二重性
interstitial,間質の|すき間の
cutaneous,皮膚の
pumpkin,カボチャ
stratification,層化
singularity,特異点
quartz,石英
sculptor,彫刻家
pup,子犬
parasite,寄生虫
illegitimate,非嫡出の|不法の
ignition,点火
resent,憤慨する
supplementation,補足
lien,担保権
carcass,死骸
shack,掘っ立て小屋
beseech,懇願する
convolutional,畳み込みの（数学・機械学習用語）
dismal,陰鬱な
adversely,悪影響を与えて
instinctive,本能的な
patriot,愛国者
rep,代表［representativeの略語］|繰り返し［repetitionの略語］
expiration,期限切れ
tasty,おいしい
peck,ついばむ|軽くキスする
gratefully,感謝して
expedient,便宜的な
truthful,正直な
ambivalence,相反する感情
rectify,修正する
spectrometry,分光法
sly,ずる賢い
monsieur,ムッシュ（フランス語で「〜さん」）
midday,正午
sweaty,汗だくの
dipole,双極子
snarl,うなる|もつれる
cannabis,大麻
suffix,接尾辞
pristine,汚れのない|初期の
impersonal,非個人的な
subway,地下鉄
spicy,辛い
hog,ブタ|独り占めする
toxin,毒素
femininity,女性らしさ
parlour,応接室|店（古風）
narrate,語る
biographical,伝記の
upheaval,激変
idealism,理想主義
sacrificial,犠牲の
wondrous,驚くべき
geographically,地理的に
glossy,光沢のある
outpatient,外来患者
pee,おしっこする
degrade,劣化させる|品位を下げる
chaplain,聖職者
rooftop,屋上
raven,ワタリガラス
builder,建設者
discretionary,裁量のある
rustle,カサカサ音を立てる
fatality,死亡者数
aggressively,攻撃的に
mamma,ママ
yuan,元（通貨）
tumble,転ぶ|転落する
suspiciously,疑わしげに
liner,ライナー|定期船
priesthood,聖職
softness,柔らかさ
tribulation,苦難
lookout,見張り
clap,拍手する
reviewer,評論家|査読者
unfit,不適切な
blankly,ぼんやりと
outreach,支援活動
visceral,内臓の|感情的な
unitary,単一の
federation,連邦|連合
methylation,メチル化
petitioner,請願者
impartial,公平な
aureus,黄色ブドウ球菌［Staphylococcus aureusの略語］
infect,感染させる
nun,修道女
mutter,つぶやく
upbringing,育ち|しつけ
intolerance,不寛容
valence,原子価
crease,しわ|折り目
venerable,尊敬すべき
manoeuvre,巧妙な動き|操作
watchful,油断のない
pendant,ペンダント
yogurt,ヨーグルト
courteous,礼儀正しい
grimly,厳しく|陰うつに
remission,寛解|免除
descendant,子孫
stench,悪臭
permeate,浸透する
victor,勝者
ingenuity,創意工夫
dilute,薄める
ac,交流［alternating currentの略語］|紀元後［Anno Dominiの略］
planar,平面の
bravely,勇敢に
accompaniment,伴奏|付き物
roadside,道端
fungus,菌類
indoors,屋内で
apologise,謝る（英）
gulf,湾|隔たり
replay,再生する
retina,網膜
alveolar,肺胞の|歯槽の
scientifically,科学的に
contentment,満足
referent,指示対象
phenomenology,現象学（哲学用語）
stormy,嵐のような
vigor,活力
fallacy,誤謬
beacon,信号灯|導き手
subtly,微妙に
resonant,共鳴する
buffet,ビュッフェ|打ちつける
lifespan,寿命
barbecue,バーベキュー
compliant,従順な|適合した
deportation,国外追放
caption,字幕|説明文
wince,顔をしかめる
rustic,田舎風の|素朴な
endlessly,果てしなく
muzzle,銃口|口輪
flu,インフルエンザ
populace,民衆
stringent,厳しい
neoliberalism,新自由主義
embryonic,胎児の|初期の
ethylene,エチレン
disposable,使い捨ての
forceful,力強い
iniquity,不正
burner,バーナー
linearly,直線的に
hare,野ウサギ
predominate,優勢である
cafeteria,カフェテリア
knowingly,故意に
underworld,地下世界|反社会勢力
refreshment,軽食|休養
informational,情報の
cider,シードル|リンゴ酒
compressive,圧縮の
pointless,無意味な
liturgy,典礼|礼拝式
cozy,居心地の良い
performative,遂行的な（言語学用語）
overwhelmingly,圧倒的に
hive,蜂の巣
oft,しばしば（古風）
godly,信心深い
frightful,恐ろしい
theologian,神学者
densely,密集して
wand,杖|魔法の杖
carrot,ニンジン
robustness,頑健さ
sewer,下水道
hoard,蓄える
envoy,使節
inductive,帰納的な
histogram,ヒストグラム
dilution,希釈
boundless,限りない
scant,乏しい
humbly,謙虚に
testament,証|遺言
heater,ヒーター
shutter,シャッター
salesman,販売員
snare,罠
dissipation,浪費|消散
platter,大皿
reparation,賠償
unused,使われていない
simulator,シミュレーター
playwright,劇作家
taut,ピンと張った
insufficiency,不十分さ
antidote,解毒剤
adept,熟練した
enamel,エナメル
silky,絹のような
papal,ローマ教皇の
squeal,金切り声を上げる
repayment,返済
twofold,2倍の|2重の
hush,静かにさせる
serotonin,セロトニン
unlucky,運が悪い
puberty,思春期
handler,取扱者|調教師
hysterical,取り乱した
messaging,メッセージ送信
parrot,オウム
buffer,緩衝材
twitch,ピクピク動く
conceptualize,概念化する
ghostly,幽霊のような
galley,調理室|ガレー船
levy,課税する
neuroscience,神経科学
grassy,草の多い
tachycardia,頻脈
pal,友達（くだけた表現）
crank,クランク|変人
orally,口頭で
deceit,欺き
speedily,迅速に
incomprehensible,理解できない
graphite,黒鉛
inasmuch,〜である限り（形式的）
postmodern,ポストモダンの
