threaten,脅かす
scholarly,学術的な
exceptional,例外的な
afterward,その後［=afterwards］〈アメリカ英語〉
mold,カビ
traumatic,心的外傷の
legislature,立法府
elder,年長者
heavenly,天の
alloy,合金
median,中央値
distribute,分配する
urine,尿
societal,社会の
quarrel,口論
ibid,同上
bless,祝福する
adhere,付着する
reproduce,再生する
er,～する人
consume,消費する
junction,交差点
reactive,反応性の
baseball,野球
courtesy,礼儀
intuition,直感
idiot,ばか
induction,誘導
calendar,カレンダー
cinema,映画館
basement,地下室
cooperate,協力する
tackle,取り組む
organism,生物
batch,一群
math,数学
trim,整える
unclear,不明瞭な
prescription,処方箋
surplus,余剰
moreover,その上
suite,一式
leisure,余暇
harmful,有害な
tragic,悲劇的な
slender,細い
conceive,考える
specimen,標本
darling,愛しい人
flank,側面
fossil,化石
reservoir,貯水池
indirectly,間接的に
inhibition,抑制
instrumental,役立つ
compliment,称賛
reinforcement,強化
elastic,弾力のある
cargo,貨物
fury,激怒
ch,チャネル［channelの略］
enhancement,強化
attendant,付き添い
convergence,収束
nonetheless,それにもかかわらず
inscription,碑文
computation,計算
neighbourhood,近所
knit,編む
aggression,攻撃性
prone,～しがちな
hum,ぶんぶんいう
sore,痛い
cylinder,円筒
reluctant,気が進まない
halfway,途中で
discomfort,不快感
plantation,プランテーション
civic,市民の
amusement,楽しみ
operative,作用する
architectural,建築の
monkey,サル
stride,大股で歩く
proliferation,増殖
thigh,太もも
selfish,利己的な
fare,運賃
deed,行為
dip,浸す
enjoyment,楽しみ
limb,手足
lawn,芝生
transparency,透明性
recommendation,推薦
constraint,制約
temporarily,一時的に
contempt,軽蔑
producer,生産者
relieve,和らげる
assay,分析
gorgeous,豪華な
rebuild,再建する
electoral,選挙の
awe,畏怖
crude,粗野な
fortunate,幸運な
suspension,中断
burial,埋葬
deployment,配置
solidarity,連帯
tick,チェックマーク
satisfactory,満足な
fatty,脂肪の多い
empathy,共感
splash,はねる
brace,支える
pastor,牧師
graphene,グラフェン
extensively,広範囲に
rider,乗り手
elicit,引き出す
disk,円盤
ascertain,確かめる
vegetation,植生
realise,気づく
bin,ごみ箱
parish,教区
abdominal,腹部の
dioxide,二酸化物
marker,印
liberation,解放
lively,活発な
statutory,法定の
murmur,ささやき
stitch,縫い目
downward,下向きに
portal,入口
announcement,発表
nurture,育てる
dominance,優位
consultant,相談役
missile,ミサイル
coherent,首尾一貫した
envy,羨望
reproductive,生殖の
dam,ダム
wax,蝋
junior,年下の
apology,謝罪
conquest,征服
swift,速い
sediment,堆積物
conditional,条件付きの
slap,平手打ち
meantime,その間に
jam,渋滞
canvas,キャンバス
blossom,花
beneficiary,受益者
recognise,認識する［=recognize］〈イギリス英語〉
analyse,分析する
propaganda,宣伝
lump,塊
prophecy,予言
emotionally,感情的に
sincere,誠実な
bilateral,両側の
confirmation,確認
incorrect,間違った
purity,純度
winner,勝者
distraction,気を散らすもの
premium,プレミアム
ambitious,野心的な
tourist,観光客
align,整列させる
predominantly,主に
provoke,引き起こす
chap,やつ
affinity,親近感
nephew,甥
shrug,肩をすくめる
fundamentally,根本的に
unwilling,気が進まない
drought,干ばつ
fibre,繊維
circumstance,状況
rehabilitation,リハビリ
gel,ゼリー状のもの
spiral,螺旋
countenance,表情
collision,衝突
motivate,動機づける
spoon,スプーン
landlord,大家
fuzzy,ぼんやりした
scientist,科学者
immigrant,移民
ml,ミリリットル
fort,要塞
warehouse,倉庫
restriction,制限
periodic,周期的な
clash,衝突
atom,原子
righteousness,正義
summit,頂上
transmit,送る
cute,かわいい
naval,海軍の
mum,母親（俗語）
costly,高価な
sack,袋
disagreement,不一致
accomplishment,達成
boot,ブーツ
flush,赤らむ
irregular,不規則な
worm,ミミズ
evolve,進化する
outfit,服装
eagerly,熱心に
immunity,免疫
longitudinal,縦の
sickness,病気
bud,芽
foam,泡
negotiation,交渉
rub,こする
download,ダウンロードする
laptop,ノートパソコン
compatible,互換性のある
feasible,実行可能な
deformation,変形
solemn,厳粛な
viable,実行可能な
coincide,同時に起こる
pp,ページ数［pagesの略語］
speculation,推測
icon,象徴
safeguard,保護する
solitary,孤独な
sculpture,彫刻
scarce,不足している
reliance,依存
unpleasant,不快な
summon,呼び出す
earnest,真剣な
streak,筋
dreadful,ひどい
proportional,比例した
plug,栓
coupling,連結
gradual,徐々の
abortion,中絶
interactive,相互作用の
individually,個別に
deity,神
biomass,バイオマス
murderer,殺人者
sunshine,日光
chromosome,染色体
republic,共和国
colleague,同僚
coarse,粗い
suck,吸う
attendance,出席
advertisement,広告
contingent,依存する
signify,意味する
teaching,教育
imprint,刻印
captive,捕虜
ripple,さざ波
viral,ウイルス性の
ethnicity,民族性
tech,技術
slaughter,虐殺
intimacy,親密さ
retire,引退する
hood,フード
overnight,一晩中
wreck,難破
critically,批判的に
culturally,文化的に
advancement,進歩
scandal,スキャンダル
spur,拍車
paste,ペースト
neat,きちんとした
nonlinear,非線形の
affective,感情の
hurriedly,慌てて
revolt,反乱
intellect,知性
dismiss,解雇する
incredibly,信じられないほど
spoil,台無しにする
perish,死ぬ
transnational,多国籍の
bronze,青銅
lust,欲望
waiter,ウェイター
audio,音声の
offend,怒らせる
policeman,警察官
unfortunately,残念ながら
narrator,語り手
offspring,子孫
terminology,専門用語
chapel,礼拝堂
rationale,理由
integer,整数
doll,人形
pearl,真珠
swiftly,素早く
convenience,便利さ
acceleration,加速
rim,縁
refrain,控える
thrill,スリル
adj,形容詞［adjectiveの略語］
casually,気軽に
terrace,テラス
cult,カルト
angrily,怒って
microbial,微生物の
iteration,繰り返し
torment,苦しみ
mansion,大邸宅
spectral,幽霊の
comedy,喜劇
mesh,網
plea,懇願
resurrection,復活
customary,慣習的な
custody,監護
obesity,肥満
bowel,腸
vis,見る（ラテン語由来）|視覚の（接頭辞）
descriptive,記述的な
workforce,労働力
scare,怖がらせる
utilization,利用
substantive,実質的な
detector,探知機
unstable,不安定な
isolate,孤立させる
premise,前提
daylight,日光
sheriff,保安官
efficiently,効率よく
agony,激痛
contemplate,熟考する
fearful,恐れている
vivo,生体内の
caste,カースト
float,浮く
relaxation,リラックス
disregard,無視する
specificity,特異性
parliament,議会
disc,ディスク
bury,埋める
notebook,ノート
renewable,再生可能な
communal,共同の
absurd,不合理な
offset,埋め合わせ
prototype,試作品
brake,ブレーキ
adequately,適切に
responsive,反応の良い
hastily,急いで
console,慰める
album,アルバム
ribbon,リボン
termination,終了
venue,会場
inappropriate,不適切な
nominal,名目上の
virgin,処女
viewpoint,視点
puff,吹き出し
morphology,形態学
ambiguity,曖昧さ
inn,宿
vivid,鮮やかな
rally,集会
mandatory,義務的な
creator,創造者
promptly,即座に
lesion,損傷
dictionary,辞書
susceptible,影響を受けやすい
indulge,ふける
tiger,トラ
bug,虫
stagger,よろめく
drawing,図面
layout,配置
resemblance,類似
imitate,模倣する
greet,挨拶する
contraction,収縮
pragmatic,実用的な
compartment,区画
mutually,相互に
patrol,巡回する
hierarchical,階層的な
entail,伴う
distinctly,はっきりと
compute,計算する
shortage,不足
geographic,地理的な
peasant,農民
settling,定住
dietary,食事の
focal,焦点の
balloon,風船
coincidence,偶然の一致
refine,洗練する
modernity,現代性
inward,内側へ
cab,タクシー
predicate,述語
successive,連続的な
idle,怠惰な
countryside,田舎
dash,突進する
conspiracy,陰謀
charter,憲章
smirk,にやりと笑う
soap,石鹸
asylum,避難所
journalist,ジャーナリスト
chant,歌う
fountain,噴水
replicate,複製する
shoe,靴
riot,暴動
tread,踏む
indifferent,無関心な
randomly,無作為に
appropriately,適切に
unfair,不公平な
explosive,爆発性の
comprehension,理解
tug,引っぱる
im,〜でない（接頭辞）|〜できない（接頭辞）
editorial,社説
cerebral,知性的な
spike,急増
thoughtful,思いやりのある
pixel,画素
butterfly,蝶
negatively,否定的に
masculine,男性的な
contradict,矛盾する
documentary,ドキュメンタリー
embarrassment,恥ずかしさ
alpha,アルファ
heroic,英雄的な
sober,しらふの
plausible,もっともらしい
haired,毛のある
sow,まく
tan,日焼け
terrain,地形
parade,パレード
composer,作曲家
utmost,最大の
methodological,方法論の
exempt,免除された
mug,マグカップ
cheerful,陽気な
moonlight,月明かり
betray,裏切る
innocence,無罪
complementary,補完的な
manifestation,現れ
trash,ゴミ
superiority,優位
migrate,移住する
inclination,傾向
staircase,階段
wherein,その中で
interpersonal,対人関係の
symmetry,対称
wool,羊毛
dementia,認知症
fertility,生殖能力
trustee,受託者
eternity,永遠
grocery,食料品店
psychiatric,精神科の
investor,投資家
fantastic,素晴らしい
jealousy,嫉妬
irrigation,灌漑
destine,運命づける
freeze,凍る
fox,キツネ
helmet,ヘルメット
reading,読書
variant,変種
pharmaceutical,製薬の
maker,製造者
theirs,彼らのもの
depict,描く
tribal,部族の
sunset,夕焼け
orgasm,オーガズム
backwards,後ろ向きに
utterance,発言
cardiovascular,心血管の
incentive,動機
converge,収束する
mobilize,動員する
erosion,侵食
paradox,逆説
substitution,置き換え
foul,不快な
bargain,取引
humour,ユーモア
unite,団結する
vertex,頂点
supplier,供給者
prohibition,禁止
oppose,反対する
practitioner,開業医
precursor,先駆者
heel,かかと
lamb,子羊
notify,通知する
anonymous,匿名の
fragile,壊れやすい
delightful,楽しい
scripture,聖書
attach,付ける
linen,リネン
meter,メートル
allowance,手当
classify,分類する
alley,路地
manufacturer,製造業者
navy,海軍
invoke,呼び起こす
reflective,反射する
offering,供え物
eligible,資格のある
administer,管理する
economically,経済的に
sanction,制裁
biography,伝記
preacher,説教者
bully,いじめっ子
celebrity,有名人
literal,文字通りの
navigation,航海
intentional,意図的な
unfamiliar,不慣れな
rupture,破裂
lament,嘆く
aboard,乗って
massage,マッサージ
distal,遠位の
resentment,恨み
outdoor,屋外の
disciple,弟子
cautious,用心深い
juvenile,若い
lag,遅れる
beta,ベータ
fiercely,激しく
recruitment,採用
hypertension,高血圧
prohibit,禁止する
plainly,はっきりと
adolescent,思春期の
accelerate,加速する
accumulate,蓄積する
refugee,難民
haunt,出没する
vampire,吸血鬼
dental,歯の
upgrade,アップグレードする
antenna,アンテナ
makeup,化粧
cruise,クルーズ
balcony,バルコニー
perch,止まり木
trait,特徴
superficial,表面的な
chuckle,くすくす笑う
monastery,修道院
collector,収集者
jerk,急に動く
muscular,筋肉質の
textile,織物
bitterly,激しく
formulate,策定する
morally,道徳的に
initiation,開始
kernel,核
globalization,グローバル化
brutal,残酷な
skeleton,骨格
rightly,正しく
chiefly,主に
antibody,抗体
transplant,移植
torch,たいまつ
mob,暴徒
avenue,大通り
linkage,連結
rhetorical,修辞的な
sanctuary,聖域
scroll,巻物
quantify,数量化する
cushion,クッション
mimic,まねる
elimination,除去
consciously,意識的に
pavement,舗装道路
heterogeneous,異質の
swarm,群れ
weaken,弱める
ambiguous,あいまいな
vanish,消える
penetration,浸透
educate,教育する
wrath,怒り
theft,盗み
downtown,市街地
supra,超
confrontation,対立
mutation,突然変異
obstruction,妨害
wireless,無線の
explode,爆発する
stray,はぐれる
contamination,汚染
migrant,移住者
erect,直立した
cite,引用する
prevalent,一般的な
visualize,視覚化する
recurrent,再発する
ambassador,大使
surround,囲む
scrutiny,精査
secretion,分泌
quasi,準
dumb,愚かな
rumble,ゴロゴロ鳴る
permanently,永久に
retrieve,取り戻す
setup,設定
dissolve,溶ける
lazy,怠惰な
catalogue,目録
supernatural,超自然の
uncommon,珍しい
scrap,くず
analytic,分析的な
subsection,小節
trench,溝
transcription,転写
lattice,格子
