intrigue	の興味をそそる|陰謀(を企てる)
idiom	慣用語法|慣用法|熟語|成句|イディオム
eco	エコ|economyの略|架空の人物名|エコ(通貨)
apartheid	(特に南アフリカにおける)人種隔離政策
lunar	月の影響による|月の|太陰暦の
luminous	理解しやすい|光る|輝く|明るい|聡明な|明白な
issuance	発行|交付|発布|配給|給与
acknowledgement	(UK綴)承認|通知|自認|受取の通知|感謝|礼状|謝意
tandem	縦に一列に並んで|直列の
ledger	元帳|台帳
daytime	昼
wickedness	邪悪|不正|悪意
info	information
hockey	ホッケー
heathen	異教徒|異邦人|野蛮人|未開人
freezer	冷蔵庫|冷凍装置(庫･室)
forefront	(theをつけて)最前部
unpaid	未払いの
tunic	古代ギリシア･ローマ人が着た膝上まで届く上衣
ethnography	記述人種学|民族誌(学)
irreversible	逆にできない|逆転できない|取り消しできない
hinge	ちょうつがい|関節|要所|要点|条件にする|決める
endowment	寄付金|基金|天性|才能
dedicate	捧げる|打ち込む|専念する|献げる
revolve	回転させる
desktop	小型の|卓上型の
aneurysm	動脈瘤
yonder	あそこに|あそこの|向こうに見える|反対側の(=yon)
competitor	競争相手
witchcraft	魔法|魔術|妖術|魅力|魔力
rum	ラム酒|変な
inexpensive	費用のかからない
inactive	活動しない|怠惰な|緩慢な|受身的な
probabilistic	確率的な
lava	溶岩
macroeconomic	マクロ経済の
encode	符合化する|コード化する
sternly	厳格に
lush	生い茂った
tout	客引きする|勧誘する|大げさに宣伝する|客引き|運動員|(競馬の)予想屋|(泥棒の)見張り
keenly	熱心に|鋭く
debut	初舞台|初演|駆出し|デビュー
dentist	歯科医|歯医者
wig	かつら|髪飾り|かつらをつける
dwelling	住居
fathom	の水深を測る|推し量る|見抜く
amplify	拡大する|増幅する|敷衍する|大げさに言う
postulate	(自明のこととして)仮定する|仮定|前提条件|必要条件
melanoma	黒色腫
compulsion	無理強いされた状態|強制
puddle	水たまり|水溜り|(液体の)たまり
sunglasses	サングラス
deliverance	救出
bravery	勇敢|勇気
semiotic	記号の|記号論の
decipher	(暗号など)を解読する
secondly	第2に
polymerization	重合
excessively	過度に
instructive	教訓的な
ironically	皮肉に
tractor	トラクター|引く人|引くもの
cathode	(電気の)陰極
gorge	谷間|峡谷|食物|に詰め込む|がつがつ食べる
contentious	議論好きな|論争的な|異論のある|係争の
fortunately	運よく|幸運にも
satire	風刺|皮肉|当てこすり
blueprint	設計図|青写真
rebellious	反抗する|反逆する|反抗的な|(病気など)治療しにくい
herb	草本|草|香料(薬用)植物|(俗)マリファナ
saucepan	(柄･ふた付きの)シチューなべ|ソースパン
grassland	草原|牧草地|牧場|草地
municipality	(地方)自治体
twinkle	きらきら輝く|きらめき|閃光|キラキラ|星などが光る様子
undue	過度の|不当な
wrongly	不正に|誤って|間違って|不当に
motel	モーテル(Motor Hotel)
muse	熟考する|物思いにふける|瞑想|(古代ギリシャの)詩神|詩才
trio	トリオ|三重奏(曲, 団)|三人組み|三重唄(曲, 団)
forcibly	強制的に
grimace	顔をしかめる|渋面|しかめっ面|顔を歪めること
conserve	保存する|貯蔵する
intrude	はいり込む|侵入する|を無理に押し入れる|押し込む|を強いる
inception	発端
emigration	(国外への)移住|海外への移民|(集合的)移民
blindly	盲目的に
roughness	でこぼこ|荒ごしらえ|荒れ|荒れている所|荒削りな所|荒天|雑な部分|粗いこと|粗雑|粗野|不作法|乱暴
dearly	愛情を込めて
sclerosis	(動脈などの)硬化(症)
lordship	支配権
caffeine	カフェイン
monumental	堂々とした|不朽の|重要な|途方もない|墓の
unaffected	心を動かされない|気どらない
amiable	人当たりのよい|愛想のよい|気だてのよい|素直な
anode	(電気の)陽極(positive pole)
wretch	不運な人|かわいそうな人|気の毒な人|見下げ果てた人
displace	取ってかわる|免職する
gale	強風|疾風|突発
powerfully	強烈に
authorship	著述業
symmetrical	均整のとれた|左右対称の|対称の|左右対称
perfusion	パーフュージョン|(医)灌流|毛細血管やそれに準ずる機能血管系の血流を表わす用語
parsley	パセリ
runway	滑走路|走路|動物の通り道|(劇場の)花道
pathogenic	病原となる
spasm	痙攣|けいれん|発作(=sudden attack)|ひきつけ(=fit)
abolish	(法律･制度など)を廃止する
entanglement	もつれること
homemade	自家製の
intercultural	異文化間の
mythical	神話的な
amplifier	増幅器
watery	気の抜けた|水の|湿った|涙ぐんだ|水っぽい|淡い
turf	縄張り|芝生|泥炭|競馬界
stronghold	本拠地|根拠地|要塞|とりで
plum	西洋スモモ|プラム|すばらしいもの|濃い紫色
underway	進行中で|旅行中の
psychosis	精神病
genus	(動植物分類上の)属|種類
tempo	テンポ|速度
recount	列挙する|詳述する|数え上げる
displeasure	不満
occlusion	閉塞|咬合
graphical	グラフィカル|図形の|図表の
bracket	ひとまとめにする|括弧でくくる|腕木|腕金|張出し棚受け|電灯受け
whimper	泣き声で言う|しくしく泣く|ぶつぶつ不平をいう|(犬が)クンクン鳴く
ablation	＜ablate|切除
nexus	関連(connection)|絆(bond)|ネクサス(文の構成要素間の主語述語関係)
illustrative	実例となる
farmhouse	農家
retaliation	返報|報復|仕返し|復讐|かたき討ち|しっぺ返し
pathogenesis	病因
waveform	波形
boredom	退屈
algebraic	代数的
censor	検閲する|検閲官|批評者|非難者|潜在意識の抑圧
coma	(kóʊmə)pl|comae(-miː)|(天文)コマ|彗星の頭部で核の周囲の星雲状のもの|(植物学)種髪(しゆはつ)ワタなどの種子の綿毛|(医学)昏睡(状態)
economical	経済的な|倹約した
vantage	有利|優越|優勢な地位|(古)利益
denominator	共通する部分･特徴|分母(例文|分子が分母と等しいか分母より大きい分数 a fraction whose numerator is equal to or greater than its denominator)
trespass	を(不法に)侵害する|不法侵入|邪魔|迷惑
ischemic	虚血性の
ebb	引き潮|衰退|干潮|減退|衰退期
impulsive	衝動的な|推進力のある
hyper	ハイパー(hyper-)|「上|超越|向こう側」を意味する接頭辞
homosexuality	同性愛|同性愛関係
potency	力|潜在力
topography	地形学|地勢学
cater	料理|娯楽を提供する|供する|満たす
ration	を配分する|消費を制限する|配給量|定額|定量
incite	刺激する|励ます|煽る|扇動する|引き起こす
waiver	権利放棄
exaggeration	誇張
cot	(羊・ハトなどの)小屋|囲い(cote)|粗末な家|(米国)指サック|小児用ベッド=crib|格納や運搬のために折り畳める小型のベッド
investigative	調査の
quadratic	二次の|二次式|二次方程式
condensation	濃縮|凝縮|個体化
covariance	共分散(2つの変数の標準偏差を掛け合わせた|変数間の相関度を示す統計数値)
testosterone	テストステロン(testosterone)|男性ホルモンの一種の|ステロイドホルモン|筋肉増大|骨格の幅や厚みの発達に関わる
helplessness	どうすることもできないこと|無力
unauthorized	許可されていない|権限のない|独断の
dialectical	=dialectic|《廃》=dialectal
breaker	こわす人
porosity	〈U〉有孔性|通気性|〈C〉多孔率
eligibility	適任|適格(性)|有資格
immature	未熟な|未熟の
conceivable	考えられる
suspense	どっちつかずの状態|サスペンス|未決|不安|未定
coordinator	コーディネーター
economist	経済学者
parole	仮釈放(する)|執行猶予|合い言葉|(捕虜の)宣誓|運用言語
incline	傾く|を傾ける|したいと思う|上り傾斜
savor	趣|風味|味|の味がする|の香りがする|味わう
situate	を(ある場所に)置く
carelessly	不注意に|不用意に|無頓着に
bearing	方向|態度|ベアリング
decimal	10進法の|小数
pronunciation	発音
primacy	第1位|首位|第一位|大主教
unrealistic	非現実的
reprint	を翻刻する|再版|を再版する|を重版する|増刷
walnut	クルミ|クルミ材
thaw	(雪が)解ける|緊張が緩和する|寒さをのがれる|雪解け
shooter	狩猟者|銃猟者|(連発)銃|写真(家)
frighten	をおびえさせる|ぞっとさせる
reddish	赤みを帯びた
tonic	元気づける|元気づけるもの|強壮剤|炭酸水|主音
ransom	身代金(を払う)|賠償金|解放|受け渡し
reassurance	安心させること|元気づけ|再保証|(新たな)自信
disseminate	(種子など)をまく|(意見など)を広める
conveniently	都合よく
zoo	動物園
doorstep	戸口の上がり段
cucumber	キュウリ
coercive	強制的な
mischievous	いたずらな|有害な|いたずら好きな|いたずら好きの
agrarian	土地の|農業の|農地の|野生の|農民の|農村生活の
anion	anion(化学)|陰イオン
settler	入植者|移民者
forfeit	没収される|剥奪される|権利を失う|放棄する|没収物|罰金|違約金
marvelous	驚嘆すべき|不思議な|驚くべき|素晴らしい
disobey	に従わない
hustle	押しのけて進む|精をだす|せきたたて～させる|ハッスル
grassroots	一般人|民衆|基本的事実
leash	(犬などを)つなぐひも|鎖
anesthetic	麻酔剤|麻酔の|感覚が麻痺した|無感覚な|鈍感な
extraordinarily	異常に|並外れて|異例に|特別に|法外に
northward	北に向かって|北に向かう|北方|北に向いた|北方への|北方へ
punitive	処罰のための|罰の
boycott	ボイコットする|交渉拒否|不買同盟|ボイコット
championship	選手権
palliative	一時的に和らげる
hoof	ひづめ|足
sabotage	サボタージュ|妨害|破壊活動|(敵国の軍事的･経済的機能の)破壊する行為
registry	記載|登録|登録事項|登録所
persevere	我慢する|辛抱する|耐える|やり抜く
endocrine	内分泌の|内分泌腺
charismatic	カリスマの
taper	だんだん細くなる|次第に細くなる|次第に小さくなる|漸減|次第に細くする
vegetarian	菜食主義者
parody	替え歌|パロディ|へたな模倣|をもじる|をへたにまねる
disparity	格差|不均衡|不一致|不同|不等|不釣合い
manly	男らしい|男性の|男まさりの
tubular	管状の|尿細管の
generalize	一般的に扱う
grotesque	グロテスクな|グロテスク|奇怪なもの
disagreeable	不愉快な
eastward	東方へ
awfully	ひどく|非常に|すごく|とても(veryのインフォーマルな言い方)
observance	遵守|しきたり|儀式|敬意|行事|習慣
litter	散乱したもの|ゴミ|一腹の子|担架|を散らかす
situational	場面の|状況倫理の
outflow	ほとばしり|流出|流出物|流出量|放流|流出する
fissure	裂け目|割れ目|亀裂|ひび|分裂
hairy	毛むくじゃらの|毛深い|毛製の
follower	随行者|信者
determinant	決定力のある|決定する原因
antagonism	敵意|反対
intrinsically	本質的に
quadrant	四分円|象限
overweight	超過重量
bounty	気前のよさ|恵み深さ|気前よさ|寛大|害獣退治･犯人逮捕などに対して出される報奨金･賞金
tar	タール|を汚す
flora	(一時代･一地域の)植物相(群)|植物群|植物誌
gamble	投機をする|ギャンブルをする
treacherous	信用を裏切る|信頼できない|当てにならない|(安全そうで)危険な
phenomenal	自然現象の|現象の|知覚できる|驚くべき
fowl	(fάʊl)|ニワトリ|鶏
materialism	唯物論|物質主義
profess	はっきりと言う|を公言する|を言明する|を告白する|を装う
parametric	パラメーターの
illustrious	すぐれた|傑出した|秀抜な|高名な|著名な|輝かしい|はなばなしい
caller	訪問者
herbal	ハーブの|(薬)草の|草本の|植物標本集
gathering	集まること|集会
primal	原始の|根本の|最初の|主要な|第一の|抑圧された幼児期の感情の解放
archaeology	考古学
denounce	公然と非難する|告発する|糾弾する|訴える
conceit	自負心|うぬぼれ|想像する
lottery	めぐり合わせ|宝くじ|抽選|運
unification	統一|単一化
skillet	小鍋|フライパン
dean	学部長
purify	を清める|から汚れを取り除く|を浄化する|を精製する|を純正化する|を洗練する
lash	さっと動かす|鞭|マツゲ
amorphous	一定の形を持たない|不定形の|まとまりのない
aback	後ろに
dreary	荒涼とした|わびしい
bourgeoisie	(仏語)ブルジョアジー|市民階級|中産階級
clown	おどける|からかう|道化師|道化役者|田舎者
beverage	飲料|飲み物
opaque	(oʊpéɪk)|不透明な|くすんだ|あいまいな|(ラテン語)
soak	を浸す|ずぶ濡れ(になる)|(浴びるように)酒を飲む
polarity	有極性|(理)極性|正反対|対立
heresy	異教|異端|異説|反論
professionally	専門的に
standardization	標準化|規格化|画一化
vintage	(ある特定地域･時期の)ぶどう酒|古くて価値のあるもの
atypical	異常な
nobleman	貴族|華族
impediment	妨害|障害|故障|身体障害|言語障害
cranial	頭蓋の
brink	瀬戸際|縁|頂|最高点|水ぎわ|水辺|間ぎわ
sling	パチンコ|投石器|三角巾|一撃|投げつける|つるす
shunt	変える|他へ向ける(こと)|血液を別の路へ流す
disobedience	不服従
circumference	周囲|円周|境界線
hurdle	障害物|乗り越える(hurdling|ハードル競技)
hallmark	顕著な特徴|太鼓判
precondition	必須条件
swirl	旋回させる|渦巻く|渦|混乱|渦巻
indignant	憤概した|憤慨した|怒った|憤然とした
normalization	正規化した
emit	出す|放射する|発する|発行する
bustle	忙しく動き回る|にぎわい|活発に動く
compost	配合土|堆肥
fixture	固定物|備品|開催日
pretext	口実|もっともらしい理屈|弁解
discreet	慎重な|控えめな|思慮深い
flop	失敗|ばたりと倒れる|どさりと落す
murderous	殺人の|残忍な|非常に困難な
indefinitely	漠然と
unintended	意図的でない
prudence	慎重|思慮|分別|細心|抜目なさ|つつましいこと
daze	の目をくらませる
refractory	(人|動物など)手に負えない|耐火性の|難病の
visionary	幻の|非現実的な|夢のような|空想家|空想
privatization	民営化
amber	琥珀色|琥珀|琥珀色(こはく)色|黄色
rev	エンジンを回転させる|回転
ascribe	のせいにする|帰する
vie	優劣を争う|競う(=compete)
redirect	宛名を書き変える|向け直す|リダイレクトする|出力先を変更する
moderation	節度|穏健
emphatically	まったく|強調して|断固として|断然|力強く
harp	ハープ(竪琴)
honourable	高潔な|正しい|公平な|名誉な
emerald	エメラルド
lumbar	腰|腰神経|腰椎|腰動脈|腰の|腰部の
correctness	正しさ
trough	凹型(=concave)|溝|管|気圧の谷|桶|木鉢
sarcasm	皮肉|当てこすり
downwards	=downward
faulty	欠陥のある|不完全な|欠点のある|過失のある|ずさんな
brag	自慢する|大げさに言い立てる|ほめちぎる|自慢
provocative	刺激する|怒らせる|刺激的|挑発的な
shilling	シリング(1971年まで続いた英国の旧通貨単位)|ケニア・ウガンダ・ソマリア・タンザニアの通貨単位
cynical	皮肉な
agile	機敏な|頭の回転の早い|活気のある|身の軽い|鋭敏な
astronomer	天文学者
involuntarily	無意識に|思わず知らずに
deflect	(思考など)をゆがめる|そらせる
insecure	不安な
clutter	取り散らかす|散乱させる|騒ぐ|散乱物|乱雑|混乱
politeness	ていねい|礼儀正しさ|丁重さ
predator	食肉動物|略奪者|捕食者
unavailable	得られない|利用できない|不在の
penal	刑事上の|刑(法)の|刑罰の|罰を受けるべき
howling	遠吠え|吠える|怒鳴る|寂しい|どえらい|ものすごい|とてつもなく
redox	酸化還元反応
hither	ここへ
emulsion	乳状液|乳液
absurdity	不合理|不条理
cripple	だめにする|役に立たなくする|不自由にする|障害者
adultery	不倫|姦通|密通
concise	簡潔な|簡明な
gentleness	優しさ
containment	封じ込め|閉じ込め
utilitarian	功利主義の
suction	吸水管|吸引力|吸引|飲酒
transformer	変化させるもの|変圧器
lowly	みすぼらしい|質素な|謙遜して
elegance	優雅
jolly	おだてる|陽気な|素敵な
methanol	メタノール|methyl alcohol
recreate	気晴しをさせる|休養させる
prerogative	特権を持つ|大権|特権|特典
chunk	厚切|大量|たくさん|厚切り|大きな塊
fascist	ファシスト|ファシズム信奉者|国粋主義者
resolute	堅く決心した
halo	後光|光輪|栄光|(太陽や月の)かさ
acutely	鋭く|鋭敏に|激しく
clove	裂けた|ちょうじ
quiz	に質問する|簡単な試験|質問する|クイズ|質問(する)
newsletter	広報|社報
monomer	モノマー(単量体)が少数結合した重合体がオリゴマー(oligomer)|ダイマー(dimer|二量体)|トライマー(trimer|三量体)|テトラマー(tetramer|四量体)等|多数の重合体はポリマー(polymer)
reliably	確実に
eloquence	雄弁
multidisciplinary	多くの学問領域にわたる
whichever	どちらでも|どちらの～でも
companionship	交際|交友|仲間付き合い
horizontally	水平に
refill	(飲食物の)おかわり|2杯目|再び(re)満たす(fill)→(飲食物の)おかわり|詰め替える|再び満たす
naughty	行儀が悪い|いたずらな|わんぱくな|下品な
vial	ガラスびん|水薬びん
brisk	活発な|元気のよい|小気味のよい|爽快な
censure	非難する|告発する|非難|とがめ|酷評
palate	味覚|好み
egalitarian	人類平等主義の
carotid	頚動脈
unsafe	安全でない|危険な|不安な
categorization	カテゴリー化
diode	ダイオード|整流作用(電流を一定方向にしか流さない作用)を持つ電子素子
contributor	寄付者
conduit	導管|水道|溝|コンジット
probation	保護観察(期間)|執行猶予|仮採用|試験|試用期間|見習期間
centric	中心の
selfishness	身勝手さ
titanium	チタン
fraught	伴った|充満した|伴う|悲惨な|悩んでいる
tapestry	つづれ織り|タペストリー
inwardly	心の中で|密かに
brittle	壊れやすい|堅いがもろい|傷つきやすい|砕けやすい
additionally	さらに
rigidity	頑固さ
nozzle	吹き出し口|(俗)鼻|筒口|ノズル
adorable	魅力的な
renovation	修復
skim	をすくい取る|かすめて飛ぶ|かすっていく|ざっと目を通す
enormously	非常に|途方もなく|莫大に
dorm	寄宿舎
rite	儀式|儀礼
interstate	州間高速道路
exogenous	外因性の|外来栄養の
repel	に抵抗する|を追い払う|を押し返す|を拒絶する|はねつける|追い払う|はじく|いやがらせる|反発する
rotational	回転の
dangerously	危険なほど
primordial	原始の|原生の|根本的な|根本(原理)
thrombosis	血栓症
cartridge	カートリッジ|パトローネ|薬包|弾薬筒
pulpit	説教壇
clerical	聖職者の|書記
horrid	ひどくいやな|恐ろしい
selectively	選択的に
attenuation	減衰
uterine	子宮
juncture	接続|連結|接合(点)|接合点|危機|転機|合わせ目|急場|(文法)連接
harshly	耳障りな
ballad	バラード|民謡|小唄|物語|物語詩
exacerbate	激化させる|悪化させる|怒らせる|憤激させる
generative	発生の|生殖の;生成力(繁殖力)のある
binder	縛る道具|包帯|ひも|ルーズリーフ用バインダー|製本屋|製本機械
nip	阻止する|つねる|はさむ|かむ|はさみ|ひとかみ|ひとつねり|風刺|酷評|犬が噛む
lovingly	かわいがって|愛情をこめて|優しく
humane	慈悲深い|人を高尚にする|思いやりのある|心の優しい|人間味豊かな
perpetrator	加害者|犯人|下手人
offline	オフラインで
precedence	先に来ること|先行|優位|以前の|先の
bibliography	参考文献|文献目録
inert	(人など)のろい|生気のない|鈍い|不活性の
rake	くま手|まぐわ|を探し回る|を詮索する|をかすめる|熊手でかく|かき払う|掃く
sibling	(男女の別をつけない)兄弟|兄弟姉妹 
uranium	ウラニウム|ウラン(放射性金属元素)|元素記号U
heroin	ヘロイン|アヘンに含まれるモルヒネから作られる麻薬
multidimensional	多次元
conqueror	征服者
draught	(drˈæft)|(draftの英国式綴)|為替手形|すきま風|下絵
dissociation	分離(状態)|分裂|解離
lotus	ロータス|蓮|ハス(の実)|ロートス(伝説の木)
redundancy	余剰性|冗長性
blunder	不注意な失敗|大失敗(する)|つまずく|やり損なう
admissible	受け入れられる|許容できる|有資格の
mammalian	哺乳類の|ほ乳動物(の)
materially	大いに|かなり|実質的に|物質的に
grandma	おばあちゃん(=nan, nana, nanny, granny, granma, gran)
directional	方向の
nude	ヌード|裸の
liberalization	自由化
sap	〈U〉樹液|〈U〉活力|生気|元気|〈C〉《話》ばか|まぬけ|〈体力など〉‘を'除々に弱らせる;〜‘を'しだいに壊す
splendor	輝き|豪華
cedar	ヒマラヤスギ|(cedarは日本のスギとは違い|ヒマラヤ杉などマツ科のもの
sane	正気の|良識のある|(人･考え方が)健全な
replica	模造品|複製
humanist	人間主義者|人文主義
perseverance	忍耐|根気強さ
depot	バス停|空港|倉庫|貯蔵物|補給所
patriarch	家長|イスラエル民族の祖先|長老|創始者
thicket	茂み|やぶ|雑木林
enzymatic	酵素による
extremist	過激派
asymptomatic	無症候性の
discontinuity	途切れ|隔たり|支離滅裂|切れ目|断絶|不連続|不連続点|裂け目
conversational	会話の
exaggerate	誇張する|おおげさに言う
coupon	クーポン|回数券|利札
capacitance	キャパシタンス|電気容量|静電容量
plentiful	たくさんの|豊富な|多くの|豊富の|たっぷりの
personage	名士|偉い人|人|個人|人物|役|登場人物
archival	記録文書の|古文書の|記録保管所の|古文書保管所の
destroyer	破壊するもの|破壊者
astronomy	天文学
paraphrase	説明|言い替え|意訳|他の語で言いかえる|を言いかえる
cultivator	耕作者|栽培者;養成者|耕運機(耕作・除草・土寄せなどの作業をする機械)
geometrical	幾何学的な
pornography	ポルノ写真
geopolitical	地政学的
din	騒ぎ|騒音
insure	に保険をかける|保険に入る|保証する
ark	箱舟 (ノアの箱舟)
rusty	錆びた|さびた|鈍くなった|役に立たなくなった|下手になった
regenerate	再び生じさせる|を改心させる|を更生させる|を再建する|を再生利用する|刷新する|革新する
bouquet	花束|(ワインなどの)香り
salty	辛らつな|塩辛い
usher	受付|(結婚式の)先導役|座席案内係|誘導する|案内する
anal	(éɪnl)|肛門の
intellectually	知的に
lucrative	有利な|得な|利益の上がる|profitable
edifice	大建築物|建物|殿堂|構成物|組織
uncanny	気味の悪い
cleave	道を切り進む|(材木など)を切り裂く|執着する|割る|突き進む|割れる
ref	レフリー|審判|審判をする|仲裁をする|の仲裁をする
sociocultural	社会文化的な
provocation	怒らすこと|刺激|怒らせること|挑発|怒り|立腹|興奮
psychiatry	精神病学|精神医学|精神科
sufficiency	十分(な資産･貯え)|たっぷりあること
unclean	汚れた
chew	噛む
dictator	独裁者
unspoken	暗黙の
outrageous	乱暴な|恥知らずの|無礼な|法外な
duality	二重性|双対性
interstitial	間質(臓器に固有の細胞群に対し|その間に入り込む結合組織などを指す|血管|神経|膠原繊維など)|隙間の
cutaneous	皮膚反応
pumpkin	(植物)カボチャ|セイヨウカボチャ|まぬけ|ぶざまな人
stratification	(地質学)|成層|層理|層化
singularity	奇妙(なもの)|単独
quartz	クオーツ|石英
sculptor	彫刻家
pup	子|小犬|あざらしの子
parasite	寄生動物|寄生植物|宿り木|居候|寄生虫
illegitimate	違法の|非合法の|火論理的な|非嫡出の
ignition	点火|燃焼|発火|イグニッション|キーの差し込み口
resent	を不快に思う|憤慨する|恨む
supplementation	補充
lien	先取特権|留置権|担保権
carcass	残がい|人体|屠殺体|(獣の)死体
shack	掘っ立て小屋|部屋|同棲する|一夜を共にする
beseech	に懇願する|求める|熱望する
dismal	気味の悪い|陰気な|陰欝な|暗い|憂欝な
adversely	逆行する
instinctive	本能的な
