tartar,歯石
breathlessness,息切れ
vacuous,空虚な|知性のない
karyotype,核型
clime,気候地帯（文語）
homeownership,住宅所有
intellectualism,知性主義
larch,カラマツ（針葉樹の一種）
intransigence,非妥協的態度
theatrically,芝居がかった|劇場風に
restock,再入荷する
redden,赤くする|赤くなる
caveman,原始人
polyphony,多声音楽
flywheel,フライホイール|回転はずみ車
canonization,列聖
expiation,贖罪
sauerkraut,ザワークラウト|キャベツの漬物
repatriate,本国送還する
doomsday,最後の審判の日
weirdness,奇妙さ
druggist,薬剤師
coniferous,針葉樹の
unfasten,外す
intemperance,不節制
fatalistic,運命論的な
playroom,遊び部屋
teachable,教えやすい
poco,少し（音楽用語）
telescopic,伸縮自在の
ingot,金属の塊|インゴット
cad,無作法な男
indefensible,弁護できない
motile,運動性のある
lave,洗う
eugenic,優生学の
neglectful,怠慢な
rightist,右翼の|保守派の
organelle,細胞小器官
traditionalism,伝統主義
insensibility,無感覚
undiminished,減少していない
anthropometric,人体測定の
expansionism,拡張主義
extramarital,婚外交渉の
irresolute,優柔不断な
hunchback,猫背の人
harpsichord,チェンバロ
litigant,訴訟当事者
endothermic,吸熱性の
ladylike,淑女らしい
expeditious,迅速な
dramatization,脚色
phosphor,蛍光物質
buzzword,流行語
censer,香炉
healing,癒し
proteasome,プロテアソーム|タンパク質分解複合体
fairyland,おとぎの国
undershirt,肌着
spheroid,球体
supercilious,横柄な
farmstead,農家の敷地
anthropomorphism,擬人化
corny,陳腐な
massif,山塊
credibly,信じられるほどに
levator,挙筋|持ち上げる筋肉
reputedly,評判では
revivalist,復興運動家
unfurl,広げる
arthritic,関節炎の
nullity,無効
reclusive,引きこもりがちな
recline,もたれる
gerund,動名詞
footer,フッター|ページ下部
individualize,個別化する
plucky,勇敢な
herewith,これをもって
springy,弾力のある
calorimeter,熱量計
betel,ビンロウ（噛みタバコ植物）
legibility,判読性
trachomatis,クラミジア属
mouldy,カビの生えた
reliquary,聖遺物箱
ampere,アンペア
shortsighted,近視の|目先しか見えない
demystify,わかりやすくする
broomstick,ほうきの柄
headwaters,源流
punctually,時間通りに
striatal,線条体の
inclement,荒れ模様の
misinform,誤った情報を与える
delightedly,喜んで
abjure,放棄する
scatterplot,散布図
genitourinary,泌尿生殖器の
oboe,オーボエ
hijack,乗っ取る
bicameral,二院制の
clayey,粘土質の
fivefold,5倍の
jettison,投棄する
porphyry,斑岩
overpass,陸橋
tannery,なめし工場
regency,摂政政治
unread,未読の
proteolysis,タンパク質分解
prayerful,祈り深い
statesmanship,政治手腕
dreamless,夢のない
frill,飾り
quince,マルメロ（果物）
italic,イタリック体
breakaway,分離|離脱
linebacker,ラインバッカー（アメフト）
operon,オペロン（遺伝子制御単位）
imperiously,横柄に
overexpressed,過剰発現した
albatross,アホウドリ
aspectual,相（文法）の
beefy,筋肉質な
monophosphate,一リン酸
tumorigenesis,腫瘍形成
mourner,喪主|弔問者
indecency,猥褻さ
roundtable,円卓会議
fidgety,そわそわした
newsworthy,ニュース価値のある
cobweb,クモの巣
uncountable,数えられない
sundial,日時計
auscultation,聴診
armband,腕章
critter,動物（くだけた言い方）
tricycle,三輪車
moodily,不機嫌に
denouement,結末|終幕
iambic,弱強格の（詩）
firebrand,扇動者
muscarinic,ムスカリン性の（受容体関連）
ream,大量
pediment,三角破風|山形装飾
calamitous,悲惨な
centralize,集中させる
guano,鳥糞肥料
androgynous,両性具有の
gynecologist,婦人科医
capstone,頂点|仕上げ
combust,燃える
titter,クスクス笑う
breakneck,非常に危険な|猛烈な速さの
conifer,針葉樹
clearing,空き地
swag,景品|戦利品
uncircumcised,割礼を受けていない
vexatious,いらいらさせる
synergistically,相乗的に
monomeric,モノマーの
haughtiness,傲慢
uncorrected,修正されていない
catabolic,異化的な
predicative,述語的な
harpy,ハーピー（ギリシャ神話）|がみがみ女
oilfield,油田
butternut,バターナッツ（カボチャ）
dowel,ダボ（木工用の接合棒）
carbonation,炭酸化
wizened,しわくちゃの
haplotype,ハプロタイプ（遺伝子型の一種）
partway,途中で
unspoiled,損なわれていない
wraparound,巻きつく形の|ワイドスクリーンの
malleability,延性|柔軟性
whoa,おっと（感嘆詞）
footwork,足さばき
gaoler,看守
sitting,在任中の|座っている
bookish,本好きな|学者ぶった
concordant,一致した
backwoods,奥地
cephalic,頭部の
swill,がぶ飲みする|残飯
calling,天職
unshaken,揺るがない
helmsman,舵取り
adjournment,休会
pockmark,あばた
muffler,マフラー|防音装置
spoof,パロディ|でたらめ
befuddle,混乱させる
oracular,神託のような
reinvest,再投資する
zeitgeist,時代精神
obsess,取り憑く
testicle,精巣
confluent,合流する
resurgent,再起する
ramus,枝|枝状構造（解剖）
aphid,アブラムシ
locator,位置特定装置
adulteration,混入|品質低下
inshore,沿岸の
guava,グアバ（果物）
dastardly,卑劣な
shackle,手かせ|束縛
honk,クラクションを鳴らす
interweave,織り交ぜる
magnetically,磁気的に
sisterly,姉妹らしい
oratorical,雄弁の
couture,高級仕立て服
scholasticism,スコラ哲学
geomagnetic,地磁気の
turntable,ターンテーブル
clozapine,クロザピン（抗精神病薬）
curable,治療可能な
drawdown,削減
quintessence,真髄
hobo,放浪者
chirality,キラリティー|対掌性
toothy,歯が目立つ
sardonically,皮肉っぽく
gratis,無料で
jackpot,大当たり
pap,つまらないもの|おかゆ
typographical,印刷の
calcination,焼成
aggrandizement,権力拡大
cardiorespiratory,心肺の
upbraid,叱責する
pidgin,ピジン語
learning,学習
redheaded,赤毛の
splay,広げる
airily,軽快に|軽々しく
turnkey,鍵付きの|完成品の
vegetarianism,菜食主義
deponent,陳述者
divalent,二価の
scintillation,きらめき
fondle,愛撫する
filmy,薄い|膜のような
soothsayer,予言者
subpopulation,亜集団
sunbeam,日差し
fluorescein,フルオレセイン（蛍光色素）
sidearm,横投げ|副武装
anemic,貧血の
memorably,記憶に残るように
clamorous,騒がしい
thankless,報われない
barcode,バーコード
luckless,運のない
snapper,タイ（魚）
lithosphere,岩石圏
flagon,大酒瓶
adiposity,脂肪過多
mineralogy,鉱物学
busyness,忙しさ
zona,帯|ゾナ
caw,カーカー鳴く（カラスなど）
rationalistic,合理主義的な
ruthenium,ルテニウム（金属元素）
pooh,ふん（軽蔑）
erosive,侵食性の
mastiff,マスティフ犬
bumblebee,マルハナバチ
simulacrum,模像|幻影
plastid,色素体（植物細胞）
meteorologist,気象学者
seafront,海岸通り
cud,反芻物
agitator,扇動者
frat,男子学生クラブ［fraternityの略語］
apologetics,弁証論
stably,安定して
cleaver,中華包丁
splenomegaly,脾腫
boathouse,船小屋
diffident,自信のない
lacrosse,ラクロス
sclera,強膜（目の白目部分）
aminotransferase,アミノトランスフェラーゼ（酵素）
perfuse,灌流する
conjectural,推測的な
oxidizer,酸化剤
inoculate,接種する
bowstring,弓の弦
gravitas,重々しさ
antisense,アンチセンス（遺伝子制御）
subcutaneously,皮下に
prognostication,予知
putatively,想定上は
infest,はびこる
gamete,配偶子
transiently,一時的に
codeine,コデイン（鎮痛剤）
landfall,上陸
uppercase,大文字
burthen,重荷（古語）
diplomatist,外交官
portage,陸上輸送
deliverable,成果物
glutinous,粘り気のある
truncate,切り詰める
manicure,マニキュア
bicker,口論する
prohibitively,非常に（高くて手が出ないほど）
pumice,軽石
swathe,包む
imperturbable,冷静な
remorseless,無慈悲な
underbelly,弱点|裏の部分
hooligan,不良|乱暴者
baba,ババ（ケーキ）|おばあちゃん（俗）
vinaigrette,ビネグレット（酢のドレッシング）
weakling,弱虫
splurge,贅沢に使う
scallop,ホタテ
glutamic,グルタミン酸の
unfamiliarity,不慣れ
persecutor,迫害者
squeamish,気弱な|すぐ気分が悪くなる
topless,トップレスの
bullish,強気の
gastronomic,美食の
inlay,象嵌|埋め込み細工
beachfront,海岸沿いの
salami,サラミ
gainful,有益な
phospholipase,ホスホリパーゼ（酵素）
denigration,中傷
racer,競争者|レーサー
minimalism,ミニマリズム
patronize,見下す|後援する
serotype,血清型
snigger,クスクス笑い
benefaction,寄付
inconsistently,一貫性なく
kilter,調和
nonce,一時的な|即興の
turbo,ターボ
mishandle,誤って扱う
farcical,ばかげた
banshee,バンシー（泣き叫ぶ妖精）
troth,誓い
speculator,投機家
antiquary,古物研究家
pistachio,ピスタチオ
bemoan,嘆く
cosh,こん棒
feminization,女性化
conviviality,陽気さ
mutational,突然変異の
reprogram,再設定する
unabashedly,恥ずかしげもなく
unfilled,空の|満たされていない
marshland,湿地
germanium,ゲルマニウム
nuzzle,鼻を押し付ける
quietude,静けさ
frighteningly,恐ろしいほどに
naphthalene,ナフタレン
tiredly,疲れた様子で
phosphorescent,燐光を発する
histocompatibility,組織適合性
outpace,〜を上回る
dauntless,恐れを知らない
indulgently,寛大に
collation,照合|軽食
douche,膣洗浄|侮辱語としての使い方も
docility,従順さ
trier,努力する人
irrationally,非合理的に
wonderland,夢の国
regrettably,遺憾ながら
baboon,ヒヒ
biracial,混血の
lightheaded,ふらふらする
ague,寒気を伴う熱病
archdeacon,大執事（教会）
handcraft,手作業|手工芸
repressor,抑制因子
granddad,おじいちゃん
funereal,葬式のような
nana,おばあちゃん（くだけた言い方）
shipboard,船上の
stickiness,粘着性
expiate,償う
enfeeble,弱らせる
amok,狂乱状態で
microeconomic,ミクロ経済の
unworkable,実行不可能な
shamanism,シャーマニズム
phial,小瓶
monosyllabic,一音節の|無口な
bareheaded,帽子をかぶっていない
interphase,間期（細胞周期）
dross,くず|無価値なもの
yip,キャンキャン鳴く
udder,乳房（動物の）
hepatocyte,肝細胞
recherche,凝った|洗練された
potentiation,増強作用
ogle,いやらしく見る
cannabinoid,カンナビノイド
retinoblastoma,網膜芽細胞腫
leapfrog,飛び越える
ombudsman,オンブズマン|監察官
disrobe,衣服を脱ぐ
vixen,雌ギツネ|意地悪な女
koala,コアラ
quatrain,四行詩
superfluity,過剰
emporium,大商店
unseeing,見えない|無感覚な
trampoline,トランポリン
hothouse,温室
conscript,徴兵する
laudanum,ラウダナム（麻薬性鎮痛薬）
chainsaw,チェーンソー
cellophane,セロファン
classicist,古典学者
surfboard,サーフボード
ineptitude,無能さ
malarial,マラリアの
disgorge,吐き出す
unaccountably,説明できないほど
boarder,下宿人
tacrolimus,タクロリムス（免疫抑制薬）
joystick,ジョイスティック
unappealing,魅力のない
preternatural,超自然的な
refinance,借り換えする
assignation,密会
defecate,排便する
pageantry,豪華な見せ物
campaigner,運動家
harry,悩ます|襲撃する
costal,肋骨の
bramble,イバラの茂み
decarboxylase,脱炭酸酵素
polyphenol,ポリフェノール
undeterred,ひるまない
inkjet,インクジェット（プリンター）
declination,傾き
oblation,供物
protoplasm,原形質
sot,酒飲み
antonym,反意語
aquiline,鷲のくちばしのような
seducer,誘惑者
exult,大喜びする
verbose,冗長な
allelic,対立遺伝子の
wholesaler,卸売業者
behaviorism,行動主義
exactitude,正確さ
tarragon,タラゴン（ハーブ）
protuberance,隆起
procreate,繁殖する
dryer,乾燥機
strongman,力持ち
dearie,愛しい人
vaporize,蒸発させる
appetizing,食欲をそそる
mycobacterial,抗酸菌の
starship,宇宙船
spreader,広げるもの
barstool,バーの椅子
provable,証明可能な
irascible,怒りっぽい
retrovirus,レトロウイルス
manhole,マンホール
silencer,消音器
sociopath,社会不適合者
biogeography,生物地理学
nightdress,ナイトドレス|寝巻き
gob,塊|大量
hedgerow,生け垣
chaperon,付き添い人
ala,〜様式の
glittery,キラキラした
perfidious,裏切りの
miniaturize,小型化する
ultrastructural,超微細構造の
enteritis,腸炎
linseed,亜麻仁油
etching,エッチング|腐食版画
switchboard,電話交換台
intricacy,複雑さ
misogynist,女性嫌悪者
importunity,しつこい要求
locksmith,鍵屋
humorist,ユーモア作家
piquant,刺激的な
probationary,試用の
grist,粉砕する穀物
gunboat,砲艦
mealtime,食事時間
glumly,むっつりと
protestant,プロテスタント
instar,幼虫期
barista,バリスタ
mull,熟考する
forefoot,前足
deconvolution,逆畳み込み
crier,叫び手|使い走り
flighty,気まぐれな
yah,イエーイ（歓声）
brainless,頭の悪い
underpay,低賃金で働かせる
telephony,電話技術
neuritis,神経炎
redoubtable,手ごわい
couscous,クスクス（粒状パスタ）
barrenness,不妊
accountancy,会計業務
uninhabitable,居住不可能な
armada,大艦隊
outfield,外野
shootout,決闘射撃|PK戦
deathless,不滅の
incrimination,罪を負わせること
shrilly,甲高く
glower,にらむ
toughen,強化する
fallibility,誤りやすさ
foretaste,予告|予感
melanogaster,ショウジョウバエ（学名）
miniseries,ミニシリーズ
naphtha,ナフサ（石油成分）
propagandist,宣伝者
flatulence,おなら
bridgehead,橋頭堡
sleeplessness,不眠症
dimorphism,二形性
polyacrylamide,ポリアクリルアミド
parallax,視差
unobtrusively,目立たずに
northerner,北部の人
titanic,巨大な
parturition,分娩
newsstand,新聞売店
allspice,オールスパイス（香辛料）
misfire,失敗する
reportable,報告義務のある
maniacal,狂気の
seropositive,血清陽性の
czar,最高責任者|皇帝
colossus,巨大なもの
oversimplify,単純化しすぎる
echocardiogram,心エコー図
embarkation,乗船
hardiness,耐寒性
levodopa,レボドパ（薬剤）
nonessential,必須でない
improbability,ありそうにないこと
hagiography,聖人伝
incomprehension,理解できなさ
catchphrase,決まり文句
gecko,ヤモリ
typeset,組版する
antichrist,反キリスト
palimpsest,書き換え写本
cartographer,地図製作者
intestate,遺言なしの
scamper,走り回る
hygienist,衛生士
miscalculate,誤算する
restorer,修復者
transaminase,トランスアミナーゼ（酵素）
machinist,機械工
deionized,脱イオンの
waterline,水線
hieroglyphic,象形文字の
pleasantness,快適さ
lineal,直系の
quiescence,静止状態
overzealous,熱狂的すぎる
headlight,ヘッドライト
gummy,粘着性のある
hematite,赤鉄鉱
abrogation,廃止
adsorbate,吸着物質
inhere,本質的に存在する
butane,ブタン
iguana,イグアナ
stimulator,刺激装置
strew,まき散らす
unclassified,未分類の
courgette,ズッキーニ
countermeasure,対策
edify,教化する
freaky,奇妙な
oxymoron,矛盾語法
gauzy,薄い布のような
coder,コーダー|プログラマー
giddiness,めまい
arraignment,起訴状の読み上げ
haute,高級な（ファッション）
collectible,収集品
equalizer,同点ゴール|均等化装置
buxom,ふくよかな
exchequer,財務省
cannonade,大砲の連射
hydrodynamics,水力学
auger,オーガー（掘削器具）
mayoral,市長の
scald,やけどさせる
wrapping,包装
panty,パンティー
frisson,ぞくぞくする感覚
staphylococcal,ブドウ球菌の
serendipitous,偶然の幸運による
samba,サンバ（ブラジルの踊り）
unbalance,バランスを崩す
clothesline,洗濯物干し紐
snarky,皮肉な
underhand,こっそりとした
scrubby,低木の多い
blurb,宣伝文
outboard,船外機の
canker,腐敗病
downsize,縮小する
urbanity,洗練された態度
rectilinear,直線的な
didn,（did notの略）
breastfed,母乳で育てられた
patina,古色
therapeutically,治療上
happenstance,偶然の出来事
reforestation,再植林
abjection,卑劣さ
conjunct,結合した
sandbar,砂州
circumflex,カリムフレックス（アクセント記号）
pager,ポケットベル
fairway,フェアウェイ（ゴルフ場）
circumspection,慎重さ
inflammable,可燃性の
lite,軽量版（軽い）
unpopularity,不人気
polytheism,多神教
augury,予言
revile,罵る
furor,熱狂
castaway,漂流者
iconoclastic,偶像破壊の
cyclin,サイクリン（細胞周期蛋白）
purposeless,目的のない
doggie,犬の（愛称）
sweatshop,過酷な労働工場
flaxen,亜麻色の
concatenate,連結する
folkloric,民俗学の
nihilistic,虚無主義の
betrayer,裏切り者
vernal,春の
kingfisher,カワセミ
primo,最高の（伊）|第一の（伊）
leprechaun,レプラコーン（アイルランドの妖精）
interplanetary,惑星間の
celebrant,司祭|主催者
nonconformist,非協調主義者
mezzanine,中2階
debutante,デビューした若い女性
signora,女性（伊）
bimetallic,二金属の
exocrine,外分泌の
condolence,哀悼の意
ribose,リボース（糖）
electrophoretic,電気泳動の
hydrogenate,水素添加する
supplicant,嘆願者
broadsword,大刀
yurt,ユルト（移動式住居）
dignitary,高官
beatific,至福の
craven,臆病な
wholehearted,心からの
chipmunk,シマリス
dawdle,のろのろ歩く
pontificate,偉そうに話す
maudlin,涙もろい
jitter,神経質な状態
immunogenic,免疫原性の
sicken,気分が悪くなる
peristalsis,蠕動運動
pantheism,汎神論
demur,異議を唱える
heterologous,異種の
intercontinental,大陸間の
propranolol,プロプラノロール（薬剤）
neurochemical,神経化学物質
pulsar,パルサー（電波天体）
massless,質量のない
thunderclap,雷鳴
implosion,内破
loess,黄土
erythropoietin,エリスロポエチン（ホルモン）
butch,男っぽい
unripe,熟していない
presentment,提示
immutability,不変性
welder,溶接工
ember,燃えさし
meson,中間子
tinny,薄っぺらい音の
tranche,分割払い
unapologetic,謝罪しない
dermatology,皮膚科学
enchanter,魔法使い
hallucinatory,幻覚の
galore,豊富な
shoplift,万引きする
geranium,ゼラニウム（花）
quicksilver,水銀
roguish,いたずら好きな
loveless,愛のない
damper,減衰装置|ダンパー
remunerative,報酬の良い
unhook,外す
deaminase,脱アミナーゼ（酵素）
waistline,ウエストライン
panzer,装甲車
enchant,魅了する
pianoforte,ピアノ
steerage,三等航海室
rotund,丸々とした
twee,甘ったるい
arboreal,樹上性の
daub,塗る
unimaginative,想像力のない
rattan,籐（とう）
tapioca,タピオカ
prion,プリオン
opine,意見を述べる
nuke,核兵器で攻撃する|電子レンジで温める（俗）
insincerity,不誠実
drumbeat,太鼓の音
villous,毛の多い
garnishment,差し押さえ
ungrammatical,文法に合わない
recto,右ページ
draper,織物商
midwestern,中西部の
ingratiate,ご機嫌を取る
throwback,原型|逆戻り
wart,いぼ
ramrod,まっすぐ棒
vacantly,ぼんやりと
pogrom,虐殺
overkill,過剰な攻撃
implode,内破する
rearguard,後衛
enervate,弱らせる
catecholamine,カテコールアミン（神経伝達物質）
decapitation,斬首
blacken,黒くする
cachet,評価|威信
glob,塊
botulism,ボツリヌス症
ironwork,鉄細工
mutilate,切断する
riddance,除去
deluxe,豪華な
floorboard,床板
zoologist,動物学者
inquisitorial,尋問的な
idler,怠け者
endgame,終局
effacement,消去
masthead,（新聞などの）題字
nursemaid,乳母
psoriatic,乾癬の
argent,銀色の
strobe,ストロボ
firework,花火
brigand,山賊
haiku,俳句
boxcar,貨車
fiancee,婚約者（女性）
periscope,潜望鏡
chard,ふだんそう（葉野菜）
sepulchral,墓のような
exclusiveness,排他性
urinalysis,尿検査
ampicillin,アンピシリン（抗生物質）
unreasoning,理不尽な
chequer,格子模様
uninfected,感染していない
skirmisher,小競り合いの兵士
vermouth,ベルモット（酒）
utensil,調理器具
uncontaminated,汚染されていない
streptomycin,ストレプトマイシン（抗生物質）
sensitize,感作する
bronchiolitis,細気管支炎
ratty,ぼろぼろの
thorium,トリウム（元素）
blanch,漂白する
enrage,激怒させる
coppery,銅のような
bricklayer,レンガ職人
hypogonadism,性腺機能低下症
demotion,降格
sulkily,すねて
singleness,独身
rah,応援の掛け声
drifter,放浪者
niacin,ナイアシン（ビタミンB3）
silty,シルト（泥砂）の多い
molecularly,分子的に
ontogeny,個体発生
persimmon,柿
immiscible,混ざり合わない
unmindful,気にしない
viaduct,高架橋
collie,コリー犬
ionosphere,電離層
matinee,昼の公演
antsy,そわそわした
buckler,小盾
glycolytic,解糖の
rancor,憎悪
offal,内臓
embarrassingly,気まずく
suburbia,郊外地域
pacifier,おしゃぶり
amble,ぶらぶら歩く
elfin,妖精のような
smithy,鍛冶屋
homewards,家の方へ
socialistic,社会主義の
breastbone,胸骨
hostelry,宿屋
demonize,悪魔化する
falsetto,裏声
ungovernable,手に負えない
motherless,母親のいない
kneecap,膝蓋骨
unformed,未形成の
antimalarial,抗マラリアの
lassitude,倦怠感
