chump,間抜け
recalcitrance,反抗
raga,ラーガ（インド音楽の旋律）
pleb,庶民
creeped,ぞっとした（creepの過去形）
mimeo,謄写版印刷
bobble,ボブル帽
jailhouse,刑務所
sportsmanship,スポーツマン精神
meshwork,網状組織
sprocket,歯車
villus,絨毛
trophoblastic,栄養膜の
thiosulfate,チオ硫酸塩
shibboleth,標識語|識別語
rouble,ルーブル（ロシア通貨）
pundit,専門家
bailey,城の外郭
seabird,海鳥
underclothes,下着
ukulele,ウクレレ
optician,眼鏡技師
malinger,仮病を使う
marsupial,有袋類
amortize,償却する
cogency,説得力
vilification,中傷
mealy,粉状の
diamagnetic,反磁性の
urology,泌尿器科学
arrogate,横取りする
lunate,月状の
vim,活力
loopy,風変わりな
swordsmanship,剣術
estrange,疎遠にする
antennal,触角の
pedophilia,小児性愛
cabana,小屋|海辺の小屋
sportswear,スポーツウェア
bloat,膨張する
chloroquine,クロロキン（薬剤）
resuspended,再懸濁した
antifreeze,不凍液
foremast,前マスト
loveable,愛されるべき
splat,バシャッという音
doh,ああ（感嘆詞）
qualm,良心の呵責
mandamus,命令状
toenail,足の爪
phenotypically,表現型的に
helmeted,ヘルメットをかぶった
spiritless,元気のない
chondroitin,コンドロイチン
lanthanum,ランタン（元素）
overtop,上を超える
dirk,短剣
chauvinist,排他的愛国主義者
suspenseful,ハラハラさせる
overmaster,圧倒する
predetermine,あらかじめ決める
flippancy,軽率さ
rigueur,厳格さ（仏）
puffin,ニシツノメドリ
pulverize,粉砕する
barnacle,フジツボ
brioche,ブリオッシュ（パン）
icebox,冷蔵庫
letdown,失望
kamikaze,神風
meed,報酬
poltergeist,騒霊
thruster,推進装置
clef,調号
cumbrous,扱いにくい
idolize,崇拝する
avionics,航空電子工学
rearm,再武装する
betoken,示す
alluvium,沖積層
concertina,アコーディオン
ladybug,テントウムシ
intelligibly,わかりやすく
pooch,犬（口語）
pullback,撤退
permissiveness,許容性
digitalis,ジギタリス（薬草）
rota,ローテーション表
concessionaire,特許事業者
nonaligned,非同盟の
coco,ココナッツの略
phylogenetically,系統発生的に
fabricator,作り手|捏造者
virtu,美術品の知識
stumpy,ずんぐりした
hurtle,猛スピードで突進する
alveolus,肺胞
catatonia,緊張病
intriguingly,興味深く
casuistry,こじつけの論法
packhorse,荷馬
pantheistic,汎神論の
bassinet,ベビーベッド
botanic,植物学の
lysate,溶解物
parochialism,視野狭窄
kinswoman,女性の親族
quadrangular,四角形の
banns,結婚公告
pansy,パンジー
sandcastle,砂の城
neocolonialism,新植民地主義
umber,アースカラー（茶褐色）
becalm,動けなくする
lowliness,卑しさ
caravel,カラベル船
cannibalistic,人食いの
ectodermal,外胚葉の
meh,ふーん（無関心の声）
infantryman,歩兵
bicuspid,二尖頭の
carport,カーポート
impale,串刺しにする
acquirement,獲得物
unsubstantial,実体のない
luxuriate,贅沢を楽しむ
senility,老衰
carriageway,車道
onomatopoeia,擬音語
dauphin,フランス王太子
demilitarize,非武装化する
exoneration,免責
haunting,忘れられない
passover,過越し祭
mallard,マガモ
fiance,婚約者（男性）
bewilder,当惑させる
corroborative,裏付ける
interpenetrate,相互浸透する
demerit,欠点
shogunate,幕府
invulnerability,無敵
nother,もう一つの（口語）
typo,タイプミス
whittle,削る
showing,上映|見せ場
skitter,軽快に走る
autocrine,自己分泌の
diabolic,悪魔のような
troika,三頭立て馬車|三人組
metamorphose,変態する
dork,間抜け（俗語）
collagenase,コラゲナーゼ（酵素）
pulpy,果肉状の
munificent,寛大な
hobgoblin,悪霊
chicanery,ごまかし
dramatics,演劇
youngish,やや若い
connotative,含意のある
thereat,その場所で
entente,協調
diametric,直径の
choreograph,振り付けをする
relict,遺物
misconceive,誤解する
mishmash,寄せ集め
samovar,サモワール（水差し）
slushy,ぐちゃぐちゃの
chummy,仲良しの
surefire,確実な
pleader,訴え人
floater,浮遊物
justness,正当さ
preclusion,排除
tao,道（中国哲学）
castigate,厳しく非難する
dumpy,ずんぐりした
uproariously,騒々しく
bombast,大げさな話
whiten,白くする
baht,バーツ（タイ通貨）
callow,未熟な
carefulness,注意深さ
kohl,コール（アイライナー）
nostalgically,郷愁にかられて
paperweight,文鎮
ultramarine,ウルトラマリン（青色顔料）
mizzen,みずまストーム（後ろマスト）
decoherence,デコヒーレンス
commoditization,商品化
ouch,痛っ（感嘆詞）
firing,発砲|解雇
intoxicate,酔わせる
defector,亡命者
benefice,聖職職務
solvability,解決可能性
glasshouse,温室
seashell,貝殻
trachoma,トラコーマ（眼疾患）
internist,内科医
hottie,セクシーな人（俗語）
capsicum,カプシカム（唐辛子）
dissidence,反対意見
lithology,岩石学
pmol,ピコモル（単位）
prurient,好色な
antral,洞の
loveseat,二人掛け椅子
stunner,驚くべきもの
micturition,排尿
zodiacal,黄道帯の
actinic,光線の
adze,ノミ型斧
inhalant,吸入剤
neurasthenia,神経衰弱
tubercular,結核の
stentorian,大声の
suppressant,抑制剤
grenadier,擲弾兵
joule,ジュール（エネルギー単位）
visitant,訪問者
deism,理神論
pimple,にきび
bafflement,困惑
superabundance,過剰
seasonable,季節に合った
retrogression,逆行
layover,乗り継ぎ停留
exhibitionism,見せびらかし
mudflat,干潟
mitten,ミトン（手袋）
rococo,ロココ様式
skydiving,スカイダイビング
lexicographic,辞書編纂の
handcart,手押し車
naughtiness,いたずら
venation,葉脈
roofless,屋根のない
vermiculite,バーミキュライト（鉱物）
criminologist,犯罪学者
camber,カンバー（アーチ状の反り）
affray,騒乱
venturesome,冒険的な
huntress,女猟師
menfolk,男性たち
casualness,無頓着
plash,水たまり
inkstand,インク壺台
shoestring,靴紐|資金不足の
tellurium,テルル（元素）
confute,反駁する
lief,喜んで
worktop,作業台
magus,魔術師
frag,破片
gazetteer,地名辞典
anechoic,無響の
perspicacity,洞察力
putsch,クーデター
symbiont,共生体
matchbox,マッチ箱
paisley,ペイズリー模様
imager,画像処理装置
larboard,左舷（旧称）
dicey,危険な
riskiness,危険性
anodize,陽極酸化する
milord,閣下（貴族呼称）
countersign,合言葉
misdeed,悪事
pantsuit,パンツスーツ
misrule,無秩序統治
parsnip,パースニップ（根菜）
innominate,名前のない
luxe,豪華な
islander,島民
buckshot,散弾
poesy,詩作
typographic,活字の
tempera,テンペラ画法
requester,要求者
beautification,美化
hayloft,干し草置き場
lamentably,嘆かわしく
neocortical,新皮質の
philander,浮気する
abstinent,禁欲的な
archetypical,典型的な
captaincy,隊長職
cypher,暗号
prankster,いたずら者
nitrocellulose,ニトロセルロース
admix,混ぜる
cartoonish,漫画風の
euphemistic,婉曲的な
maladjustment,不適応
purgation,浄化
stockpot,大鍋
pigmy,小人
cavalryman,騎兵
ourself,私たち自身（強調形）
smut,汚れ|わいせつ物
peon,下働き
roughshod,荒っぽく
speller,つづり字を言う人
albinism,白皮症
topoisomerase,トポイソメラーゼ（酵素）
retrospection,回顧
miscarry,失敗する
bibl,聖書の略
itemize,項目別に挙げる
crackpot,狂人
coccyx,尾てい骨
dizzily,めまいして
biannual,年2回の
episcopacy,監督職
beachside,海辺の
luv,愛（俗語）
microsurgery,顕微外科
archaeal,古細菌の
defoliation,葉落ち
upregulate,上方調節する
pamphleteer,パンフレット配布者
prequel,前日譚
sidereal,恒星の
complainer,不平屋
irredeemable,償いようのない
protestation,抗議
hypnotherapy,催眠療法
irresolution,優柔不断
expressionism,表現主義
exceptionality,例外性
pinstripe,細縞模様
recondition,整備する
repercussion,影響|反響
repletion,満腹
vesture,衣服
unexceptional,普通の
plasmin,プラスミン（酵素）
wheresoever,どこでも
trefoil,三つ葉
tatty,みすぼらしい
valorous,勇敢な
mescaline,メスカリン（幻覚剤）
monophyletic,単系統の
freeborn,自由生まれの
consolatory,慰めの
victual,食料
candida,カンジダ菌
coinfection,同時感染
dolt,ばか者
laughingstock,笑いもの
newfangled,新奇な
poppet,人形（子供）
hussar,軽騎兵
rulebook,規則書
seaworthy,航海に適した
unexpectedness,予期せぬこと
academician,学者
crouton,クルトン
misidentify,誤認する
gondolier,ゴンドラ漕ぎ
wolverine,オコジョ
oviduct,卵管
aptness,適切さ
consonantal,子音の
houseguest,泊まり客
funicular,ケーブルカー
peristyle,柱廊
safflower,ベニバナ
songbird,さえずり鳥
cw,電波記号（略）
geeky,オタクっぽい
spandex,スパンデックス（繊維）
costa,肋骨|海岸
stupa,仏塔
banquette,腰掛け
quieten,静かにする
untended,放置された
honorarium,謝礼
smokescreen,煙幕|隠れ蓑
weepy,泣き虫の
apologia,弁明
bong,ボング（水パイプ）
conciseness,簡潔さ
toxicant,有毒物質
ult,究極の
capitation,頭割り課税
quondam,かつての
thallium,タリウム（元素）
isoprene,イソプレン
dirigible,飛行船
sublimely,崇高に
backbreaking,骨折りの
ejector,射出器
roadster,オープンカー
catarrh,カタル（炎症）
dressage,馬の調教
mycoplasma,マイコプラズマ
deadness,無気力
lupine,オオカミの|ルピナス（花）
serried,密集した
womanizer,女性好きの男
mesmeric,催眠術の
androgenic,男性ホルモンの
doggerel,下手な詩
reanimate,生き返らせる
cronyism,縁故主義
rhomboid,ひし形の
absentminded,うっかりした
liposuction,脂肪吸引
temptress,魔性の女
vender,売り手
nucleolus,核小体
acquaintanceship,知り合い関係
yawl,ヨール（小舟）
snakebite,ヘビに噛まれること
chondrocyte,軟骨細胞
uppercut,アッパーカット
efflorescence,開花|白華現象
freehand,フリーハンドの
paschal,復活祭の
wisteria,フジ（藤）
manometer,圧力計
hotpot,煮込み料理
nonadherence,不従順
bullfrog,ウシガエル
dissenter,異議を唱える人
mope,元気がない
uppity,生意気な
creosote,木材防腐剤
perihelion,近日点
mastodon,マストドン（古代象）
coiffure,ヘアスタイル
homelike,家庭的な
vacuolar,液胞の
dodo,ドードー鳥（絶滅種）
mesmerism,催眠術
curio,珍品
parterre,花壇
capstan,カップスタン（船の巻上機）
disputable,議論の余地がある
prithee,お願い（古語）
carload,貨車一台分
pantograph,パンタグラフ
hotshot,有能な人
mailing,郵送物
outbuilding,離れ屋
outrigger,アウトリガー（舟の浮き具）
heterodoxy,異端
coulomb,クーロン（電気単位）
mandrake,マンドレイク（薬用植物）
cellist,チェリスト
poisoning,中毒
unregenerate,改心しない
mitochondrion,ミトコンドリア
foxglove,ジギタリス（植物）
loll,だらりとする
eclogue,牧歌詩
retrievable,回収可能な
windbreak,防風林
forefather,先祖
crawfish,ザリガニ
drumstick,ドラムスティック|鶏の脚
arrant,全くの
dacha,ダーチャ（ロシアの別荘）
maceration,浸軟
pathless,道のない
peccary,ペッカリー（イノシシ科）
dandruff,ふけ
kola,コーラの実
lackadaisical,やる気のない
earful,叱責
mortify,屈辱を与える
amputee,切断者
subvention,補助金
strep,連鎖球菌（略）
laryngitis,喉頭炎
wittily,機知に富んで
catchword,キャッチフレーズ
coxcomb,おしゃれ者
slobber,よだれ
copywriter,コピーライター
bushman,ブッシュマン（狩猟採集民）
uremia,尿毒症
streamlet,小川
exegete,注解者
summerhouse,あずまや
stepladder,踏み台はしご
gulag,強制労働収容所
sequoia,セコイア（樹木）
erogenous,性的興奮を誘う
groundswell,急激な高まり
sexiness,魅力的なこと
breezily,陽気に
barony,男爵領
fem,女性［feminineの略語］
hepatobiliary,肝胆の
multiform,多形の
missal,ミサ典書
chlorite,亜塩素酸塩
farrier,馬具師
unutterably,言葉にできないほど
bacteriology,細菌学
derailment,脱線
pentameter,五歩格詩
ethicist,倫理学者
wrinkly,しわの多い
flyover,高架橋
optometrist,検眼士
burgomaster,市長（ヨーロッパ）
stodgy,消化の悪い|堅苦しい
noontide,正午
phantasmagoria,幻影
standoffish,よそよそしい
thwack,バシッという音
electrocution,感電死
unsociable,非社交的な
unfix,取り外す
hilariously,陽気に
batik,バティック（染色法）
glitzy,派手な
palpitation,動悸
burg,城|町
flounce,はずませて歩く
electromotive,起電力の
teatime,お茶の時間
polychrome,多色の
beefsteak,ビーフステーキ
tropism,屈性
washboard,洗濯板
erysipelas,丹毒（皮膚感染症）
electroporation,電気穿孔法
townsman,町民
puppetry,人形劇
malodorous,悪臭のする
obsequy,葬儀
watercraft,水上艇
sylph,妖精
picaresque,悪漢物語風の
breakable,壊れやすい
acetyltransferase,アセチルトランスフェラーゼ（酵素）
vintner,ワイン醸造業者
dustpan,ちりとり
enuresis,夜尿症
shelve,棚に置く|棚上げする
avocation,副業
stria,縞模様
nightshade,ナス科植物
showmanship,見せる技術
earmark,指定資金
greediness,貪欲
hypersonic,超音速の
impecunious,無一文の
midrib,葉脈の中央脈
maidenly,処女性のある
provincialism,地方色
ingrate,恩知らず
cowslip,プリムラ（花の一種）
dioxygenase,ジオキシゲナーゼ（酵素）
salver,盆
baseboard,巾木
rising,上昇
trompe,トロンプ（騙し絵）
hitchhiker,ヒッチハイカー
curlew,チドリ科の鳥
covariation,共変動
fluster,あわてさせる
pertinacity,固執
workfare,勤労福祉
ambulate,歩く
malefactor,悪人
rhombus,ひし形
unalienable,譲渡不可能な
untrodden,踏まれていない
parvenu,成金
facing,面すること
syphilitic,梅毒の
flashcard,フラッシュカード
moodiness,気分屋
hatchback,ハッチバック車
landsman,同郷者
pylorus,幽門
peroration,終結演説
surtout,サルトゥール（上着）
fosse,溝
factious,派閥的な
marque,ブランド名
succubus,淫魔
syndicalist,労働組合主義者
voyager,航海者
largo,ラルゴ（音楽用語）
repossession,再取得
technetium,テクネチウム（元素）
flagellation,むち打ち
questioning,質問
solipsistic,独我論の
viticulture,葡萄栽培
scrabble,かき集める|スクラブル（ゲーム）
gyration,回転
somnolent,眠そうな
latecomer,遅れて来る人
catnip,キャットニップ（猫草）
intergalactic,銀河間の
deadbeat,怠け者
numerology,数秘術
nonintervention,不干渉
underwood,林の下草
kraft,クラフト（手工芸）
obligee,受益者
adulteress,不倫の女性
irresponsibly,無責任に
shim,調整用スペーサー
matador,マタドール（闘牛士）
junto,政治結社
afro,アフロヘア
schadenfreude,他人の不幸を喜ぶこと
starless,星のない
cloudiness,曇り
disport,遊ぶ
bearskin,熊皮帽子
catchall,何でも入る袋|包括的な
demote,降格させる
resolvable,解決可能な
angiosperm,被子植物
sojourner,滞在者
dazedly,ぼんやりと
quintet,五重奏団
ergot,麦角菌
hatless,帽子をかぶっていない
asphyxiate,窒息させる
westbound,西へ向かう
greengrocer,青果店
helpmate,助け手
hydraulically,水力で
zen,禅
compote,コンポート（果物のデザート）
hauler,運搬業者
precocity,早熟
dysgenesis,奇形形成
concubinage,側室関係
discourteous,無礼な
backache,腰痛
greenwood,新緑の木
haunch,腰部
clerestory,側壁窓
rennet,凝乳酵素
faro,ファロ（カードゲーム）
supersaturate,過飽和にする
sightseer,観光客
chamfer,面取り
farsighted,遠視の
frig,冷やす
siding,側壁
brainy,頭の良い
stateliness,威厳
yucca,ユッカ（植物）
centrosome,中心体
redevelop,再開発する
decennial,10年ごとの
gizmo,装置
oligomer,オリゴマー（低分子）
pleasingly,心地よく
stardust,星屑
popup,ポップアップ
camshaft,カムシャフト
quaff,ぐい飲みする
agglutinin,凝集素
songbook,歌集
glam,グラム（魅力的な）
seacoast,海岸
winepress,ワインプレス
tryout,試験
prentice,見習い
politick,策略を練る
plenteous,豊富な
clave,クラーベ（楽器）
capon,去勢鶏
pergola,パーゴラ（藤棚）
trencher,木皿
sixfold,6倍の
defeatist,敗北主義者
dogmatics,教義学
transposable,転移可能な
warpath,戦争の道
holdall,大型バッグ
immure,閉じ込める
falconer,鷹匠
crick,こわばり
fescue,フェスク（草）
stylistics,文体学
naivete,無邪気さ
taxidermy,剥製術
decaf,カフェイン抜きの
finicky,細かいことにこだわる
repairman,修理工
vacationer,休暇者
decrepitude,老朽
telephonic,電話の
unfaltering,揺るがない
artifactual,人工物の
boozy,酒好きの
knackered,疲れ果てた（俗語）〈イギリス英語〉
bewitch,魅了する
espousal,支持
milkweed,ガガイモ（植物）
pleurisy,胸膜炎
pinwheel,風車
transposon,転移因子
anemometer,風速計
chaotically,混沌とした
cherubic,天使のような
improvident,無計画な
hotness,暑さ|魅力
extirpate,根絶する
enthronement,即位
unfrequented,人の少ない
woulda,～しただろう（口語）
chandler,ろうそく商人
collier,石炭採掘者
cookware,調理器具
ambitiously,野心的に
lovey,かわい子ちゃん（口語）
gremlin,故障の原因
tailspin,急降下|混乱
forager,採集者
hearthstone,炉床
mammon,富|物質的欲望
divorcee,離婚女性
backpacker,バックパッカー
unselected,未選択の
incautious,不注意な
disquietude,不安
jackhammer,ジャックハンマー（破砕機）
creamery,乳製品工場
backwash,逆流
kibble,ペットフード（粒状）
bonhomie,陽気さ
eucharist,聖餐式
autarky,経済的自給自足
aftershock,余震
myelitis,髄膜炎
bola,ボラ（投げ縄）
marzipan,マジパン（アーモンド菓子）
cleanness,清潔
centime,サンチーム（通貨単位）
soporific,催眠薬
bougainvillea,ブーゲンビリア
corsage,胸飾り
indicia,標識
unceremonious,形式ばらない
orbiter,軌道船
merchantman,商船
misprint,誤植
catholicity,普遍性
oilcloth,油紙
epigrammatic,警句的な
muesli,ミューズリー（シリアル）
parricide,親殺し
unexceptionable,問題のない
ween,思う（古語）
turbaned,ターバンを巻いた
ovulate,排卵する
underpass,地下道
coms,通信（略）
enigmatical,謎めいた
ministration,奉仕
arteriole,細動脈
bodiless,体のない
rangy,長身の
caboose,貨物車の最後尾車両
circumpolar,極周辺の
extravascular,血管外の
hypermethylation,過剰メチル化
draughty,すきま風のある
weighting,重み付け
extempore,即興の
humidifier,加湿器
