politician,政治家
bee,ハチ
emphasise,強調する［=emphasize］〈イギリス英語〉
permeability,透過性
incense,香
optimism,楽観主義
loosely,ゆるく
stochastic,確率の
counterpart,対応するもの
stigma,汚名
lapse,失効
metropolitan,大都市の
tidy,きちんとした
schizophrenia,統合失調症
jewelry,宝飾品
manifold,多様な
mortar,乳鉢
lever,てこ
grammatical,文法の
choir,合唱団
handbook,手引書
miniature,小型の
growl,うなる
crimson,深紅の
vacant,空いている
tactical,戦術的な
renowned,有名な
prophetic,予言の
noticeable,目立つ
vest,ベスト
prominence,卓越
sailor,船乗り
imaginative,想像力豊かな
psychotherapy,心理療法
cricket,クリケット
grove,小さな森
cereal,穀物
hiss,シューという音
enclosure,囲い
fragrance,香り
assent,同意
tel,電話［telephoneの略語］
dispose,処分する
mantle,マントル
usefulness,有用性
persuasion,説得
outright,完全に
sweetheart,恋人
bass,低音
subgroup,部分群
sinister,不吉な
foil,阻止する
cortical,皮質の
dismissal,解雇
genocide,大量虐殺
canopy,天蓋
adolescence,思春期
repent,悔いる
outsider,部外者
eventual,最終的な
soothe,なだめる
invent,発明する
characterised,特徴づけられた
kneeling,ひざまずいている［kneelの現在分詞］
foreground,前景
braid,編み込み
salient,顕著な
bob,軽く上下に動く
metastasis,転移
painfully,痛々しく
impede,妨げる
commonplace,ありふれた
epithelial,上皮の
refinement,洗練
uneven,不均一な
tile,タイル
dominion,支配
affirmative,肯定的な
expectancy,期待
obsession,執着
postoperative,術後の
directory,案内所
erotic,官能的な
galaxy,銀河
deficient,不足している
relapse,再発
alcoholic,アルコール依存症の
axe,斧
cyclic,周期的な
betrayal,裏切り
messy,散らかった
pneumonia,肺炎
assemblage,集合体
ponder,熟考する
embassy,大使館
dire,差し迫った|悲惨な
beggar,物乞い
mall,ショッピングモール
adhesion,付着
vitality,活力
repertoire,演目の一覧
conformity,一致|順応
monstrous,恐ろしい|巨大な
sincerely,心から
omit,省く
strawberry,イチゴ
deadline,締め切り
loaf,ひとかたまり（パンなど）
ginger,ショウガ
neurological,神経学の
colorful,色鮮やかな
don,身に着ける
dispense,分配する|投与する
quiver,震える|矢筒
bait,エサ|おびき寄せる
graduation,卒業
spp,種［speciesの略語］
inland,内陸の
antimicrobial,抗菌性の
keyboard,キーボード
groove,溝|リズム感
residue,残留物
semiconductor,半導体
armour,鎧|装甲（英）
deter,抑止する
ram,突進する|ラム（雄羊）
theoretically,理論的には
legendary,伝説の
gotta,～しなければならない［=have got to］（口語）（俗語）
reckless,無謀な
mitigation,緩和
helplessly,無力に
sociological,社会学的な
unsuccessful,うまくいかなかった
scarlet,緋色の|真紅の
sweetness,甘さ|優しさ
sincerity,誠実さ
constellation,星座|集まり
pertinent,関連のある
stew,シチュー|煮込む
librarian,図書館員
illumination,照明|啓発
viewer,視聴者
republican,共和主義者|共和党の
fashionable,流行の
psychologist,心理学者
atop,～の上に
volatility,揮発性|不安定さ
accountant,会計士
catalytic,触媒の
feminism,フェミニズム|男女平等主義
pedestrian,歩行者
grieve,悲しむ
duplicate,複製する|複製品
plead,嘆願する|弁護する
devour,むさぼり食う
complicate,複雑にする
poly,多くの
compel,強制する
regimen,養生法|治療法
principally,主に
congenital,先天的な
voluntarily,自発的に
malicious,悪意のある
mutant,突然変異体
jolt,急激な揺れ|衝撃
minus,マイナス|～を差し引いて
hull,船体|外皮
harmless,無害な
muddy,泥だらけの
backyard,裏庭
brim,ふち|縁
respondent,回答者|被告
complexion,顔色|様相
attire,服装
doctoral,博士課程の
dosage,投薬量
recreation,娯楽
annoyance,いらだち
luggage,手荷物
fidelity,忠実|貞節
apron,エプロン
allocate,割り当てる
shuttle,シャトル便|往復する
encryption,暗号化
exceptionally,例外的に
warning,警告
abound,豊富にある
thieve,盗む
alteration,変更|改変
invalid,無効な|障がいのある
allegedly,伝えられるところによれば
womb,子宮
interdisciplinary,学際的な
colon,結腸|コロン（記号）
soy,大豆
scalp,頭皮
heuristic,発見的な
communicative,意思疎通のうまい
supremacy,優位性|支配
rehearsal,リハーサル|練習
attentive,注意深い
ambient,周囲の|環境の
notorious,悪名高い
mitochondrial,ミトコンドリアの
repository,保管所|貯蔵庫
uniquely,独自に|唯一に
evangelical,福音主義の
amidst,〜の中に|〜に囲まれて
dizzy,めまいがする
sterile,無菌の|不妊の
depreciation,価値の下落
assassination,暗殺
tease,からかう
foundational,基礎的な|土台の
eminent,著名な|すぐれた
thoughtfully,思慮深く
boulder,巨石
sublime,崇高な
cartoon,アニメ|風刺漫画
almond,アーモンド
gastrointestinal,胃腸の
pony,ポニー
fragmentation,分裂|断片化
simmer,とろ火で煮る|くすぶる
germ,細菌|胚
orchestra,オーケストラ
mischief,いたずら
elasticity,弾力性
accessory,付属品|共犯者
abrupt,突然の
sectional,部分的な|区域別の
paperwork,事務処理
bout,一時的な発作|勝負
plank,厚板
observable,観察可能な
enquiry,問い合わせ|調査
convict,有罪判決を受けた人|有罪とする
handy,便利な|手近な
weakly,弱々しく
lymphoma,リンパ腫
prosperous,繁栄した
dislocation,脱臼|混乱
speculative,思索的な|投機的な
whiskey,ウイスキー
uniformly,一様に
reap,収穫する
credible,信頼できる
admirable,賞賛に値する
correspondent,特派員|文通者
hydraulic,油圧の
impatiently,いらだって
questionable,疑わしい
relish,楽しむ|薬味
prostate,前立腺
transformative,変革的な
applause,拍手
affordable,手ごろな
fabrication,作り話|製造
freight,貨物
tsp,小さじ［teaspoonの略語］
weep,泣く
earnestly,真剣に
pious,敬虔な
crap,くだらないこと
bamboo,竹
likeness,似ていること|肖像
requisite,必要な|必要条件
notch,刻み目|段階
pathetic,哀れな
incompatible,相容れない
teenager,10代の若者
mosquito,蚊
colonization,植民地化
ff,非常に強く［音楽記号fortissimoの略］|〜頁以下［following pagesの略語］
coward,臆病者
tow,引くこと|牽引する
bean,豆
blouse,ブラウス
overlook,見落とす|見渡す
donkey,ロバ
pilgrimage,巡礼
analog,アナログ|類似物
kinase,キナーゼ（酵素）
cohesion,結束
edema,浮腫（むくみ）
sweater,セーター
onward,前方へ
pulp,パルプ|果肉
dusk,夕暮れ
mole,ほくろ|モグラ|スパイ
chariot,戦車
preface,序文
underwear,下着
exertion,努力|尽力
collagen,コラーゲン
brightness,明るさ
sturdy,頑丈な
kinship,血縁関係|親近感
playful,遊び好きな|ふざけた
stakeholder,利害関係者
secrecy,秘密保持
musician,音楽家
suggestive,示唆的な
divergence,分岐|相違
dissemination,普及|拡散
emptiness,空虚
inorganic,無機の
staple,主食|主要な
upcoming,今度の|近く予定の
delusion,妄想|錯覚
celestial,天体の|神聖な
tuberculosis,結核
communion,親交|聖餐
arousal,覚醒|興奮
referendum,国民投票
stereotype,固定観念
physiology,生理学
fascination,魅了
experimentation,実験
wartime,戦時中の
syrup,シロップ
soccer,サッカー
prudent,慎重な
excerpt,抜粋
catalog,目録|カタログ
recess,休憩|奥まった所
rivalry,競争
organise,組織する|まとめる
plateau,高原|停滞期
vase,花瓶
sprint,全力疾走
reclaim,取り戻す
bandwidth,通信帯域
revise,修正する|改訂する
visa,ビザ|査証
appendix,付録|虫垂
hygiene,衛生
powerless,無力な
delete,削除する
surf,波乗りをする
canonical,正統の|標準的な
steward,執事|世話係
jest,冗談
ironic,皮肉な
intimately,親密に
condemnation,非難
plunder,略奪
hem,すそ|縁取り
vibrant,活気のある
hardness,硬さ
electronics,電子工学|電子機器
yacht,ヨット
cos,なぜなら［becauseの略語］
pigeon,ハト
assimilation,同化|吸収
calf,ふくらはぎ|子牛
offshore,沖合の|海外の
deterioration,悪化
empress,女帝
indoor,屋内の
franchise,フランチャイズ|営業権
discontent,不満
interim,暫定の|合間の
semester,学期
slick,巧妙な|滑らかな
babe,赤ちゃん|かわいこちゃん
int,整数［integerの略語］
telescope,望遠鏡
tensor,多次元配列（数学・物理・工学用語）
unnatural,不自然な
sec,秒［second の略語］|節［sectionの略語］
bachelor,独身男性|学士
wail,泣き叫ぶ
noteworthy,注目すべき
vanilla,バニラ
amplification,増幅
devoid,欠けている
daddy,パパ
grunt,うなる|不平を言う
uh,えーと
remembrance,記憶|追悼
authorization,許可|認可
assassin,暗殺者
undesirable,好ましくない
congressional,議会の
borrower,借り手
wheelchair,車椅子
bodyguard,ボディーガード
kitten,子猫
reconstruct,再建する
mindful,意識している
hinder,妨げる
gladly,喜んで
cling,しがみつく
mint,ミント|造幣局
sleepy,眠い
granite,花崗岩
beginning,始まり
liar,うそつき
perimeter,周囲|外周
roller,ローラー
antecedent,先行するもの|前例
rap,ラップ|非難
bliss,至福
boldly,大胆に
multinational,多国籍の
convent,修道院
sniff,においをかぐ
feat,偉業
convex,凸の
enrich,豊かにする
devise,考案する
diagonal,対角線
subscription,購読|加入
confinement,監禁|制限
digestion,消化
conduction,伝導
topology,位相幾何学|構造配置
ancestral,祖先の
predominant,支配的な
turkey,七面鳥
qualification,資格
vigorously,精力的に
oppressive,圧制的な|重苦しい
medal,メダル
peanut,ピーナッツ
proficiency,熟達
desperation,絶望
greed,貪欲
equivalence,同等
insurer,保険会社
endorse,支持する|裏書きする
apprentice,見習い
illuminate,照らす|解明する
ionic,イオンの
hepatitis,肝炎
telegram,電報
bio,略歴
genetics,遺伝学
intricate,複雑な
disastrous,悲惨な
fungal,真菌の
congratulate,祝う
zeal,熱意
turtle,カメ
ethnographic,民族誌の
vulgar,下品な
turbulent,激動の|乱れた
intangible,無形の|触れられない
superstition,迷信
propensity,傾向
listener,聞き手
hearth,炉辺
constituency,選挙区|有権者
bail,保釈
meaningless,意味のない
commercially,商業的に
brigade,隊|団体
aroma,香り
carbonate,炭酸塩
throng,群衆
misuse,誤用|乱用
mosque,モスク|イスラム寺院
evade,逃れる
duly,正当に|しかるべく
semantics,意味論
infancy,幼児期|初期段階
fluorescence,蛍光
worthwhile,やりがいのある
ordinance,条例
linger,ぐずぐずする|残る
polish,磨く
pend,未決である
ashore,岸に|陸上に
yer,おまえ［=you］（口語）（俗語）
twilight,たそがれ
prerequisite,前提条件
modernization,近代化
pod,さや|小型カプセル
sausage,ソーセージ
diabetic,糖尿病の
speechless,言葉を失う
ancestor,祖先
accusation,告発
defective,欠陥のある
piety,敬けんな心
scribe,書記|写字生
microphone,マイク
clutch,つかむ|クラッチ
violet,スミレ|すみれ色
multiplication,掛け算|増加
transitional,移行期の
greedy,貪欲な
modal,様式の|法の
inconsistency,矛盾|一貫性のなさ
sulfur,硫黄
payable,支払うべき
confidentiality,機密性
hurricane,ハリケーン
mythology,神話
fling,投げ飛ばす|軽い関係
placebo,偽薬
dat,それ［thatの俗語］
squadron,部隊|飛行隊
worldview,世界観
revive,生き返らせる|復活する
itch,かゆみ
anesthesia,麻酔
ballot,投票用紙|投票
overload,過負荷|積みすぎる
constitutive,構成する|本質的な
ecstasy,恍惚|多幸感
glint,きらめき
maximal,最大の
frenzy,熱狂
fruitful,実り多い
deprive,奪う
mouthful,一口分
dt,日付［dateの略］|差分［delta tの略］
clasp,握る|留め金
forage,飼料|探し回る
fuse,融合する|ヒューズ
impatience,短気|我慢できないこと
interrogate,尋問する
locker,ロッカー
acknowledgment,承認|感謝
elevate,持ち上げる|高める
childish,子供っぽい
tensile,引っ張りの|張力の
luxurious,ぜいたくな
purchaser,購入者
proprietor,所有者
unacceptable,容認できない
preferable,望ましい
infiltrate,侵入する
turmoil,混乱
progressively,次第に
injunction,命令|差止命令
seismic,地震の|激動の
psychiatrist,精神科医
terrestrial,地上の|陸上の
hospitalize,入院させる
upstream,上流の
desolate,荒れ果てた
feasibility,実現可能性
arithmetic,算数|計算
consolation,慰め
logically,論理的に
pasta,パスタ
momentarily,しばらくの間
stressful,ストレスの多い
ruthless,無慈悲な
purification,浄化
errand,用事
seduce,誘惑する
telegraph,電信
myocardial,心筋の
calibration,較正|調整
excursion,遠足|小旅行
tournament,トーナメント|大会
overt,公然の
tyranny,圧政|独裁
supermarket,スーパーマーケット
uprising,反乱
vocational,職業の
hostage,人質
incumbent,現職の|義務のある
methyl,メチル基
recite,暗唱する|朗読する
mend,修理する|直す
unpublished,未発表の
disruptive,混乱を引き起こす
excitedly,興奮して
slogan,スローガン|標語
waitress,ウェイトレス
picturesque,絵のように美しい
var,変数［variableの略語］
chess,チェス
necrosis,壊死
unemployed,失業中の
nomination,指名
subscribe,購読する|同意する
divinity,神性|神学
helper,手伝い|補助者
stink,悪臭
purge,一掃する|追放する
negligible,ごくわずかな
riddle,なぞなぞ|謎
seq,順序（sequenceの略）
hail,あられ|歓迎する
skeptical,懐疑的な
morphological,形態の
tavern,居酒屋
imperialism,帝国主義
familial,家族の
spontaneously,自然に|自発的に
lethal,致命的な
warmly,温かく
hash,ハッシュ|刻む
sparse,まばらな|乏しい
authentication,認証
defiance,反抗|挑戦
peach,桃
rib,あばら骨
epistemological,認識論の（哲学・学術用語）
viability,実行可能性|生存能力
parlor,客間|店
footage,映像
woe,悲哀|苦悩
sponge,スポンジ|吸収するもの
barren,不毛の|実を結ばない
lawful,合法の
thud,ドスンという音
silica,シリカ|二酸化ケイ素
protector,保護者|保護具
aquatic,水生の|水に関する
impossibility,不可能
dissection,解剖|分析
retrospective,回顧的な|過去の
scramble,よじ登る|奪い合う
mare,雌馬
decidedly,明らかに|断固として
troop,軍隊|集団
marshal,元帥|整列させる
seriousness,重大さ|真剣さ
solemnly,厳粛に|真面目に
pathological,病理学の|異常な
workload,作業量
patriarchal,家父長制の
northwest,北西
authorize,許可する|認可する
orchard,果樹園
investigator,調査員|捜査官
visually,視覚的に
loosen,緩める|ほどく
bizarre,奇妙な
seam,縫い目|接合部
ft,フィート（長さの単位）
arouse,呼び起こす|刺激する
obedient,従順な
entrepreneur,起業家
supervise,監督する
invaluable,非常に貴重な
ubiquitous,至る所にある
proclamation,宣言
sew,縫う
curvature,湾曲|曲がり具合
metaphysics,形而上学
ornament,装飾|飾り
subconscious,潜在意識の
pitcher,ピッチャー|水差し
aerial,空中の|空中線
consequent,結果として生じる
storytelling,語り|物語作り
improper,不適切な
persuasive,説得力のある
militant,好戦的な
tyrant,暴君
puppet,操り人形
batter,打者|打つ
rust,さび|さびる
indebted,恩義がある|借金がある
miraculous,奇跡的な
gait,歩き方
dissatisfaction,不満
eclipse,日食|月食|覆い隠す
backdrop,背景
shareholder,株主
liquidity,流動性
mourn,悲しむ
repetitive,繰り返しの多い
refute,反論する|誤りを証明する
periodically,定期的に
interplay,相互作用
diversion,気晴らし|迂回
apex,頂点
parable,たとえ話
rectangle,長方形
pastry,ペストリー|焼き菓子
footnote,脚注
wardrobe,衣装だんす|衣類
constrain,制約する|抑える
oval,楕円形の
frantic,取り乱した|必死の
enactment,制定|上演
infrared,赤外線の
rinse,すすぐ
narrowly,かろうじて|狭く
underlie,基礎となる
scarcity,不足
competitiveness,競争力
communism,共産主義
recession,不況
maize,トウモロコシ
owl,フクロウ
electrochemical,電気化学の
ambush,待ち伏せ
napkin,ナプキン
depletion,枯渇
skinny,やせこけた
abandonment,放棄
ingredient,材料|成分
sheath,さや|覆い
stump,切り株|困らせる
rebuke,非難|叱責
crab,カニ
nut,ナッツ|変人
fibrosis,線維症
repentance,後悔|悔い改め
patronage,後援|ひいき
resign,辞任する
novelist,小説家
zombie,ゾンビ
surpass,超える
slumber,眠り
dialog,対話
forcefully,強く|力強く
shovel,シャベル|すくう
exp,経験［experienceの略］|指数［exponentialの略］
beforehand,前もって
peel,皮をむく|皮
breathless,息切れした
pier,桟橋
foliage,葉
tomography,断層撮影
cleavage,割れ目|谷間
toddler,幼児
ecclesiastical,教会の|聖職の
priori,先験的な
pint,パイント（容量単位）
herein,ここに
clinician,臨床医
traverse,横切る
troublesome,やっかいな
frank,率直な
ideally,理想的には
stillness,静けさ
acre,エーカー（土地面積）
vineyard,ブドウ園
recourse,頼ること|手段
torso,胴体
diagnose,診断する
flute,フルート
