kerosene	灯油|paraffin
unresponsive	反応しない
conveyor	コンベヤー
candlelight	蝋燭の光
arbiter	(運命などの)決定者|(趣味･作法などの)権威者|調停者
guidebook	案内書
consummation	達成|完全|成就|終焉
malaise	不快感|倦怠感
disembody	〈霊魂・精神など〉‘を'肉体から分離(離脱)させる
redness	赤み
hematopoietic	造血薬|抗貧血薬|造血性
curfew	夜間外出禁止令|門限
fn	footnote
slimy	ねばねばする|どろどろした|不快な|卑屈な
mince	ミンチ|細かく刻む|控えめに言う|遠回しに言う|気取って話す
devious	素直でない|心の曲がった|遠回りの
vertigo	めまい(dizziness)
standby	待機|頼りになる人(物)|交替要員|キャンセル待ちの(客)
oration	(特別な場合の正式な)演説|式辞|(一般的な演説はspeech)|deliver a funeral oration追悼演説をする
oxidant	酸化体|オキシダント(光化学スモッグの主要原因で過酸化物質の総称)
pastel	パステル画|パステル(調の)|淡い|パステル調の色合い
methodically	念入りに
clearness	明白さ|明快さ|明確さ|透明
retake	奪い返す
grizzly	(髪などが)白髪混じりの|灰色の(= grizzled)|グリズリーベアー
bookshop	書店
candlestick	燭台
haphazard	偶然|偶然の|でたらめの|無計画の
empiricism	経験論
constitutionalism	立憲主義
genitals	外性器|性器|生殖器
smoothness	なめらかさ|流暢さ|口当たりのよさ
greenery	青葉
anaesthetic	麻酔の|general anaesthetic全身麻痺|local anaesthetic局部麻酔
inexorable	冷酷な|無情な|容赦のない|変えられない
heath	ヒース(植物)|(ヒースのおい茂った)荒れ野
impervious	(物を)通さない|不浸透性の|傷つかない|不透水性|不通気性
maniac	狂人|熱狂家|～狂
hydrodynamic	流体の力に関する;流体力学の
infatuation	夢中|のぼせあがり|心酔|夢中にさせるもの
redemptive	買い戻しの|質受けの|償還の|償いの
indemnity	将来の損害にたいする法的な保護･保障|補償(金)|賠償金|保険
wobbly	不安定な|ぐらぐらする
wandering	曲がりくねった
alligator	アメリカワニ|ワニ皮
acetone	アセトン(揮発・可燃性液体;ペンキなどの溶剤として用いる)
bravado	空威張り|からいばり
undeveloped	未発達の|未開発の
blah	不快な|憂鬱な|つまらない(こと)|blah-blah-blah などなど, かくかくしかじか|Blah! ちぇ!, くだらない!
paucity	少数|小量|少量|不足
vehement	熱烈な|熱狂的な|激しい
colorless	生気のない|青ざめた
brownish	褐色がかった
oncoming	近づいて来る|接近する|接近
philanthropist	博愛主義者|慈善家
tradeoff	同時に満たしえない幾つかの条件の取捨についての考量|トレードオフ|交換条件|見返り
chrome	=chromium|クロムまたはクロム合金をめっきした材料|クロム染料など
granny	おばあちゃん(=nan, nana, nanny, granny, grandma, granma, gran)
stealthily	こそこそと|こっそりと|密かに|一目を盗んで
redevelopment	再開発|再開発区域|再興|再建
melodrama	メロドラマ
ultimatum	最後通牒|最後の言葉|最後の申し出|根本原理
ave	(ラテン語)ようこそ|さようなら|AVErage平均|Avenueの略
husbandry	農業|耕作|畜産(=animal husbandry)|飼育|節約|管理|cf|husbandman農場を経営する人(a person who operates a farm)
unmistakably	紛れもなく
imperfection	不完全
desist	思いとどまる|やめる|断念する
complicit	なあなあの
unexplored	未踏
neutrino	ニュートリノ
gore	(特に戦い|けんかなどで傷から流れ出た)血|血の塊|三角切れ(こうもり傘・スカートなどに使う)|〜‘に'三角切れを入れる|〈動物が〉〜‘を'角(きば)で突く
oregano	ハナハッカ|オレガノ(香辛料)
custodial	管理の
hapless	不運な|数奇な|あわれな
musty	かび臭い(moldy)
sophomore	2年目の人|2年生
oatmeal	オートミール|燕麦(エンバク)を脱穀し調理しやすく加工したもの
befriend	友人になる|の味方となる|の世話をする|助ける
lawfully	合法的に
verily	確かに|誠に
microcosm	小宇宙|縮図|人間(社会)
audiovisual	視聴覚の
hyperactivity	活動過剰
assuage	和らげる|緩和する|鎮める|静める
barbarism	野蛮|未開
eukaryotic	真核生物の|(動物|植物|菌類|原生生物など|身体を構成する細胞の中に細胞核を有する生物|真核生物以外の生物は原核生物と呼ばれる)
separatist	分離主義者|分離派の人
unwillingly	いやいや
irritate	をいらだたせる|を怒らせる|を刺激する
accretion	(発育･付着･包含などによる)増大|付着|融合|合体
encapsulate	カプセルに包む|(事実･情報などを)要約する
hypertensive	高血圧の
croak	不吉な予言をする|ガァガァ|ケロケロ|カエルの鳴き声
cookbook	料理の本|詳しい解説書
omnipresent	遍在する
dove	ハト|ハト派
antiseptic	殺菌の|防腐剤
crazily	夢中になって
parochial	地方的|教区の
brooch	ブローチ|(broach|錐|キリは別語)
pacemaker	歩調調整者|脈拍調整器
counterpoint	対位法(で作･編曲する)|対旋律|対照的な要素(で強調する)
constriction	圧縮|圧縮された部分|収縮|締め付けるもの|くびれ
impetuous	猛烈な|性急な|激しい|衝動的な
stoic	無関心な人|禁欲的な
workbook	ワークブック|練習帳|(学習･業務の)記録簿|計画書|(仕事の)規定集
vouch	保証する|請け合う|正しいと断言する
forestall	だしぬく|未然に防ぐ
sacramental	聖礼典の
ineffectual	効果のない
tuft	ふさ|小さな房|小さい束|小さな丘
lukewarm	不熱心な|いい加減な|生ぬるい
brocade	にしき
grasshopper	バッタ
uncomplicated	合併症のない
porter	荷物運搬人|門番|運搬人|赤帽|ボーイ|守衛|玄関番
candidacy	立候補
sprite	妖精|小人
outlying	境界外にある
fetish	物神|呪物|迷信の対象|盲目的崇拝物
subscript	下に書いた|下付きの(記号･数字･文字)|添数|添字
adrift	漂流して|漂って|さまよって|目標を失って
townspeople	都会人
psychoanalyst	精神分析学者
assassinate	暗殺する
delirious	精神の錯乱した
indecision	優柔不断
bombing	爆撃
psychopath	精神病者
doer	実行者|実行家
whitish	やや白い|白っぽい
custard	カスタード(牛乳･卵･砂糖などでつくった菓子･料理)
humiliate	恥をかかせる|侮辱する
fallow	休閑(地)|作付けしてない|休閑中の|未開墾の|(土地)を休ませる|休閑地|耕したがまだ作付していない土地
craving	渇望|切望|have a craving for chocolate(欲しくてしかたがない)
reelection	改選|再選
handmade	手作りの|手細工の
neoplastic	腫瘍性の
rabies	狂犬病
appellation	名称|呼称|称号
misread	読み違える
enormity	極悪|非道|膨大なこと|巨大さ
starlight	星あかりの|星あかり|星の光
grader	(合成語で)～年生
fennel	ウイキョウ(小さな黄色の花が咲き|葉と種は香料に用いる)
cyanide	シアン化合物|シアン化物|青酸カリ
authenticate	信頼できることを証明する
lackey	追従する|下男
grandiose	大げさな|仰々しい|壮大な
commoner	一般人|庶民|大衆|平民|下院議員|自費生|普通学生|共通の
valour	(危険をものともしない)勇気
byte	情報量の単位|1バイトは2進数の8桁|即ち8ビット(bit)を意味する
deafness	難聴
tenacious	に固執している|固執する|粘り強い|強靭|頑強|執念
roadmap	ロードマップ
equine	馬の|(語源|ラテン語)
vesicle	(医)|小水泡|ベシクル|小疱疹|小胞|小嚢|小胞
bronchial	気管支の
arrowhead	矢じり|(植物)オモダカ|クワイ
dunno	don't know
locale	場所|舞台
permissive	寛大な|許す|自由放任の|任意の|寛容な
tremulous	震えるような|震えた|震える|おののく|わななく|揺れる|振動する|臆病な
cleaner	掃除人|洗剤
smelly	臭い
medulla	〈U〉骨髄|=medulla oblongata
schism	〈U〉(団体|特に教会の)分裂|分離|〈C〉(教会の)分派
colloquial	日常会話の|口語の|話しことばの|くだけた
rickety	倒れそうな|ぐらぐらした|よろよろの|くる病の|せむしの
indiscriminate	無差別の|見境のない
agitate	扇動する|激しく動かす|かきたてる
leper	らい病患者
suitor	請願者|原告|求婚者
anticipatory	予想の
demolish	(建物)を破壊する|を取り壊す|覆す|平らげる
psi	(第23ギリシア文字)プサイ|Ψ|ψ
glean	落ち穂を拾う|拾い集める|収穫する
absorbance	吸光度
implausible	信じがたい|本当らしくない
genteel	生まれのよい|家柄のよい|しつけのよい|上品な|しとやかな|気取った|上品ぶった|気どった
unscathed	(ʌnskéɪðd)無傷の
placate	なだめる
preferentially	優先的に
inflate	膨張させる(反)deflate
penthouse	ペントハウス|高級な高層アパートメントの最上階の住まい
plagiarism	盗用|剽窃
insular	島のような|島の|島国根性の
afterthought	あと知恵|あとからの思いつき|結果論
dossier	一件書類(特定の人物･問題に関する書類一式)
guitarist	ギタリスト
intelligentsia	インテリ|知識人|知識階級
fatally	致命的に|運命的に
aberrant	正道をはずれた|常軌を逸した|異常な
monolayer	単分子層|単一層|単原子層|モノレイヤ(ML|化学|生化学)|結晶表面上にどれだけの吸着物が吸着したかを表す指標|(表面の原子数と吸着原子の数の比)
loudspeaker	拡声器
muddle	混乱|ごたごた|ごちゃごちゃにする|台なしにする
precautionary	予防の|用心のための
trophic	栄養の
emigrate	移住する
entrapment	おとり捜査|罠(にかけること)|絞扼(こうやく|(医)締め付け感)
unattainable	手に入れにくい|達しがたい
impassive	無表情の|感情を示さない|無神経な|無感覚な
hilltop	丘の頂上
succinct	簡潔な|簡明な
grumpy	不機嫌な
epinephrine	エピネフリン|副腎髄質ホルモン|止血･強心剤
forcible	強制的な|強力な
histologic	組織学的な
overland	陸上で|陸路で
untrained	訓練され(てい)ない
contemptuously	見下げるように|軽蔑して
tenet	主義|教義|(政治･宗教･学派で真理とみなされる)見解
unregulated	規制されていない
coolant	冷却材
gist	主旨|要点|骨子
innkeeper	宿屋の主人
testator	(法的に有効な)遺言者
sorghum	やけに感傷的なもの|サトウモロコシ(のシロップ)
urethra	尿道
adrenergic	アドレナリン作動性の
girth	取巻く|周囲の寸法|腹帯|帯げた|胴差し|胴まわり
ectopic	異所性の|(生命科学|本来発現する場所以外で遺伝子が発現しタンパク質が生成すること|同所性の対語)
comorbid	併存
handiwork	手細工(品)
steeply	急勾配で|急角度に|急に|険しく
squid	イカ
chute	(ʃúːt)|落とし樋|(郵便投下装置|a letter chute レターシュート)|急流|落下傘(=parachute)
stalemate	行き詰まらせる|引き分け|手詰まり|行き詰まり
elaborately	念入りに
distasteful	嫌気のさした|不快な|いやな味がする|気にくわない
ethnographer	民族誌学者
dermis	=derma
exudate	浸出液
snub	けんつく|ひじ鉄砲|を鼻であしらう|冷遇|厳しい叱責
oligarchy	寡頭政治
camaraderie	友情
vagabond	放浪者|やくざ者|放浪する|さすらいの|取るに足らない
confederate	連合させる|連合国|連盟する
disgruntle	不機嫌にする|不満を持たせる
irrevocable	取消し不能の|変更不能の
insufficiently	不十分に
resorption	吸収
epiphany	(キリスト教)御公現の祝日|顕現日|1月6日|クリスマス後の12日目に当たり|Twelfth Dayと言う|(本質･意味などについて)直観|洞察|ひらめき
powerhouse	精力的な人･グループ|やり手|原動力|発電所
hypothesize	仮説を立てる仮定する
scornful	冷笑的な|軽蔑した|横柄な
incredulously	疑い深く|簡単には信じないで
imperfectly	不完全に|不十分に
restlessly	落ちつきなく|休みなく
reprieve	死刑の執行延期|刑の執行を猶予する
wench	(特に田舎の)女の子|娘;淫婦
magnify	拡大する|誇張する
eggplant	ナス(=aubergine)
fickle	気紛れな|移り気な
gauntlet	篭手(こて)
choreography	(バレエなどの)舞踊術(法)|振りつけ(法)
vicarious	身代わりの|疑似体験の|代理の(をする)|(他人の経験を)想像して味わった
vindicate	の嫌疑を晴らす|(行動･主張など)の正当さを立証する
disapprove	に反対する
ambulatory	歩行の|(患者が)歩くことのできる
ostrich	ダチョウ|駝鳥|現実逃避者
glade	林間の空地
blameless	文句のつけられない|(生活などが)非難するところのない|罪のない|潔白な
colloid	コロイド|極微細な粒子が液体･気体･固体などの媒体中に分散している状態(colloidal dispersion)|分散している粒子を分散質|媒体を分散媒という|膠質ともいう
ow	うわっ!|アイタッ|いてっ
jihad	(イスラム教擁護の)聖戦|擁護･撲滅運動
goodnight	『お休みなさい』
inductance	(電気の)インダクタンス|誘導係数
dyslexia	難読症|失読症
effectual	効果的な|効きめのある|(法律上)有効な
keynote	基調|基本方針
basalt	玄武岩
samurai	侍|武士|武士階級|日本陸軍の将校
harass	悩ませる|困らせる|(繰り返し)悩ます|攻撃する
unaccustomed	に不慣れの|異常な|慣れない
waggon	=wagon
wiry	やせているが筋骨たくましい|針金の|しなやかで強い
unremarkable	平凡な
indignity	軽蔑|侮辱|侮辱的言動|冷遇
posse	(ラテン語)(pάsi)警護団|民兵隊
disengagement	(〜から)解放されること;自由《+『from』(『of』)+『名』》
irregularity	でこぼこ|不揃い|反則|不規則|不規則なもの(こと)|不身持ち|不整|不正行為|不正事件|不品行|不法|変則|便秘
astronaut	宇宙飛行士
sacral	聖礼の
pollination	授粉
rashly	軽率に|無鉄砲に
consecration	〈U〉神聖にすること;神にささげること|奉献|〈U〉(ローマカトリック教会でミサ聖祭中の)聖変化|〈C〉聖職への就任式|〈U〉(一般に)奉仕|献身
noisily	やかましく
trapper	わなで獣をとる猟師
presumptuous	でしゃばりの|厚かましい
elixir	霊薬|特効薬(イリクサ)|万能薬|不老不死の薬
anteriorly	前方に
disinfectant	殺菌剤|消毒剤
nutshell	ごくちいさい容器
amp	増幅器|アンプ|(ampere電流の単位|の略)
widower	男やもめ
depravity	腐敗|堕落
versatility	多用途性
luscious	(味･香りが)よい|おいしい|甘い
prospectus	目論見書|学校案内|趣意書
cognizant	認識している|認識力のある
effigy	像|肖像|彫像|人形
intolerant	耐えられない|狭量(偏狭)な|(宗教上)異説をいれない
dolphin	イルカ
vagrant	浮浪者|宿無し|放浪の|流浪の|転々とする|《おもに文》(考えなどが)気まぐれな|取り留めのない
jokingly	しゃれて|冗談に
culpability	非難に価すること;有罪
travail	骨折り|苦痛|辛苦|苦労する|骨折る
outage	減量|目減り|空き|故障|機能休止|停電時間
prelate	官長|僧侶|高位聖職者
heather	ヒース属の植物
cognate	同起源の|同語源の|同語根語|祖先を同じくする|同血族の
repudiate	否認する|拒む
checker	照合係|(携帯品)一時預かり|レジ係|格子縞(にする)|色とりどりにする|チェッカー(ボードゲーム)
ruckus	騷動|大騒ぎ
flail	殻竿(で打つ)|からざお
bottomless	底抜けの
eyeball	眼球
unfulfilled	満たされていない
straddle	足をふんばる|両足を広げる|大股に歩く|広げる|日和見する|爆撃する
cranberry	ツルコケモモ
exterminate	絶滅する
ablaze	燃え立った|燃え立って|輝いて|興奮して
contender	(スポーツでタイトルをねらう)選手|競争者|チーム
frolic	浮かれ騒ぎ|陽気に騒ぐ|陽気|ふざけ戯れること|大浮かれ|歓楽|浮かれ騒ぎの宴会|陽気な集まり
corona	コロナ|光冠
droop	うなだれる|伏し目になる|衰える|意気消沈
acetyl	酢酸を構成する有機基(CH3CO-)|アセチル基|アセチルと呼ばれる
indivisible	分割できない
talkative	おしゃべりな|話し好きの
horseshoe	蹄鉄|馬てい鉄|馬蹄|U字形の(もの)
serviceable	役に立つ|便利な|丈夫で長持ちする|実用的な|使いやすい
reassess	を再評価する|再び割り当てる
mirage	蜃気楼|妄想
falsity	事実に反すること|偽りの言葉|欺瞞|虚偽|不信行為|不正直|裏切り
heinous	極悪の|凶悪な|憎むべき
corset	コルセット
snuggle	すり寄る|寄添う|心地好く横たわる|をすり寄せる|を抱きしめる
dais	(広間･食堂の)上段|高座|(講堂の)演壇
freshen	いきいきとする|新鮮にする
duress	拘束|監禁|強要|強迫
salsa	サルサ(ダンスの名)
furtive	ひそかな|こそこそする|内密の|ごまかしの|うさんくさい
collaborator	協力者|共編者|敵国協力者
combinatorial	組み合わせの
declarative	宣言の|明らかにする|説明する|意見を表明する
stubbornness	頑固さ|強情|不屈
suboptimal	次善の
rationalist	合理主義者|純理論者
elation	意気揚々|盛んな意気|得意|大得意
unanticipated	予期せぬ
facile	愛想のよい|手軽な|容易な|骨の折れない|たやすく得られる
decoder	デコーダ|コード化を元に戻すもの|(反義語)coder
genitalia	=genitals
caustic	腐食性の|辛辣な|腐食剤|痛烈な|腐食薬|焼灼薬|火線|火面|苛性
hamster	ハムスター
masterful	横柄な|巧妙な
scythe	大草刈り鎌|草刈りがま|戦車がま
angina	狭心症
pacifist	平和主義者
monstrosity	奇怪(なもの)|怪物|奇形動物|極悪
laminar	層流の
limousine	リムジン
hallucination	幻覚|妄想
breeder	飼育者
forceps	ピンセット(=tweezers)
codification	成文化
elitist	エリート主義の|エリート主義者|エリート(自認者)
perinatal	周産期の
orchestrate	管弦楽に作曲(編曲)する|統合する|結集する|(巧みに)調整する
incurable	不治の
inferential	推理の
talker	おしゃべりな人
kiosk	あずまや|キオスク|売店|公衆電話ボックス
mapping	マッピング
dryness	乾燥
dont	don't
sinusoidal	正弦曲線の
fortification	防御
diagonally	対角線上に
tripartite	3部から成る|3者が参加(加盟)した
osteoarthritis	変形関節症
laughable	面白い
prejudicial	偏見を抱かせる|不利益な|に損害を与えて|不利となって
hypothalamic	hypothalamus(視床下部|間脳に位置する)の
miller	粉屋|製粉業者|フライス盤
thalamus	視床(thalamus)|脳の構造のうち間脳の一部を占める部位|嗅覚以外の|視覚|聴覚|体性感覚などの感覚入力を大脳新皮質へ中継する重要な役割を担う
admittance	入場許可
sociable	社交的な|懇親的な|人好きのする|(会などが)なごやかな
bran	ぬか|ふすま
rigour	=rigor
girder	(橋･床などを支える)桁|大ばり|嘲弄者
triangulation	三角測量
caloric	熱の|カロリーの
pretrial	公判前手続き
doublet	(文法)accusative case対格|名詞がもつ格のひとつ|他動詞の直接目的語を示す時使われる(ご飯を作る|など)|対格は全印欧語族に存在
disengage	解き放す
diction	言葉遣い|語法|話し方
repatriation	本国送還
gallantry	〈U〉さっそうとした勇気|〈U〉婦人に対する丁重さ;〈C〉《しばしば複数形で》丁重な行為(言葉)
vertebrate	脊椎骨のある|脊柱のある|脊椎動物
ding	ジャン|ゴーン(と鳴る･鳴らす)|くどくど話す
transpose	置き換える
clothe	に衣服を着せる|着せる|衣服を着せる
lenient	寛大な|緩やかな|優しい|情け深い|甘い
deux	二人の
socialize	をグループ活動で行う|を社会主義化する
headland	岬(=promontory)
prodigal	乱費する|放蕩する|気前良く与える|放蕩息子|乱費家
mister	～氏|さん|殿(敬称)|(呼びかけ)だんな|もし
soundness	健全なこと
disconnection	切断|分離|断絶;(電気・電話の)断線
oddity	風変りなこと
estrangement	仲たがい|離間|疎外|疎遠
entryway	通路
despotic	専制的な|独裁的な|横暴な
positron	陽電子(ポジトロン) (Positron Emission Tomography|PET|陽電子放射断層撮影)
crucible	るつぼ
encrypt	暗号化する
laity	信者たち|しろうと連|俗人連|平信徒
epitaph	墓碑銘|墓誌|碑文
womanly	女らしい|婦人にふさわしい
malign	有害な|悪性の
betwixt	《古・詩》=between
shortness	短いこと
sprawl	ばらばらに広がる|だらしなく伸びる|手足を延ばす|大の字に寝そべる|這い歩く|スプロール現象
initialization	初期化
ovulation	排卵
undetected	検出されない
equalize	等しくする|平等化する
lubrication	潤滑|注油
ovum	卵|卵子
neurodegenerative	神経変性の
mouthpiece	マウスピース|送話口|口金|代弁者
ballast	(鉄道･道路の)砂利|道床|バラス|(船の)底荷|脚荷|バラスト
detonation	(猛烈な)爆発|爆発音
unholy	神聖でない
discouragement	失望
handicraft	手先の熟練
clubhouse	クラブ会館|運動選手のロッカー室
debatable	議論の余地のある
confiscation	没収|押収
disdainful	軽蔑的な|尊大な
patrician	(古代ローマの)貴族(の)
digger	掘削機|鉱員
descriptor	記述子|デスクリプター(対象の類別・索引に用いる記号)
defection	亡命|国外逃亡|離脱|離反
vitally	重大に|致命的に|絶対に
headmaster	校長
honeycomb	ハチの巣
coworker	同僚
melodious	施律の美しい
moody	不機嫌な|憂欝な|憂うつな|気分の変わりやすい
auburn	赤褐色(の)
unsatisfied	満たされない
painless	痛みのない|痛み(苦痛)がない|簡単にできる|努力を要しない
steamer	蒸し器|蒸気機関
extortion	無理強い|強奪|揺すり|強要|ゆすり
urethral	尿道の
indisputable	議論の余地のない|確かな|否定できない
admonish	警告する|勧告する|促す|注意する
believable	信じられる
carb	炭水化物(carbohydrateの略)
espresso	(ｲﾀﾘｱ語)エスプレッソ|コーヒー豆の粉に蒸気を通して入れる濃いコーヒー
lurid	けばけばしい|ぞっとする
scuffle	乱闘する|取っ組み合う|もみ合い
sprinkler	スプリンクラー
irregularly	不規則に
aggravate	悪化させる|怒らせる|悩ませる
awning	日よけ
stroma	ストロマ|間質 (赤血球等の蛋白繊維の支持組織|the supporting tissue of an organ)|(植物)葉緑体(chloroplast)中の液状支持組織
curated	精選された|管理された
reticence	無口(なこと)|沈黙|控えめ|思慮
predictably	予想通り
bask	恵まれる|幸せな境遇にある|暖まる|浴する|日なたぼっこをする
abate	の勢いを減らす|和らげる|やわらぐ|おさまる
insurgent	反乱を起こした|反政府の|暴徒|反乱者|反政府運動家|反対分子
obviate	未然に防ぐ
banal	平凡な|陳腐な|凡庸な
ecologically	生態学的に
recalcitrant	強情張り|反抗的な
ungodly	神を恐れない|不信心の・《話》ひどい|無茶な・(時刻が)とんでもない・罪深い
acreage	エーカーでの広さ
underrepresented	過小評価
biosphere	バイオスフェア|生物圏|生活圏
retinue	従者|随行員
brewer	醸造者
emulation	競争|対抗|張り合い|なりすます|まねる
perchance	《詩・古》たぶん|おそらく(maybe|perhaps)
funerary	葬式の
centroid	重心
felicity	至福|慶事|(表現の)巧みさ|適切さ
magma	マグマ(岩漿(しょう))
guttural	(gˈʌṭərəl)|のどの|のどから出る|(音声)喉音(k|g|xなど)
conservatory	保存力のある|温室
firelight	(炉の)火明かり
cleverness	器用|賢さ|手際よさ|利口
prosaic	散文的な|趣のない
antelope	レイヨウ|アンテロープ(主にアジア･アフリカ産)|そのなめし革
paltry	つまらない|けちな
lute	丸い胴を持つギターに似た弦楽器(14-15cに多用)
wick	ウイック|ろうそくの芯|灯芯|ペニス
distillery	醸造所
laceration	かき切り(裂き)|傷つけること|苦悩|裂傷|裂け口
alienate	遠ざける|疎遠にする|(財産など)を譲渡する
biochemistry	生化学|生理化学|生物化学
bilirubin	ビリルビン|古くなった赤血球が破壊されて生成される黄色い色素|ビリルビンは血液で肝臓に運ばれ|胆汁中に廃棄される
geothermal	地熱の
tuple	組|タプル
loading	荷積み|船荷|装填|ディスクの挿入
itinerant	巡回する|巡歴の|遍歴中の
morgue	死体保管所|陰気な場所|参考資料館|(口)横柄|傲慢
microenvironment	微環境
onerous	(άnərəs)わずらわしい|やっかいな|めんどうな
dredge	しゅんせつ機|ふりかける|ドレッジャでさらって採る
parathyroid	甲状腺
copula	連辞(文の主語と補語をつなぐ語;be動詞のほかにbecome|seem|tasteなどを指することもある)
apiece	一つにつき
overexpression	過剰発現
dribble	したたらせる|したたる|だれをたらす|ドリブル(する)
categorically	範疇の(をなす･に属する)|分類別の|絶対的な|断定的な
detestable	憎悪すべき|ひどくいやな|いまわしい
painstaking	骨を折る|苦心する
pimp	売春宿の亭主|売春斡旋業者|ポン引き
quintessential	精髄の|本質の
precept	教え|教訓|格言|指針|戒め
humanoid	ヒト類似の生物|ヒューマノイド|人型ロボット|ヒトそっくりの
vibrator	振動するもの|バイブレータ|振動機|振動子|振動表示器
hilly	起伏の多い
knave	男の召使い|悪者|悪党
windowsill	窓の下枠|窓台(幅の広い台状で植木鉢などを置く)
syllogism	三段論法(大前提|小前提|および結論から成る推論)
wasteland	荒れ地|不毛の地
accrual	＜accrue|生じること･もの|発生|増加|定期的に累増する金額|見越し額|金利発生型の
upbeat	上向き|陽気な|楽天的な|上拍(指示)|好景気
cantilever	片持ち梁(ばり)|張出し梁
forfeiture	没収
grudgingly	いやいやながら
juror	陪審員|juryの一員
axon	(解剖)軸索(アキソン)|軸索突起(神経細胞から伸びた突起|細胞本体から神経衝動を伝える)
motivator	きっかけ
laminate	薄板|薄板をかぶせる
godfather	名づけの父|マフィアのボス
hypothyroidism	甲状腺機能不全
painstakingly	きめ細かに
hypothermia	低体温;(医療における)体温低下[法]
pallid	青白い|淡い
enrolment	記載|登録|入隊|入学|登録簿|登録者名簿|登録(者)数
delimitation	境界|限界
