paralegal,法律補助者
varsity,大学代表チーム
cyclase,シクラーゼ（酵素）
autocrat,独裁者
nonstick,こびりつかない
existentialism,実存主義
regalia,王権の象徴
searchable,検索可能な
mogul,大物
unassailable,無敵の
fastness,要塞
nightcap,寝酒
eraser,消しゴム
haw,ノイバラの実
leafless,葉のない
aftershave,アフターシェーブ
sciatic,坐骨神経の
fairground,遊園地
discoverable,発見可能な
homegrown,自家製の
irresponsibility,無責任
lytic,溶解の
deuterium,重水素
locomotor,運動の
skeptically,懐疑的に
bracken,シダ植物
unhurt,無傷の
flavorful,風味豊かな
smiley,笑顔の
crayon,クレヨン
misnomer,誤称
uncontroversial,議論の余地のない
unmixed,混ざっていない
pecan,ピーカン（ナッツ）
keepsake,記念品
uncooperative,非協力的な
purist,純粋主義者
allosteric,アロステリック（酵素の）
ostracism,追放
transmute,変化させる
hedonism,快楽主義
shoddy,粗悪な
zealously,熱心に
peephole,のぞき穴
kitchenette,簡易台所
isoform,アイソフォーム（異なる形態）
ironclad,鉄壁の
directorate,局（管理部門）
ingeniously,巧妙に
thoroughbred,純血種
wannabe,なりたがり
uncooked,生の
storybook,おとぎ話の本
maverick,独立独行者
nutritionist,栄養士
vellum,ビラム（羊皮紙）
fluvial,川の
discomfit,困惑させる
subservience,従属
outrageously,ひどく
sackcloth,粗布
intertwine,絡み合う
pathophysiological,病態生理の
dodgy,怪しい
panoply,装備一式
lascivious,わいせつな
assiduous,勤勉な
histopathology,組織病理学
airfoil,翼型
transceiver,送受信機
overreact,過剰反応する
humus,腐植土
perestroika,ペレストロイカ
vociferous,声高な
filibuster,議事妨害
crestfallen,落胆した
expendable,消耗品の
yak,ヤク（動物）
alkaloid,アルカロイド
companionable,親しみやすい
looker,見た目の良い人
immigrate,移住する
unconditioned,無条件の
cannot,できない
cheater,いかさま師
vendetta,復讐
outshine,しのぐ
beck,合図する
transfiguration,変容
multipurpose,多目的の
best,最良の
spiritualist,霊媒師
minibus,マイクロバス
unsheathe,鞘を抜く
dreamlike,夢のような
karaoke,カラオケ
reshuffle,人事異動
sooty,すすだらけの
typewrite,タイプライターで書く
hyphen,ハイフン
chargeable,請求可能な
immunologic,免疫学の
coyly,恥ずかしそうに
rollover,繰り越し
proscription,禁止
embroider,刺繍する
frankincense,乳香
radium,ラジウム
lucidity,明快さ
wean,断乳させる
xenograft,異種移植片
tester,テスター
disjunctive,分離的な
stoichiometry,化学量論
inseparably,切り離せずに
playbook,作戦帳
gleeful,うれしそうな
perpetration,（犯罪の）実行
teamster,運転手
proclivity,傾向
conformance,適合
unproven,証明されていない
runny,ゆるい
caddy,キャディ
indict,起訴する
biphasic,二相性の
crock,壺
parsimony,倹約
refiner,精製者
surreptitious,こっそりした
playoff,プレーオフ
lateness,遅刻
onetime,かつての
perceptibly,知覚できるほど
unearned,不当な
threesome,三人組
underestimation,過小評価
micrograph,顕微写真
ditto,同じく
bactericidal,殺菌性の
birthmark,ほくろ
economize,節約する
pliant,柔軟な
nib,ペン先
chambermaid,客室係
forebrain,前脳
lethality,致死性
underpart,下部
evict,立ち退かせる
baguette,バゲット
civilly,礼儀正しく
quarrelsome,口論好きな
bigoted,偏狭な
inattentive,不注意な
bigot,偏屈者
equilateral,正三角形の
opinionated,頑固な
brickwork,レンガ造り
apportion,割り当てる
idiocy,愚かさ
fretful,いらいらした
polyhedron,多面体
herpesvirus,ヘルペスウイルス
dietitian,栄養士
roomy,広々とした
offload,荷を降ろす
physic,薬学
chorionic,絨毛膜の
liberator,解放者
neurotoxicity,神経毒性
farmyard,農場の庭
sparsity,希薄さ
tectonics,構造地質学
heartburn,胸焼け
digress,脱線する
papilla,乳頭
biogenesis,生物発生
peptic,消化の
redoubt,防御陣地
junkie,中毒者
entrap,罠にかける
benzodiazepine,ベンゾジアゼピン
sandpaper,紙やすり
serfdom,農奴制
rapier,細剣
contraindication,禁忌
bleary,ぼんやりした
perineum,会陰
inc,株式会社
torchlight,松明の光
thrower,投げる人
effusive,熱狂的な
vestry,教会の集会室
jumbo,大型の
carol,賛美歌
thinness,痩せ
wend,進む
incognito,匿名で
topsoil,表土
virility,男らしさ
monogram,モノグラム
polyvinyl,ポリビニル
skittish,落ち着きのない
poetically,詩的に
seaboard,海岸線
sweeper,掃除人
transfection,形質導入
footbridge,歩道橋
coronet,小冠
synthetase,合成酵素
buzzard,トビ（鳥）
handmaid,侍女
corduroy,コーデュロイ
chimeric,キメラの
inoffensive,無害な
conclave,秘密会議
incestuous,近親相姦の
daintily,優美に
homicidal,殺人の
pithy,簡潔な
cannonball,砲弾
slither,滑る
deodorant,消臭剤
hotbed,温床
widowhood,未亡人の身分
tum,腹
triune,三位一体の
blaster,爆破装置
incorporeal,非物質の
subatomic,亜原子の
unrepentant,悔い改めない
lawgiver,立法者
feldspar,長石
perturb,動揺させる
cataclysmic,大災害の
flabby,たるんだ
backdoor,裏口の
exchangeable,交換可能な
militaristic,軍国主義の
remiss,怠慢な
commensal,共生する
boatswain,甲板長
foamy,泡の多い
democratize,民主化する
fantasize,空想する
kebab,ケバブ
lentil,レンズ豆
