afternoon	午後
excess	超過|過剰|過剰な
bracelet	腕輪
tire	を疲れさせる|を飽き飽きさせる|タイヤ
minority	未成年|少数|少数民族
hurt	を傷つける
joy	喜びの種|喜び
ghost	幽霊|亡霊|二重映像|影
era	年代|紀元|時代|段階
crowd	押しよせる|群集
tiny	極めて小さな|ちっぽけな|ちっちゃな|非常に小さい|小さな
glance	ちらっと見ること|一瞥|きらめき|言及|ほのめかし|(弾丸の)はね返り
encounter	に遭遇する|出会う|遭遇する
compete	競争する|匹敵する
disclosure	暴露|発覚|発表|打ち明け話|明細|公開
danger	危険
calculation	勘定|計算|予測
erotic	性欲をかきたてる|色恋の|好色な
locate	位置する|ある|場所を見つける
navigate	を航行する|(船･飛行機)を操縦する
oracle	神託|神官|賢人
facial	美顔術|顔の|顔に用いる|美顔用の
supervisor	指揮者|監督者|管理者
rod	魔法の杖|棒(権力･支配力の象徴)|(俗)ピストル|釣り竿|ものさし|ロッド(単位)|桿状菌
clause	条項|個条|箇条|(文法)節
forever	永久に
fantastic	風変わりな|異様な|奇怪な|空想的な|気まぐれな|幻想的な
proud	自尊心のある|誇る|誇りとする|光栄に思う|自慢している|高慢な|尊大な
gross	グロース(12ダース･144個)|グロス|粗悪な|総計の|ひどい|でぶの|粗野な|総計
boost	を押しあげる|上げる|強化する|後援する|値上げ|後援|尻押し|景気づけ|increase
placement	置くこと|配置|職業紹介
utilize	利用する|役立たせる
par	同等|平価|標準|基準|パー|基準打数
operational	使用できる|操作上の
handbook	手引き|便覧|旅行案内|賭金帳(競馬)
shoulder	肩|(道路の)路肩
vinyl	ビニール
statute	法令|法規|規則|法|法律|成文律
er	あー|あのー|えーと
discharge	放電する|降ろす|放出(する)|開放(する)|解雇(する)
fetish	物神|呪物|迷信の対象|盲目的崇拝物
ridge	山の背|に棟をつける|棟|尾根|背筋|うね|畝
intervention	市場介入|調停|仲裁|介入|干渉|内政干渉|売惜しみ
qualify	に資格を与える･得る|適格とする|限定する|修飾する
aviation	航空術|航空学
rep	代表(= representative)
strap	縛る|固定する|を革ひもで縛る|吊皮|革ひも|つり革|革紐で縛る|ストラップ
brush	ブラシをかける|かする|すれ合い|ブラシ|画法|小競合い|画筆|低木のしげみ
jr	ジュニア(Jr.)|二世
subsection	小区分
stack	積み重ね|スタック|堆積|干し草の山|を積み重ねる
bestiality	獣道|非道
biz	ビジネス
pine	松(の木)|思い焦がれる|やつれる
defendant	被告(人|側の)|民事訴訟の被告
devil	悪魔(=daemon, Satan, fiend)
usual	いつもの|通例の|普通の
shore	海岸|(船体･建物などの)支柱|を支える|を支援する
valve	バルブ|弁|水門の戸|真空管|弁で調節する
nail	(人間の)爪タバコ|殴る|逮捕する
blackjack	ブラックジャック
mad	怒った
ongoing	継続中の|(現在)進行中の|現行の|発達中の
blade	刃|(俗)ナイフ|羽根|タービン翼|(草の)葉
publish	出版する|を発表する
clone	クローンの|無性的に繁殖させる
reliability	信頼|頼もしさ|信頼性|信憑性|確度|確実
dangerous	危険な
citation	引用
alter	を変更する|変わる
divorce	と離婚する|離婚
luck	運|幸運
unfortunately	あいにく|不幸にも|不運にも
grill	(n)格子|焼き網|(v)焼く|厳しく尋問する|難題で苦しめる
respectively	それぞれに|それぞれ|個々に
motel	モーテル(Motor Hotel)
parliament	議会|国会|英国議会
dad	お父さん|パパ
blend	混ぜ合わせる|混ざる|混合
semi	セミトレーラー|二軒連棟の家|セミコロン|セミファイナル
beast	けだもの|獣|畜生|動物|牛馬|家畜|獣のようなやつ|人でなし
postage	郵送料金|郵便料金|郵税|とても狭い場所
ward	かわす|撃退する|(選挙などの)区|被保護者|保護|監房|病棟|中庭|(カギの)刻み目|突起
shoe	くつ|靴
undergraduate	大学生
engage	に従事する|参加する|を行う|従事させる
productivity	生産性|生産力
comic	喜劇の|こっけいな|マンガ(の)|漫画
assure	確実にする|保証する|安心させる|被保険者
underground	反体制の|地下の|秘密の|(UK英)地下鉄|(米)地下道
carefully	注意深く
fault	過失|誤り|欠点|過ち|責任|断層
pace	歩み|一歩|歩調|速度|歩幅|歩き方|(を)ゆっくり歩く|歩調を整えて歩く
deadline	期限|締切
principle	原理|主義|原則|公理|方針|信条|道義|本質|本源
talent	才能|天分|素質|手腕
globe	地球儀|球体|天球|球|地球
digest	(食物を)消化する|要約する|知識を会得する|要約|摘要
probe	徹底的な調査|査察(=investigation他)|探り針|試験|探る|厳密に調査する
differ	異なる
combat	と戦う|戦う|論戦|と闘う
tall	高い
till	まで
pat	適切な|すっかり|軽くたたく(こと)|なでること|軽くたたく音
grove	木立ち果樹園|小森|林
sleeve	そで|袖|スリーブ|レコードのジャケット|にそでを付ける
weak	弱い
vessel	容器|大型の船|飛行機|体内の管|導管
brake	ブレーキ|歯止め|制動機|(植物)シダ|ワラビ
adopt	採用する|養子にする
apart	ばらばらに|区別して|離れて
workplace	職場
cottage	別荘|小屋
prompt	を促す|駆り立てる|すばやい|即座の
illustration	説明図|挿絵|実例|例図|図解|例証|イラスト
familiar	よく知られている|聞き慣れた|見慣れた|普通の|精通している|気楽な|親しい
vertical	垂直な|垂直の|鉛直の|頂上の|天頂の
bean	豆
dirty	きたない|汚れる|不潔な
refinance	借り換える
strongly	頑丈に|強く
absolute	絶対の|確実な|絶対的な
bidder	入札者
wolf	狼|オオカミ|貧欲な人|女たらし|がつがつ食べる
capable	手腕のある|能力のある|有能な|ができる
fluid	変りやすい|流動性の|流体(の)|流動体
substitute	代用する|代用の|代用になる|代理人|代用品
ethnic	民族の|人種の
referral	委託|照会|紹介|推薦された人|委託された人
summit	首脳(陣)|山頂|頂点|首脳会談|首脳レベルの
walker	散歩する人|歩く人|歩行器|歩く鳥
stroke	をなでる|ストローク|一撃|打撃|発作|(脳)卒中|一回の動作|(ペン･筆などの)一筆
scenario	シナリオ
boss	支配する|社長|親分|突起|雌牛
terrorism	テロ行為|恐怖政治
progressive	進歩的な|進行する|漸進的な|連続的な|発展する|進行形の
mainly	主に|主として
trap	わなに掛ける|罠を仕掛ける|わな|落とし穴|監視所|トラップ|防臭弁
sick	病気の
sink	台所の流し|沈む|落ち込む|衰える|減る|染み込む|を沈める|流し
municipal	市の|内政の|局地的な|地方自治の|市営の
jurisdiction	支配権|司法権|管轄権
integrate	統合する
citizen	市民|国民
skirt	スカート|すそ|郊外|囲む
acknowledge	白状する|感謝する|認める|承認する
structural	構造(上)の
tough	強靭な|丈夫な|折れない|強い|堅い|頑丈な|困難な|凶悪な|タフ
carpet	じゅうたんを敷く|じゅうたん
anytime	いつでも
portrait	ポートレート|肖像画|似顔絵
pound	ポンド|16 ounce|453|6g|100 pence|(駐車違反車の)留め置き場|(馬の)囲い|ドンドン打つ|つき砕く
trend	トレンド|流行|傾く|風潮|傾向|趨勢|方向|向く
planner	立案者|プランナー
bi	双方向
architect	建築士|建築家|設計者|建設者
twist	をねじる|を曲げる|を縫っていく|よじれ|より糸
attract	(人･注意)を引きつける|魅惑する
trim	刈込む|整備(する)|削減する|を装飾する|(身体の)調子|気分|きちんとした
hunt	捜索する|捜す|追う|探求(する)|狩る|狩猟(する)
ease	慎重に動かす|そっと位置を移す|楽にする|安楽|軽減|気楽|容易
dust	埃を払う|ほこり|粉末|地面|灰|遺骨|(俗)お金|コカイン
busty	いい胸をした|胸が大きい|ボインの
purple	紫色|紫衣|枢機卿や司教の地位|王侯貴族の地位|王位|紫色の|帝王の|華麗な|美文調の
alive	生きている
assumption	仮定|引き受け
singer	歌手
automobile	自動車
genetic	遺伝子の|発生の|起源の
vocal	ボーカル|声の|口頭の|声楽の|有声音|母音|声楽
strengthen	強くする(なる)
socket	ソケット|受口|受け口|を受け口(ソケット)にはめ込む
arcade	アーケード
hood	ずきんをつける|ずきん|フード状のもの
mph	マイル毎時
existence	生存物|現存|実存|存在|実在|生活
vacuum	真空地帯|真空の|掃除機で掃除する
baker	パン屋|携帯用小型天火
mayor	市長
syntax	シンタックス|統語論|構文
solo	ソロ|独唱(独奏)の|独奏(曲)|独唱(曲)
tropical	熱帯の|熱帯性の|非常に暑い|猛暑の|回帰線の
antenna	アンテナ|空中線|antennae(antennaの複数形)(æntɛ́ni)(動物の)触角|触毛
nationwide	全国的な(に)
definitely	きっぱりと|(強い肯定･同意)確かに|全く(そのとおり)
wizard	名人|魔法の|魔法使い(男)|魔術師
immigration	(外国からの)移住|入国(者)
mutual	互いの|お互いの|相互の|共通の
hack	たたき切る|刻み目|(報酬目当ての)雇われ専門家
sierra	連山|山脈
quest	探求|探索|クエスト|を探索する
habitat	生息地|環境|居住環境|生育地|すみか|居住地
def	いかす|かっこいい(definitiveから)|(deaf|耳の聞こえない|def|いかす)
fraud	詐欺(行為)|欺瞞|ごまかし|詐欺師
necessarily	必然的に|必ず
depression	不況|不景気|不振|下降|沈下|陥没|低地|俯角|鬱病|うつ状態
everyday	毎日の
projection	投影|発射|射出|投射
apparently	明らかに|見たところでは
popularity	人気|評判|大衆性
ethernet	イーサネット|コンピューターネットワークの規格の1つで|世界中で使用されているLAN(Local Area Network)で最も使用されている技術規格
dozen	1ダース|12個|(複数で)多数
satisfy	(欲望･必要･好奇心)を満たす|(人)を満足させる
headset	ヘッドセット|マイク付きヘッドホン
absence	留守|欠席|欠乏
firewall	ファイアウォール
interval	隔たり|間隔|合間|距離|幕間
visible	明白な|目に見える|明らかな|今手元にある
ya	そう( 軽い相づち)|you のくだけた言い方
invest	人に着せる|に投資する|金を使う|を覆う|取り巻く
mat	マット|つや消しの|畳|靴ぬぐい|敷物|マットを敷く
obviously	明らかに|目立って
moderate	控えめの|節度のある|穏健な|適度の|やわらげる|司会をする|穏健派
sue	を訴える|訴訟を起こす|請う|告訴する
mercury	水銀
perfume	におい|香り|香水|に香水をつける|を芳香で満たす
arise	現れる|(問題など)が生じる
privilege	特権を与える|特権|特典|特別扱い|基本的人権|恩恵|特恵
reproduction	複製品|複製|模写|再版|生殖|再現|再生|再演
throat	のど|咽喉|喉|気管|食道
shake	を振る|震える|を動揺させる
excerpt	(本などからの)引用(句)|抜粋|抄録|抜粋する
radar	レーダー|電波探知機
beam	梁|輝き|発散する|送る(放送する)|顔を輝かせる
palace	宮殿|大邸宅|宮廷の有力者達
organize	組織化する|団結する|組織する|計画する|体系づける
somewhat	いくぶんか|幾分
emphasis	強調|重要性
substantial	しっかりした|実質的な|重要な|実体のある|相当な
princess	プリンセス
enhancement	強化
slave	あくせく働く|奴隷|捕われている人
impossible	不可能な
arena	競技場|土俵|闘争の場|闘技場|試合場
dodge	さっと身をかわす|かわす|はぐらかす
stem	幹|茎|葉柄|(～の流れを)止める･止まる|(時流など)に抵抗する|由来する|語幹
tee	はじめる|の準備をする|ティー|T
obvious	明らかな|露骨な|明かな|わかりきった
inter	(死体を)埋める|埋葬する|葬る(bury)
pottery	陶器
okay	OK|大丈夫
