variety	多様性|変化|多種|変化に富むこと|相違|種類
mode	モード|様式|方法|形態|流行|様態|法
sky	空
attitude	態度|心構え|姿勢
waste	を浪費する|浪費|廃棄物
obtain	を得る
metal	金属|鉄道レール|装甲車|材料|気性
title	表題|書名|肩書き|権利|資格|選手権
score	スコア|得点(する)|記録する|非難する|楽譜
violence	狂暴性|激しさ|暴行|乱暴|強姦|冒涜|バイオレンス|暴力
dynamic	動力の|動的な|力学の|動的
sorry	ごめんなさい|ご愁傷様(葬式などで)
impossible	不可能な
double	二倍|二倍の
collection	収集|取り立て|集じん
witness	証言|目撃者|証人|証拠|を目撃する|署名する|を証言する
reveal	を明らかにする|知らせる|示す
matter	問題|事柄|重要である
miss	女性|小娘|(独身女性の姓の前で)～さん|失敗|ミス|(機会等)逸す
gold	金|元素記号はAu|金製品|金貨|金色(の)|金の
actual	事実上の|現在の|現実の
disorder	無秩序|混乱|不調|乱雑|不規則|の秩序を乱す
quiet	静かな
successful	成功した
feature	特徴|顔立ち|地形|(新聞が)特集する|主演する|(文法)素性|の特徴をなす
strike	打つ(こと)|襲う|突き当たる|思いつく|ストライキ
gun	銃|ピストル|大砲|鉄砲|銃を撃つ|を撃ち落とす
pleasure	楽しみ|快楽|喜び|楽しいこと|好み
gender	(文法上の)性(sex)
bag	鞄
intervention	市場介入|調停|仲裁|介入|干渉|内政干渉|売惜しみ
kitchen	台所|キッチン
song	歌|鳴く声|さえずり
fair	公正な|合法的な|有望な|平均の|きれいな|まっすぐ|快晴の
regulation	規則|取り締まり|規定|条例|調節|調整|法規
cancer	癌(ガン)|(C-)蟹座
appearance	様子|出現|外観|状況|体裁|登場
formation	形成|編隊|～物|～体
muscle	筋肉|腕力|圧力|強引に押し進む
dear	親愛なる
summer	夏
otherwise	別のやり方で|さもなければ|その他の点では
capture	を捕まえる|(注意など)を引きつける
empty	空の|空虚な
equation	均衡
concentration	集中|濃度|選鉱
consideration	考慮|思いやり
extremely	極端に
dinner	ディナー|夕食
gift	天賦の才能|才能|贈物|贈り物
clinical	診療所の|臨床の|臨床治療の|客観的な態度の
ancient	古い|古代の
via	〜を経由して
huge	巨大な|でっかい|莫大な|たいした
description	描写|記述|説明
therapy	治療|療法
push	(イメージ:押す力を加える)
none	少しも～ない|だれも～ない|決して～ない
novel	(長編)小説|新しい|珍しい|異常な|新奇な
audience	支持者|聴衆|謁見|観客|観衆
online	オンライン式に|ネットワークに接続されて
injury	傷害
attend	気をつける|に出席する|参会する|伴なう|随行する|看護する
frequency	しばしば起こること|頻繁|頻発|頻度|振動数|周波数
pick	突く|選ぶ|つまようじ
observation	観察|所見|監視|観測|言葉|注目|発言
cycle	周期|周波
resistance	電気抵抗|抵抗|反抗|抗争|反対|妨害|敵対|抵抗力
representation	代表|表現
politics	政治|政治学|政策|政務|政略
hate	ひどく嫌う|することをいやがる|憎む|残念に思う
animal	動物
catch	をつかまえる|(病気)にかかる|を捕らえる
sexual	性的な|性の|雌雄の|有性の|生殖の
wake	起きる|を起こす
purchase	を買う|購入(品)
stock	株|ストック|血統|在庫|貯蔵|株券|国債|社債|切り株|仕入れる|蓄える|貯蔵する|陳腐な|平凡な
survey	を調査する|概観|調査|を概観する|測量する
taste	を味わう|を経験する|味|風味|好み|風情|経験
win	勝つ|に勝つ|を勝ち取る
threat	脅迫|おどし|脅威
manage	管理する|経営する|うまく取り扱う|何とかやり遂げる
boat	船
express	表現する|急行
secure	安全な|確実な|不安のない|確保する|手に入れる|安全にする|保証する
career	経歴|生涯の職業|職業的な|生涯|進行|出世|履歴
narrow	(幅や面積が)狭い|狭くなる|狭い部分
cook	(を)料理する|料理人|コック
minute	分|(角度の単位)分 1/60度|覚え書き|議事録|少しの間|ささいな
advance	前進|進歩|前進する|を前進させる
mistake	誤り|間違える
combination	結合|組み合わせ
beside	〜のそばで
responsible	責任のある|責任の重い|信用のおける|の原因である
tissue	(動植物の細胞の)組織|織物|薄い織物
majority	大部分|大多数|過半数|多数党|成年
garden	庭園
passage	通過|通行|通路|旅行|一節|経過|通過帯域
sin	(主に宗教的な)罪(を犯す)|過失|ばかげたこと
nurse	養成する人|看護婦|乳母|授乳する|看護する|大事に育てる|(思想など)を心に抱く
fellow	匹敵者|男|奴|野郎|仲間|同輩|同僚
external	外の|外部の|外側の|外用の|形式的な|外見|外面|外部
sequence	連続|続発|系列|連続(するもの)|結果|順序
