erythrocyte,赤血球
gazelle,ガゼル
scuba,スキューバ|水中呼吸装置
tryst,密会
aversive,嫌悪を引き起こす
opportunism,日和見主義
thrifty,倹約的な
extrovert,外向的な人
volt,ボルト|電圧の単位
dale,谷
grope,手探りする
stow,積む
soloist,ソリスト
encumbrance,妨げ
grille,格子
lamplight,ランプの明かり
alarmingly,驚くほどに
brigadier,准将
carnivorous,肉食の
midwifery,助産
prudently,慎重に
amen,アーメン
appreciably,かなり
carboxyl,カルボキシル基
unpunished,罰されていない
hackney,陳腐な|使い古された
loin,腰
abdication,退位
illegible,読みにくい
irrigate,灌漑する
easterly,東の
potable,飲用可能な
ellipsoid,楕円体
engraver,彫刻師
contractile,収縮性のある
bairn,子ども|スコットランド方言
liver,肝臓
rhubarb,ルバーブ
geographer,地理学者
blackish,黒っぽい
groggy,意識が朦朧とした
terracotta,テラコッタ|素焼きの土
papaya,パパイヤ
unsettle,不安にさせる
minefield,地雷原|危険地帯の比喩
inquirer,調査者
decry,非難する
scarecrow,かかし
inveterate,常習的な
clod,土の塊|のろま
introvert,内向的な人
apportionment,配分
entrench,確固たるものにする
unpleasantness,不快感
chastisement,懲らしめ
frivolity,軽薄さ
godlike,神のような
osseous,骨の
irreverent,不敬な
counterculture,反体制文化
circumspect,慎重な
sandalwood,白檀
petulant,怒りっぽい
sparkly,きらきらした
beater,泡立て器|叩く道具
memorabilia,記念品
carpentry,大工仕事
sculptural,彫刻の
springboard,踏み板|出発点
animus,敵意
sprain,捻挫
substandard,基準以下の
hesitancy,ためらい
seductively,誘惑的に
thiol,チオール|化学物質
tradesman,職人
ochre,黄土色
professorship,教授職
cola,コーラ
jester,道化師
prepositional,前置詞の
favoritism,えこひいき
tarot,タロット
mam,ママ|母親の呼び方
consumable,消耗品
horticulture,園芸
rebuff,拒絶
revelry,どんちゃん騒ぎ
touchy,敏感な
resound,鳴り響く
parenthesis,括弧
tussle,乱闘|取っ組み合い
aegis,保護|後援
intransitive,自動詞の
quartile,四分位数
intramuscular,筋肉内の
postscript,追伸
maw,大口|胃袋
immunohistochemical,免疫組織化学の
sleeveless,袖なしの
emigrant,移民（出ていく人）
interfaith,異宗教間の
laird,地主|スコットランド
longingly,切望して
cyan,シアン|青緑色
broil,焼く|バーベキュー
perk,特典|福利厚生
epicenter,震源地|中心地
figment,虚構
interpose,介入する
intermission,休憩（演劇などの）
journeyman,熟練工
dormancy,休眠
falsification,偽造
scrawl,なぐり書き
poodle,プードル
proprietorship,所有権
depose,退位させる|証言する
lighthearted,陽気な
opportunist,日和見主義者
disenchantment,幻滅
booby,まぬけ|鳥（カツオドリ）
bioinformatics,バイオインフォマティクス|生物情報学
disaffect,不満を抱かせる
theistic,有神論の
cashmere,カシミヤ
nae,いいえ（スコットランド方言）
creditable,立派な
ceaselessly,絶え間なく
asthmatic,喘息の
skyscraper,超高層ビル
circuitous,回りくどい
parabola,放物線
truism,自明の理
gnaw,かじる
anthrax,炭疽病
unbreakable,壊れない
incubate,孵化させる|育む
waffle,無駄話をする|曖昧に言う
perfectionism,完璧主義
unionism,労働組合主義
barman,バーテンダー
genie,魔人|ジーニー
prise,こじ開ける
aq,水溶液（化学記号）
bistro,ビストロ|小さなレストラン
tulip,チューリップ
inquisitor,尋問官
billboard,看板
radiofrequency,高周波
upholster,張り替える|家具などの
undeserved,当然でない
coda,コーダ|音楽の結尾部
armory,兵器庫
cochlea,蝸牛|内耳の一部
tycoon,大物|実業家
heritable,遺伝性の
pique,怒らせる|刺激する
deportment,態度
palatial,宮殿のような
tonality,調性|音の調子
dentition,歯列
oxidize,酸化する
chatty,おしゃべりな
valise,旅行かばん
nonunion,非組合の
smuggle,密輸する
gadget,小道具|装置
deliverer,配達人|救い主
etymological,語源の
gov,政府［governmentの略語］
franchisee,フランチャイズ加盟者
incineration,焼却
garble,歪める|混乱させる
chlorinate,塩素消毒する
solicitous,気遣う
irreplaceable,かけがえのない
filamentous,糸状の
searchlight,探照灯
teary,涙ぐんだ
potty,おまる|夢中な
telemedicine,遠隔医療
secondarily,第二に
enunciation,発音|明確な表現
charlatan,ペテン師
swampy,湿地のような
palatal,口蓋の
rater,評価者
needlework,刺繍
indemnify,補償する
inimitable,真似できない
outlive,より長生きする
heterodox,異端の
bookkeeper,簿記係
derangement,錯乱|混乱
unbelieving,信じない
alum,ミョウバン|同窓生［alumniの略語］
molest,嫌がらせをする|性的虐待する
idolatrous,偶像崇拝の
metallurgy,冶金学
pert,生意気な
shoal,浅瀬
rejuvenate,若返らせる
seepage,浸出
incoherence,支離滅裂
midbrain,中脳
truncation,切り捨て
monogamous,一夫一婦の
efferent,遠心性の（神経用語）
gobble,がつがつ食べる
remittance,送金
circularity,循環性|堂々巡り
acclamation,喝采
tortilla,トルティーヤ
fallible,誤りやすい
neatness,整頓
antiwar,反戦の
excommunication,破門
energize,元気づける
furlough,一時帰休
acetylation,アセチル化
pineal,松果体の
lathe,旋盤
obstetrician,産科医
transpiration,蒸散
headstrong,頑固な
pocketbook,財布|携帯用の
bioethics,生命倫理
impermeable,通さない
suffocation,窒息
impersonation,なりすまし
reenter,再入場する
upstate,州の北部（米国）
chamberlain,侍従長
sleet,みぞれ
warbler,ウグイス|さえずる鳥
sorority,女子クラブ
pathetically,哀れに
probative,証拠能力のある
charmer,魅力的な人
dervish,イスラム教修行僧
vesicular,小胞の|水疱の
temperamental,気分屋の
limply,ぐったりと
reprise,繰り返し
uncharacteristically,普段と違って
potash,カリウム肥料
upholstery,椅子張り
tonne,トン（1000kg）
vivacious,活発な
medley,メドレー|混合
capitalistic,資本主義の
cowl,覆い|僧衣のフード
germane,密接な関係がある
plankton,プランクトン
coenzyme,補酵素
obfuscate,わかりにくくする
wheeze,ぜいぜい言う
generically,一般的に
edification,啓発
jihadist,ジハード主義者
askew,ゆがんだ
jeweler,宝石商
concatenation,連結
encirclement,包囲
passable,通行可能
turbidity,濁り
cupola,丸屋根
weir,堰
taciturn,無口な
autoimmunity,自己免疫
exactness,正確さ
breathy,息混じりの
solenoid,電磁コイル
calumny,中傷
annul,無効にする
ventilatory,換気の
legate,使節
chancel,内陣
uncorrelated,無相関の
soulless,魂のない
pacifism,平和主義
pram,乳母車
determinedly,断固として
trypsin,トリプシン
candidiasis,カンジダ症
speckle,小斑点
perfectionist,完璧主義者
curvilinear,曲線の
wineglass,ワイングラス
counterclaim,反訴
duchy,公国
sinusitis,副鼻腔炎
amethyst,アメジスト
sawmill,製材所
replenishment,補充
stagnate,停滞する
fiendish,極悪な
lithography,リトグラフ印刷
vividness,鮮やかさ
deceiver,詐欺師
homeostatic,恒常性の
kaleidoscope,万華鏡
wrangle,口論する
mongrel,雑種
triphosphate,三リン酸
hornet,スズメバチ
cupcake,カップケーキ
ovation,喝采
warder,看守
unmodified,変更されていない
arbitrate,仲裁する
wearisome,退屈な
narrowness,狭さ
pestle,すりこぎ
pip,種
insubordination,服従拒否
aver,断言する
plat,区画図
nutritive,栄養の
saxophone,サクソフォン
dm,デシメートル
apostrophe,アポストロフィ
shire,州
figurine,小像
autumnal,秋の
almanac,暦
twang,鼻声
spatter,飛び散らす
transmutation,変化
northerly,北の
transliteration,音訳
inapplicable,適用できない
uttermost,最も遠い
literati,文人
intercellular,細胞間の
anhydride,無水物
knocker,ノッカー
impoverishment,貧困化
feisty,元気な
tiara,ティアラ
slog,苦労して進む
ergo,ゆえに
missus,奥さん
preceptor,指導教官
cardiologist,心臓専門医
earring,イヤリング
shag,粗毛織物
integrin,インテグリン
percolation,浸透
irrelevance,無関係
promiscuity,乱交
foetal,胎児の
barrio,バリオ（ラテン系居住区）
credulous,騙されやすい
fatherless,父のいない
generalizability,一般化可能性
lioness,雌ライオン
concisely,簡潔に
devoutly,敬虔に
stinky,臭い
contusion,打撲
conditionally,条件付きで
cynic,皮肉屋
reinvention,再発明
multicellular,多細胞の
pursuance,追求
fallacious,誤った
liken,たとえる
insemination,受精
wispy,細い
corroboration,裏付け
demean,軽蔑する
hideout,隠れ家
chameleon,カメレオン
gregarious,社交的な
typeface,書体
bombshell,衝撃的な知らせ
grainy,粒状の
permafrost,永久凍土
egocentric,自己中心的な
gurgle,ごぼごぼ音
soapy,石鹸のような
embezzlement,横領
joker,冗談好きな人
definable,定義できる
noiseless,無音の
untapped,未利用の
armpit,脇の下
lamprey,ヤツメウナギ
matchmaker,仲人
flotilla,小艦隊
isomer,異性体
gory,血なまぐさい
myopic,近視の
melanin,メラニン
glutamine,グルタミン
yogi,ヨギ（ヨガ修行者）
impressionable,影響を受けやすい
barbarity,野蛮さ
nimbly,素早く
bureaucrat,官僚
conservatively,保守的に
savoury,塩味の
moorland,荒地
euphoric,幸福感のある
predate,前に起こる
breather,休息
glycosylation,糖鎖付加
archeological,考古学の
loch,湖（スコットランド）
cuneiform,楔形文字
villainous,悪党の
magnetite,磁鉄鉱
presynaptic,シナプス前の
roulette,ルーレット
interloper,侵入者
eavesdrop,盗み聞きする
smugly,得意げに
hyperthyroidism,甲状腺機能亢進症
debug,デバッグする
flippant,軽率な
parry,かわす
essayist,随筆家
reintroduce,再導入する
wrangling,口論
labile,不安定な
unfeeling,無感覚な
annotate,注釈をつける
undaunted,怯まない
breakwater,防波堤
winning,勝利の
alder,ハンノキ
pewter,錫合金
grower,栽培者
snot,鼻水
martingale,馬具の一種
realign,再調整する
soreness,痛み
erectile,勃起性の
imbed,埋め込む
workbench,作業台
unregistered,未登録の
toga,トーガ（古代ローマ衣服）
pervade,浸透する
lavatory,トイレ
studiously,熱心に
testable,検証可能な
rem,レム（睡眠段階）
insincere,不誠実な
wert,（古語）だった
bulldozer,ブルドーザー
droppings,排泄物
abduct,誘拐する
kimono,着物
patella,膝蓋骨
recombine,再結合する
coverlet,ベッドカバー
baleful,有害な
chalet,山小屋
bathhouse,浴場
incisor,切歯
comatose,昏睡状態の
debrief,報告を受ける
fulcrum,支点
kelp,昆布
jumpsuit,つなぎ服
centripetal,求心性の
cameo,カメオ（彫刻）
verdure,青々とした草木
gangrene,壊疽
quartermaster,軍需係
unreality,非現実
knighthood,騎士位
universalist,普遍主義者
aground,座礁して
rectitude,高潔さ
igneous,火成の
seditious,扇動的な
reprove,叱責する
impartially,公平に
lethargic,無気力な
easygoing,気楽な
conciliate,なだめる
sheepskin,羊の皮
acorn,どんぐり
subliminal,潜在意識の
imbibe,吸収する
ferric,鉄の（＋3価）
misbehavior,不正行為
necktie,ネクタイ
shrewdness,抜け目なさ
rioter,暴徒
delude,騙す
meritocracy,能力主義
lowercase,小文字
cognizance,認識
sonar,ソナー
crockery,陶器類
underdog,敗者
extractor,抽出器
toothache,歯痛
gonadal,性腺の
animator,アニメーター
kidnapper,誘拐犯
menopausal,閉経の
townsfolk,町の人々
procrastinate,先延ばしにする
faultless,非の打ちどころのない
unbecoming,不似合いの
statuary,彫刻作品
phosphorylated,リン酸化された
outsource,外注する
glabrous,無毛の
typescript,タイプスクリプト|原稿
subhead,小見出し
grantee,受給者
fidget,そわそわする
endotoxin,内毒素
earthenware,土器
hyacinth,ヒヤシンス
grandly,堂々と
bipartite,二部の
plunger,プランジャー（吸引器）
larceny,窃盗
bivouac,野営
illiberal,偏狭な
exhaustively,徹底的に
spoiler,ネタバレ|妨害者
apace,速やかに
deification,神格化
taking,魅力的なこと
kung,功（中国武術）
playhouse,劇場
cathartic,浄化の
amiably,愛想よく
portraiture,肖像画
hydroxylase,ヒドロキシラーゼ
earpiece,イヤーピース
brusque,ぶっきらぼうな
forethought,先見の明
platonic,プラトン的な
sycamore,プラタナス
lasso,投げ縄
ag,銀（元素記号）
sidekick,相棒
personalize,個人化する
slayer,殺し屋
gee,ジー（驚きや命令の掛け声）
sublimity,崇高さ
simultaneity,同時性
peacemaker,仲裁者
senile,老衰の
unbidden,招かれざる
unwonted,普段とは違う
recyclable,リサイクル可能な
pipette,ピペット
lasagna,ラザニア
guerilla,ゲリラ
sessile,定着性の
revaluation,再評価
floss,デンタルフロス
aflame,燃えている
seafaring,航海の
prepayment,前払い
eroticism,官能性
fete,祭り
scavenge,漁る
wastage,浪費
talus,傾斜地
blithely,陽気に
nova,新星
badass,かっこいい人
sinuous,曲がりくねった
fleshly,肉体の
unbearably,耐え難く
sandal,サンダル
majestically,堂々と
acquit,無罪にする
freestanding,自立した
fume,煙
choppy,波立つ
sequester,隔離する
rendering,描写
pummel,打ちのめす
tankard,大ジョッキ
disinformation,偽情報
uncharacteristic,特徴的でない
irrefutable,反論できない
whisker,ひげ
inflatable,膨らませることができる
magenta,マゼンタ色
driftwood,漂流木
aspartate,アスパラギン酸塩
jock,運動選手
pliers,ペンチ
caseload,担当事件数
terminological,用語の
quibble,言い訳
rescind,取り消す
overstep,越える
perversity,ひねくれ
fundraiser,募金活動
strainer,こし器
haystack,干し草の山
comedic,喜劇の
hardback,ハードカバー本
humbug,詐欺
severally,個別に
meringue,メレンゲ
checkup,健康診断
briefing,説明会
quirk,癖
derisive,嘲笑的な
beeline,直行
privateer,私掠船船長
mainline,主要路線
paragon,模範
foodborne,食物由来の
unerring,誤りのない
sandbox,砂場
weirdo,変わり者
musky,麝香のような
radish,ラディッシュ（大根）
insufferable,耐えられない
superbly,見事に
balk,拒む
carboxylate,カルボキシレート
cottonwood,ヤナギ属の木
remarry,再婚する
irksome,うんざりする
stateroom,特別室
hexane,ヘキサン
sisterhood,姉妹関係
orthodontic,矯正の
disown,勘当する
zygote,接合子
holocaust,大虐殺
honeysuckle,スイカズラ
pragmatically,実用的に
exorcise,悪霊を追い出す
bristle,毛
claret,クラレット（赤ワイン）
canto,歌の一部
frisk,跳ね回る
depressant,抑制剤
marquee,テント屋根
listlessly,無気力に
toothless,歯のない
bulldog,ブルドッグ
damnable,忌まわしい
borderland,国境地帯
brazenly,厚かましく
sodomy,獣姦
unconvincing,説得力のない
fang,牙
trawler,底引き網漁船
traitorous,裏切りの
hart,牡鹿
amelioration,改善
polyunsaturated,多価不飽和の
mastectomy,乳房切除術
caribou,カリブー（トナカイ）
worshipper,崇拝者
votive,奉納の
snooze,居眠り
dullness,鈍さ
sate,満たす
subcontract,下請け契約
forecastle,船首楼
rewind,巻き戻す
morphologic,形態の
undisguised,隠されていない
botulinum,ボツリヌス菌の
decelerate,減速する
distemper,伝染病
dollop,たっぷりの量
falciparum,熱帯熱マラリア原虫
excitability,興奮性
palmar,掌の
bedstead,ベッド枠
comradeship,友情
unflinching,動じない
insanely,狂ったように
obliteration,消去
anticonvulsant,抗けいれん薬
minivan,ミニバン
badness,悪さ
diff,差分
southerly,南の方の
transferase,転移酵素
tempestuous,荒れ狂う
lifelike,生きているような
hickory,ヒッコリー（木）
elution,溶出
docker,ドッカー（港湾労働者）
chemotherapeutic,化学療法の
funky,かっこいい|臭い
anesthesiologist,麻酔科医
summertime,夏時間
vise,万力
schoolwork,学校の課題
rapturous,熱狂的な
haploid,単相の
hotspot,ホットスポット
insipid,味気ない
octagonal,八角形の
parallelogram,平行四辺形
shamefully,恥ずかしいほど
ubiquitin,ユビキチン
billiards,ビリヤード
crossword,クロスワード
handout,配布資料
reprobate,堕落者
unwitting,知らずに
hoary,白髪の
xenophobic,外国人嫌いの
ingress,入口
refuel,再給油する
denotation,指示意味
signet,印章
reify,具体化する
spiny,棘のある
snowman,雪だるま
rootstock,台木
overproduction,過剰生産
backhand,バックハンド
chickpea,ひよこ豆
mendicant,物乞い
arbor,木陰
pelagic,遠洋の
lye,苛性ソーダ
arithmetical,算術の
ramshackle,ボロボロの
unsuspected,疑われていない
granulocyte,顆粒球
comically,滑稽に
turnip,カブ
fisher,漁師
ana,（情報の）まとめ
topping,トッピング
pacific,平和的な
electrocardiogram,心電図
reprisal,報復
corrode,腐食する
malnourished,栄養失調の
sleepover,お泊まり会
inquiringly,尋ねるように
unwholesome,不健全な
coterie,同好会
stolid,無感動な
statuette,小像
antenatal,出生前の
gestural,身振りの
lassie,少女（スコットランド）
adsorb,吸着する
reappraisal,再評価
incorrigible,矯正できない
adamantly,断固として
exothermic,発熱性の
recommender,推薦者
inestimable,計り知れない
tabulation,表作成
turbid,濁った
masque,仮面劇
robustly,頑健に
taco,タコス
handset,受話器
retributive,報復の
feint,フェイント
pariah,のけ者
rummage,漁る
nephritis,腎炎
subdivide,細分する
parsonage,牧師館
quinine,キニーネ
jute,ジュート（黄麻）
invertebrate,無脊椎動物
clinch,決着をつける
jour,（仏）日
lei,レイ（花飾り）
evanescent,はかない
outgrow,成長して超える
spaniel,スパニエル犬
squalor,みすぼらしさ
worst,最悪の
snowmobile,スノーモービル
dissemble,隠す
stratosphere,成層圏
groundless,根拠のない
statecraft,政治術
wherewithal,資金|手段
convivial,陽気な
generalizable,一般化可能な
flaky,はがれやすい
makeover,変身
paintbrush,絵筆
perky,元気な
thereabouts,そのあたりで
hawthorn,サンザシ
serenade,セレナーデ
amphora,アンフォラ（壺）
clamber,よじ登る
veg,野菜（略）
enhancer,増強剤
glisten,きらめく
pith,髄|要点
okra,オクラ
leeward,風下の
cheddar,チェダーチーズ
caper,イタズラ
similitude,類似
cupful,カップ1杯
tamper,改ざんする
lacrimal,涙の
deadpan,無表情な
pessimist,悲観主義者
convalescent,回復期の
specious,見かけ倒しの
menagerie,動物園
immobilize,動けなくする
consign,委託する
downregulation,抑制
slush,泥水
galactose,ガラクトース
pairing,組み合わせ
plasminogen,プラスミノーゲン
xylem,木部
neuroblastoma,神経芽腫
hydrophobicity,疎水性
mutable,変わりやすい
granola,グラノーラ
karate,空手
lordly,高慢な
wantonly,むやみに
garish,けばけばしい
concerto,協奏曲
bulletproof,防弾の
unconscionable,非常識な
contractility,収縮性
biennial,2年ごとの
trite,陳腐な
dispensary,診療所
metallurgical,冶金の
anima,生命力
horoscope,占星術
ineffectiveness,無効
lank,細長い
undisciplined,規律のない
craziness,狂気
anatomically,解剖学的に
cess,下水税
phantasy,幻想
indiscreet,軽率な
detoxify,解毒する
bullion,地金
hourglass,砂時計
lawmaking,立法
pursuer,追跡者
constrict,締め付ける
jaunty,陽気な
kinky,変わった
begrudge,嫉妬する
chrysanthemum,キク
prostration,疲労困憊
alphabetic,アルファベットの
burrito,ブリトー（メキシコ料理）
crass,鈍感な
triglyceride,トリグリセリド（中性脂肪）
footstool,足置き
fistful,一握り
unlabeled,ラベルなしの
frenetic,熱狂的な
suppressive,抑制的な
quadrilateral,四角形
poo,うんち
monogamy,一夫一妻制
shaving,髭剃り
uncontested,争われていない
portmanteau,合成語
beetroot,ビートルート（赤ビート）
abductor,外転筋|誘拐者
newbie,初心者
nonchalance,無関心
corolla,花冠
unutterable,言葉にできない
cartoonist,漫画家
inconsiderable,取るに足らない
stubby,ずんぐりした
cropland,耕作地
unremitting,絶え間ない
unscientific,非科学的な
unmolested,害されていない
cardio,心臓の
mink,ミンク
loyalist,忠実な人
nonfinancial,非金融の
trestle,足場
possum,フクロネズミ
