marking,印|マーキング
dehydration,脱水
pancreas,膵臓
madman,狂人
tatter,ぼろ切れ
chi,気（東洋思想）
southward,南方へ
categorize,分類する
untreated,未処理の
naturalist,博物学者|自然主義者
squire,地主|郷士
wholesome,健康に良い
erupt,噴火する
overdose,過剰摂取
forsake,見捨てる
payroll,給与支払い名簿
universality,普遍性
deduce,推論する
hereby,これにより
starve,飢える
doubly,二重に
logistic,物流の|兵站の
polymorphism,多態性
snowy,雪の多い
anarchist,無政府主義者
devout,信心深い
disappoint,失望させる
automotive,自動車の
pl,ページ数［pagesの略語］|図版［platesの略語］
bedtime,就寝時刻
unbelievable,信じられない
genital,生殖器の|身体部位
spurt,噴出|動作
hypocrisy,偽善|性格|態度
synonym,同義語|言語
allude,ほのめかす|動作
honeymoon,新婚旅行|行事
ocular,眼の|身体部位
obligatory,義務的な|性質
adequacy,適切さ|評価
uncontrolled,制御されていない|状態
confide,打ち明ける|動作
tenor,趣旨|意味
manpower,人手|資源
bluntly,ぶっきらぼうに|態度
shortcut,近道|手段
cortisol,コルチゾール|ホルモン
swan,白鳥|動物
mo,月［monthの略語］
humid,湿気のある|気象
thermometer,温度計|器具
foyer,玄関ホール|場所
resistor,抵抗器|電子部品
gluten,グルテン|食品成分
spindle,紡錘体|形状|器具
spacecraft,宇宙船|乗り物
workflow, 作業の流れ
berth,寝台|設備
contraceptive,避妊具|医療
lull,一時的な静けさ|状態
wreath,花輪|装飾
unimportant,重要でない|評価
centrally,中心に|位置
guru,導師|人物
photosynthesis,光合成|生物作用
horrific,恐ろしい|感情
multivariate,多変量の|数学
variously,様々に|程度
occult,神秘的な|宗教|信仰
doorbell,呼び鈴|器具
originality,独創性|性質
firstly,第一に|順序
precaution,予防措置|行動
fearless,恐れを知らない|性格
amuse,楽しませる|動作
swipe,さっと拭く|動作
inadequacy,不十分さ|評価
apprenticeship,見習い期間|制度
horde,大群|集団
felony,重罪|法律
psychologically,心理的に|方法
intracranial,頭蓋内の|位置
scoundrel,悪党|人物
delineate,描写する|動作
psychoanalytic,精神分析の|心理学
stupidity,愚かさ|性質
hormonal,ホルモンの|医学
nothingness,虚無|状態
heave,持ち上げる|動作
asphalt,アスファルト|物質
vertebral,脊椎の|身体部位
vegan,完全菜食主義者|人物
odour,におい|感覚
pharmacist,薬剤師|職業
troll,荒らし|ネット文化
recur,再発する|動作
lipstick,口紅|化粧品
paranoid,被害妄想の|心理状態
grenade,手榴弾|武器
metadata,メタデータ|情報
flinch,ひるむ|動作
preferential,優先的な|性質
ghastly,ぞっとするような|感情
briskly,きびきびと|態度
succumb,屈する|動作
radiotherapy,放射線治療|医療
goddamn,いまいましい|感情（口語）
flexion,屈曲|動作
obsessive,とらわれた|性格
po,ポー川|地名
ratification,批准|制度
invoice,請求書|書類
relocation,移転|動作
admiral,提督|軍階級
prognostic,予後の|医学
mixer,ミキサー|器具
rationalize,合理化する|動作
vodka,ウォッカ|飲料
generality,一般性|性質
fauna,動物相|生物
subvert,覆す|動作
spinach,ほうれん草|野菜
extrinsic,外的な|性質
solute,溶質|化学
rightful,正当な|評価
musket,マスケット銃|武器
cloudy,曇った|天候
groin,鼠径部|身体部位
drizzle,霧雨|天候
dime,10セント硬貨|通貨
prowess,優れた能力|能力
haughty,高慢な|性格
tweet,つぶやく
iris,虹彩
hateful,憎らしい
horribly,ひどく
luncheon,昼食会
ghetto,スラム
coagulation,凝固
orient,東洋
makeshift,間に合わせの
adjunct,付属物
barricade,バリケード
prostitute,売春婦
outperform,より優れる
benevolence,慈悲
subcutaneous,皮下の
actuator,アクチュエータ（機械を動かす装置）
pierce,突き刺す
incompetent,無能な
prima,主役（女性）
anonymity,匿名
salesperson,販売員
superpower,超大国
forestry,林業
rationally,合理的に
prism,プリズム
ambivalent,相反する感情を持つ
appellate,控訴の
cystic,嚢胞の
airborne,空中に浮かぶ
interpolation,補間
squarely,真正面から
insomnia,不眠症
appease,なだめる
lyric,歌詞
apocalyptic,黙示録的な
exemplar,模範
synergy,相乗効果
moustache,口ひげ
dashboard,ダッシュボード
fisherman,漁師
concussion,脳震盪
childbirth,出産
etiquette,作法
psychotic,精神病の
proliferate,急増する
secrete,分泌する
automaton,自動人形
disable,無効にする
spade,スペード|道具
fictitious,架空の
beep,電子音
decisively,決定的に
dent,へこみ
legality,合法性
labyrinth,迷路
accomplice,共犯者
eff,くそっ（fuckの湾曲表現）|効率［efficiencyの略語］
corporal,伍長
representational,表象的な
plaza,広場
hover,浮かぶ
dei,神の〜（ラテン語由来）
chemically,化学的に
deceptive,人を惑わすような
polymeric,重合体の
insightful,洞察に満ちた
endoscopic,内視鏡の（医学用語）
modernism,モダニズム
abstain,控える
posit,仮定する
endanger,危険にさらす
dainty,繊細な
runoff,流出
sealing,密封すること|封印
mucosal,粘膜の
ballroom,舞踏室
synaptic,シナプスの
tributary,支流
deviant,逸脱した
cartel,企業連合
inexplicable,説明不能な
aorta,大動脈
stag,男だけの|行事
obscurity,不明瞭さ
rue,後悔する
piston,ピストン
lass,娘
wellness,健康
stony,石のような
imperialist,帝国主義者
historiography,歴史記述法
biologically,生物学的に
stressors,ストレス要因（心理学用語）
freshman,新入生
afterlife,来世
biosynthesis,生合成
natured,性格の〜（形容語尾）
manageable,管理しやすい
defiant,反抗的な
retribution,報復
nanomaterials,ナノ材料
neurotransmitter,神経伝達物質
undisturbed,乱されていない
reprimand,叱責
platoon,小隊
legitimize,正当化する
kindred,同族の
sufferer,苦しむ人
fir,モミの木
boar,イノシシ
devastation,壊滅
baker,パン職人
mistrust,不信
sire,父親（動物）
chronology,年代順
benefactor,恩人
topological,位相的な（数学・物理用語）
inexperienced,未熟な
sender,差出人
metre,メートル
commonality,共通点
sine,正弦
gestation,妊娠期間
hitch,障害
camouflage,迷彩
woo,求愛する
township,町
thyself,汝自身
undeniable,否定できない
amenable,従順な
punk,不良
spout,噴き出す
vigilance,警戒
dormant,休眠中の
nanny,乳母
uneasiness,不安
particulate,粒子
gutter,排水溝
substantiate,立証する
gunshot,銃声
coldness,冷たさ
perpetually,絶えず
veterinary,獣医の
aux,補助的な
pickle,漬物
actuality,現実
rustling,カサカサ鳴る音
suitability,適性
sup,すすり飲む
subordination,従属
excretion,排泄
perverse,ひねくれた
hy,過剰な［=hyper］（接頭辞）|超越した[=hyper]（接頭辞）
rubric,評価基準
tentatively,仮に
purport,主張する
hospitalization,入院
obstruct,妨害する
improbable,ありそうにない
tint,色合い
metropolis,大都市
playfully,ふざけて
argumentation,議論
envious,うらやましい
strikingly,際立って
referee,審判
fertilization,受精
remediation,修復（教育・環境分野用語）|改善（教育・環境分野用語）
speck,小さな点
hydrocarbon,炭化水素
ecstatic,有頂天の
sophistication,洗練
masonry,石工術
senseless,無意味な
cornerstone,礎石
spreadsheet,表計算
installing,インストールすること
hypotension,低血圧
effluent,排水
reappear,再出現する
peculiarly,奇妙に
convolution,ねじれ
doctrinal,教義の
temporality,時間性（哲学・社会学用語）|一時性（哲学・社会学用語）
reimbursement,払い戻し
electorate,有権者
abundantly,豊富に
pharmacological,薬理学の
anthology,選集
sultan,スルタン
fraternity,兄弟愛
eternally,永遠に
ping,信号を送る
postpone,延期する
epidemiology,疫学
faire,催し物
lightweight,軽量の
unanimous,満場一致の
rift,亀裂
fingerprint,指紋
iodine,ヨウ素
caricature,風刺画
disconnect,切断する
mellitus,糖尿（の）
receptionist,受付係
takeover,買収
underpin,支える
simplistic,単純化しすぎた
accelerator,加速装置
postcard,はがき
sepsis,敗血症
bankrupt,破産した
splinter,破片
nourishment,栄養
brotherhood,兄弟関係
embroidery,刺繍
conservatism,保守主義
conscientious,良心的な
subconsciously,無意識に
bookstore,書店
abduction,誘拐
apparition,幽霊
aberration,逸脱
artificially,人工的に
equip,装備する
bog,湿地
apprehend,逮捕する
footman,従者
overboard,船外に
ruby,ルビー
theorist,理論家
propel,推進する
avert,避ける
distillation,蒸留
fluency,流暢さ
archaic,古風な
multimedia,マルチメディア
structurally,構造的に
crook,詐欺師
versatile,多才な
nanocomposites,ナノ複合材料
chisel,ノミ
dice,さいころ
delicately,繊細に
subdue,鎮圧する
connector,接続部品
minimally,最小限に
hoop,輪
retort,言い返す
commandment,戒律
transducer,変換器
accrue,蓄積する
superfluous,余分な
crave,切望する
avocado,アボカド
parasitic,寄生的な
furrow,溝
flex,曲げる
vigilant,警戒している
preparatory,準備の
compulsive,衝動的な
shady,怪しい
speedy,迅速な
expire,期限切れになる
hilt,柄（つか）
unbroken,途切れていない
populism,大衆主義
yank,ぐいっと引く
retrospect,回顧
lieu,代わり
tempt,誘惑する
squirm,身もだえする
locomotive,機関車
checkpoint,検問所
atonement,贖罪
esophageal,食道の
ordination,叙階
sarcastic,皮肉な
contagious,伝染性の
astray,道に迷って
invocation,祈願
lore,伝承
diligently,勤勉に
victimization,被害者化
preoperative,手術前の
cockpit,操縦室
counsellor,相談員
nervousness,緊張
enmity,敵意
sanity,正気
leopard,ヒョウ
relativity,相対性
obstructive,妨害する
permutation,順列
platinum,プラチナ
unfavorable,好ましくない
git,いやなやつ
strut,見せびらかして歩く
intoxication,酩酊
annuity,年金
nigger,黒人（差別的表現）
refractive,屈折の
incorrectly,誤って
blackmail,恐喝
inconvenient,不便な
splendour,壮麗さ
simplification,単純化
bulky,かさばる
oblivion,忘却
replenish,補充する
strait,海峡
beginner,初心者
sporadic,散発的な
lexicon,語彙
overestimate,過大評価する
aloft,空中に
dizziness,めまい
unconventional,型破りな
unwelcome,歓迎されない
euro,ユーロ
buggy,バギー
havoc,大混乱
dysfunctional,機能不全の
prostrate,うつ伏せの
consortium,共同体
redesign,再設計
whither,どこへ
hydroxide,水酸化物
miserably,惨めに
meridian,子午線
superstitious,迷信深い
instrumentation,計器類
rebirth,再生
phonological,音韻の
modifier,修飾語
interchange,交換
ulcer,潰瘍
praxis,実践
quarterly,四半期ごとに
rapport,信頼関係
thermodynamic,熱力学の
maternity,母性
durability,耐久性
coolly,冷静に
steroid,ステロイド
attacker,攻撃者
eerie,不気味な
appalling,ぞっとするような
escalation,拡大
microbiota,微生物叢（医学・生物学用語）
annihilation,全滅
diaper,おむつ
omen,前兆
foreman,現場監督
undocumented,記録のない
silvery,銀色の
proficient,熟練した
doc,先生（くだけた言い方）
withhold,差し控える
biographer,伝記作家
porn,ポルノ
inefficiency,非効率
bathe,入浴する
blight,疫病|害
wager,賭ける
mechanic,整備士
recombination,再結合
outdated,時代遅れの
hydration,水分補給
unleash,解き放つ
reiterate,繰り返す
souvenir,お土産
keyword,キーワード
tofu,豆腐
shameless,恥知らずな
pew,長椅子（教会などの）
mustache,口ひげ
aspirin,アスピリン
viscous,粘性の
remake,リメイク
kinda,ちょっと（くだけた言い方）
loft,屋根裏
zest,熱意
solace,慰め
sympathize,同情する
recombinant,組換えの
perilous,非常に危険な
stylistic,文体の
clang,ガチャンという音
comma,コンマ
spa,温泉
audition,オーディション
garnish,添える
proportionality,比例関係
culinary,料理の
lb,ポンド［poundの略語］（ラテン語由来）
desolation,荒廃
wrongdoing,不正行為
rigor,厳しさ
brochure,パンフレット
ignite,点火する
stairway,階段
incessant,絶え間ない
phenolic,フェノール性の（化学用語）
borderline,境界線
ending,終わり
remuneration,報酬
interdependent,相互依存の
killing,殺害
unsatisfactory,不満足な
lighthouse,灯台
pendulum,振り子
picket,ピケ（ストの監視線）
torpedo,魚雷
witty,機知に富んだ
seawater,海水
vinyl,ビニール
diligent,勤勉な
herald,先駆け
walkway,歩道
arbitrarily,任意に
brilliance,輝き
compress,圧縮する
adventurous,冒険好きな
triad,三つ組
destitute,極貧の
landfill,埋立地
semblance,外観
meningitis,髄膜炎
modular,モジュール式の
functionally,機能的に
delirium,錯乱
cheque,小切手
muffin,マフィン
excise,消費税
slander,中傷
amiss,誤って
ponytail,ポニーテール
counterfeit,偽造の
lumen,ルーメン
lodging,宿泊
resolutely,断固として
aluminium,アルミニウム
hemoglobin,ヘモグロビン
progenitor,先祖
plexus,神経叢
steed,乗馬
verbally,口頭で
concealment,隠蔽
crescent,三日月
lunatic,狂人
oscillation,振動
walker,歩行器
consort,配偶者
stud,飾り鋲
rearrangement,再配置
firsthand,直接の
rampant,はびこる
coincidental,偶然の
granular,粒状の
discord,不和
shoreline,海岸線
migraine,偏頭痛
cybersecurity,サイバーセキュリティ（情報安全保障）
tornado,竜巻
col,鞍部
racially,人種的に
router,ルーター
placenta,胎盤
interconnection,相互接続
protease,プロテアーゼ
creepy,不気味な
hopelessly,絶望的に
graveyard,墓地
uncomfortably,不快に
alternately,交互に
rapture,歓喜
menstrual,月経の
autopsy,検死
technician,技術者
subversive,破壊的な
teller,窓口係
assortment,詰め合わせ
necessitate,必要とする
restitution,返還
electrostatic,静電気の
effusion,放出
profane,冒涜的な
negativity,否定性
chili,唐辛子
weariness,疲労
leftist,左翼の
fluent,流暢な
cooker,調理器具
budgetary,予算の
pea,エンドウ豆
tingling,チクチク感|しびれ感
hindrance,妨げ
apologetic,謝罪の
smelt,精錬する
outpost,前哨基地
coke,コークス
cinematic,映画的な
meticulous,几帳面な
reliant,依存している
coexistence,共存
pretence,見せかけ
generational,世代間の
crocodile,ワニ
internship,インターンシップ
jeopardize,危険にさらす
abbey,修道院
brilliantly,見事に
yang,陽（中国哲学の陰陽の一方）
cipher,暗号
unease,不安
monotonous,単調な
decency,礼儀正しさ
inhalation,吸入
microstructure,微細構造
augmentation,増加
cork,コルク
gem,宝石
madame,奥様|夫人
hamper,妨げる|障害
excision,切除
eddy,渦巻き
further,さらに
attractiveness,魅力
twinkling,きらめき［twinkleの現在分詞］
sparrow,スズメ
engender,生じる
cancellation,取り消し
hazy,かすんだ
negligent,不注意な
assailant,攻撃者
aptitude,才能
colossal,巨大な
conceptually,概念的に
suburb,郊外
detriment,損害
feeder,給餌器
fluffy,けば
grievance,不平
shatter,粉砕する
stash,隠す
improvisation,即興
radiance,輝き
inpatient,入院患者
flurry,突風
compiler,編集者
downfall,没落
prosthesis,義肢
grate,すりつぶす|暖炉
nonhuman,非人間
palsy,麻痺
seminary,神学校
decompose,分解する
ax,斧|解任する
homestead,農場
mango,マンゴー
prolific,多産の
pesticide,農薬
disproportionately,偏って
synchronous,同期の
sonnet,十四行詩
ornamental,装飾の
alternatively,代わりに
genesis,起源
indescribable,言語不能な
valet,従者
dermatitis,皮膚炎
recognising,認識している［=recognizing］［recogniseの現在分詞］〈イギリス英語〉
unheard,聞こえない
gall,心痛|こぶ
slut,だらしない女
intrusive,押し入る
pleasurable,楽しい
apparel,衣服
reactionary,反動の
ionization,イオン化
scenic,風景の
remit,軽減する
agility,機敏さ
residency,居住
consummate,完成した
vous,あなた（仏）
inferiority,劣等
shopkeeper,店主
graciously,優雅に
unconstitutional,違憲の
pertain,関係する
fascism,ファシズム
refund,返金
hugely,非常に
sickly,病弱な
morbid,病的な
malnutrition,栄養失調
illegally,不法に
preexist,先存する
tumult,騒動
saw,のこぎり|見た
astronomical,膨大な
providence,神意
venom,毒
discernible,認識可能な
oscillator,発振器
informant,情報提供者
apical,頂点の
vibe,雰囲気
dispersal,散乱
acronym,頭字語
avatar,化身
stiffly,堅く
gambler,賭博者
peroxide,過酸化物
misguide,誤導する
usable,使用可能
conformation,形態
disintegration,崩壊
electronically,電子的に
greasy,油っぽい
prehistoric,先史時代の
printer,プリンター
ee,従業員［=employee］（接尾辞）|受益者（法律・会計用語）
fluctuate,変動する
heartless,無情な
heroism,英雄的行為
extinguish,消す
celery,セロリ
orb,球体
symposium,討論会
greeting,挨拶
nocturnal,夜行性の
conductive,伝導性の
millionaire,百万長者
ment,〜すること（接尾辞）
undertaking,事業
carve,彫る
mane,たてがみ
beget,生む
caretaker,管理人
innovate,革新する
holster,ホルスター
handbag,ハンドバッグ
slant,傾斜
garb,服装
pantry,食品庫
steadfast,揺るぎない
throttle,絞る|スロットル
overrun,侵入する
erode,浸食する
tempest,嵐
comet,彗星
aquifer,帯水層
visitation,訪問
stagnation,停滞
vicar,代理牧師
biofilm,バイオフィルム
calculator,計算機
alkali,アルカリ
practicable,実行可能な
lymphatic,リンパの
brighten,明るくする
til,まで（古語）
snuff,消す|嗅ぎ煙草
antibacterial,抗菌の
prenatal,出生前の
whereupon,それにより
biotechnology,バイオ技術
aerosol,エアロゾル
sentinel,見張り
literate,読み書きできる
presuppose,前提とする
wry,皮肉な
incidentally,ちなみに
overjoy,大喜びさせる
epigenetic,後成的な
jewellery,宝飾品
sorrowful,悲しい
martyrdom,殉教
flea,ノミ
insurrection,反乱
usability,使いやすさ
nanoparticle,ナノ粒子
caveat,注意
unsteady,不安定な
yr,年［yearの略語］
rumour,噂
elective,選択の
cutoff,締切
multifaceted,多面的な
magnification,拡大
mournful,悲しげな
tuna,マグロ
overturn,覆す
irresponsible,無責任な
feud,争い
compensatory,補償の
phosphorylation,リン酸化
putative,推定の
advertise,広告する
saga,英雄譚
bayonet,銃剣
unruly,手に負えない
ornate,華麗な
anthropologist,人類学者
polymerase,ポリメラーゼ
overtly,公然と
antagonistic,敵対的な
naught,無
mountainous,山の多い
entice,誘惑する
seaweed,海藻
predatory,捕食性の
tutorial,指導
brothel,売春宿
hardy,丈夫な
blender,ミキサー
slug,ナメクジ
stimulant,刺激物
detour,回り道
mite,ダニ
squamous,鱗状の
archetype,原型
adversarial,敵対的な
childcare,育児
singularly,非常に
hippocampus,海馬
liberate,解放する
intuitively,直感的に
ruling,支配
drawback,欠点
recitation,朗読
karma,業
homogeneity,均質性
saucer,受け皿
precede,先行する
rectal,直腸の
bunker,防空壕
idolatry,偶像崇拝
edict,布告
truce,休戦
swine,豚
saying,ことわざ
uncontrollable,制御不能な
cowardly,臆病な
unhappiness,不幸
incomparably,比類なく
symphony,交響曲
downside,不利な面
indistinguishable,区別できない
cyclical,周期的な
purposefully,意図的に
wharf,波止場
bioactive,生物活性の
longtime,長時間の
undress,脱ぐ
sc,科学［scienceの略字］
respite,一時休止
archbishop,大司教
strenuous,激しい
annum,年（学術）
rapidity,速さ
soundly,ぐっすり
