uncharacterized,特徴のない
prokaryote,原核生物
bestest,最高の（俗語）
coracle,コラク（小舟）
lockjaw,破傷風
postmistress,女性郵便局長
apparat,官僚機構
guppy,グッピー（魚）
finial,装飾の先端
captivation,魅了
enfilade,一直線の部屋
sidesaddle,横乗り馬乗り
wagtail,セキレイ
niggard,けちな人
paring,皮むき
petrology,岩石学
uncial,アンシャル体（文字）
ossify,骨化する
excursionist,遠足者
corso,大通り（イタリア語由来）
exotically,異国風に
glissando,グリッサンド（音楽）
gobbledygook,難解な言葉
sawyer,製材工
unintelligibly,理解できないほどに
basswood,シナノキ
houseboy,家事手伝いの少年
indexer,索引作成者
incorrigibly,矯正不能に
helot,隷属民
ravishment,魅了
sweetish,やや甘い
tiebreaker,タイブレーカー
collegian,大学生
discoideum,粘菌ディスコイデウム属
stenography,速記
lawbreaker,違法者
bandolier,弾帯
highfalutin,大げさな
rotter,嫌なやつ
yes,はい
swaddle,おくるみで包む
trophozoite,栄養体（原虫）
cerise,濃い赤色
frisbee,フリスビー
moa,モア（鳥）
misreport,誤報
nard,ナード（香料）
prognosticate,予言する
piecrust,パイ生地
drowse,うとうとする
disinheritance,相続権剥奪
schoolchild,児童
interlink,相互接続
gigabyte,ギガバイト
appanage,扶持
didactically,教訓的に
encyst,嚢胞になる
hairiness,毛深さ
outdistance,引き離す
clavichord,クラヴィコード
loutish,無作法な
hematologist,血液学者
manometric,圧力計の
seaway,航路
temporariness,一時的であること
yarmulke,ヤームルカ（ユダヤ帽）
debilitate,弱らせる
bullring,闘牛場
bacchanalian,酒神祭の
skedaddle,急いで逃げる
juiciness,汁気
longwinded,冗長な
moxie,気力
purchasable,購入可能な
bustard,オオノガン
plasmodium,マラリア原虫
quantitated,定量化された
spermaceti,スパーマセチ（鯨ろう）
homophone,同音異義語
dibasic,二価の
peculation,横領
yardarm,ヤードアーム（帆桁端）
driller,掘削工
agglutinative,膠着語の
maser,メーザー
preliterate,識字以前の
undersell,安売りする
clampdown,取締り
avoirdupois,常衡重量
explainer,説明者
grenadine,グレナデン（シロップ）
podgy,太った
pogo,ポゴ（遊具・ジャンプ棒）
phrasing,フレージング
upmost,最大の
deb,デビュータント（社交界の初参加者）
lasciviously,わいせつに
unquote,引用終了
calcify,石灰化する
calfskin,カーフスキン（子牛革）
neurasthenic,神経衰弱の
orris,オリス（根の香料）
daw,ヒヨドリ
crozier,司教杖
offertory,献金
oldish,やや古い
predestinate,予定された
plagiarist,剽窃者
sermonize,説教する
hemorrhoid,痔
bidet,ビデ
pneumatically,空気圧で
lysogenic,溶原性の
polyadenylation,ポリアデニル化
juryman,陪審員
immolate,いけにえにする
maleficent,有害な
insatiably,飽くことなく
radiotelephone,無線電話
heckle,やじを飛ばす
frenetically,熱狂的に
hairnet,ヘアネット
biparental,両親由来の
kickstand,キックスタンド
rondo,ロンド（音楽形式）
kulak,クラーク（地主）
sickbay,医務室
transfuse,輸血する
goofball,間抜け
hobnail,鋲付き靴
diapason,全音域
earthshaking,衝撃的な
mycobacterium,抗酸菌
bigwig,大物
fettle,状態
henpeck,尻に敷かれる夫
longhorn,ロングホーン（牛種）
measurer,測定器
leu,ル（通貨単位）
reversely,逆に
piggery,豚小屋
prohibitionist,禁酒主義者
demodulate,復調する
dethronement,退位
manful,男らしい
tactual,触覚の
thirtysomething,30代
befoul,汚す
earwig,アリマキ
equalitarian,平等主義者
jejune,つまらない
cretinism,クレチン病
mosh,モッシュ（踊り）
nincompoop,間抜け
naturopathy,自然療法
sawhorse,馬ぞり
staphylococcus,ブドウ球菌
coastwise,沿岸航行の
jetlag,時差ボケ
milksop,軟弱者
corbel,持ち送り
baccy,タバコ
plastron,胸当て
boozer,酒飲み
benzine,ベンジン
biovar,生物型
cosmetology,美容学
earwax,耳あか
manageress,女性経営者
staph,スタフ（ブドウ球菌の略）
bijou,小物
majolica,マヨリカ陶器
worldling,俗人
appose,並置する
drippy,水っぽい
kipper,ニシンの燻製
monarchism,君主制
fledge,羽毛が生える
forsythia,レンギョウ
jalopy,ぼろ車
kris,クリス（短剣）
unbowed,屈しない
abortionist,中絶医
goodhearted,心優しい
refulgent,輝く
twerp,間抜け
contumacy,反抗
golosh,ゴロッシュ（防水靴）
voluptuary,快楽主義者
yahoo,野蛮人
castoff,捨て品
mistral,ミストラル（風）
rusticate,田舎に行く
termagant,怒りっぽい女
greenroom,楽屋
petunia,ペチュニア
cottontail,コットンテイルウサギ
flasher,露出狂
macrobiotic,マクロビオティック
mineralogist,鉱物学者
misprision,誤解
pyrometer,高温計
repairer,修理人
derange,混乱させる
bungler,へま者
destructible,破壊可能な
superstore,大型店舗
aerate,空気を通す
armyworm,アーミーワーム（害虫）
cayuse,カユース（小型馬）
praline,プラリネ
purslane,スベリヒユ
tripwire,引き金ワイヤー
umlaut,ウムラウト（変音記号）
brutalize,残虐に扱う
colored,有色の
largish,やや大きい
leadoff,先頭の
guilder,ギルダー（通貨）
insurrectionist,反乱者
cycad,ソテツ
mightiness,威厳
spearman,槍兵
smegmatis,スメグマ菌
freebooter,海賊
convolvulus,ヒルガオ
incertitude,不確実性
showery,にわか雨の
behoof,利益
backstairs,裏口の
gabardine,ギャバジン（生地）
monstrance,聖体顕示器
whipcord,鞭紐
indetermination,不確定
phonogram,音符
cowlick,寝ぐせ
pageboy,ペイジボーイ（髪型）
politesse,礼儀
coping,天端
davenport,ソファ
enkindle,点火する
hydrography,水文測量
psaltery,サルテリ（弦楽器）
unicycle,一輪車
houseplant,室内植物
angelfish,エンゼルフィッシュ
discussant,討議者
burglarize,泥棒する
carrel,学習用個室
dishpan,洗い桶
proteobacteria,プロテオバクテリア
hotchpotch,寄せ集め
stomacher,胸当て
bettor,賭け手
pelf,富
costimulation,共刺激
houri,天女
nonrestrictive,制限しない
scorcher,猛暑日
sideslip,横滑り
attar,アッタ（香油）
posthaste,急いで
educationist,教育学者
deflower,処女を奪う
housewifely,主婦らしい
kismet,運命
novena,ノベナ（9日間祈り）
outbred,交配していない
blowhard,自慢屋
amoeboid,アメーバ状の
saddlery,馬具
terrycloth,テリークロス（布）
contrail,飛行機雲
hypervariable,高度に変動する
premed,医学部準備課程
warmonger,戦争扇動者
tropopause,対流圏界面
reasonability,妥当性
sangfroid,冷静さ
flack,広報担当
fraudulence,詐欺性
thimbleful,少量
ingrain,根付かせる
hornbill,サイチョウ
accounting,会計
insignia,記章
bloodily,血まみれに
celeb,有名人
trolleybus,トロリーバス
conventicle,秘密集会
administrate,管理する
mugging,ひったくり
refection,食事
terrazzo,テラゾー（床材）
auscultate,聴診する
strongpoint,拠点
alp,高山
openwork,透かし彫り
scantiness,不足
suppurate,膿む
slangy,スラング風の
translucence,半透明
phenom,天才
seriatim,順番に
jackanapes,生意気な人
flambeau,松明
kapok,カポック（繊維）
placemat,ランチョンマット
postinfection,感染後
topper,帽子
wicketkeeper,ウィケットキーパー
coruscate,きらめく
documentarian,記録映画制作者
eolian,風による
intersperse,散りばめる
downer,気落ちさせるもの
gristmill,製粉所
lightship,灯台船
stocktaking,棚卸
blackleg,スト破り
daiquiri,ダイキリ（カクテル）
vinegary,酢のような
spinnaker,スピネーカー（帆）
turtledove,カノコバト
discotheque,ディスコ
jingo,好戦的愛国者
bluegill,ブルーギル
chambray,シャンブレー（布）
schmooze,おしゃべりする
booger,鼻くそ
disbarment,弁護士資格剥奪
microform,マイクロフィルム
microstate,微小国家
megahertz,メガヘルツ
nymphomaniac,性欲強すぎる人
kook,変人
malarkey,でたらめ
bullheaded,頑固な
bluestocking,学識女性
honeymooner,新婚旅行者
inscrutably,不可解に
placode,板状器官
electrocute,感電死させる
retool,設備を改造する
triode,三極管
balderdash,ナンセンス
commendably,立派に
dozy,眠そうな
autophosphorylation,自己リン酸化
sheave,滑車
irascibility,怒りっぽさ
ranchero,牧場経営者
subtend,（角など）を支える
garrulity,おしゃべり
pule,泣き言を言う
jailbreak,脱獄
undermanned,人手不足の
wacko,おかしな人
centerfold,雑誌の中央見開き写真
fichu,ショール
moony,ぼんやりした
unsay,取り消す
anchorman,ニュースキャスター
bowlegged,がに股の
dumbwaiter,小型エレベーター
tansy,タンジー（植物）
waggish,いたずら好きな
counterespionage,防諜活動
millpond,製粉所の貯水池
quot,引用
skinflint,けちな人
internee,抑留者
sough,風のうなり
grandnephew,甥の子
polaroid,ポラロイド写真
scrambler,かき混ぜ器
surlily,不機嫌に
venturer,冒険者
nonsmoker,非喫煙者
shouting,叫び
vermifuge,駆虫薬
wunderkind,神童
bagful,袋いっぱい
diametrical,正反対の
laywoman,一般女性信者
penstock,水管
semiofficial,準公式の
conger,アナゴ
jowly,頬がたるんだ
dodgeball,ドッジボール
fanboy,熱狂的ファン
semiprofessional,準プロ
cooperator,協力者
czarist,ツァーリ主義の
distrait,うわの空の
mustiness,かび臭さ
stupefy,呆然とさせる
baluster,手すりの柱
postulant,修道志願者
biennium,2年間
ivied,蔦で覆われた
syllabification,音節分け
swinish,豚のような
weathervane,風見鶏
eulogize,賞賛する
contortionist,曲芸師
mycology,菌学
hagiographer,聖人伝作者
endosymbiont,内共生生物
epistatic,上位遺伝の
limbless,四肢のない
roadwork,道路工事
surefooted,確実な足取りの
weeny,小さな
wickerwork,柳細工
federate,連合する
fornicate,性交する
afterburner,アフターバーナー
dele,削除記号
weightlifter,重量挙げ選手
preponderate,優勢である
hiccough,しゃっくり
zloty,ズウォティ（通貨）
endotoxic,内毒素性の
trombonist,トロンボーン奏者
eponym,名づけ親
fanlight,上げ窓
grounder,ゴロ（野球）
lapwing,ケリ（鳥）
milt,精巣液
mentalist,メンタリスト
postbox,郵便ポスト
horridly,ひどく
mellowness,まろやかさ
unconscionably,非常に不当な
oversleep,寝過ごす
crofter,小作農
inkpot,インク壺
rebroadcast,再放送
boggle,たじろぐ
prorogue,会期延期する
prolegomena,序論
perambulate,歩き回る
ordure,糞
annalist,年代記作家
edgeways,端の方に
howdah,象の座席
sucky,ひどい
slantwise,斜めに
southpaw,左利き
inductee,入隊者
mariculture,海洋養殖
puttee,脚絆
unfunny,面白くない
vivify,生き生きさせる
lymphoblast,リンパ芽球
piezoelectricity,圧電
carryout,持ち帰り
feudalistic,封建的な
furthermost,最も遠い
redact,編集する
potsherd,陶器の破片
autarchy,独裁
asterism,星群
florescence,開花
polder,干拓地
appropriator,横領者
chaffinch,イエスズメ
josh,冗談
potshot,ひやかし
indite,書き記す
milliard,十億
histo,組織（生物学）
ocelot,オセロット
papoose,子ども|ネイティブアメリカンの抱き袋
tamarack,カラマツ
blarney,お世辞
drumhead,即席裁判
fangirl,熱狂的な女性ファン
kynurenine,キヌレニン（アミノ酸代謝物）
underachieve,期待以下の成績を取る
weatherboard,外壁板
ebullience,元気
housewifery,家事
turndown,断り
souse,酔っ払い
downstate,州南部
insalubrious,不健康な
pectic,ペクチンの
plink,軽い金属音
songstress,女性歌手
vendee,買い手
biconvex,両凸の
animalcule,微生物
appall,愕然とさせる
dissembler,偽善者
grotty,不快な
barmy,ばかげた
hotcake,売れ筋商品
prorogation,議会休会
alembic,蒸留器
disestablish,国教廃止
nitpick,些細なことにうるさい
slickly,巧みに
scatterbrained,うっかり者
samarium,サマリウム（元素）
intermembrane,膜間
incrustation,堆積物
mistily,かすんで
pennyroyal,ハーブ（ペニーロイヤル）
seeming,外観上の
jilt,見捨てる
cay,小島
dovish,平和的な
testate,遺言あり
ideologist,思想家
cogwheel,歯車
cowhand,カウボーイ
cloudlet,小雲
filbert,ヘーゼルナッツ
headhunter,人材スカウト
grogginess,ふらつき
pinworm,糞線虫
fulminate,激しく非難する
ballade,バラード
oversexed,性的欲求の強い
squashy,押しつぶしやすい
intercalate,挿入する
airhead,軽薄な人
botanically,植物学的に
resample,再サンプリング
snit,怒り
infelicity,不適切
backdate,過去日付をつける
fricassee,フリカッセ
splenetic,怒りっぽい
sirup,シロップ
translocase,転位酵素
snog,キスする
museo,博物館
recoilless,反動のない
swashbuckler,冒険者
maltreat,虐待する
comestible,食べ物
obstructionism,妨害行為
shellfire,砲撃
tailwind,追い風
mullion,窓の柱
busker,路上芸人
farsightedness,遠視
goodby,さようなら
smokiness,煙っぽさ
godparent,名付け親
oddment,端切れ
convoke,召集する
cannibalize,部品流用する
emulous,競争心のある
purvey,供給する
quietus,最期
hoyden,やんちゃな女の子
convalesce,療養する
erecta,直立した
guiltiness,有罪
intermezzo,間奏曲
mensuration,測定
minesweeper,掃海艇
agoraphobic,広場恐怖症者
outplay,上回る
roughhouse,乱暴に遊ぶ
harrier,追跡犬
hipbone,股関節
cogitate,熟考する
dago,（軽蔑的）イタリア人
gimmicky,仕掛けのある
moray,ウツボ
muskeg,泥炭湿地
mantissa,小数部分
preaching,説教
tachometer,回転計
confutation,反証
fasting,断食
aflutter,そわそわした
manicurist,ネイリスト
stertorous,いびきをかく
touchline,タッチライン
pawpaw,パパイヤ
stannous,スズの
blabber,べらべらしゃべる
overtax,過剰課税する
balky,言うことを聞かない
cruse,小壺
brut,辛口シャンパン
immunogen,免疫原
vitis,ブドウ属
dimwitted,鈍い
troubleshooter,問題解決者
falchion,片手剣
permeabilized,透過性の
overplay,やりすぎる
antisepsis,防腐法
byplay,脇役の演技
hemophiliac,血友病患者
agriculturalist,農業専門家
hakim,医師（中東）
sideswipe,横からの攻撃
vagary,突飛な行動
patricide,父殺し
surtax,追加税
bereave,失わせる
hoarfrost,霜
debauchee,放蕩者
footlocker,足置き箱
macerate,柔らかくする
lamplighter,街灯点灯人
lodgement,陣地
naiad,水の精
peen,金づちの反対側
cockfight,闘鶏
dyne,力の単位
staysail,ステイスセイル（船帆）
scattershot,無差別な
dimity,薄手の綿織物
exergonic,発熱反応の
kleptomania,窃盗癖
plummy,豊かな（声など）
splintery,ささくれだらけの
pinyon,ピニョン松
slicker,防水コート
sophomoric,未熟な
heliport,ヘリポート
spoilsport,興ざめさせる人
damnit,くそっ
fishwife,口やかましい女
heathendom,異教徒の地
knout,鞭打ち
schoolbook,教科書
abominate,忌み嫌う
bicentenary,200周年
lifejacket,救命胴衣
misfeasance,職務怠慢
cummerbund,サッシュベルト
unitarian,ユニテリアン派信徒
beery,酒臭い
gosling,雛ガチョウ
aborigine,先住民
bindweed,ヒルガオ
cheep,チーチー鳴く
