madness,狂気
collectively,集団で
renewal,更新
dump,投棄場
trifle,些細なこと
distortion,歪み
shudder,震え
parcel,小包
kit,道具一式
vault,金庫室
dagger,短剣
dynasty,王朝
drone,無人機
metallic,金属の
situ,その場で
frost,霜
outlook,見通し
tab,タブ
proclaim,宣言する
directive,指示
tier,層
readiness,準備ができていること
transcend,超える
respectable,立派な
artillery,砲兵
cumulative,累積の
radar,レーダー
rationality,合理性
tenderness,優しさ
sprinkle,撒く
accuse,告発する
constructive,建設的な
remarkably,著しく
monarch,君主
innate,生まれつきの
thankful,感謝している
verification,検証
buck,オスの鹿
memorial,記念碑
optimize,最適化する
thyroid,甲状腺
medial,中央の
apt,適切な
auction,競売
erase,消す
hereafter,今後
helicopter,ヘリコプター
sue,訴える
duke,公爵
proximal,近位の
honesty,正直
hospitality,もてなし
furnish,備え付ける
lineage,血統
spider,クモ
glue,接着剤
adviser,助言者
rocky,岩だらけの
realism,現実主義
insect,昆虫
clergy,聖職者
tilt,傾ける
subjectivity,主観性
blessing,祝福
whatsoever,全く〜ない
gravel,砂利
harassment,嫌がらせ
ultrasound,超音波
nutrient,栄養素
ditch,溝
forensic,法医学の
marvel,驚異
finely,細かく
racist,人種差別主義者
inherently,本質的に
anatomy,解剖学
canoe,カヌー
arrogant,傲慢な
deaf,耳が聞こえない
segmentation,分割
cradle,ゆりかご
foreigner,外国人
aspire,熱望する
stationary,静止した
hatch,孵化する
exterior,外部の
census,国勢調査
hitherto,これまで
abstraction,抽象
altitude,高度
verdict,評決
connectivity,接続性
upwards,上方へ
tenure,在職期間
bye,さようなら
condemn,非難する
insane,正気でない
eagle,ワシ
nutritional,栄養の
statistically,統計的に
scout,偵察者
persistence,持続
rip,裂ける
salute,敬礼する
wildlife,野生生物
giggle,くすくす笑う
merger,合併
cruelty,残酷さ
scary,怖い
blur,ぼやける
pedagogy,教育学
swinge,厳しく罰する
anguish,苦悩
trivial,些細な
unprecedented,前例のない
feather,羽
candy,キャンディー
arguably,議論の余地があるが
cit,都市［cityの略語］
tremble,震える
bust,胸部
smoothly,スムーズに
quo,現状
gym,体育館
vigorous,精力的な
prosecutor,検察官
antioxidant,抗酸化物質
specialist,専門家
curiously,好奇心旺盛に
continuum,連続体
incorporation,法人化
cathedral,大聖堂
melody,旋律
cannon,大砲
symptom,症状
devote,捧げる
seasonal,季節の
hopefully,願わくば
adjective,形容詞
sur,〜の上に
humanitarian,人道的な
dissertation,論文
yeast,酵母
duct,管
lantern,ランタン
locality,場所
farewell,別れ
coronary,冠状動脈の
terribly,ひどく
exemption,免除
stubborn,頑固な
spectacular,壮観な
sailing,航海
understanding,理解
toll,料金
antiquity,古代
niche,適所
sage,賢人
invariably,いつも
polynomial,多項式
ventilation,換気
wretched,みじめな
electrolyte,電解質
landmark,目印
disappearance,消失
aisle,通路
cervical,頸部の
terminate,終了する
prose,散文
dialect,方言
soften,柔らかくする
aqueous,水性の
ya,やあ［=yes/yeah］（口語）
undergraduate,学部生
practise,練習する（英）
cheat,だます|カンニングする
noisy,うるさい
doubtless,疑いなく
angular,角のある|角張った
lure,誘惑する|誘い込む
deploy,配備する|展開する
humility,謙虚さ
restrain,抑制する
pronoun,代名詞
ventricular,心室の
instruct,指示する
dairy,乳製品の|酪農の
beautifully,美しく
contextual,文脈の|状況に応じた
debris,破片|がれき
precipitation,降水|沈殿
proudly,誇らしげに
soluble,溶ける|溶解性の
headline,見出し|ヘッドライン
portray,描写する|演じる
siege,包囲攻撃
tribute,賛辞|貢物
crisp,パリッとした|さわやかな
depiction,描写
comb,櫛|くしでとかす
vicinity,近所|近辺
haste,急ぎ|急速
tendon,腱
invade,侵入する
segregation,隔離|人種差別政策
fictional,架空の|フィクションの
crust,地殻|パンの耳
doubtful,疑わしい
dissolution,解散|溶解
undo,元に戻す
fixation,固定|執着
shove,押す|押し込む
assemble,組み立てる|集まる
villager,村人
abdomen,腹部
cigar,葉巻
shiny,光沢のある|つやつやした
roam,歩き回る|さまよう
coffin,棺桶
insertion,挿入
banner,旗|バナー
hymn,賛美歌
lengthy,長ったらしい|長い
overtake,追い越す|上回る
confer,授与する|相談する
ambulance,救急車
treatise,論文|専門書
claimant,請求者|申立人
overly,過度に
sergeant,軍曹
collateral,担保|付帯的な
socialism,社会主義
vaguely,あいまいに
pork,豚肉
speculate,推測する|思索する
chemotherapy,化学療法
golf,ゴルフ
dissent,異議を唱える
swap,交換する
masculinity,男らしさ
volatile,不安定な|揮発性の
yoga,ヨガ
spirituality,精神性|霊性
openness,開放性|率直さ
precipitate,促進する|沈殿させる
fetal,胎児の
converse,話す|逆の
analogous,類似した
memoir,回想録
functionality,機能性
com,会社［companyの略語］|通信［communicationの略語］
authenticity,信憑性|本物であること
withstand,耐える
visibility,視認性
imbalance,不均衡
toil,骨折って働く
mould,かび|型
metaphysical,形而上学の
bicycle,自転車
nasty,不快な|ひどい
hearted,心のある
deliberation,熟考|審議
propagate,繁殖させる|広める
orbital,軌道の
blog,ブログ
accidentally,偶然に
deceive,騙す
plunge,飛び込む|急落する
ensemble,合奏団|全体
aftermath,余波|結果
taxpayer,納税者
grandson,孫（男子）
catheter,カテーテル（医療器具）
mute,無言の|無音の
intestinal,腸の
booth,ブース|屋台
baptism,洗礼
plaster,しっくい|ばんそうこう
relay,リレー|中継する
runner,走者|ランナー
deception,だますこと|欺き
clone,クローン
clearance,通過許可|処理
rattle,ガタガタ鳴る|鳴らす
senator,上院議員
faintly,かすかに
mindset,考え方|心構え
detention,拘留|拘束
polarization,分極|二極化
bureaucracy,官僚制度
furnace,炉|かまど
chloride,塩化物
fireplace,暖炉
rag,ぼろ布
reflex,反射
fortress,要塞
urgency,緊急性
homeless,ホームレスの|家のない
gum,歯茎|ガム
vinegar,酢
activist,活動家
translator,翻訳者
chop,刻む|切る
loneliness,孤独
kinetic,運動の
bandage,包帯
holistic,全体論的な
folly,愚かさ|愚行
creek,小川
globally,世界的に
routinely,定期的に|いつも通りに
photographer,写真家
keeper,管理者|飼育係
coherence,一貫性|結束
velvet,ビロード
shrine,神社|聖地
omission,省略|怠慢
apprehension,不安|懸念
exhaustion,疲労|枯渇
await,待つ
scrape,こする|擦り傷
exceedingly,非常に
geometric,幾何学の
fiery,燃えるような|熱烈な
slim,ほっそりした
standpoint,観点|立場
ontology,存在論
rigorous,厳密な
familiarity,親しみ|精通
fairness,公平さ
heed,注意を払う
talented,才能のある
agitation,動揺|扇動
ah,ああ（感嘆詞）
mat,マット|敷物
presume,推測する
appoint,任命する
pillar,柱|支柱
designation,指定|任命
privately,私的に
formidable,手強い|畏怖すべき
lofty,高い|高尚な
sunny,晴れた|陽気な
grill,グリルで焼く|焼き網
exotic,異国風の|珍しい
soybean,大豆
auto,自動の|自動車
slit,細長い裂け目|切れ目
nervously,緊張して|不安げに
huh,はあ？
discriminate,区別する|差別する
meanwhile,その間に|一方で
anniversary,記念日
impart,伝える|与える
poll,世論調査|投票
implicitly,暗黙的に
id,イド（精神分析用語）
banana,バナナ
whence,どこから（古語）
commissioner,委員|責任者
resonate,共鳴する
thirst,渇き
reversal,逆転|反転
acoustic,音響の
expressive,表現力豊かな
benign,良性の|優しい
proton,陽子
ere,〜の前に（古語）
marrow,骨髄
canon,規範|教会法
postwar,戦後の
profoundly,深く|重大に
nasal,鼻の
coup,クーデター
interruption,中断
delegation,代表団
academy,学園
versa,逆に
neo,新しい
fighter,戦士
intra,内部の
eh,ええと
dwarf,小人
journalism,報道
psychic,超能力の
algebra,代数
cuff,袖口
agreeable,快い
hopeless,絶望的な
technically,技術的に
merry,陽気な
asthma,喘息
enact,制定する
blaze,炎
rating,評価
newborn,新生児
brightly,明るく
malignant,悪性の
kin,親族
buckle,バックル
bypass,迂回路
originate,始まる
downstream,下流の
redemption,償い
thump,ドスンという音
auditory,聴覚の
willingly,進んで
delegate,代表する
swamp,沼地
intuitive,直感的な
ore,鉱石
accountable,説明責任がある
therein,その中に
fridge,冷蔵庫
overthrow,打倒
latitude,緯度
bonus,賞与
continental,大陸の
preclude,妨げる
viscosity,粘度
criticize,批判する
colonel,大佐
generosity,寛大さ
sometime,いつか
combustion,燃焼
definitive,決定的な
contractual,契約の
prescribe,処方する
squad,分隊
freshly,新たに
plural,複数の
reproach,非難
revisit,再訪する
phenotype,表現型
revival,復活
maritime,海事の
excitation,励起
banker,銀行家
bi,二重の
intercept,阻止する
prestige,名声
disgrace,不名誉
menace,脅威
hay,干し草
petty,些細な
aluminum,アルミニウム
perpetual,永続的な
optional,任意の
slab,板
graceful,優雅な
disdain,軽蔑
sideways,横に
intercourse,交流
forge,鍛造する
breadth,幅
footprint,足跡
worldly,世俗的な
lessen,減らす
passport,旅券
handwrite,手書きする
radically,根本的に
patiently,忍耐強く
dine,食事する
continuation,継続
queue,列
curb,縁石
aggregation,集積
ridicule,嘲笑
cherry,さくらんぼ
monarchy,君主制
tub,浴槽
anthropology,人類学
weed,雑草
forthcoming,今後の
dart,投げる矢
indispensable,不可欠な
mediator,仲介者
wink,ウインクする
inspector,検査官
fulfil,果たす
rainfall,降雨量
partisan,党派的な|熱烈な支持者
energetic,精力的な
mobilization,動員
generalization,一般化
empowerment,権限付与
mattress,マットレス
jade,翡翠
irritation,いらだち
bulb,電球
humiliation,屈辱
consolidation,統合
bankruptcy,破産
ripe,熟した
explanatory,説明的な
vengeance,復讐
wellbeing,幸福・健康状態
turnover,売上高
appraisal,評価
massacre,虐殺
favourable,好意的な
temperament,気質
dismay,落胆
coral,サンゴ
persona,人格
oz,オンス
impress,感銘を与える
validate,検証する
rash,発疹
unfold,展開する
intermediary,仲介者
cellar,地下室
medicinal,薬用の
ski,スキー
stiffness,硬さ
tumour,腫瘍
arterial,動脈の
photography,写真撮影
livelihood,生計
transcript,写し
alleviate,和らげる
avail,役立つ
chaotic,混沌とした
soda,炭酸飲料
majesty,威厳
scenery,風景
scorn,軽蔑
reel,巻き取る
insecurity,不安定さ
serpent,蛇
unseen,見えない
virtuous,徳のある
outset,始まり
unjust,不当な
drip,滴る
entropy,エントロピー
weave,織る
inhibitor,阻害物質
cautiously,注意深く
stab,刺す
gallop,全速力で走る
cue,合図
tablespoon,大さじ
haul,引っ張る
fertile,肥沃な
solitude,孤独
basketball,バスケットボール
backup,予備
greenhouse,温室
buddy,相棒
publicity,宣伝
existential,実存の
odor,臭い
peril,危険
jazz,ジャズ
myriad,無数の
cholesterol,コレステロール
adulthood,成人期
adsorption,吸着
hub,中心地
bitterness,苦味
numb,麻痺した
unexpectedly,突然に
hazardous,危険な
careless,不注意な
infusion,注入
oxidative,酸化の
backpack,リュックサック
simulate,模擬する
epistemic,認識論の（哲学・学術用語）|知識に関する（哲学・学術用語）
gloom,陰気さ
confidential,秘密の
champagne,シャンパン
override,無効にする
predictable,予測可能な
rewrite,書き直す
vowel,母音
install,インストールする
inhabit,住む
smear,塗る
reciprocal,相互の
infantry,歩兵
regeneration,再生
entrepreneurship,起業家精神
ontological,存在論の
fertilizer,肥料
orphan,孤児
schema,図式
bra,ブラジャー
stroll,散歩する
adherence,固守
corrosion,腐食
forearm,前腕
chef,シェフ
tennis,テニス
hopeful,希望に満ちた
sinus,副鼻腔
mastery,熟達
classifier,分類子
proxy,代理
homeland,故郷
cyber,サイバー
appropriation,流用
pyramid,ピラミッド
entrepreneurial,起業家的な
millennium,千年紀
necklace,ネックレス
heartbeat,心拍
platelet,血小板
perceptual,知覚の
rug,敷物
capillary,毛細血管
fermentation,発酵
antique,骨董品
hack,切り裂く
crawl,はう
orderly,整然とした
suitcase,スーツケース
potassium,カリウム
licence,許可証
homework,宿題
crow,カラス
chord,和音
optimum,最適な
mini,小型の
intersect,交差する
recurrence,再発
unsure,確信がない
claw,爪
aforementioned,前述の
stark,厳しい
simplify,簡素化する
hen,めんどり
businessman,実業家
blunt,鈍い
resignation,辞職
reluctantly,しぶしぶ
resin,樹脂
reuse,再利用
neoliberal,新自由主義の
attainment,達成
extinction,絶滅
banquet,宴会
evenly,均等に
capsule,カプセル
replication,複製
climax,頂点
procurement,調達
expressly,明示的に
allusion,ほのめかし
bacon,ベーコン
blockchain,ブロックチェーン（分散型台帳技術）
vanity,虚栄心
laundry,洗濯物
pedagogical,教育学の|教授法の
dessert,デザート
lesbian,レズビアン
frog,カエル
internally,内部で
cocktail,カクテル
mindfulness,気づき
affiliation,所属
prioritize,優先する
gigantic,巨大な
authoritarian,権威主義の
equitable,公平な
accidental,偶然の
uphold,支持する
unreasonable,理不尽な
sperm,精子
urinary,尿の
marital,結婚の
bleed,出血する
insignificant,重要でない
compass,コンパス
politely,礼儀正しく
meditate,瞑想する
presumption,推定
theatrical,劇場の
greatness,偉大さ
encompass,包含する
solo,単独の
instructional,教育の
microscope,顕微鏡
picnic,ピクニック
reef,礁
consecutive,連続した
gracious,親切な
cosmic,宇宙の
wield,振るう
verge,瀬戸際
radial,放射状の
logo,ロゴ
ox,雄牛
ferry,フェリー
nickname,あだ名
moist,湿った
goose,ガチョウ
rig,装備する
harmonic,調和の
pagan,異教徒の
respectful,敬意を表する
articulation,発音
archaeological,考古学の
traitor,裏切り者
ligament,靭帯
actress,女優
participatory,参加の
negligence,怠慢
sparkling,きらめく
novelty,新奇さ
specialty,専門
universally,普遍的に
coli,大腸菌
snatch,ひったくる
optimistic,楽観的な
shave,剃る
unequal,不平等な
trailer,トレーラー
villain,悪役
howl,遠吠え
restrictive,制限的な
administrator,管理者
sensibility,感受性
presidency,大統領職
refrigerator,冷蔵庫
comprise,含む
diplomacy,外交
intestine,腸
mainland,本土
hoc,特別の
rhyme,韻
oversight,見落とし
financially,財政的に
reverence,敬意
basal,基底の
uncover,明らかにする
venous,静脈の
dorsal,背中の
sticky,粘着性の
trainer,トレーナー
akin,類似の
axial,軸の
amateur,アマチュア
discrepancy,不一致
