frank	フランク(F-人名)|あからさまな|無料送達する|率直な|公然の
repeat	繰り返す|くり返して言う|他言する|暗唱する|反覆|複写|写し
null	無効の|無価値の|特色(表情)のない|存在しない|零(の)
audit	監査|(帳簿など)を検査する|(講義)を聴講する
recreation	リクリエーション|レクリエーション|気晴らし|娯楽|休養|保養
strategic	戦略上の|(巧みな)戦略(上)の|計略の|有利な
certification	証明書|認可|保証
economics	経済学
landscape	の風景を美化する|庭師をする|景色|風景画
deposit	預かり|積立金|保証金|堆積物|埋蔵物|を堆積させる|を預ける|を貯金する|挿入する|蒸着する|溶着する
apartment	アパート
comfort	を慰める|元気付ける|安心させる|楽しみ
peak	頂点|峰|最高点|先端|を最高にする
debate	討論(する)|討議|熟慮|論議する|を熟考する
exclusive	排他的な|専門的な
tank	タンク|水槽|戦車
rain	雨が降る|雨
perspective	遠近法の|見込み|遠近(画)法|透視図法|遠近感|観点|展望|将来の見通し
lib	(〜)解放(liberation)
prescription	処方(箋|薬)|指示|規定|規範|法規|時効|おきて
decide	決める|決心する
infrastructure	基幹施設|経済基盤|会社の基礎設備
manner	方法|態度|行儀|風習|様式|礼儀作法
beta	(第2ギリシア文字)ベータ|Β|β|ベータ星(星座の中で2番目に明るい星 cf|α星)
paragraph	節にわける|段落|小記事(を書く)|を段落に分ける
rare	まれな|めずらしい|特別すぐれた|(空気など)希薄な
strip	人から(栄誉や地位を)奪う|を裸にする|細長い一片
lane	狭い道|小道|通路|小径
exposure	露出|暴露
pub	パブ|イギリスで発達した酒場のこと|Public Houseの略
toll	死傷者数(number of death)|損害|料金|報酬|徴収する|(鐘など)を鳴らす
experiment	実験|実験装置|試み|実験する
holder	入れもの|所有者|入れ物|所有|支える
gratis	無料で|ただで|ただの
upload	アップロード
gender	(文法上の)性(sex)
legislation	法律制定|法規|法律|法
biography	一代記|伝記
dish	大皿|盛り皿|盛付け料理|(口語)かわいこちゃん
bell	鈴をつける|鈴
jazz	ジャズ
chairman	司会者|議長|座長|委員長|会長
toward	〜の方へ
philosophy	哲学|哲理|人生観|達観
lingerie	婦人用下着|ランジェリー
gate	門|門に似た狭い通路
slightly	わずかに|ほっそりと|僅かに
ultimate	根本的な|究極|最終の|究極の|究極点
conversion	転換|換算|転向|交換
maker	製造業者|創造主
postal	郵便局の|郵便(局)の
interior	インテリア|内部|奥地|中にある|内側の|内地の
oz	重さの単位|1オンス=約28|3グラム
yard	庭
dual	(文法)双数の|二者の|二重の|二つの部分から成る
episode	挿話
extend	を広げる|延長する|広がる|伸びる
static	静止した|空電|静的な
proof	証明|証拠|試験|論証|に耐える|検査済みの|保証付きの|校正刷り
factory	工場|代理店
tea	茶|ドレミのシ(Doe,Ray,Me,Far,Sew,La,*)
accuracy	精密さ|正確|精度
shower	に水を注ぐ|にわか雨|夕立
specify	明白に記す|記入する|を明細に述べる|を指定する|を明細書に記入する
soil	土壌|土|土地|国土|汚す|けがす|汚れ|汚水|肥料
hip	しり|センスのある|流行最先端の|臀部|腰|賢い
moon	月
array	陣列|隊列|装い|整列させる
guard	用心する|歩哨|見張り|守る|保護する|を慎む|警戒する|護衛者|番人 (UK英)列車の車掌
highway	主要ルート|ハイウェイ|幹線道路
audience	支持者|聴衆|謁見|観客|観衆
novel	(長編)小説|新しい|珍しい|異常な|新奇な
practical	実際的な|現実的な|役に立つ|実地の|経験豊かな
famous	よく知られた|有名な|名高い
violence	狂暴性|激しさ|暴行|乱暴|強姦|冒涜|バイオレンス|暴力
cape	肩マント|岬|ケープ
preparation	準備|用意
admission	入場|入学|許可|告白
permanent	永久の|(半)永久的な|永続する|耐久の|常設の
agriculture	農業|農業の|農学
cancel	無効にする|取消し
folk	(特定の)人々|town folk 町の人たち|(people のほうが一般的)
conclusion	結論|結末
realize	理解する|を悟る|を実現する
tower	塔|やぐら|要塞|とりで|そびえる
configure	作る|構成する
originally	独創的に|もとは|元は|元来|本来|初め|始め|元々
keyboard	キーボード|鍵盤
producer	生産者|演出家|製作者|興行主|経営者
provision	供給|用意
regulation	規則|取り締まり|規定|条例|調節|調整|法規
secondary	二流の|衛星|代理人|第2の|二次的な|補助的な|(学校･教育が)中等の
entity	存在|存在物|実在物|存在者|自主的なもの|独立的なもの|自主性|独自性|実在
nutrition	栄養物摂取|栄養物|滋養の|食物
turkey	トルコ共和国|七面鳥
bottle	瓶
wonderful	すばらしい
neighborhood	近所の人々|近所|付近
ticket	切符
majority	大部分|大多数|過半数|多数党|成年
tournament	トーナメント|試合|競技|選手権大会
proceed	進む|～しはじめる
prevention	防止|予防
commitment	献身|傾倒|約束
instant	切迫した|瞬間
presence	プレゼンス|存在|物腰|面前|居ること|存在すること|出席|同席|人前|参列
automatic	自動的|自動の
whom	だれに|だれを|するところの人|そしてその人を
soccer	サッカー
calculator	計算機
tune	曲|ふし|旋律|調べ|正しい調子|の調子を合わせる
serial	(番号などが)連続的な|連載の|連載物|続き物|連続番組|連続もの
resume	再会する|回復する|占める|を取り返す|履歴書(=curriculum vitae)
decrease	減る|減らす|減少|(反)increase
lift	解除する|向上させる|持ち上げる|高揚|昇進|助力|リフト
specialty	専門|名物|特徴
healthcare	ヘルスケア
participation	関与|参加|加入|にあずかること
pad	当て|詰め物|当て物|に詰め物をする|を長引かせる
coat	の表面をおおう|めっき|覆う
ideal	理想にかなった|理想|極致|基準|観念的なもの|最上の|典型
broad	(軽蔑的に)女|幅の広い|広義の|明白な|下品な|一般的な|明るい|広大な|幅がある|楽しみ|(俗)若い女
removal	除去|移動
actor	俳優
toy	おもちゃ|おもちゃの|つまらぬもの|もてあそぶ|いいかげんに扱う
threat	脅迫|おどし|脅威
twin	双子の片方|双子|似た者の一方
ahead	前もって|前方に
genetic	遺伝子の|発生の|起源の
utility	ユーティリティ|役に立つこと|役に立つもの
ink	インク|調印する|sign
spy	ひそかに調査する|密かに見張る|スパイ
delta	(第4ギリシア文字)三角州|デルタ|Δ|δ
attachment	取付け|付着|接着|吸着|付着物|付属物|付属部品
salt	塩(の)|塩辛い|刺激|に塩をかける
despite	〜にも関わらず
proper	適切な|正しい|礼儀正しい|正常の|固有の|(名詞の後ろで)厳密な意味での
buddy	親友|仲間|相棒
contemporary	現代の|最新の|同時代の|同時期の人|同年齢の人
cartridge	カートリッジ|パトローネ|薬包|弾薬筒
blonde	金髪の
mill	ひき臼|製粉機|水車場|工場|圧搾機|製粉する
alpha	(第1ギリシア文字)アルファ|Α|α
cream	クリーム|乳脂|最良の部分
exit	出口
percentage	パーセンテージ|百分率|割合|手数料|利益
loop	環状をなす折返し点|輪|中心点|に巻き付ける|輪になる|宙返り飛行する|ループ|を輪にする
collect	を集める|を徴収する
dinner	ディナー|夕食
inspection	検査
nurse	養成する人|看護婦|乳母|授乳する|看護する|大事に育てる|(思想など)を心に抱く
empty	空の|空虚な
hey	おい!|ちょっと|おい
chamber	公式の間|議場|議院|会議所|室|寝室|貸室
previously	以前は|前もって
bureau	官庁の局|事務局(an information bureau案内所)|化粧ダンス
accident	天災|偶然|事故|災難
building	建物
customize	を注文で特製する
miller	粉屋|製粉業者|フライス盤
adobe	日干しレンガ
exhibit	展覧する|公開する|展示品|展示する|証拠
header	(くぎなどの)作頭機|穂摘み機|(俗)さかさ飛込み|ヘッディングによるシュート(パス)
router	ルーター
folder	書類はさみ|折りたたみ器|紙挟み|折りたたみパンフレット
ram	雄羊|杭打ち機|RAM(Random Access Memory|コンピュータ記憶装置
luxury	豪奢な(品)|ぜいたく|快楽|贅沢(品)|おごり|満足|贅沢な
advisory	助言の|顧問の|諮問の
introduce	を紹介する
wrap	を包む|包装紙|覆うもの
hate	ひどく嫌う|することをいやがる|憎む|残念に思う
verify	証明する|が本当であることを証明する|を立証する
plot	(陰謀など)を企てる|構想をねる|地区|小区画の土地|脚色|筋
salary	棒給|給料|サラリー
nearby	すぐ近くの|すぐ近くに|すぐ隣に
villa	(大)別荘|いなかの(大)邸宅|(UK英)郊外住宅
annotation	注|注釈
complaint	不平|グチ|不満|(民事の)告訴|病気
bio	バイオ
certainly	もちろんです|必ず|確かに|確実に|そうですとも
muscle	筋肉|腕力|圧力|強引に押し進む
outlet	(チェーンの)店(｢販売代理店｣が原義)|販路|小売店|コンセント|出口|はけ口
indeed	本当に|実に|全く|実際は|なるほど|いかにも
examination	試験|調査
virgin	純潔の|未婚婦人|修道女(まれ)
reaction	反応|反作用
anyway	とにかく
ignore	(意図的に)無視する|怠る|知らないふりをする
jacket	ジャケット|上着|被覆物|カバー|(動物の)毛皮
province	分野|州|地方|国|県|田舎|地域|省|範囲
trademark	商標|登録商標
notification	通知書
exception	例外|除外|異論|異議
exceed	(程度･限度など)を越える|を凌ぐ|より大きい|に優る
storm	突入する|強襲する|嵐(が吹く)|暴風
backup	バックアップ
mostly	たいていは|大部分は|主に
noise	(不快で非音楽的な)音|騒音|騒がしさ|雑音|言い触らす
relief	(苦痛などを)取り除くこと|安心|休息|救援|救済
pilot	パイロット|水先案内人|を導く|を通す|試験的な|(ガスの)口火
athletic	運動競技の
evil	不吉な|悪|悪い|邪悪な|不運の
optical	光学上の|眼の
curriculum	教育課程|カリキュラム
transmission	変速機|送信|伝達|伝染|伝導|発信
hiv	ヒト免疫不全症ウイルス
algorithm	アルゴリズム|演算手順
equivalent	同価値の|～相当の|等価な物|等しい|同等物
reasonable	道理にかなった|思慮分別のある|適度な|妥当な
chocolate	チョコレート
width	幅|広さ
broadband	ブロードバンド
combine	を結合させる|組み合わせる|結合する
importance	重要性|身分の高いこと
blogger	ブロガー|ブログを運営する人
marketplace	市の開かれる広場|売り込み市場
onto	〜の上へ
compact	ぎっしり詰まった|コンパクトな|小型車|小型|(二国間または多国間の)盟約|盟約を結ぶ
crack	〜にひびを入れる|割る|神経が参る|コカイン|パリッ|ピシッ|雷の音
encyclopedia	百科事典|百科辞典
terminal	死に至る|終末の|終点|ターミナル|3端末|端子
recipe	調理法|製法|処方箋|方策|手段
sentence	宣告|判決|(の判決を)宣告する|文
constant	変わらない|定数|不変の|絶え間ない|一定の|不断の
tennis	テニス
formula	公式|方式|式辞|調合乳
broker	ブローカー|仲買人
generic	ノーブランドの|属の|一般的な|包括的な|(文法)総称的な
rapid	速度が速い|急速な|早急の|険しい
charter	に特許を与える|憲章|憲法|constitution
specifically	明確に|特に
lifestyle	生活様式
honor	名誉(となるもの)|光栄|尊敬|栄誉を授ける
converter	改宗させる人|転炉|(原子力)転換炉|(電気)変換器
conservation	保存|保護|維持|国家管理
lecture	小言を言う|講演|講義する|講義|説教
climate	風土|気候|地方|地帯|土地
evolution	進化(論)|発展|展開|考案|旋回|放出
obligation	負担|恩義|義務|債券|債務|義理|お陰
camcorder	カムコーダー|カメラ一体型VTR
usage	用法|使用法
oak	オーク材の|オーク|カシ|ナラ
discovery	ディスカバリー
modify	修正する|緩和する|修飾する
yeah	はい
taste	を味わう|を経験する|味|風味|好み|風情|経験
census	人口調査|国勢調査|個体数調査|の人口を調査する
wash	洗う|を押し流す
bathroom	バスルーム|トイレ
gnu	ヌー|ウシレイヨウ
prince	王子|王|皇族|皇子|プリンス|公爵|君主
visa	査証|裏書き|ビザ|旅券に裏書きをする|ビザを与える
appendix	付属物|(俗)盲腸
transit	通過する|運送|推移|通過|経過|通行|運搬|輸送
hop	跳躍|ぴょんと跳び越す|(植物)ホップ|ホップの実(ビールの苦味をつける)|麻薬|阿片
exam	試験|examination
aware	気づいて|に気づいている
puzzle	を当惑させる|困らせる|難問|パズル
alliance	同盟|連合|提携|協力
sum	金額|合計|(～を)要約する|(～を)合計する
lamp	ランプ|光明|灯火|を照らす
banner	旗|標語を書いた旗じるし|(第一面トップの)全段抜きの大見だし|(歓迎の)垂幕|横断幕
wet	を濡らす|湿る|に小便をする|濡れた|保存された|酔った|雨降りの|禁酒反対者|湿気
alcohol	アルコール
legend	言い伝え|伝説|題銘|表題|解説
estimate	推定する|評価する|見積もり
shell	骨ぐみ|貝殻|殻|外観
organic	有機体の|器官の|基本的な|有機物(の)|器質的
eagle	ワシ|鷲|米国の国章|イーグル
scope	範囲|余地|機会|作用域
sharp	明敏な|鋭い|急な|はっきりした|激しい|きびしい|鋭敏な|ちょうど
interracial	異人種間の
competitive	競争が激しい|競争力がある
poetry	詩歌|詩|韻文|詩集|作風
pipe	パイプ|導管|きせる|1服分|導管で導かれる|を吹く
pan	鍋|酷評|酷評される
bone	骨
representation	代表|表現
extent	程度|範囲
glossary	用語解説|語彙解説|小辞典
possibility	可能性|見込み|将来性|実現性|ありうること|起こりうること
accordance	一致|授与
controller	支配者|管理人|制御(操縦)装置
accurate	明確な|的確な|正確な
inventory	物品明細表|在庫|在庫リスト
convert	を転換する|change|改宗させる
announce	を発表する|を知らせる
playstation	プレイステーション(ゲーム機)
instruction	教授|教育|指令|指図|使用説明書
raw	原料のままの|すり傷|生の|生焼けの|未加工の|ひりひり痛む
concentration	集中|濃度|選鉱
split	株式の分割|割る|分け合う|割り勘にする|を分裂させる
assignment	割り当て|譲渡|指示|宿題|仕事|任務|任命|指摘
husband	夫|(v)倹約･節約する
aircraft	航空機|飛行機
efficiency	能力|効率
compensation	補償|給与|報酬|代償|補正|補強
mouth	口
catalogue	目録を作る|カタログ
worry	心配する
governor	統治者|知事|総督|親方|雇い主|支配者
fox	キツネ|狐|狡猾な人|すごい美人
mathematics	数学|計算|数学の|全く厳密な
plane	飛行機
lie	横たわる|横になる|寝る|うそ|詐欺
dean	学部長
explorer	探検家
shock	衝撃|打撃|電撃|をぎょっとさせる|を憤慨させる
outline	外形|輪郭|概略|の輪郭を描く|要点を述べる
smile	ほほえむ|にっこり笑う
tube	地下鉄|パイプ|管|筒|管楽器|チューブ
innovation	(技術)革新|刷新|新機軸
bulletin	公報
logic	ロジック|論理学|論理|道理|理詰め
heritage	文化的遺産|遺産|相続財産
kid	子供|若者青年|子ヤギ|子ヤギの革 2|からかう|ふざける
builder	大工|工務店
comedy	喜劇
consultation	相談|会議|協議
mesh	網目|網の目|網|わな|網で捕らえる|かみ合わせる|協力させる
coordinate	調和して動く|調整する|統一させる|釣合|(文法)等位の
florist	花屋の人
prize	賞|賞品
immediate	すぐ隣の|直後の|即座の|当面の
agricultural	農業の
meal	食事
acquisition	習得
reverse	を反対にする|逆転する|逆(の)|反対(の)
