kennel,犬小屋
fledgling,駆け出しの
inscrutable,不可解な
equatorial,赤道の
noose,輪縄
myeloid,骨髄性の
cochlear,蝸牛の（内耳の部分）
swath,広がり
hype,誇大広告
unyielding,断固とした
totem,トーテム
whimsical,気まぐれな
kcal,キロカロリー
reclamation,開拓|再生
hectare,ヘクタール
signpost,道しるべ
tantamount,〜と同等の
fructose,果糖
penchant,嗜好
conscription,徴兵
bedchamber,寝室
inhabitant,住人
footwear,履物
omnipotent,全能の
watermark,透かし
fingertip,指先
ellipsis,省略記号（…）
duplex,二重の|二世帯住宅
impeccable,非の打ち所がない
palatable,口に合う|好ましい
legible,判読できる
rationalism,合理主義
seaman,船乗り
frontline,最前線
sameness,同一性|単調さ
ingest,摂取する
belle,美人
bodice,胴衣
attentional,注意の（心理学用語）
nationalistic,国家主義の
redhead,赤毛の人
sally,突撃|軽口
wilt,しおれる
noncompliance,不履行
hatchet,手斧
flowery,花のような|美辞麗句の
beau,恋人|ハンサムな男
chattel,動産|奴隷
eloquently,雄弁に
materialistic,物質主義的な
imprison,投獄する
listing,リスト化|掲載
blackout,停電|一時的記憶喪失
comforter,慰める人|掛け布団〈アメリカ英語〉
intimation,ほのめかし
spawn,（魚などが）卵を産む|結果を生む
convolute,巻きつける|複雑にする
smallholder,小規模農家
extrapolation,外挿|推定
sherry,シェリー酒
trachea,気管
fraternal,兄弟の|友愛の
monolingual,単一言語の
sanguine,楽観的な|血色の良い
lax,緩い|だらしない
conclusively,決定的に
backfire,裏目に出る
quoth,〜と彼は言った（古語）
penitent,後悔している
figuratively,比喩的に
nongovernmental,非政府の
cosine,余弦（数学）
ole,オレ！（スペイン語の歓声）
horseman,騎手
frugal,倹約的な
heaviness,重さ|重苦しさ
frustrate,挫折させる
cocky,うぬぼれた
reflector,反射板
kerosene,灯油
paranormal,超常現象の
greedily,貪欲に
blob,しみ|かたまり
crux,核心
workmanship,職人技
ploy,策略
ruefully,悔しそうに|悲しげに
pestilence,疫病
gala,祝祭|祭典
amide,アミド
handsomely,立派に|見事に
sportsman,スポーツマン|運動選手
chic,シックな|上品な
thrift,倹約
gratify,満足させる
caries,虫歯（医学用語）
errant,誤った|道に外れた
circuitry,回路系統
sobriety,しらふ|冷静
contrivance,工夫|仕掛け
epileptic,てんかんの
panther,ヒョウ|黒豹
monotone,単調
magnate,大物|有力者
instantaneously,即座に
bison,バイソン|アメリカ野牛
derogatory,軽蔑的な
verandah,ベランダ|縁側
fa,ファ（音階）
unobserved,気づかれずに
transcribe,書き写す|文字起こしする
deconstruction,脱構築（特に文学理論で）
fluff,綿毛|軽いもの|（演技などの）失敗
blurt,うっかり口にする
planter,プランター|植民地開拓者
buoyant,浮かぶ|快活な
ferret,フェレット|探し出す
undisputed,議論の余地がない|確かな
malevolent,悪意のある
going,行き|進行
internalization,内面化
childless,子供のいない
poise,落ち着き|バランス
zenith,絶頂|天頂
interlocutor,対話者
gourd,ひょうたん
dune,砂丘
amorous,恋愛の|情熱的な
crispy,カリカリした|パリッとした
earthen,土製の
probate,遺言検認
statewide,州全体の
leech,ヒル|しつこい人
kilometer,キロメートル
sultry,蒸し暑い|情熱的な
sensibly,分別を持って
reverend,尊敬すべき（敬称）|牧師
sweetener,甘味料
alchemist,錬金術師
haemorrhage,出血（英）
berserk,狂乱した
wane,衰える|欠ける
classically,古典的に
login,ログイン
gymnasium,体育館
contraindicate,禁忌とする
sunburn,日焼け
videotape,ビデオテープ
alertness,注意力|警戒心
mayonnaise,マヨネーズ
subservient,従属的な
rump,臀部|残り物
deign,身を落として〜する
deadlock,行き詰まり
storehouse,倉庫|知識の宝庫
brunt,矛先|主力
mightily,力強く|非常に
brig,船の監禁室|二本マストの帆船
jugular,頸静脈
knead,こねる
mutilation,切断|損傷
illogical,非論理的な
more,より多くの
angiogenesis,血管新生
neurotic,神経症の
compaction,圧縮|圧密
rescuer,救助者
gush,ほとばしる|噴出
pairwise,ペア単位で
rainwater,雨水
collarbone,鎖骨
teapot,ティーポット
moose,ヘラジカ
rodeo,ロデオ
lustre,光沢|輝き
vale,谷間|谷
coerce,強制する
malleable,柔軟な|可鍛性の
superficially,表面的に
polysaccharide,多糖類
locomotion,運動|移動
unresponsive,無反応の
conveyor,搬送装置|伝達者
candlelight,ろうそくの灯り
arbiter,仲裁者|決定者
guidebook,ガイドブック
consummation,完成|成就
malaise,不快感|不調
disembody,肉体から解き放つ
redness,赤み|赤さ
hematopoietic,造血の
curfew,門限|外出禁止令
fn,関数（function の略）
slimy,ぬるぬるした
mince,細かく切る|控えめに言う
devious,遠回しの|ずるい
vertigo,めまい
standby,待機|代替要員
oration,演説
oxidant,酸化剤
pastel,パステル|淡い色
methodically,秩序立てて|系統的に
clearness,明瞭さ
retake,再取得|再撮影
grizzly,ハイイログマ
bookshop,書店
candlestick,ろうそく立て
haphazard,でたらめな|無計画な
empiricism,経験主義
constitutionalism,立憲主義
genitals,生殖器
smoothness,滑らかさ
greenery,緑|草木
anaesthetic,麻酔薬
inexorable,容赦のない|止められない
heath,荒野|ヒース（植物）
impervious,影響されない|通さない
maniac,狂人|熱狂者
hydrodynamic,流体力学の
infatuation,夢中|恋の陶酔
redemptive,救済の
indemnity,補償|賠償
wobbly,ぐらぐらする|不安定な
wandering,放浪する|さまよう
alligator,アリゲーター（ワニ）
acetone,アセトン（溶剤）
bravado,虚勢
undeveloped,未発達の|未開発の
blah,退屈なこと|つまらない
paucity,不足|欠乏
vehement,激しい|熱烈な
colorless,色のない|無味乾燥な
brownish,茶色がかった
oncoming,近づいてくる
philanthropist,慈善家
tradeoff,相殺|トレードオフ
chrome,クロム|メッキ
granny,おばあちゃん
stealthily,こっそりと
redevelopment,再開発
melodrama,メロドラマ|大げさな劇
ultimatum,最後通告
ave,通り［avenueの略語］|アヴェ（挨拶や祈り）
husbandry,農業|節約
unmistakably,明らかに|間違いなく
imperfection,不完全|欠点
desist,やめる
complicit,共謀した|加担した
unexplored,未踏の|未解明の
neutrino,ニュートリノ（素粒子）
gore,血みどろ|突く
oregano,オレガノ（ハーブ）
custodial,保護の|拘留の
hapless,不運な
musty,かび臭い
sophomore,（高校・大学の）2年生
oatmeal,オートミール
befriend,友達になる
lawfully,合法的に
verily,確かに（古風）|本当に（古風）
microcosm,小宇宙|縮図
audiovisual,視聴覚の
hyperactivity,過活動
assuage,和らげる|なだめる
barbarism,野蛮|残虐行為
eukaryotic,真核生物の
separatist,分離主義者
unwillingly,しぶしぶ
irritate,イライラさせる
accretion,蓄積
encapsulate,要約する|カプセル化する
hypertensive,高血圧の
croak,ガーガー鳴く|かすれ声
cookbook,料理本
omnipresent,遍在する|どこにでもある
dove,平和の象徴のハト
antiseptic,防腐剤|殺菌の
crazily,狂ったように
parochial,偏狭な|教区の
brooch,ブローチ
pacemaker,ペースメーカー
counterpoint,対比
constriction,収縮
impetuous,衝動的
stoic,冷静な
workbook,作業帳
vouch,保証する
forestall,未然に防ぐ
sacramental,聖礼典の
ineffectual,無力な
tuft,房
lukewarm,なまぬるい
brocade,錦織
grasshopper,バッタ
uncomplicated,簡単な
porter,運搬人
candidacy,立候補
sprite,妖精
outlying,辺ぴな
fetish,フェティシズム
subscript,下付き文字
adrift,漂流して
townspeople,町の住民
psychoanalyst,精神分析医
assassinate,暗殺する
delirious,錯乱した
indecision,優柔不断
bombing,爆撃
psychopath,精神病質者
doer,実行者
whitish,白っぽい
custard,カスタード
humiliate,恥をかかせる
fallow,休耕地
craving,切望
reelection,再選
handmade,手作りの
neoplastic,新生物の
rabies,狂犬病
appellation,名称
misread,読み間違える
enormity,極悪
starlight,星明かり
grader,採点者
fennel,ウイキョウ
cyanide,シアン化物
authenticate,真正と証明する
lackey,召使い
grandiose,大げさな
commoner,平民
valour,勇気
byte,バイト
deafness,難聴
tenacious,粘り強い
roadmap,行程表
equine,馬の
vesicle,小胞
bronchial,気管支の
arrowhead,矢じり
dunno,知らない（俗語）
locale,場所
permissive,寛容な
tremulous,震える
cleaner,清掃員
smelly,臭い
medulla,延髄
schism,分裂
colloquial,口語的な
rickety,がたがたの
indiscriminate,無差別な
agitate,扇動する
leper,ハンセン病患者
suitor,求婚者
anticipatory,予期的な
demolish,取り壊す
psi,サイ（超能力）
glean,少しずつ集める
absorbance,吸光度
implausible,信じがたい
genteel,上品ぶった
unscathed,無傷の
placate,なだめる
preferentially,優先的に
inflate,膨らませる
penthouse,最上階の部屋
plagiarism,盗用
insular,島の|閉鎖的な
afterthought,後からの思いつき
dossier,書類一式
guitarist,ギタリスト
intelligentsia,知識階級
fatally,致命的に
aberrant,異常な
monolayer,単層
loudspeaker,スピーカー
muddle,混乱
precautionary,予防的な
trophic,栄養の
emigrate,移住する
entrapment,罠にはめること
unattainable,達成不可能な
impassive,無表情の
hilltop,丘の頂上
succinct,簡潔な
grumpy,不機嫌な
epinephrine,アドレナリン
forcible,強制的な
histologic,組織学の
overland,陸路の
untrained,訓練されていない
contemptuously,軽蔑して
tenet,信条
unregulated,規制されていない
coolant,冷却剤
gist,要点
innkeeper,宿屋の主人
testator,遺言者
sorghum,モロコシ
urethra,尿道
adrenergic,アドレナリン作動性の
girth,胴回り
ectopic,異所性の
comorbid,併存の
handiwork,作品
steeply,急に
squid,イカ
chute,滑り台|シュート
stalemate,行き詰まり
elaborately,念入りに
distasteful,不快な
ethnographer,民族誌学者
dermis,真皮
exudate,滲出液
snub,冷たくあしらう
oligarchy,寡頭制
camaraderie,友情
vagabond,放浪者
confederate,同盟者
disgruntle,不満を抱かせる
irrevocable,取り消せない
insufficiently,不十分に
resorption,吸収
epiphany,ひらめき
powerhouse,強力な存在
hypothesize,仮定する
scornful,軽蔑的な
incredulously,疑わしげに
imperfectly,不完全に
restlessly,落ち着かずに
reprieve,執行猶予
wench,娘（古語）
magnify,拡大する
eggplant,ナス
fickle,気まぐれな
gauntlet,挑戦
choreography,振り付け
vicarious,代理の
vindicate,正当性を証明する
disapprove,賛成しない
ambulatory,歩行可能な
ostrich,ダチョウ
glade,林間の空き地
blameless,非の打ち所がない
colloid,コロイド
ow,痛っ
jihad,聖戦
goodnight,おやすみ
inductance,誘導
dyslexia,読字障害
effectual,効果的な
keynote,基調
basalt,玄武岩
samurai,侍
harass,嫌がらせをする
unaccustomed,慣れていない
waggon,荷馬車
wiry,筋張った
unremarkable,目立たない
indignity,侮辱
posse,自警団
disengagement,解離
irregularity,不規則
astronaut,宇宙飛行士
sacral,仙骨の
pollination,受粉
rashly,軽率に
consecration,神聖化
noisily,騒がしく
trapper,わな猟師
presumptuous,出しゃばりな
elixir,万能薬
anteriorly,前方に
disinfectant,消毒剤
nutshell,要約
amp,アンプ
widower,男やもめ
depravity,堕落
versatility,多才
luscious,美味な
prospectus,案内書
cognizant,認識している
effigy,人形
intolerant,不寛容な
dolphin,イルカ
vagrant,浮浪者
jokingly,冗談で
culpability,罪責
travail,苦労
outage,停電
prelate,高位聖職者
heather,ヒース
cognate,同語源の
repudiate,拒絶する
checker,検査員
ruckus,騒動
flail,振り回す
bottomless,底なしの
eyeball,眼球
unfulfilled,満たされていない
straddle,またがる
cranberry,クランベリー
exterminate,駆除する
ablaze,炎上して
contender,競争者
frolic,はしゃぐ
corona,光冠
droop,垂れ下がる
acetyl,アセチル
indivisible,分割できない
talkative,おしゃべりな
horseshoe,蹄鉄
serviceable,実用的な
reassess,再評価する
mirage,蜃気楼
falsity,虚偽
heinous,凶悪な
corset,コルセット
snuggle,寄り添う
dais,演壇
freshen,新しくする
duress,強制
salsa,サルサ
furtive,こそこそした
collaborator,協力者
combinatorial,組合せの
declarative,宣言的な
stubbornness,頑固さ
suboptimal,最適でない
rationalist,合理主義者
elation,有頂天
unanticipated,予想外の
facile,安易な
decoder,解読器
genitalia,性器
caustic,辛辣な
hamster,ハムスター
masterful,堂々とした
scythe,大鎌
angina,狭心症
pacifist,平和主義者
monstrosity,巨大で醜いもの
laminar,層流の
limousine,リムジン
hallucination,幻覚
breeder,繁殖者
forceps,鉗子
codification,成文化
elitist,エリート主義の
perinatal,周産期の
orchestrate,巧みに調整する
incurable,不治の
inferential,推論的な
talker,話し手
kiosk,売店
mapping,写像
dryness,乾燥
dont,しないで（俗語）
sinusoidal,正弦波の
fortification,要塞
diagonally,斜めに
tripartite,三分の
osteoarthritis,変形性関節症
laughable,笑える
prejudicial,偏見を生む
hypothalamic,視床下部の
miller,製粉業者
thalamus,視床
admittance,入場
sociable,社交的な
bran,ふすま
rigour,厳格さ
girder,大梁
triangulation,三角測量
caloric,熱の
pretrial,公判前の
doublet,ダブレット|二重のもの
disengage,切り離す
diction,語法
repatriation,送還
gallantry,勇敢さ
vertebrate,脊椎動物
ding,へこみ
transpose,入れ替える
clothe,服を着せる
lenient,寛大な
socialize,交流する
headland,岬
prodigal,浪費家
mister,〜さん
soundness,健全性
disconnection,切断
oddity,奇妙さ
estrangement,疎遠
entryway,玄関
despotic,専制的な
positron,陽電子
crucible,坩堝
encrypt,暗号化する
laity,一般信徒
epitaph,墓碑銘
womanly,女性らしい
malign,中傷する
betwixt,〜の間に（古語）
shortness,短さ
sprawl,無秩序に広がる
initialization,初期化
ovulation,排卵
undetected,検出されていない
equalize,均等にする
lubrication,潤滑
ovum,卵子
neurodegenerative,神経変性の
mouthpiece,吹き口|代弁者
ballast,バラスト
detonation,爆発
unholy,不浄な
discouragement,落胆
handicraft,手工芸
clubhouse,クラブハウス
debatable,議論の余地がある
confiscation,没収
disdainful,軽蔑的な
patrician,貴族
digger,掘削者
descriptor,記述子
defection,離反
vitally,極めて
headmaster,校長
honeycomb,蜂の巣
coworker,同僚
melodious,旋律的な
moody,気分屋の
auburn,赤褐色の
unsatisfied,不満な
painless,無痛の
steamer,蒸気船|蒸し器
extortion,恐喝
urethral,尿道の
indisputable,議論の余地がない
admonish,戒める
believable,信じられる
carb,炭水化物（略）
espresso,エスプレッソ
lurid,ゾッとする
scuffle,小競り合い
sprinkler,スプリンクラー
irregularly,不規則に
aggravate,悪化させる
awning,日よけ
stroma,間質
curated,厳選された
reticence,無口
predictably,予想通りに
bask,浴びる
abate,和らぐ
insurgent,反乱者
obviate,取り除く
banal,陳腐な
ecologically,生態学的に
recalcitrant,反抗的な
ungodly,不信心な
acreage,面積
underrepresented,過小評価された
biosphere,生物圏
retinue,随行員
brewer,醸造者
emulation,模倣
perchance,ひょっとして（文語）
funerary,葬儀の
centroid,重心
felicity,至福
magma,マグマ
guttural,喉音の
conservatory,温室|音楽学校
firelight,焚き火の光
cleverness,賢さ
prosaic,平凡な
antelope,カモシカ
paltry,わずかな
lute,リュート
wick,芯
distillery,蒸留所
laceration,裂傷
alienate,疎外する
biochemistry,生化学
bilirubin,ビリルビン
geothermal,地熱の
tuple,組（タプル）
loading,積載
itinerant,巡回の
morgue,遺体安置所
microenvironment,微小環境
onerous,厄介な
dredge,浚渫する
parathyroid,副甲状腺
copula,連結詞
apiece,それぞれ
overexpression,過剰発現
dribble,垂らす
categorically,明確に
detestable,忌まわしい
painstaking,丹念な
pimp,ポン引き
quintessential,典型的な
precept,教訓
humanoid,人型の
vibrator,バイブレーター
hilly,丘の多い
knave,悪党
windowsill,窓辺
syllogism,三段論法
wasteland,荒地
accrual,発生
upbeat,楽観的な
cantilever,片持ち梁
forfeiture,没収
grudgingly,いやいやながら
juror,陪審員
axon,軸索
motivator,動機付け要因
laminate,積層する
godfather,名付け親
hypothyroidism,甲状腺機能低下症
painstakingly,丹念に
hypothermia,低体温症
pallid,青白い
enrolment,登録
delimitation,境界設定
kangaroo,カンガルー
trooper,騎兵|兵士
commandant,司令官
baptize,洗礼を施す
aristocrat,貴族
shamelessly,恥知らずに
uncertainly,不確かに
throe,激痛
polemical,論争的な
supremacist,優越主義者
celebratory,祝賀の
telecommunication,遠距離通信
swerve,それる
exhalation,吐息
peruse,熟読する
buoyancy,浮力
contributory,寄与する
discipleship,弟子の立場
apothecary,薬剤師（古語）
conformational,立体構造の
plummet,急落する
obscenity,わいせつ
trill,巻き舌音
enteric,腸の
jovial,陽気な
denture,入れ歯
fad,一時的流行
conciliatory,融和的な
disillusionment,幻滅
unbridled,抑えのない
fandom,ファン層
misinformation,誤情報
preventative,予防の
techno,テクノ（音楽）
refrigeration,冷却
tragically,悲劇的に
negotiable,交渉可能な
rename,改名する
instigate,扇動する
damnation,地獄落ち
buccal,頬の
federally,連邦レベルで
antiquate,時代遅れにする
quad,四角形|四人組
sorption,吸着
boatman,船頭
litre,リットル
outpouring,流出
engraving,彫刻
withal,それにもかかわらず
evasive,曖昧な|回避的な
wrestler,レスラー
purportedly,〜とされている
bourbon,バーボン（ウイスキー）
artefact,人工物
namesake,同名の人|物
asterisk,アスタリスク（＊）
orthopedic,整形外科の
bilingualism,二言語使用
plantar,足底の
toothpaste,歯磨き粉
rudeness,無礼
enslave,奴隷にする
quorum,定足数
subjectively,主観的に
smartly,きびきびと
reticulum,小網（生物）
pretentious,気取った
preconceive,あらかじめ想定する
lactation,授乳
anaesthesia,麻酔
verifiable,検証可能な
anonymously,匿名で
flirtation,いちゃつき
typhoid,腸チフス
diarrhoea,下痢
voicemail,留守番電話
intravascular,血管内の
implacable,容赦ない
finesse,巧妙さ
jerky,ぎこちない
hearken,耳を傾ける（古語）
undecided,未決定の
nobly,高潔に
afield,遠く離れて
lifeline,命綱
defensively,防御的に
conflagration,大火
defamation,名誉毀損
overcast,曇った
affectation,気取り
malformation,奇形
piazza,広場
pedicle,柄（生物）
contraband,密輸品
yon,あれ（古語）
heretical,異端の
ulterior,秘めた
pyramidal,ピラミッド形の
unsolved,未解決の
indeterminacy,不確定性
cuckoo,カッコウ
incongruity,不調和
botanist,植物学者
informer,密告者
extort,強要する
postural,姿勢の
usurp,奪う（権力などを）
piecemeal,徐々に
prowl,うろつく
harshness,厳しさ
sensuality,官能
vehemence,激しさ
myocardium,心筋
puke,吐く
amalgamation,合併
evidentiary,証拠の
unsalted,無塩の
plaintive,悲しげな
credential,資格証明
peroxidase,ペルオキシダーゼ
irreparable,修復不可能な
faucet,蛇口
manslaughter,過失致死
lithe,しなやかな
inadmissible,認められない
takeoff,離陸
orgy,酒池肉林
prudential,慎重な
immunological,免疫学の
titration,滴定
disclaim,否認する
fanatical,熱狂的な
grimy,汚れた
agnostic,不可知論者
ineffable,言葉にできない
acclaim,称賛
subcontinent,亜大陸
chore,雑用
neoplasm,新生物（腫瘍）
forbearance,忍耐
warlord,軍閥
causally,因果的に
confederation,連合
succulent,多肉の
scooter,スクーター
empathize,共感する
confrontational,対立的な
dynastic,王朝の
idiotic,ばかげた
traditionalist,伝統主義者
tireless,疲れ知らずの
postage,郵便料金
fanaticism,熱狂
surgically,外科的に
denigrate,中傷する
inkling,ほのかな気配
immeasurable,計り知れない
alleviation,緩和
arson,放火
diabolical,悪魔のような
gable,切妻屋根
eater,食べる人
underwrite,保証する
sitter,座っている人
dole,失業手当
solidity,堅実さ
aerodynamic,空力の
vengeful,復讐心のある
aural,聴覚の
minimalist,最小限主義者
sabre,サーベル
dismount,降りる
prom,プロム（舞踏会）
covet,熱望する
prodigy,天才児
