pacer	ペースメーカー
pawnee	質権者|質権者
failing	に失敗する
calmodulin	カルモジュリンカルシウム結合タンパク質|(多種類のタンパク質に制御を行うため|様々な細胞機能に影響を与える)
mausoleum	陵|廟|大霊廟|壮大な墓|みたまや|みささぎ
anklet	(靴の)留め革|足首までの短いソックス
claret	クラレット(フランス産の赤ぶどう酒)|赤紫色|赤紫
beholder	見る人
determinism	決定論
normality	常態|標準的なこと
unsung	詩歌によってほめたたえられない
ingot	(金属の)鋳塊|鋳棒
lossy	characterized by or causing dissipation of energy
mitogen	マイトジェン|分裂促進因子|有糸分裂促進剤
intensification	強化|増大
carafe	ガラス瓶
liver	肝臓|レバー|きも|茶褐色|の生活者
mistletoe	ヤドリギ
tryout	適性試験|テスト|オーディション
surmise	推測(する)
stagecoach	駅馬車|郵便馬車
manageability	扱いやすいこと|処理しやすいこと
soundproof	防音の|〈部屋・建物など〉‘を'防音する
bramble	イバラ(植物)
homogenous	均質な
policyholder	保険契約者
distributional	of or relating to spatial distribution; "distributional requirements"|of or relating to spatial distribution
tidewater	潮水(海岸・河口に差してきた潮水)|海岸地方
expendable	消耗の
follicular	濾胞(ろほう)|動物の組織にある完全に閉じた袋状の組織
shiner	宝石
gonorrhea	淋病(病名)
lawmaker	立法者|legislator|(国会)議員
flavorful	風味豊かな
cosponsor	(議案の)共同主唱者(提案者);共同スポンサー|〜‘の'共同主唱者(提案者)になる|共同スポンサーになる
macadamia	マカダミア
polyacrylamide	ポリアクリルアミド|水溶性合成樹脂の一種として原油の回収助剤|廃水処理用凝集剤|洗濯糊|接着剤(合成糊)|塗料などに広く用いられる
standish	スタンジシュ
sensibly	感じられるほどに|目立って|賢明にも
biathlon	バイアスロン(射撃とスキーを組み合わせた競技)
moxie	活気|精力|ファイト|ガッツ|技術(知識)
biff	すばやいパンチ|一撃|〜'を'ぶんなぐる|‘に'一撃を加える
sidewall	側壁|サイドウォール(タイヤのトレッド(tread)とリム(rim)との間の部分)
inexplicable	不可解な|説明しがたい
initio	「第一原理」の意(化学･物理･生物他で)
hypothermia	低体温;(医療における)体温低下[法]
expeditious	急速な|迅速な
timberline	樹木限界線(環境・条件の変化のため高木の生育が不可能となる地域的限界線)
intently	熱心に
chrysalis	(ガやチョウの)さなぎ|まゆ
lamisil	テルビナフィン|ラミシール
raincoat	レーンコート
destruct	自動的に破壊する
penance	ざんげ|懺悔|苦行|いやだがしなければならないこと
speer	シュペアー
proliferate	増殖させる|増殖する|繁殖
hoary	白髪の|昔の(old)|白い|霜のように白い|年老いた|神々しい|古めかしい
penne	ペンネ
corse	=corpse
trillium	ユリ科エンレイソウ属の植物
swot	〈C〉《英話》がり勉家|猛勉強家(《米》grind)|〈U〉がり勉|がり勉する|(試験前に)〜‘を'詰め込みで勉強する《+up+名|+名+up》
andante	(音楽の演奏の指示で)アンダンテ|ゆるやかに(な)|アンダンテの楽章(楽曲)
overtly	明白に|公然と
lurch	窮地|苦境|急に傾くこと|大敗|よろめく
simile	直喩|(ものごとを例えて表現する手法のひとつ)|likeまたはasなどで形成される|ex|Her eyes were like stars|(metaphorの項参照)
clerkship	掌記
trowel	こて|コテ
bask	恵まれる|幸せな境遇にある|暖まる|浴する|日なたぼっこをする
bannister	=banister
crosscut	抜道|速道|抜け道|近路|捷路|捷径|早道|近道|間道
kebab	カバブ|ケバブ|トルコ料理の一種
tiredness	疲労;けん怠
wasabi	わさび|山葵|ワサビ
restorer	元へ戻す人|修復する人
methylene	メチレン|メチレン基(methylene group)とは|有機化学における2価の基の一種|メタンから水素が2個取り除かれた構造を持つ
wholeness	ユニティー|完全性|一体性|完全
subsist	存続する|生きて行く|生存する
cofactor	補因子(規定の結果を出すために他の物質と結合しなければならない|補酵素のような物質)|コファクター|共通成分とも
oppress	圧迫する|苦しめる|重圧感を与える
discreetly	慎重に
boliviano	the basic unit of money in Bolivia; equal to 100 centavos|the basic unit of money in Bolivia|equal to 100 centavos
leprechaun	レプレコン(小さい老人の姿をした妖精)
gynaecology	婦人科学|婦人科
hookah	水ぎせる(たばこの煙を水の中を通して吸う)
morgue	死体保管所|陰気な場所|参考資料館|(口)横柄|傲慢
dumbass	まぬけ
redden	赤くする
sateen	(サテン(satin)に似せた)綿じゅす
polyhedron	多面体
uhm	えー|あの|その
birr	ビル|ブーンという音
autosomal	常染色体の
restful	休息を与える|安らかな
purim	プーリム|プーリーム|プリム|プリム祭
eyeliner	アイライナー|目の輪郭を際立たせるためまぶたの縁に塗る化粧品
splat	薄い平板
zapper	an electrical device that can injure or kill by means of electric currents; "a bug zapper"|an electrical device that can injure or kill by means of electric currents
aristocratic	貴族の
chomp	をむしゃむしゃ食う(champ)
profitably	有利に|有益に;(結果として)利益を得て
offload	=unload
granule	顆粒
obelisk	オベリスク|方尖塔
admittance	入場許可
ageless	不老の;永遠の
hurl	投げつける|力いっぱい投げつける
internment	収容|抑留|留置
porridge	(英)ポリッジ(オートミールのかゆ)
cede	譲る|割譲する|引き渡す|認める
cheeseburger	チーズバーガー
standstill	行き詰まり|停止(した)|行詰り
ambler	someone who walks at a leisurely pace
unattractive	魅力のない
toucan	オオハシ(熱帯南米産のくちばしが大きな鳥)
referential	referring or pointing to something; "symbols are inherently referential"|referring or pointing to something
beefy	肥満した|たくましい
repressor	抑制物質|抑制因子|阻止物質|リプレッサー|抑制遺伝子
yeshiva	イェシーバー
discoideum	キイロタマホコリカビ|細胞性粘菌の一種|分子生物学|遺伝学のモデル生物として|細胞間連絡|分化|アポトーシスの例として研究されている
falsify	反証をあげる|偽る
promulgation	発布|公表|普及
unshaven	not shaved
fistful	ひとつかみ|一握り|多額の金|多数
incognito	お忍びで|匿名で|変名で
silliness	ばかなこと
macaw	(動物)金剛インコ|(植物)オニトゲココヤシ
redevelop	再開発する|再現像する|最発展する
gerbera	ガーベラ(キク科の多年草)
barnyard	納屋の前庭|農家の庭
crier	クライヤー|叫ぶ人|泣き虫|廷吏|廷丁
hepatocellular	肝細胞の
styrofoam	スタイロフォーム(発砲スチロールの一種)
pillage	略奪(する)|戦利品
cwm	(ウェールズ語)圏谷(けんこく)(氷河の浸食によって山頂などにできた円形のくぼ地)
inexpensively	安く
forceps	ピンセット(=tweezers)
ccw	counterclockwise
argumentation	議論|討論|立論|論証
passively	受動的に|受け身に
lipscomb	リプスコム
multifaceted	多面
wahoo	ニレの木
derange	〜‘を'錯乱させる|狂わせる
savour	風味
touchy	気難しい|微妙な|気を使わねばいけないような
unintelligible	理解できない|聞き取れない
infantile	幼時の
unspeakable	言いようのない|言うに言われない|口にするのも恐ろしい|口では言えない|お話にならない
sorbet	シャーベットsherbet
hemodialysis	血液透析
guildhall	(中世の)ギルド集会所;同業者集会所・市公会堂|市ホール;《the G-》ロンドン市庁
lactobacillus	a Gram-positive rod-shaped bacterium that produces lactic acid (especially in milk)
piney	piny|松の(茂った)|松のような
disgraceful	不面目な
houseware	家庭用品
disburse	(金)を支払う|(金･費用を)支払う|支出する
fractionation	分割|分画法|フラクショネーション|分別作用|分割放射線療法
brattleboro	ブラトルバラ
fmri	a form of magnetic resonance imaging of the brain that registers blood flow to functioning areas of the brain
dandruff	(頭の)ふけ
proximate	近似の|最も近い|直前の
gallus	ズボン吊り|サスペンダー
idem	同上|前述の部分|同上の|前述の
exemplify	範例となる|例示する|典型的に示す|体現する
quiche	キッシュ|キシュ(パイの一種)
pitchfork	熊手
animosity	敵意|憎悪|憎しみ|恨み
hairpin	ヘヤピン|ヘアピン|U字形の
unprofessional	専門外の
hydrographic	of or relating to the science of hydrography
corroborate	確証する|確認する
paediatrics	=pediatrics
flaunt	見栄を張る|誇示(する)|見せびらかす|(旗など)が翻る
idealist	理想家
relativism	相対論(主義)
noose	(引くと輪が締まるようになっている)輪なわ|引き結び|(縄を結んだ)輪
tripwire	わなや仕掛けを動かすため地面に張った針金
aves	鳥類
differentially	差別的|異なって
encephalopathy	脳症
debatable	議論の余地のある
loading	荷積み|船荷|装填|ディスクの挿入
desalination	淡水化
nontraditional	not conforming to or in accord with tradition; "nontraditional designs"; "nontraditional practices"|not conforming to or in accord with tradition
marcasite	白鉄鉱(宝石類似の装飾品を作るのに用いられる)
scoliosis	an abnormal lateral curve to the vertebral column
reroute	新ルートで送る|別の経路に切り替える|旅程変更する
decisively	断固として
heyday	全盛期|(若さ･元気･繁栄などの)盛り|絶頂
undeniably	紛れもなく
spasm	痙攣|けいれん|発作(=sudden attack)|ひきつけ(=fit)
eminently	大いに|著しく|抜きんでて
mercilessly	無情に|容赦なく
churchyard	教会所属の墓地|教会の境内
toke	マリファナたばこの一服|〈マリファナたばこ〉‘を'吸う|‘に'火をつける
evaporative	relating to or causing or being caused by evaporation; "an evaporative cooler"|relating to or causing or being caused by evaporation
boggle	しりごみする|英単語をつくるゲーム
sanctum	私室|書斎|神聖な場所
heinous	極悪の|凶悪な|憎むべき
dusky	薄暗い
tabasco	メキシコ・タバスコ州原産のキダチトウガラシの一種チレ･タバスコ(タバスコペッパー)を使った辛味調味料
millwork	woodwork that has been machined at a mill
masochism	マゾヒズム|自己虐待|被虐的傾向
bergamot	ベルガモット
infallible	全く誤りのない|絶対確実な|信頼できる|必ず起こる
swordsman	剣士|剣術家
prosthetics	《単数・複数扱い》(外科・歯科の)補綴(ほてい)術
pasty	ねり粉のような|のりのような|しまりのない|顔色が青白い
phosphor	燐|(蛍)燐光体|蛍光体
bakelite	ベークライト
incessant	絶え間なく続く
adjudicate	(計画など)を決定する|宣告する|裁く|判決をくだす
neoplastic	腫瘍性の
overburden	〜‘に'荷を積み過ぎる|《受動態で》(仕事などを)〜‘に'負わせ過ぎる《+『名』+『with』+『名』》
applesauce	リンゴソース|(俗)たわごと
fibreglass	ファイバーグラス|ファイバーガラス
realign	再編成する
cheery	明るい
harshly	耳障りな
feisty	怒りっぽい|短気な|高慢な|元気のいい|攻撃的な
nonverbal	非言語的な
slush	ぬかるみ|雪解け|廃油
mutton	羊肉|マトン|ヒツジ
slasher	someone who slashes another person|a weapon (a sword or dagger) used for slashing
revisionist	見直し論者|異質論者|リビジョニスト
congruent	一致する|(図形が)合同の
eyeshadow	アイシャドウ
aphis	=aphid
lough	湖|入江
wigwam	(小枝・アシ・こさなどで作った)アメリカインディアンの小屋
legging	a garment covering the leg (usually extending from the knee to the ankle)
yardstick	基準|ヤード尺(ものさし)
midge	蚊|ブヨ|小さい人
merrily	楽しく|陽気に|愉快に
pompey	ポーツマス
blackness	黒度|黒いこと|黒さ|暗黒|凶悪|肚黒さ|陰険|陰鬱|険悪
transitory	一時的な|つかの間の|はかない
encampment	野営すること|野営地|陣地
larynx	喉頭|咽頭
traineeship	訓練期間手当
thresh	(からざおで)〈穀物〉‘を'打つ|(脱穀機で)〈もみがら〉‘を'取る《+名+with+名》|《まれ》〜‘を'打つ(thrash)|脱穀する|激しく打つ
tartar	酒石(ワイン製造時の沈殿物)|歯石
slither	ずるずる滑る
gsr	a change in the electrical properties of the skin in response to stress or anxiety; can be measured either by recording the electrical resistance of the skin or by recording weak currents generated by the body|a change in the electrical properties of the skin in response to stress or anxiety|can be measured either by recording the electrical resistance of the skin or by recording weak currents generated by the body
reefer	マリファナ|マリファナタバコ|(鉄道の)冷凍車|冷蔵トラック|冷蔵船|リーファー(丈夫な通例青い布製のダブルの上着)
pragmatism	実用主義|道具主義
rct	receipt|recruit
mortgagee	抵当権者
exabyte	電子ブック|電子ブック
pendragon	the supreme war chief of the ancient Britons
altruism	利他主義|博愛主義|(類)philanthropy(博愛主義|慈善)|(反)misanthropy(人間嫌い|厭世|人間不信)
reorganisation	改廃|再組織|更迭|再構成|再編|再編成|改装|改編|更生|再設
capricious	気まぐれな
antifreeze	不凍液
juxtaposition	並置|並列|(比較対照のために)並べること
hemodynamic	血行動態
gradation	段階的変化|等級付け|階級別にすること|順序|次第|等級|段階
annulment	取り消し
bedstead	寝台の骨組み
ruddy	血色のいい|赤い
academe	大学(学究)生活|学界|教育の場(特に大学)
stirrup	あぶみ|かすがい
alpena	アルピナ
gosling	ガチョウの子
striper	a serviceman who wears stripes on the uniform to indicate rank or years of service; "he's a four-striper"|a serviceman who wears stripes on the uniform to indicate rank or years of service|caught along the Atlantic coast of the United States|marine food and game fish with dark longitudinal stripes; migrates upriver to spawn; sometimes placed in the genus Morone|marine food and game fish with dark longitudinal stripes|migrates upriver to spawn|sometimes placed in the genus Morone
icebreaker	砕氷船
weighty	重い|重荷となる|重大な|有力な
subsidence	沈下・減退|鎮静
afterglow	夕焼け|夕映え|(成功後の)楽しい快感
promiscuous	ごたまぜの|乱交の|無差別の
slouch	不精者|ぐうたら|だらりとたれる|前屈みになる|猫背になる|不格好に歩く
hyena	ハイエナ
trailhead	the beginning of a trail
sago	サゴ(サゴヤシの幹から製するでんぷん)|=sago palm
freshen	いきいきとする|新鮮にする
parentage	生まれ|家系|家柄|親であること
walkabout	放浪旅行|徒歩旅行
proprietorship	所有権|個人事業
waistcoat	チョッキ|ベスト
outlandish	外国風の
chitty	Chitty Chitty Bang Bang|イギリスの映画
beautify	美しくする
ataxia	運動失調
camaraderie	友情
variegate	増やす|多様化する|変化させる
bullhead	北米産の頭が大きいカジカの一種
abysmal	底知れぬ
bourse	(特に欧州の)株式(証券)取引所|金融市場
camber	上反(うわぞり)(道路や船のデッキなどの|雨水などを端に流すための傾斜)|(自動車の|ふつう前輪の)上開き傾斜|上反になる|〜'を'上反にする
tilde	スペイン語で n の上につける記号.ñの上の記号（「ニャ」とか「ニョ」といった音を表す）・波形符号、波形ダッシュ・= swung dash
tenacity	固執|粘り強さ|頑強|不屈
denture	(一組みの)義歯
workhorse	使役馬|働き者
moslem	イスラム教の
permanence	永久|永久不変|永続(性)|耐久(性)
wagoner	the driver of a wagon
coincident	同時に起こる
immunotherapy	免疫療法
quercus	カシ属
monotype	モノタイプ(活字の鋳造植字機械)|〈U〉モノタイプ印刷方式
enviable	ねたましい|うらやましい
categorically	範疇の(をなす･に属する)|分類別の|絶対的な|断定的な
palomino	a horse of light tan or golden color with cream-colored or white mane and tail
foothold	足場|拠点|地盤|よりどころ|立脚点
catnip	イヌハッカ(植物)
inflection	(文法)屈折形
eloquently	雄弁に
hanky	ハンカチ
bluish	青みがかった
sheathe	〈刃物など〉‘を'さやに納める|(保護物で)〈物〉‘を'おおう|包む《+『名』+『with』(『in』)+『名』》
ambivalent	あいまいな|相反する物･意見･感情を持つ
snowboarder	someone who slides down snow-covered slopes while standing on a snowboard
sunroom	サンルーム
appellation	名称|呼称|称号
bruise	打撲傷|打ち身|挫傷|傷跡|傷つける|に傷を与える|へこませる|あざをつける
cornucopia	(ギリシア神話)豊穣の角(つの|幼時のZeus神に授乳したとされるやぎの角)|くだもの･花のあふれた角|豊かさの象徴|豊富
speedometer	速度計
lewd	みだらな|放蕩な|下劣な
runny	柔らか過ぎる|粘液を分泌する|流れやすい|流れる傾向のある
thither	そこへ|あそこへ
berm	路肩
assuredly	確かに
vesicle	(医)|小水泡|ベシクル|小疱疹|小胞|小嚢|小胞
viaduct	陸橋|高架橋
avo	100 avos equal 1 pataca in Macao
constabulary	警官隊
intelligible	理解できる|わかりやすい|知性的な
defibrillator	除細動器|細動除去器(心臓疾患医療具)
timbre	音色|音質
moorland	荒れ地
adversarial	対立する|敵対する|反対の|反対者の
demonstrator	デモ参加者|示威運動者|実験の助手|実地説明者|証明者
hysteresis	ヒステリシス現象
upturn	景気上昇
boyhood	少年時代
sustenance	維持すること|食物|栄養物|生計
campion	センノウ・マンテマなどナデシコ科の多年草
fester	(悲しみなどが)うずく|痛む|苦しめる|ただれる|(傷などが)膿む|腐る
disrespectful	失礼な
segway	(trademark) a self-balancing personal transportation device with two wheels; can operate in any level pedestrian environment|a self-balancing personal transportation device with two wheels|can operate in any level pedestrian environment
curd	凝乳|乳が固まったもの
diagonally	対角線上に
laterally	to or by or from the side; "such women carry in their heads kinship knowledge of six generations depth and extending laterally among consanguineal kin as far as the grandchildren of second cousin"|to or by or from the side|in a lateral direction or location; "the body is spindle-shaped and only slightly compressed laterally"|in a lateral direction or location
glint	きらきら光る
wizardry	魔法|魔術|妙技
fervent	熱烈な|誠意を込めた|強烈な|熱い|焼ける|燃える
wacko	頭のおかしいやつ|へんなやつ
eurythmics	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding|the interpretation in harmonious bodily movements of the rhythm of musical compositions|used to teach musical understanding
triplex	3倍の|3重の|《米》(各戸独立の)3階建てアパート|〈U〉《しばしばT-》《英》《商標名》(自動車用の)3重ガラス
delusional	妄想の
tosh	あなた|あのう|きみ|がらくた|戯言|ナンセンス
unneeded	無用|不用|不要|不必要
peeler	(野菜などの)皮むきナイフ
passageway	廊下
herbalist	植物学者|漢方医|薬草商
aggravation	悪化|重大化
machete	なた(中南米で砂糖キビを切ったり|また武器として用いる)
lariat	投げ縄
halve	等分する|半減させる
firmness	確固不動|強硬|決意の固さ|堅さ|堅固|堅実|断固とした態度
petticoat	ペチコート|短いスカート|スカート型のもの
bpi	ビット毎インチ
swindle	だます|詐欺(を働く)|を詐取する
unequivocally	明白に
selfless	無私の
scrip	1ドル札|仮株券|仮社債|軍票|(代用)紙幣|臨時紙幣|処方箋
whoop	大声で叫ぶ|叫び声|喚声|ホーホー鳴く(声)
perspiration	努力|汗|発汗(作用)
earthworm	ミミズ
chug	(エンジンなどの)ポッポッという音(を立てる)
liquidator	[公認]清算人
mirth	陽気|歓楽|歓喜
impeller	羽根車
moiety	半分|一部分|(一人の)分け前
tasting	試食|試飲|味見
librarianship	the position of librarian
horus	Egyptian solar god with the head of a falcon; the son of Osiris and Isis|Egyptian solar god with the head of a falcon|the son of Osiris and Isis
livable	住むのに適した|住みやすい
earpiece	《通例複数形で》(帽子の)耳おおい|《通例複数形で》(眼鏡の)耳づる|〈C〉受話器;イヤホーン
counterproductive	逆効果の(を招く)
tusk	tusk(切歯由来の牙|象･イノシシ･セイウチ･カバ等)|牙で突く
environmentalism	環境保護主義
instep	甲|足の甲|((反)sole)
neoclassical	新古典主義の
mediaeval	=medieval
adenine	アデニン|核酸を構成する5種の主要塩基の一つ|シアン化水素とアンモニアを混合し加熱するだけで合成されるため|原始の地球でもありふれた有機物だったと考えられる
petunia	ペチュニア(花)
lysis	(生物学用語)溶解|細胞溶解|崩壊|溶菌|(本来「分解」の意を表す語尾
helicase	ヘリカーゼ(ヘリケース)|核酸のリン酸エステル骨格に沿って動きながら絡み合う核酸をほどく酵素の総称|すべての生物に必須と考えられる
embarassed	恥ずかしく
nanotube	ナノチューブ
argonaut	葵貝
mignon	かわいらしい|愛くるしい
lifesaving	救命の
smokeless	煙のない|煙を出さない|無煙の
stanhope	a light open horse-drawn carriage with two or four wheels and one seat
volition	決断力|決意|選択|意志力
scrimmage	スクリメージ|つかみ合い|小ぜり合い|組み打ち|乱闘|練習試合|スクリメージをする|せわしなく動き回る|乱闘する|練習試合をする|と戦う
thorax	胸|胸部
placental	胎盤の
warship	軍艦
kerb	=curb3
inboard	機内発動機|船内の|内向きの|運が良い|順調で
epicenter	中心|中核|震央(震源focus･hypocenterの真上の地表の1点)
metamorphic	変態の|変態を特色とする|変成の
flatiron	アイロン|こて
trophic	栄養の
bursa	滑液嚢
paratrooper	落下傘降下兵
insemination	受精
typescript	〈C〉タイプライターで打った原稿|〈U〉タイプライター印刷物
booby	田舎者|まぬけ(pl|boobies|ぱいぱい)
conceivably	考えられる限り
quetzal	ケツァル(中南米産の長い美しい尾を持つ鳥)
shoshone	a member of the North American Indian people (related to the Aztecs) of the southwestern United States|the language spoken by the Shoshone (belonging to the Uto-Aztecan family)
xylene	キシレン(xylene)|芳香族化合物|医学･生物学分野で薬剤･溶剤の原料として使われる|キシロールとも呼ばれる
schism	〈U〉(団体|特に教会の)分裂|分離|〈C〉(教会の)分派
conch	ホラガイ|巻き貝(の貝殻)|丸屋根|半円形屋根|オレンジを帯びたピンク|まじめ学生
cytotoxicity	細胞毒性
exuberant	豊富な|あふれるばかりの|元気な|生き生きした|(植物など)生い茂る
pretest	(新製品などの)試用|予備テスト|〜‘を'試用(予備テスト)する|試用(予備テスト)する
narcissus	スイセン|(N-:ギリシア神話)ナルキッソス
albedo	アルベド
subdue	を征服する|を抑える|鎮圧する|抑制する|緩和する
electrification	充電|感電|強い興奮|強く感動させること
peninsular	半島(状)の|イベリア半島の
composure	落ち着き|落着き|沈着|平静
finitely	有限の
birthright	生得(せいとく|しょうとく)権|生まれながらに持っている権利|(例|米国領土内で生まれた子は市民権条項(Citizenship Clause)により自動的に米国市民権を持つ等)
corny	つまらない|古くさい|ださい|穀物の
histocompatibility	組織適合性
errant	誤った|正道からはずれた|(諸国)遊歴の|冒険的遍歴の
musicale	社交音楽会;(非公開の)音楽演奏会
heifer	(まだ子供を産んでいない)若い雌牛(女性)
earthen	土製の|陶製の
sulfuric	イオウの|イオウを含む|硫酸
rendering	完成予想図
acupressure	指圧
portcullis	落とし門(攻撃に対して直ちに開閉できる鉄格子の城門など)
operon	オペロン(Operon)|一つの転写因子によって同時に発現が制御される複数の遺伝子が存在するゲノム上の領域|あるいはその複数の遺伝子の組のこと
ultimatum	最後通牒|最後の言葉|最後の申し出|根本原理
stratigraphy	層位学|層序学(地質学の一部門)
enumerator	調査員
spoonful	一さじ|スプーン一杯(分)
desirous	欲している
surefire	必ずうまくいく|成功疑いなしの
waterworks	水道設備|上水道
captivate	の心を捕える|を魅惑する|人をうっとりさせる
vara	棒
isomerase	an enzyme that catalyzes its substrate to an isomeric form
takin	large heavily built goat antelope of eastern Himalayan area
wench	(特に田舎の)女の子|娘;淫婦
rummage	くまなく捜す
unionist	組合員
discernible	認識できる|識別し得る
intercession	仲裁
best	ベストの|最もよく
orator	雄弁家|演説者
homophobic	同性愛嫌悪症の
diamondback	ヒシモンガラガラヘビ(ひし形の斑(はん)点がある毒蛇)
retrace	さかのぼる|回顧する
lode	鉱脈|鉱床
epidermis	表皮
oktoberfest	a strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored|a strong lager made originally in Germany for the Oktoberfest celebration|sweet and copper-colored |an autumn festival that involves merrymaking and drinking beer
rhinoplasty	隆鼻術
peptic	消化を助ける|消化力のある|ペプシンの|消化液が引き起こす|消化剤;《複数形で》消化器官
pendent	ぶら下がった|垂れ下がった|張り出た|覆いかぶさった|未決定の|=pendant
sparingly	不足して
hypothalamus	視床下部|間脳(視床の前下方)に位置し|自律機能の調節を行う総合中枢
priestly	聖職者の|僧らしい
seaplane	水上飛行機
insomniac	不眠症患者
nim	game in which matchsticks are arranged in rows and players alternately remove one or more of them; in some versions the object is to take the last remaining matchstick on the table and in other versions the object is to avoid taking the last remaining matchstick on the table|game in which matchsticks are arranged in rows and players alternately remove one or more of them|in some versions the object is to take the last remaining matchstick on the table and in other versions the object is to avoid taking the last remaining matchstick on the table
conspicuously	目立って
breaststroke	平泳ぎ
blip	レーダーに映るシグナル|(不隠当な発言を妨害する)中断音
eagerness	熱心
pearly	真珠のような|真珠で飾った
