mockery	あざ笑い|あざけり|偽|にせもの|無駄な努力|ばかにすること|冷やかし
presbytery	(教会堂の聖歌隊席裏の)内陣・(長老教会の)中会;中会管轄区域・(カトリック教の)司祭館・（キリスト教）長老会（管轄区）・(集合的) 中会管轄下の全教会; （教会の）司祭席
fulcrum	てこの支点
sadistic	サディスト的な
coerce	強制する|強制して～させる|強要する|威圧する
unscrupulous	不謹慎な|遠慮のない|無節操な|破廉恥な
monolith	モノリス|石柱|コンクリートパネル|一枚岩
takeaway	=carryout
inseparable	分けられない
civility	ていねいな言葉|礼儀
vestal	純潔な|貞潔な|処女の|Ex|vestal virgin
batty	頭の変な
variously	いろいろに
hematite	赤鉄鉱
radish	ハツカダイコン
bushman	森林地居住者|《Bushman》ブッシュマン(南アフリカの現住民で背の低い狩猟民族)
unintentionally	思わず
digress	外れる|わきにそれる|わき道へそれる|本筋を離れる|枝葉にわたる|脱線する|道をそれる
discord	不一致
unorthodox	異端の|正統でない
fibroblast	線維芽細胞
tingle	ずきずきする|ひりひり痛む|うずく|がんがんいう|ぞくぞくする
utilitarian	功利主義の
teeter	シーソーに乗る|動揺する|ぐらつく
viol	バイオル(16|17世紀に用いられた弦楽器で現在のviolin の前身)
roundtrip	往復
chalice	(キリスト教)教会でブドウ酒を入れる)グラス|聖餐杯|聖杯|杯状花
shrew	トガリネズミ|口やかましい女
mossy	コケで覆われた|古めかしい
resurrect	復活させる
cardiopulmonary	心臓や肺の(のための)
buyback	買い戻し
sublease	(家・土地などの)また貸し|〜‘を'また貸し(借り)する
secrete	隠匿する|を分泌する
gravestone	墓石|石碑
superoxide	スーパーオキシド|超酸化物|化学式がO2-で表されるスーパーオキシドアニオンを含む化学物質の総称|一般に活性酸素と呼ばれる
porcine	豚の|不潔な|意地きたない
understatement	控え目な表現|控えめに言うこと|控えめなことば
whistleblower	内部告発
subtree	サブツリー(データ処理においてツリー図"tree diagram"の分岐ツリーの部分)
inshore	海岸に近い|近海の;海岸に向かう|海岸に向かって
smelter	精錬工|溶解装置工場
aggressor	侵略者
underrepresented	過小評価
apropos	適切な|適切に|好都合に
tightness	引き締まって(きっちりして)いること|緊張|きついこと|窮屈
pitiful	哀れな|哀れみを誘う|軽蔑に値する
aqueduct	水路|水道橋
banish	追放する
allot	割り当てる
lining	線で模様を付ける|裏張り|裏地|中身|内面|整列|内張(り)
horseradish	西洋わさび
fugue	フーガ(イタリア語|遁走曲と訳される)
sweatshop	労働搾取工場|タコ部屋
formalize	儀式張る|一定の形を与える|形式化する|正式なものとする|正式なものにする|正式に承認する|明確な形にする
locomotion	移動運動
bigot	頑固者|(人種･宗教などに)偏見を持つ人|偽善者
antimony	アンチモン(金属元素)|元素記号はSb
hater	ひどく嫌う人
buoyant	弾むような|軽快な|回復力のある|楽天的な
airtime	放送時間
restate	再び述べる|言い換える|言い直す
melodrama	メロドラマ
surrealism	(芸術)超現実主義|シュールリアリズム
combatant	戦闘員
gumbo	オクラ|オクラ入りスープ
prejudicial	偏見を抱かせる|不利益な|に損害を与えて|不利となって
melamine	メラミン(白色の結晶でおもに合成樹脂の製造に用いる)
episodic	エピソードの|挿話的な|エピソードから成る
introspection	内省
meister	マイスター|親方
divisive	不平を生じる
benedictine	ベネディクティン酒(ベネディクト修道士が作り始めたリキュール酒)
inappropriately	不適切に
vitally	重大に|致命的に|絶対に
undivided	分けられない|連続した|集中した|専心して
victimization	虐待
brevity	簡潔さ|(時間などの)短さ
epitope	エピトープ|抗体が認識する抗原の一部分のこと
prickly	針のある|チクチク痛む|厄介な|とげの多い
mediocrity	平凡|月並み|平凡な人|並
extinguish	生物を絶滅させる|償却する|消す|火を消す|情熱を失わせる|廃止する
astonishment	おどろき
clef	音符記号
libretto	(歌劇の)歌詞|台本
dovetail	ありつぎ(二つの木材をつなぐ)|ぴったり適合させる
meritorious	功績のある|賞賛に値する
collocation	連語法|(文法)語の配列|連語|コロケーション
coalesce	融合する|(折れた骨が)くっつく|合体する|合同する|癒着する
martyrdom	殉死|殉教|受難|苦痛
stimulator	刺激装置
manna	マナ(昔イスラエル人が荒野で神から与えられた食物)|天の恵み|心の糧
mooring	＜moor|係留|係船設備|精神的な拠り所|停泊|停泊地
coronet	宝冠|王冠
amputee	(肢)切断患者|切断手術を受けた人
gnat	(nˈæt)|ブヨ|ぶよ
wrecker	救難作業員|救難車|レッカー車|建物解体業者
gunpowder	火薬
unsupervised	監視されていない
cranium	頭蓋
scab	かさぶた|労働組合非参加者|スト破り
awkwardly	ぎこちなく|気まずく|怪しい手つきで|不自然に|変に|不適切に
armrest	(いすなどの)ひじ掛け
lifeless	生物のいない|生命のない|活気のない|気絶した
mastectomy	乳房切除(術)
hag	(聖書)醜い老婆|鬼婆|魔女|女の悪魔
tincture	色合い|(色の)気味|少々の|チンキ(tincture of iodineヨードチンキ)
aristocracy	貴族政治|貴族政治の国|貴族|貴族社会
sobriety	しらふ|節酒|禁酒|真面目|冷静|節度
strum	(楽器を)下手にかきならす
stalwart	背が高くて力強い|断固たる|頑健な|断固とした
disinformation	間違った情報を流すこと
intensively	集中的に
shoal	浅瀬|砂州|隠れた危険(障害)
echocardiography	心エコー検査
amok	荒れ狂った|殺気立った|怒り狂った
successively	引き続いて|連続的に|逐次的に
sexism	(女性に対する)性差別主義|男女差別
damsel	乙女
embarrass	を困惑させる|に恥ずかしい思いをさせる
cotter	(機械の)くさび栓(せん)|=cotter pin
postmodernism	ポストモダニズム
squeaky	チューチュー鳴く|キーキーいう|きしむ
mariachi	マリアッチ(メキシコを代表する楽団の様式)|マリアッチの音楽|町の楽隊
attache	大使館員|(大使･公使の)随行員
predictably	予想通り
pend	保留
asthmatic	喘息の(患者)
smug	一人よがりの|さっぱりした|自己満足した
postmark	消印
camellia	ツバキ|椿(つばき)
fanzine	(SF小説や漫画愛好家による)謄写版印刷の雑誌|ゴシップ雑誌
rend	引き裂く|を裂く|を砕く|を割る|を引き離す
ayatollah	アヤトラ|イスラム教シーア派の高僧の尊称
improvise	即席につくる|即興で演奏する|間に合わせにつくる
bionic	身体機能を機械的に強化した|生物工学的な
kingpin	中心人物
larva	幼生|larva(複数形はlarvae)|卵生で変態する動物について|「孵化から変態まで」の形態を幼生という
laziness	怠惰|無情
obstetric	産科の|産科学の|産科学に関する
zigzag	ジグザグの|いなずま型|ジグザグに|ジグザグに動く
instrumentality	〈U〉役に立つこと|〈C〉手段|尽力
howler	ほえる動物|わめく人|大まちがい|大失敗
tireless	疲れを知らない|疲れの見えない
supercharger	(エンジンなどの)過給機|馬力を高める装置
diurnal	昼間の|日中の|昼行性の|昼間開く
cinder	灰|(薪･石炭の)燃え殻
sarong	サロン|マレー人･ジャワ人などが着用する腰布
parallax	パララックス|視差
coolness	冷静さ
negativity	陰性
pinata	ピニャータ(色を塗って飾りたてた中南米の陶器つぼ)
recumbent	横になった
unconsciously	思わず|無意識に|知らず知らずに
humpback	猫背|せむし
geodesic	測地線|測地線の
embolism	(血管の)塞栓症(そくせんしょう)
roebuck	ノロジカの雄
starling	ムクドリ|水切り杭
aerodrome	《英》=airdrome
typhoid	腸チフス
shrewd	抜け目のない|鋭敏な|利口な
adrenalin	アドレナリン|神経伝達物質またはホルモンとして働く
casein	カゼイン|牛乳やチーズなどにふくまれるリンタンパクの一種|それを原料とするカゼインプラスチックの略称としても用いられる
gigolo	年上の女に養われる男|若いツバメ|ひも|ジゴロ|男娼
furtherance	(企画・運動・主義などの)推進|促進|助長
prohibitive	禁制の|禁止する
titration	滴定
yule	キリスト降誕祭|クリスマスの季節
lockup	留置場|拘留所|刑務所
sympathize	に同情する|共鳴する|共感する
pipette	ピペット(ごく少量の液体またはガスを移す小管)
moraine	氷堆石(ひょうたいせき|氷河の運んだ土砂|岩石)
scallop	ほたて貝
crusty	皮殻質の|外皮のような|気難しい|殻のある|堅い
computationally	計算的に
stillness	静けさ|静止
jobseeker	求職者
relaxant	弛緩薬
chard	チャード|フダンソウ|茎が白く葉は大きい･食用
enlistment	入隊|兵籍期間|兵籍編入|募兵
chelate	キレート化合物(錯体)を作ること|キレート化して除去･浄化すること|(語源|カニのはさみ)
minster	修道院付属教会堂|大寺院
skyrocket	ロケット花火|流星花火|狼煙|急に上昇する|急騰する|値上がりする
bungle	やりそこなう|へま(をする)|しくじる|しくじり
collapsible	(いす.テーブルなどが)折り畳める|組み立て式の
ascribe	のせいにする|帰する
usurp	(権力･地位を)奪う|横領する|不法使用する
firestorm	抗議の嵐
inept	不適当な|適正のない|下手な|不適切な|不器用な|不手際な
pert	無遠慮な|活発な|生意気な|こましゃくれた|元気のよい|いきな
fraught	伴った|充満した|伴う|悲惨な|悩んでいる
droplet	水滴|小滴
thud	ドサッ|ズシン
unwillingness	気が進まない
trimming	バランスをとる|整頓|調整|具合よくすること|刈り込み
dingo	ディンゴ|ディンゴ犬|ルンペン|浮浪者|卑劣な奴
advisement	熟慮|熟考
fulltime	(フットボールなどの)時間切れ|試合終了
mistrust	信用しない|不信|信頼しない|疑う|推測する
extraordinaire	並みはずれて|非凡な
eloquence	雄弁
anarchism	無政府主義
definitively	決定的に
quirk	いやみ|癖|巡り合せ
representational	(絵画や芸術様式が)具象主義の;表象の写実的な
beating	打つこと|懲らしめに叩くこと(That boy needs a good beating|give a person a beating打ち負かす|a beating in the stock market|株で大損する)|羽ばたき|心臓の鼓動
copious	豊富な|大量の
newfound	新発見の
instantaneously	瞬時に
harem	ハレム|ハレムの女達
tachycardia	頻脈
rampart	塁壁|城壁|防御|守備|に城壁を巡らす|防御する
hock	(犬･馬などの後ろ足の)ひざ|飛節(かかと)|(特に豚の)足肉　2|借金　3|白ブドウ酒
decaf	カフェイン抜きのコーヒー
caloric	熱の|カロリーの
admissibility	《しばしばthe ~》許容|容認;許容できること
herbaceous	草の|草本の|草の特徴を持つ
distinguishable	区別できる
immaterial	重要でない|非物質的な|実体のない
hypertrophy	肥大
cosh	(武器として用いる金属・石などを詰めた)こん棒
contraband	密輸品|禁制品|輸出入禁止品|輸出入禁止の
replenishment	補充
dexamethasone	デキサメタゾン|ステロイド系抗炎症薬のひとつ
inclement	厳しい|険悪な|寒さやあらしのひどい|苛酷な
definable	限定できる|定義できる
bruin	(童話などで)クマ|(呼びかけで)クマ公
psychoanalytic	精神分析の
gawk	気のきかない人|のろま|とんま|ぼんやりと眺める
prostrate	ひれ伏した|屈服した|疲れはてた|倒す|屈服する
impartiality	公平
stemware	(飲物・デザート用の)脚付きのグラス[類]
sedge	スゲ(湿地にはえる草)
transom	横棒|横木|窓の横仕切り(反|mullion窓の縦仕切り)|欄間
impersonal	非人格的な|個人的でない|(文法)非人称の
rhizome	根茎|地下茎
pauper	貧民|乞食|貧乏人|生活困窮者
arith	arithmetic|arithmetical
democratically	民主的に
furiously	猛然と
epitome	抜粋|梗概|要約|大要|縮図|典型|(論文などの)概略
prefabricate	〈家〉‘を'プレハブ方式で建てる(組み立て用の規格部品単位で製造すること)|〈部品など〉‘を'前もって作り上げる
collation	〈U〉(本・原稿などの)照合|〈C〉《文》軽食
parenteral	非経口の
cerebrovascular	脳血管の
delicatessen	デリカテッセン|調製食品(店)
nullify	無効にする|破棄する
heist	押し込み|強盗|銀行破り|追いはぎ|泥棒|盗品|強盗する|強盗を働く|盗む
clough	狭い谷|谷あい
wert	beの直説法第二人称単数形および仮定法過去形
regimental	連隊の
tutu	チュチュ(バレリーナが着る短いスカート)
dispensation	分配|処理|(医薬の)調剤|統治|(神の)摂理|免除
primacy	第1位|首位|第一位|大主教
escudo	エスクード(ポルトガルの貨幣単位)
pointy	先のとがった
pylon	(古代エジプト寺院の)塔門|(飛行場の)目標塔|パイロン|(高圧線用の)鉄塔|仮義足
insolvent	支払い不能の|破産した
carmine	カルミン|洋紅色(の)|えんじ色(の)
assailant	攻撃者
succinct	簡潔な|簡明な
palpable	触知できる|容易に知覚できる|明白な|簡単に分かる
trawler	トロール漁船
depress	意気消沈させる|落胆させる|押し下げる|押す|憂欝にする|衰えさせる|低下させる
tabu	=taboo
intonation	抑揚
polygraph	ポリグラフ|うそ発見器|lie detector|(呼吸･脈拍などの)多元記録器
zippy	元気いっぱいの
preconception	予想|先入観
goer	(映画･コンサートなどに)よく行く人|常連客|(新しいことなどに)積極的な人|活動的な人|足の速い馬|高速に走る車
fiancee	(仏語)(女の)婚約者
huntsman	狩人|(キツネ狩りの)猟犬係
camshaft	カム軸(カムを支え回転させる軸)
transcendent	並みはずれた|卓絶した|抜群の|超越的な
sardine	イワシ|鰯|詰め込む
faggot	(俗)ホモ|同性愛の男|女性的な男|いやな女|(たきぎ･鉄棒の)束|束ねる
unsatisfied	満たされない
retinopathy	網膜症
defray	負担する|支払う|の費用を支払う
contentment	満足
ontological	存在論の
befriend	友人になる|の味方となる|の世話をする|助ける
discoverer	発見者|創案者
politic	政治|抜け目のない
exchequer	国庫|財源|国庫証券Exchequer bonds|(口語)the exchequer個人･会社などの財源|資力|(主に英)大蔵省(=Treasury)|the Chancellor of the Exchequer大蔵大臣
aeruginosa	緑膿菌
wimp	弱虫|意気地なし
archaeologist	考古学者
mitotic	有糸分裂の
semifinal	準決勝の|準決勝(戦)
falciparum	熱帯マラリア
undetected	検出されない
caries	カリエス|虫歯
squint	横目|斜視(の)|性癖|目を細めて見る
disassembly	解体
flagpole	旗ざお
catalyze	触媒作用を及ぼす
distillate	蒸留液|真髄|粋|石油製品|留出油
indulgent	気ままにさせる|寛大な|やさしい|甘い
offseason	オフシーズン
pounce	に飛びかかる|飛び付く|急に襲いかかる|突然入ってくる
wholeheartedly	心を込めて|心から|誠心誠意
acquaint	知り合いになる|知らせる|伝える|分からせる
avast	(海事用語で)やめ|待て
inelastic	弾力のない
aerodynamics	空気力学
leviathan	巨大な海の怪物(旧約聖書「ヨブ記」に出てくる怪物)|巨大な物(船・鯨など)
obligate	義務を負わせる|義務的な|避けられない
popularly	一般に|広く|通俗に
confiscation	没収|押収
kickback	ぴんはね|リベート|賄賂|激しい反応|反動
extrapolate	外挿(がいそう)する|推定する|ある既知の数値データを基にして|そのデータの範囲の外側で予想される数値を求めること|(補外ともいう)|その手法を外挿法という
disengage	解き放す
miniseries	連続ドラマ
rote	まる暗記の|機械的な|(a person who learns by rote丸暗記する人)
ahoy	おーい!
endothelium	内皮|内皮細胞
appointee	任命された人
dabble	水をバチャバチャする|ちょっと手を出す
steeple	尖塔
scrum	スクラム(を組む)|つかみ合い(をする)|せわしなく捜す|もみあい
meager	乏しい|やせた|貧弱な|不十分な
panelist	パネリスト|パネラー(和製英語)
mailroom	郵便仕分け室
bourgeoisie	(仏語)ブルジョアジー|市民階級|中産階級
recessive	(生物)|退行の|逆行の|遺伝形質が劣性の(a recessive trait劣性形質)|(反|dominant)
inflexible	確固たる
pounder	ポンド砲
infield	(野球)内野
thicket	茂み|やぶ|雑木林
preterm	早産児
patrolling	パトロール
injurious	有害な
diction	言葉遣い|語法|話し方
reenter	再び所有権を得る|再び入る|再加入する|再入国する|麻薬による陶酔から覚める|再記入する|麻薬の陶酔から覚めること
trike	tricycle
cypher	=cipher
calibrator	内径(目盛り)測定器
disengagement	(〜から)解放されること;自由《+『from』(『of』)+『名』》
drab	トビ色の|トビ色|とび色|ふじ色(黒味がかかった黄褐色)
charade	見せかけ|言葉あて遊び|見え透いた言い訳|シャレード(ジェスチャーをしてそれを表す言葉を言い当てる遊び)
irreverent	不敬な|不遜な
crawfish	伊勢エビ|ザリガニ|ザリガニの身|けち|尻込みする人|取り消す
credo	(語源ラテン語)|(=creed)|信条|信念|教義|(Apostles' Creed|信徒の信条)は|キリスト教のうち西方教会(カトリック教会|聖公会|プロテスタント)における基本信条のひとつ
heartless	思いやりのない|熱意のない|薄情な|無情な|冷酷な|つれない|元気のない
searchlight	サーチライト|探照灯
concussion	衝撃|脳震盪
forcible	強制的な|強力な
bushy	しげみのような|毛がふさふさした
froth	を泡立たせる|泡|泡を立てる|あわ|あぶく|を泡で覆う
overheat	過熱する|過度に興奮させる|過度の興奮
oxymoron	撞着語法|修辞技法のひとつ|「賢明な愚者」「明るい闇」など通常互いに矛盾している複数の表現を含む表現|形容矛盾とも言う
eastbound	東へ向かう
apoptotic	アポトーシス(細胞死)の
tetrahedron	4面体
decompress	〜‘の'圧力を減らす
weirdo	奇人|変人
tracksuit	トラックスーツ(運動選手用の保温着)
rebut	反論･反駁する
newsprint	新聞印刷用紙
haulage	引っぱること|(貨物の)運搬;運搬料
heredity	遺伝
nominally	名義上|名目上|名詞的に
mismanagement	誤った管理(処置)|不始末|やりそこない
convincingly	納得がゆくように|いかにももっともらしく
phenylalanine	フェニルアラニン|牛乳･卵･肉などに含まれる必須アミノ酸|体内で作り出せないため食物から摂取する必要がある
pacifist	平和主義者
mischievous	いたずらな|有害な|いたずら好きな|いたずら好きの
inversely	逆に
prequel	(文学･映画作品などの)前編|続編
fateful	決定的な
immunologic	免疫学的な
complacency	自己満足
beeswax	蜜ろう(を塗る)
kitsch	(ドイツ語)(軽蔑的に)俗受けをねらった作品|キッチュ
colliery	(地上の建物も含めた)炭坑
insular	島のような|島の|島国根性の
thruster	(宇宙船の)高度制御ロケット|《英俗》(キツネ狩りで)猟犬に近づき過ぎる狩猟家|《話》でしゃばり屋
thoroughfare	通路
sensuality	官能性|肉欲にふけること|好色
junkyard	古物集散所|廃品投棄所
banyan	ベンガルボダイジュ(樹木の名)
opinionated	自説を曲げない
sensuous	感覚的な|感覚に訴える|美的な|美感に訴える
diorama	(博物館に展示した)動物の模型
ripen	成熟する|熟する|円熟する|を熟させる
waterborne	水上に浮かぶ|水上輸送の
sceptical	=skeptical
halcyon	カワセミ|カワセミの|のどかな|平穏な|穏やかな|幸福な|はなやかな|繁栄の
cogent	説得力がある|適切な|説得力のある|人を承服させる|力強い
uninformed	情報を受けていない|無知な
lyricist	叙情詩人
steppe	〈C〉(樹木の生えない)大草原|《the Steppes》ステップ地方(シベリアの大草原)
chub	チャブ|ウグイの類の淡水小魚|テキサス人
subcontinent	亜大陸
rationalization	合理化|理論化
transcriptase	転写酵素
aberration	狂い|脱線(行為)|異常|精神異常|(光の)収差
cannonball	砲弾|弾丸列車|(テニス)弾丸サービス|猛スピードで行く･飛ぶ
borer	穴あけ機|穴をあける人(器具)|きり|たがね|木や果実に穴をあける虫|穿孔(性)動物
conclusively	決定的に
hiya	やあ!|こんちは!
calcareous	カルシウム分の土地
inductance	(電気の)インダクタンス|誘導係数
mishear	〜‘を'聞き誤る|聞き違える
flaky	フレーク(薄膜)状の|はがれやすい|ひどく変わった
slaughterhouse	屠殺場|修羅場
aesthetically	審美的に
gestalt	形態|ゲシュタルト
complementarity	相補性
honeysuckle	スイカズラ
ruse	策略|計略(trick)
unspoken	暗黙の
cogeneration	コージェネレーション
inducement	勧誘
polisher	艶出し器|磨く人|おべっか使い|追従者
cyclase	アデニル酸シクラーゼ(adenylate cyclase)は膜受容体に結合し|ホルモンや他の刺激に反応するタンパク質を活性化(または抑制する)酵素
ampere	アンペア(電流の強さの単位;{略}amp.)
ethnically	民族的には
outfall	(用水池などの)排水口|はけ口;河口
flack	不平|批判|異議|苦情
gip	=gyp
yesteryear	先年
bazooka	バズーカ(砲)
tagline	キャッチフレーズ
dietetic	食事の|栄養(学)の
alight	燃えて|明るく照らされて|車･馬から降りる|偶然発見する
stereotypical	ありふれた
husker	脱穀機
interferometer	干渉計(光の干渉現象を利用して波長や天文学上の距離を測る)
proviso	但書|条件
driller	穴あけ機
carcinogen	発癌(性)の|発ガン性物質
recollect	を思い出す|回想する
mimosa	オジギソウ|ネムリグサの類
sedentary	いつも座っている|座っている
extermination	絶滅|根絶|駆除|皆殺し
bejewel	(宝石で)〜'を'飾る
speciation	種の分化|形成
interrogate	尋問する|質問する
crosstalk	(会議中などでの)むだ話|おしゃべり|(ラジオ・電話などでの)混信|混線
onerous	(άnərəs)わずらわしい|やっかいな|めんどうな
bluebonnet	矢車菊
hakim	裁判官|太守|知事
tenderly	そっと(gently)|慎重に|鋭敏に|やさしく
implore	に哀願する|懇願(嘆願)する|嘆願する
haddock	タラ(魚)|ハドック|ハドックの身
whimper	泣き声で言う|しくしく泣く|ぶつぶつ不平をいう|(犬が)クンクン鳴く
phoneme	音素(ある言語における音声上の最小単位)
oftentimes	=often
miserably	みじめに|貧弱に|みすぼらしく|みじめなほど
argosy	(特に高価な貨物を積んだ)大商船|大商船団
chagrin	残念(がらせる)|無念|くやしさ
adage	ことわざ|格言|古諺|諺
copilot	(航空機の)副操縦士
lard	ラード(豚の脂肉)|-をはさむ
paraprofessional	専門職業家を補助する人(准看護婦・代用教員など);助手
nutritionist	栄養士
hairstyle	ヘアスタイル
repress	を鎮圧する|を抑制する|を堪える|を抑圧する
cemetary	墓地
derogatory	軽蔑的な|名誉を毀損するような|傷つけるような
discontinuous	不連続の
uncorrected	訂正されていない
chloro	chloro (異形chlor- 主に母音の前) 緑の|Chlorophyll(クロロフィル・葉緑素) 2|(化学)塩素の|塩化|クロロ|クロル
inaccuracy	ずさん|間違い|誤り|不正確
microcosm	小宇宙|縮図|人間(社会)
heartbreaking	(物事が)胸も張り裂けんばかりの|飽き飽きする
gimmick	いんちき|でたらめ|仕掛け
ligation	DNAのリン酸ジエステル結合を生じる化学反応
credence	信用
prodigal	乱費する|放蕩する|気前良く与える|放蕩息子|乱費家
muss	(米語)めちゃめちゃにする|くしゃくしゃにする
defuse	無害化する|(緊張･危険などを)取り除く
dipper	浸すもの(人)|ひしゃく|お玉じゃくし|水中にもぐる鳥(カワガラスなど)|(天文|主に米)北斗七星(英国ではPlough)
unreported	報告されていない
assemblyman	工場の組立作業員|議員
igloo	エスキモー人の家
laughable	面白い
momentous	重大な
penitentiary	後悔の|州刑務所|感化院|懲戒の|刑務所
fussy	気むずかしい|凝った
homeostasis	ホメオスタシス
milkshake	ミルクセーキ
thrasher	脱穀者(機)|(魚)オナガザメ|(鳥)ツグミ
unshaved	陰のない;(絵画が)陰影をつけない|日よけ(おおい)のついていない;(電気スタンドなどが)シェードのついていない
superscript	上(肩)付きの(文字|記号)
croupy	クループの(にかかった)
rhinitis	鼻炎
venison	しか肉
tarnish	曇らせる|曇り
catheterization	カテーテル法
molestation	いじめる|苦しめる|(女性･子供を性的に)いたずらする
hardtop	ハードトップ(金属製の屋根の自動車)
deflation	デフレ|ガス抜き|収縮
voyeurism	のぞき見趣味
skillfully	熟練して|上手に
heady	せっかちな|強情な|頑固な|わがままな|むこうみずな|性急な|激しい
badlands	荒地(岩石層が浸食作用により奇観を呈した地帯)
dyslexic	失読症の
backstroke	打ち返し|逆手(さかて)打ち|(またback crawl)背泳
germinate	(種子など)が芽を出す|成長する|発生する|発生させる|芽を出す
ricochet	跳飛(弾丸|石などが物や水面に当たって跳ね返ること)|跳飛した弾丸|跳弾
intractable	手に負えない|強情な|処置しにくい|歩み寄らない
blanch	白くする|青ざめる|漂白する|(blanch漂白する|branch枝|brunch朝|昼食を兼ねた食事)
saturate	飽和|にしみ込む|に完全に浸される|を一杯にする
edifice	大建築物|建物|殿堂|構成物|組織
diphtheria	ジフテリア
floater	浮くもの(人);(住所|職などを)転々と変える人;浮動投票者
hazelwood	家具製造用のゴムの木|心材からの赤褐色の木と材木
verandah	ベランダ|縁側
outfield	(野球)外野
carcinogenesis	発癌
legalization	合法化
orthodontist	歯科矯正士
kamikaze	神風特攻隊のような|無茶な
bilge	船底の湾曲部|ばかげた談話
unquestionably	疑いなく|確かに|明白に
citizenry	市民
fabricate	組み立てる|(物語･嘘を)作る|偽造する|ねつ造する
redeemable	償還できる
prowler	こそ泥
chairmanship	chairmanの職(地位)
mince	ミンチ|細かく刻む|控えめに言う|遠回しに言う|気取って話す
parathyroid	甲状腺
analgesia	痛覚欠如|鎮痛
