mosaicism	モザイク現象
dignify	に威厳をつける|に威厳を添える
equinoctial	春分(秋分)の|昼夜平分の|春分(秋分)に起こる
velvetleaf	イチビ
lobectomy	肺葉切除術
swagman	an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work
enology	the art of wine making
mouthy	おしゃべりの|声高な|大言壮語する
allocatable	配分できる|割り付け可能な|割り振り可能な|割り当てできる
inheritor	(遺産)相続人|後継者
remorseless	無慈悲な
procarbazine	プロカルバジン
yardmaster	(鉄道の)構内主任
internalise	内面化
redoubtable	恐るべき|あなどりがたい
stickle	(特に|ささいなことを)くどくど言う|(〜に)難色を示す《+『at』+『名』》
minge	vulgar term for a woman's pubic hair or genitals
vanillin	バニリン
headbutt	butt with the head; "The soccer player headbutted his oponent and was sent off the field"|butt with the head
natation	the act of someone who floats on the water
antechamber	控えの間|ロビー
seasonable	季節(時節)に合う|時節がらの|《文》時機を得た
stereotypically	in a stereotypical manner
palmy	ヤシ(シュロ)の多い|繁栄する|勝利を得た|意気揚々とした|椰子の茂った|手のひらへのむち打ち
herstory	一女性の生涯|女性の目から見た歴史|女性史
unplaced	(競技・試合などで)入賞していない|等外の
capiz	カピス州
worldclass	ワールドクラス
equipt	provided or fitted out with what is necessary or useful or appropriate; "a well equipped playground"; "a ship equipped with every mechanical aid to navigation"|provided or fitted out with what is necessary or useful or appropriate
photomosaic	arrangement of aerial photographs forming a composite picture
crawdad	ザリガニ|ザリガニ
sportswoman	女子運動(競技)家
centromeric	動原体性
ravish	夢中にする
gluteus	殿筋
umbilicus	へそ
dubiously	不審
battlement	《しばしば複数形で》(塔・城壁の頂上の)銃眼つき胸壁
orison	祈り
atelectasis	無気肺
gamester	ばくちうち|とばく師(gambler)
rededication	a new dedication; "the rededication of the Temple of Jerusalem"|a new dedication
silkwood	a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves|a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit|bark yields a silky fiber used in cordage and wood is valuable for staves
deliriously	やたらに|精神が錯乱して|非常に|夢中になって|無性に
byword	通り言葉|はやりことば
osteomalacia	骨軟化症
sphalerite	閃亜鉛鉱
bewail	嘆き悲しむ
mumbling	indistinct enunciation|ineffectual chewing (as if without teeth)
redonda	an island in Antigua and Barbuda
cisterna	槽
autoradiographic	of or relating to or produced by autoradiography
plasmapheresis	血漿瀉血
referable	capable of being assigned or credited to; "punctuation errors ascribable to careless proofreading"; "the cancellation of the concert was due to the rain"; "the oversight was not imputable to him"|capable of being assigned or credited to
chondrosarcoma	軟骨肉腫
rigueur	(仏)絶対条件|厳格|厳しさ
lopid	ゲムフィブロジル
serval	サーバル
playschool	a small informal nursery group meeting for half-day sessions
costless	フリー|無償性
doleful	悲しい|悲しげな|憂いに沈んだ|陰鬱な
spellbinder	(聴衆を魅了する|特に政治家の中の)雄弁家
baize	ベーズ(玉突き台などに張る緑色の柔らかい毛織地)
debasement	品位の低下|悪化|凋落
ethene	エチレン
ornately	華美に|華麗に|飾り立てて
dreadlock	ドレッド(多数|細く三つ編みした髪型)
shrewdness	抜け目なさ|利口
sodoku	the form of ratbite fever occurring in the Far East
interstice	隙間|割れ目|裂目|穴|間隔
tractability	the trait of being easily persuaded
dunker	an eater who dips food into a liquid before eating it; "he was a dunker--he couldn't eat a doughnut without a cup of coffee to dunk it in"|an eater who dips food into a liquid before eating it|a basketball player who is able to make dunk shots|an adherent of Baptistic doctrines (who practice baptism by immersion)
brutalize	残忍にする|非人間的にする
lingam	リンガ
dicer	ダイサー(食物をさいの目diceに切るための器具)|a mechanical device used for dicing food|(生命科学)低分子2本鎖RNAを切り出す酵素
rhamnus	type genus of the Rhamnaceae: buckthorns
etagere	a piece of furniture with open shelves for displaying small ornaments
samosa	サモサ
antispasmodic	鎮痙薬
dogleg	(道路など犬の脚のように)くの字に曲がったもの
colorimetry	quantitative chemical analysis by color using a colorimeter
isogenic	同系の
turbofan	ターボファン(ジェット推進機関の一種)
assayer	分析(試金)者
goldmark	ゴルトマルク
dualist	an adherent of dualism
nonsmoker	非喫煙者
arthralgia	関節痛
thermostatically	by thermostat; in a thermostatic manner; "the temperature is thermostatically controlled"|by thermostat|in a thermostatic manner
furze	ハリエニシダ(《英》gorse)
misconceive	〜‘を'誤解する|思い違いをする(misunderstand)
neighbourly	exhibiting the qualities expected in a friendly neighbor
perianth	花被
alembic	ランビキ(昔の蒸留器|浄化器)
inglenook	炉辺|炉端
deification	神としてあがめること|神に祀ること|神格化
sensitiveness	感じやすさ|敏感さ|感じ易さ|センシビリティ|感受性|センシビリティー|感性|感度|敏感性|感度|感応性|感じやすさ|鋭感|感覚|感受性|鋭敏|感性|感度
redshank	a common Old World wading bird with long red legs
cultist	熱狂的な人|狂信者
chamaecyparis	a genus of Chamaecyparis
hydatid	水胞体
overprotective	過保護な
mendicant	物もらい;托鉢僧
threepenny	下らない
profilin	プロフィリン|筋肉タンパク質(Muscle Protein)の一種でアクチン重合調節等の機能を持つ
silvertip	灰色熊
giddiness	めまい|めまいがする|目がくらむ|うわついた|軽薄な
taraxacum	an asterid dicot genus of the family Compositae including dandelions
meaningfulness	有意|深長さ|有意義
commensal	食卓を共にする|(動植物が)片利共生的な|(異なる価値観･慣習を有する個人･集団と)共生する
antiquark	the antiparticle of a quark
retributive	報復の|応報の|retributive justice因果応報|報い
eatable	(食物が)食べられる[状態にある]|(特に手を加えていない)食料品(food)
photographically	写真術によって;写真のように
thoroughgoing	《名詞の前にのみ用いて》全くの(utter)|完ぺきな|徹底的な
downregulated	下方制御された|減少された|ダウンレギュレートされた
flagon	(食卓用または聖餐(せいさん)式用)細口びん|大型のぶどう酒びん
verticillium	a fungus of the genus Verticillium
rhodochrosite	a mineral consisting of manganese carbonate; a source of manganese|a mineral consisting of manganese carbonate|a source of manganese
wormy	虫のついた|虫の食った;虫だらけの|虫けらのような;浅ましい
tangency	＜tangeny|接触|2つのものが触れたり物理的に接触したりする接点
scattershot	やみくもの|めくら滅法の|でたらめの
octant	八分儀
demiurge	デミウルゴス
clonic	間代性
photocathode	光陰極
barefooted	素足で|はだしで|裸足の|素足の
backstretch	バックストレッチ(競技場のゴールと反対側の直線走路)
antiparticle	反粒子
clerestory	採光窓、高窓層(教会堂などで)採光用の高窓が並んだ側壁)|《米》高窓;)電車の天井両側にある)通風窓
graniteware	a kind of stone-grey enamelware
flecainide	フレカイニド
grifter	賭博師|(サーカス･縁日などで)見世物や賭事の店を出す人|詐欺師|ぺてん師|浮浪者
electrum	an alloy of gold and silver
armillary	of or relating to bracelets
biannually	隔年
epididymal	精巣上体の
demoralization	風紀を乱すること|堕落|退廃|(軍隊・軍人の)士気をくじくこと
steerer	操舵手
killjoy	興をさます人
forefather	祖先(ancestor)
pebbly	小石の多い
unrevealed	not made known
burgeon	発芽する|急速に発展する|芽|若枝
riskless	thought to be devoid of risk
descender	ディセンダ|ディセンダ|ディセンダ
abash	《通例受動態で用いて》〜'を'恥じ入らせる;〜'を'まごつかせる|面くらわせる
innervate	刺激する
sacristy	聖具室
charitably	慈悲深く|寛大に
preordain	〈神・運命が〉〜‘を'あらかじめ定める
torticollis	斜頚
offerer	someone who presents something to another for acceptance or rejection
amnesic	健忘
dendrogram	系統樹|ある主題を系統的に表現するのに樹木の形態を模したもの
slumlord	(スラム街の特に悪徳な)アパート家主
slather	量|多数|どっさり|厚く塗る|たっぷりと使う
synonymously	in a synonymous manner; "the two terms are used synonymously"|in a synonymous manner
interestingness	興味を起こさせる力
sylvanus	(Roman mythology) god of woods and fields and flocks; Pan is the Greek counterpart|god of woods and fields and flocks|Pan is the Greek counterpart
evilness	姦邪|不善|悪質|横道|邪悪|奸邪|邪|悪さ|悪
epizootic	家畜流行性
paten	パテナ(聖体祭儀のときパンをのせる金属製の皿)
stagflation	景気後退下のインフレ|スタグフレーション
curiosa	好色本
cannulation	カニューレ挿入|気管挿管
technocracy	〈U〉テクノクラシー|技術家主義(専門技術者に産業の支配・統制を任せようという理論);〈C〉技術家集団|(C)技術家主義の国家
kilovolt	キロボルト|kv
oracular	神託(託宣)の(ような)|威厳のある
technocrat	専門技術者|テクノクラート
homological	similar in evolutionary origin but not in function
undefended	無防備
transferrable	伝達性|伝達性
irrecoverable	(金・時間などが)取り戻せない;(損失・災害などが)回復できない
titillate	くすぐる(=tickle)
jujutsu	柔術
serail	ハーレム|後宮|后宮|内廷|ハレム
ingenue	純情娘|純情な少女
ovariectomy	卵巣切除|卵巣摘出
curtilage	庭|ガーデン
hallux	母趾
doxy	情婦|妾|姦夫
secularize	世俗化する
backcloth	=backdrop
manakin	マヌカン|マネキン|ファッションモデル|雛型|モデル|マネキン人形|マヌカン|マネキン
satisfyingly	満足させるように|十分に|満足させるほど
bemusement	惑い|混迷|戸惑い|迷い|困惑|当惑
chaw	a wad of something chewable as tobacco|chew without swallowing; "chaw tobacco"|chew without swallowing
metalanguage	〈U〉メタ言語(言語を論じるための表現・語句)
trackage	鉄道線路;軌道延長
amberjack	鰤
arcsin	the inverse function of the sine; the angle that has a sine equal to a given number|the inverse function of the sine|the angle that has a sine equal to a given number
rakish	みだらな|粋な|ハイカラな
roble	large tree of Trinidad and Guyana having odd-pinnate leaves and violet-scented axillary racemes of yellow flowers and long smooth pods; grown as a specimen in parks and large gardens|large tree of Trinidad and Guyana having odd-pinnate leaves and violet-scented axillary racemes of yellow flowers and long smooth pods|grown as a specimen in parks and large gardens|tall graceful deciduous California oak having leathery leaves and slender pointed acorns
effervescence	(喜び)興奮|沸騰|あわ立ち|はつらつさ
oxacillin	オキサシリン
aengus	アンガス
dehiscence	(biology) release of material by splitting open of an organ or tissue; the natural bursting open at maturity of a fruit or other reproductive body to release seeds or spores or the bursting open of a surgically closed wound|release of material by splitting open of an organ or tissue|the natural bursting open at maturity of a fruit or other reproductive body to release seeds or spores or the bursting open of a surgically closed wound
rhymer	詩人
unworthiness	不敏|不適|不穏当
pindolol	ピンドロール
peptone	ペプトン(たんぱく質がペプシンによって加水分解したもの)
pinchers	=pincers
exhume	(死体)を墓から掘り出す|を明るみに出す|を復活させる
unflagging	衰えない|疲れを知らない
codefendant	共同被告人
adiposity	肥満
gitano	a Spanish male Gypsy
laryngectomy	喉頭切除
collectivization	the organization of a nation or economy on the basis of collectivism
corroborative	(信念などを)強固にする|(人･証拠など)確証的な
oddment	残り物|はんぱ物;がらくた
conspectus	概観|概説|要約|摘要
antimetabolite	an antineoplastic drug that inhibits the utilization of a metabolite
disabuse	の迷いを解く|捨てさせる
tufa	トゥファ(温泉などに沈殿した炭酸石灰から成る多孔質の石灰石)
leaker	a surreptitious informant; "the president wanted to know who the leakers were"|a surreptitious informant
nadolol	ナドロール
eukaryote	真核生物(=eucaryote)|動物|植物|菌類|原生生物など|身体を構成する細胞の中に細胞核を有する生物|真核生物以外の生物は原核生物(prokaryote)と呼ばれる
photomicrograph	顕微鏡写真
hilar	of or relating to or located near a hilum
nonperformance	失着|不行き届き|不行届き|不注意|等閑|怠慢|過怠|無視|仮初め|不始末
diorite	閃緑岩
hardihood	大胆(boldness);ずぶとさ|厚かましさ
advective	of or relating to advection
roustabout	波止場人夫;油田人夫;サーカス小屋の人夫
hyaluronidase	ヒアルロニダーゼ
grapheme	文字記号|キャラクター|書記素|文字
onside	(フットボールなどで選手が)正規の位置にいる|オンサイドにいる|正規の位置に|オンサイドに
greenness	濃緑|翠|翠色|翠緑|緑|若緑
bedstraw	any of several plants of the genus Galium
psychically	from a psychic point of view; "he was psychically blind"|from a psychic point of view
recrimination	非難し返すこと|逆襲|責め合い
cinderblock	シンダーブロック(中空で軽量の建築用コンクリートブロック)
misbranded	branded or labeled falsely and in violation of statutory requirements; "confiscated the misbranded drugs"|branded or labeled falsely and in violation of statutory requirements
sphenoid	蝶形骨
thyrotoxicosis	甲状腺機能亢進症
aureole	(聖者・殉教者などの絵に見られる)光の輪|輪光|後光|(太陽・月にかかる)かさ
deodorize	eliminate the odor from; "This stick will deodorize your armpits"|eliminate the odor from
mediatrix	a woman who is a mediator
iridescence	(シャボン玉などの)にじ色|玉虫色
unsanctioned	without explicit official permission; "unsanctioned use of company cars"|without explicit official permission
physostigmine	フィゾスチグミン
cognisance	意識|意識すること|認識
trainman	列車乗務員
morus	桑|モールス信号
ballplayer	野球選手
asphyxiate	〜'を'窒息[死]させる|窒息[死]する
loir	ロアール川
embouchure	〈C〉(吹奏楽器の)吹口(すいこう)|〈U〉(吹口への)くちびるの当て方
overtop	〜‘の'上にそびえる|〜‘より'高い|〜‘より'すぐれる
evolutionism	進化論|進化主義
thoughtlessly	不親切に|無慈悲に|軽率に|不注意に|よく考えないで|考えなしに
symbolist	記号学者|記号使用者
pyromaniac	放火狂
lumpen	ルンペン|浮浪者(の)
plasticine	a synthetic material resembling clay but remaining soft; used as a substitute for clay or wax in modeling (especially in schools)|a synthetic material resembling clay but remaining soft|used as a substitute for clay or wax in modeling (especially in schools)
metathesis	複分解
forewing	(四枚羽を持った昆虫の)前翅(し)
mansard	(またmansard roof)マンサード屋根|二重こう配屋根|マンサード屋根下|屋根裏部屋
demagoguery	民衆扇動
periodontist	a dentist specializing in diseases of the gums and other structure surrounding the teeth
bucko	若者 (my ～)|若いの|君|(俗)いばりちらす(やつ)|筏師
forthrightly	まともに
whacker	とてつもなく大きいもの|大うそ|大ぼら
unfaithfulness	背信|不義|不誠実
globalise	make world-wide in scope or application; "Markets are being increasingly globalized"|make world-wide in scope or application
skeptically	懐疑的に
disorient	向きを狂わせる|混乱させる
mezzotint	〈U〉メゾチント彫刻(あらくした銅版面の所々をならして明暗をつける法)|〈C〉メゾチント版
guanaco	グアナコ
starless	星(星明かり)のない
noesis	了知|ナレッジ|知識|認識|認知|ノレッジ|ノリッジ
bedraggle	引く
hamamelis	deciduous shrubs or small trees: witch hazel
mercaptopurine	メルカプトプリン
ineradicable	根絶できない|根深い
glucotrol	an oral antidiabetic drug (trade name Glucotrol) that stimulates the release of insulin from the pancreas
trapezium	《米》不等辺四辺形|《英》台形
fontanelle	泉門
anencephaly	無脳症
unimaginably	もっての外
ravenously	がつがつ
goitre	甲状腺腫
ionize	イオン化する|電離する
plutocracy	〈U〉金権政治|(政治を左右する)富豪階級|財閥
dispassionately	冷静に
sundew	モウセンゴケ(食虫植物)
weighbridge	橋ばかり(車両と積荷を同時に計る計器)
hyperbilirubinemia	高ビリルビン血症
shortchange	サボる
diazo	ジアゾ
cincinnatus	キンキナトゥス
teagarden	屋外軽食堂|茶畑
yack	ヤク|おしゃべり
booboo	《俗》ばかげたあやまち|どじ|へま
heterosexism	discrimination in favor of heterosexual and against homosexual people
keloid	ケロイド
agranulocytosis	顆粒球減少症
trouper	旅芸人
attainder	(死刑などの判決後の)私権剥奪(はくだつ)
cadi	(イスラム教国の)裁判官
funfair	移動式遊園地|=amusement park
petrography	岩石分類学|記載岩石学
patronymic	父の名を取った名|父称|姓|名字の
homozygote	ホモ接合体
hotpot	ホットポット(羊肉・じゃがいも・玉ねぎなどを煮こんだ料理)
pome	梨果
preterist	a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) have already been fulfilled
mischievously	in a disobedient or naughty way; "he behaved badly in school"; "he mischievously looked for a chance to embarrass his sister"; "behaved naughtily when they had guests and was sent to his room"|in a disobedient or naughty way
mousy	おとなしい|おどおどした|ネズミ色の|ネズミの|ネズミの多い|ネズミ臭い|内気な
communistic	共産主義[者]の|共産主義的な
illicitly	違法|不法
colly	穢す|汚す
blepharitis	眼瞼(けん)炎(まぶたの炎症)
immunofluorescent	免疫
ecor	環境保全運動の商標
dyestuff	染料
metacarpal	中手骨
trustor	(law) a person who creates a trust by giving real or personal property in trust to a trustee for the benefit of a beneficiary; a person who gives such property is said to settle it on the trustee|a person who creates a trust by giving real or personal property in trust to a trustee for the benefit of a beneficiary|a person who gives such property is said to settle it on the trustee
appropriator	専有する人|盗用(横領)する人|《英》教会禄(ろく)の設定を受けた宗教法人
derisively	にったり
provisioner	a supplier of victuals or supplies to an army
kohlrabi	カブラタマナ;キャベツの一種
oligarch	one of the rulers in an oligarchy
spoliation	強奪|略奪
unsentimental	facing facts or difficulties realistically and with determination
bedding	寝具類|bedclothes|(牛馬の)敷き藁
pleasantness	心地よさ|楽しさ
pennywhistle	笛|ティン・ホイッスル
sandfly	スナバエ
terminable	終わらせることのできる;(契約などが)期限のある|有期の
phosphorescence	リン光[を出すこと];青光り
balladeer	バラｰド歌手|ポピュラー歌手|民謡歌手
dirigible	操縦できる
geriatrician	老人病専門医
dominical	of or relating to or coming from Jesus Christ|of or relating to Sunday as the Lord's Day
unaired	lacking fresh air; "a dusty airless attic"; "the dreadfully close atmosphere"; "hot and stuffy and the air was blue with smoke"|lacking fresh air
salvelinus	イワナ
mugging	強盗|暴力スリ
lustily	in a healthy manner; "the young plants grew lustily"|in a healthy manner
bakehouse	ベーカリー|パン屋
skinfold	皮下脂肪
luxuria	情欲|性慾|欲情|淫欲|愛欲|肉慾|色情|婬情|獣欲|愛慾
neptunium	ネプトニウム(放射性元素;化学記号は『Np』)
opencast	露天掘りの
bimetal	バイメタル
sixfold	6倍の|6重の|6倍に|6重に
panchromatic	(写真のフイルムなどが)全整色の|全色の|パンクロの
pedagogically	in a didactic manner; "this is a didactically sound method"|in a didactic manner
camptothecin	カンプトテシン(CPT)は細胞毒性のあるアルカロイド(Alkaloid)|DNA酵素の働きを阻害する|抗がん剤として中国原生のカンレンボクの樹皮と幹から単離された
wineglass	ワイングラス
dyscalculia	impaired ability to learn grade-appropriate mathematics
clubfoot	内反足|えび足|〈U〉内反足である状態
unchain	〜‘の'鎖を解く|‘を'自由にする
antediluvian	大昔の|時代遅れの(人)
acetabulum	寛骨臼
ritualize	make or evolve into a ritual; "The growing up of children has become ritualized in many cultures"|make or evolve into a ritual
narrowboat	a long boat that carries freight and is narrow enough to be used in canals
maleness	雄性|男らしさ
irreligious	無宗教の
debriefing	教書
bondholder	公債証書(社債券)所有者
dingus	なんとかいう物(人)
chorion	絨毛膜
vaulter	an athlete who jumps over a high crossbar with the aid of a long pole
sakti	シャクティー
oenology	the art of wine making
laggard	遅れる人
beany	a small skullcap; formerly worn by schoolboys and college freshmen|a small skullcap|formerly worn by schoolboys and college freshmen
sial	the granitelike rocks that form the outermost layer of the earth's crust; rich in silicon and aluminum|the granitelike rocks that form the outermost layer of the earth's crust|rich in silicon and aluminum
tractive	exerting traction and serving to pull
numismatist	古銭学者
hindbrain	菱脳
greengrocer	青物商人|やお屋
whacko	気違
scholasticism	(中世の)スコラ哲学
comptrollership	the position of comptroller
adjunction	別れ目|分かれ目|分点|ジャンクション|分岐駅
effeminacy	男らしくないこと|優柔不断
unmindful	(〜を)気にかけない|(〜に)むとんじゃくな《+of+名(wh-節)》
magnetohydrodynamics	磁気流体力学
coppery	銅の[ような]|銅を含んだ|銅色の
cercopithecus	オナガザル
waterwheel	水車
pallium	大脳皮質|外套|外套膜|外套|外套
ceramist	陶器製造者|陶工|陶芸家
cabala	カバラ|カバラ
cannibalistic	人食いの;共食いの
indescribably	言語道断
gimpy	不自由
lineout	(ラグビーで)ラインアウト
unruffled	平静な
noncombustible	不燃性
horrify	ぞっとさせる
emendation	〈U〉(〜の)校正《+『of』+『名』》|〈C〉《しばしば複数形で》訂正[箇所]
coppersmith	銅細工師
orudis	ケトプロフェン
anaesthetize	麻酔
acerola	アセロラ
cytometer	血球計算器
cowslip	キバナノクリンザクラ|リュウキンカ
polygyny	一夫多妻|(植物の)多雌ずい性
intoxicant	酔わせる;心を浮き立たせる|酔わせるもの;(特に)アルコール飲料
palaeoecology	古生態学
supernaturally	超自然
enfranchisement	選挙権(公民権|自治権)の賦与|解放|釈放
ramekin	ラミキン(チーズやパン・卵などを混ぜて1人前ずつ焼いた料理)|ラミキン料理用の皿
gravitationally	with respect to gravitation; "gravitationally strong forces"|with respect to gravitation
scarily	in an alarming manner; "the disturbing thing about the Minister's behavior is that far from being artificial, it too often rings frighteningly true"|in an alarming manner
craftiness	ずるさ|悪がしこさ
marketing	マーケティング|市場取引|市場で売買すること|買い物
jaffar	ジャアファル
perceptibly	知覚できるように|目立って
reflectometer	反射率計
wizened	しなびた
gametophyte	配偶体
numerate	〜‘を'数える|数え上げる|《おもに英》足(た)し算引き算の能力のある|数学の分かる
townsman	都会人|町内の人
polymerize	重合|重合
underly	基礎となる
scratching	キーキー
phacelia	any plant of the genus Phacelia
playsuit	プレースーツ(婦人・小供用スポーツ着);(小供の)遊び着
ligustrum	genus of Old World shrubs: privet
principalship	the post of principal
prophase	前期|前期
mildness	柔和さ|温和な性質|適度な状態|おだやかさ
luckless	不幸な|不運な
arabis	annual to perennial woody herbs of temperate North America, Europe and Asia: rockcress
cucumis	cucumbers; muskmelons|cucumbers|muskmelons
cavalryman	(1人の)騎兵
ossuary	any receptacle for the burial of human bones
hypotonia	低圧
housetop	屋根(roof)
falloff	減少|衰退
procurer	(男性の)売春婦周旋屋
agonize	苦しむ|悶える|苦闘する|苦しめる
indigestible	消化しにくい|不消化の
sorbus	a genus of shrubs or trees of the family Rosaceae having feathery leaves
lordosis	an abnormal inward (forward) curvature of the vertebral column
kingmaker	(政党の)実力者|有力者|国王擁立者(Henry6世とEdward4世を擁立したEarl of Warwickを指す)
kenaf	インド大麻
fanatically	in a passionately fanatic manner; "he followed the teachings of his guru fanatically"|in a passionately fanatic manner
sidelight	サイドランプ|横からの光線|付随的な情報|わき窓
astilbe	アスチルベ
flashover	フラッシュオーバー
troglodyte	穴居人|隠者|世事にうとい人
inclosure	=enclosure
voluptuousness	豊富|曲線美
flashbulb	フラッシュバルブ|閃光電球
prodrug	プロドラッグ(そのままでは不活性な医薬品|投与されると|生体による代謝作用を受けて活性代謝物へ変化し|薬効を示す)
cassowary	ヒクイドリ(ニューギニア・オーストラリア産)
petrolatum	ワセリン
panga	刃が長く広い刀|大なた
seraglio	(イスラム教国の)後宮|ハレム
underexpose	〈写真のフィルム〉‘を'露出不足にする
carious	カリエス(caries)性の|カリエスにかかった
noncitizen	非市民
souvlaki	スブラキ
thwack	ピシャリと打つこと|バシッと叩くこと|試み|分け前|をピシャリと打つ
triggerfish	any of numerous compressed deep-bodied tropical fishes with sandpapery skin and erectile spines in the first dorsal fin
warehouseman	a workman who manages or works in a warehouse
pueraria	genus of woody Asiatic vines: kudzu
micropayment	ネット上のコンテンツを利用する際にかかる少額の料金
stablemate	a horse stabled with another or one of several horses owned by the same person
theoretician	理論家
modernistic	現美主義[者]の;現代的な|新しい
grotty	きたない|不潔な|不快な
fissionable	(原子が)核分裂を起こす|核分裂性の
inappropriateness	不適|不穏当|不適|不穏当
squamata	diapsid reptiles: snakes and lizards
guiltily	罪を犯して|やましい気持ちで|気まずそうな顔をして
flub	失敗(する)|へま(をする)
turncoat	変節者|裏切り者
nard	甘松(かんしょう)香(古代人が用いた香油)
treater	取り扱う人|処理する人|人におごってやる人
longsuffering	しんぼう強い|我慢強い
aurally	耳から|耳で|聴覚的に|聴覚で
hankie	汗ふき|ハンケチ|鼻拭|ハンカチ|汗拭|汗手拭い|汗拭き|ハンカチーフ|ハンケチーフ|手巾
weigher	an official who weighs and records the weight
shitless	extremely frightened; "he was scared shitless"|extremely frightened
hypercapnia	the physical condition of having the presence of an abnormally high level of carbon dioxide in the circulating blood
dinesen	ディネーセン
shrive	(司祭が)〜‘の'ざんげを聞いて罪の許しを与える|司祭にざんげする;〈司祭が〉ざんげを聞く
admiringly	with admiration; "he looked at his wife admiringly"|with admiration
intone	吟唱(ぎんしょう)する|詠唱する|抑揚をつける
saiga	goat-like antelope of central Eurasia having a stubby nose like a proboscis
saleswoman	女店員|女性販売員
awfulness	ひどく不愉快なこと
hobnob	懇談|親しくつきあう|親しく話をする
photophobia	羞明|羞明
movingly	ぐんと
encamp	〈兵士・部隊など〉‘を'野営させる|(テントで)〈部隊などが〉野営する
henceforward	=henceforth
bmdo	an agency in the Department of Defense that is responsible for making ballistic missile defense a reality
frustum	円錐(すい)台(円錐の上部を切り取った形)
viroid	ウイロイド
monthlong	1カ月
womanize	女三昧|女性化
tautological	(同じ意味の言葉が)重複した|類語反復の
braw	煌びやか|はでやか|派手やか|綺羅びやか|派手
uncorrupted	(of language) not having its purity or excellence debased; "uncorrupted English"; "learn to speak pure English undefiled"- Van Wyck Brooks|(of language) not having its purity or excellence debased|not decayed or decomposed|not debased; "though his associates were dishonest, he remained uncorrupted"; "uncorrupted values"|not debased
jingoistic	(盲目的な)対外強硬主義(者)の|主戦論(者)の
unfertilized	not having been fertilized; "an unfertilized egg"|not having been fertilized
medicinally	in a medicinal manner
smoothy	妖魔
lungfish	肺魚
surplice	サープリス(聖職者|聖歌隊などが着る|そでの広い長い白の法衣)
factitious	人為的な|人工の|故意に作られた
striving	苦労|ご苦労|労苦|骨折り
globigerina	marine protozoan having a rounded shell with spiny processes
