sightless,目の見えない
dendrite,樹状突起
officialdom,役人社会
lecithin,レシチン
wroth,激怒した
pantaloon,長ズボン
leitmotif,主題動機
rabbinical,ラビの
drudge,雑役夫
phenomenally,驚くほど
goalie,ゴールキーパー
encyclopaedia,百科事典
mutability,変わりやすさ
disorientate,方向感覚を失わせる
rho,ρ・Ρ（ギリシャ文字）
hexameter,六歩格
burro,ロバ
iridium,イリジウム（元素）
pendent,垂れ下がった
underhanded,こっそりした
engrave,彫る
miscegenation,異種交配
timepiece,時計
osteoclast,破骨細胞
paramour,愛人
impoverish,貧しくする
investiture,授任式
garrulous,おしゃべりな
marvelously,見事に
aerodynamics,空気力学
hermetically,密閉して
misclassification,誤分類
atelier,アトリエ|工房
sacristy,聖具室
goody,善人|お菓子（英米差）
amiability,愛想の良さ
malfeasance,不正行為
prophetess,女性の予言者
voyeur,のぞき見趣味者
lamination,積層
coffer,金庫
suds,石鹸泡
jasper,碧玉
pepperoni,ペパロニ（サラミ）
exigency,緊急事態
bobbin,糸巻き
photoreceptor,光受容体
nucleate,核を形成する
girlie,女の子らしい
cuckold,寝取られた夫
architecturally,建築上
excretory,排泄の
inwardness,内面性
gryphon,グリフォン（伝説の生物）
sartorial,仕立ての
croquet,クロッケー（スポーツ）
henceforward,今後は
spanner,レンチ
outsmart,出し抜く
fluorophore,蛍光基
gangplank,船の通路板
poignancy,胸を打つこと
antiserum,抗血清
angler,釣り人
earthworm,ミミズ
militarist,軍国主義者
orca,シャチ
colostrum,初乳
entomb,埋葬する
chronometer,正確な時計
reasoner,推論者
apposition,並置
calorific,熱量の
debility,虚弱
triumvirate,三人委員会
effrontery,厚かましさ
theocracy,神権政治
gauche,不器用な
poacher,密猟者
epsilon,ε・Ε（ギリシャ文字）
diorama,ジオラマ
woozy,めまいがする
appointee,任命された人
gangly,ひょろ長い
manse,牧師館
stellate,星状の
disastrously,悲惨に
puritanical,禁欲的な
pigeonhole,分類する|小仕切り棚
patty,小さな肉餅
elopement,駆け落ち
odorous,臭いのある
testily,怒りっぽく
dinucleotide,二核酸
deco,アールデコ様式
noblewoman,貴婦人
compartmentalization,区分化
orderliness,整然さ
stirrer,かき混ぜる人
aircrew,航空乗務員
redouble,倍加する
humanize,人間らしくする
localism,地方主義
oligopoly,寡占
toffee,トフィー（飴）
musicologist,音楽学者
logger,伐採者
undiluted,希釈されていない
bedeck,飾り立てる
handpick,厳選する
dumpling,餃子|団子
premiership,首相職|優勝
tartly,辛辣に
tabulate,表にする
irreligious,無宗教の
animism,アニミズム
slingshot,パチンコ
nationalize,国有化する
embrasure,射撃孔
proscribe,禁止する
ashy,灰色の
musicology,音楽学
electromagnetism,電磁気学
sharer,共有者
jejunum,空腸
chevron,山形模様
muss,乱れ|混乱
pronto,すぐに
patrimonial,家産の
annoyingly,イライラさせるように
monocular,単眼の
redeemable,償還可能な
scrunch,ぎゅっと押しつぶす
eclecticism,折衷主義
intranet,イントラネット
racy,刺激的な
minion,子分
marriageable,結婚適齢の
clingy,しがみつく
escapism,現実逃避
undefeated,無敗の
midriff,腹部
bedroll,寝袋
repartee,機知に富んだ応答
teethe,歯が生え始める
billow,大波
indecipherable,解読不能な
kidnapping,誘拐
cobble,石畳を敷く
radioisotope,放射性同位体
convocation,招集
chipper,元気な
microsatellite,小型衛星
laundress,洗濯婦
unnumbered,数えきれない
woodsman,林業従事者
nerdy,オタクっぽい
guardrail,ガードレール
scorer,得点者
crematorium,火葬場
nonequilibrium,非平衡
seemly,ふさわしい
disinclination,嫌気
scone,スコーン（菓子）
editorship,編集長の職
invigorate,活気づける
capsize,転覆する
mitre,司教冠
throwaway,使い捨ての
disassemble,分解する
timorous,臆病な
ethnology,民族学
terrorize,恐怖を与える
coupe,クーペ（車）
industrialism,工業主義
commodore,提督
elision,脱落（音の）
monarchist,君主主義者
derogate,軽視する
gendarme,憲兵
crankshaft,クランク軸
disrepute,評判の悪さ
vagrancy,浮浪
compatriot,同国人
titrate,滴定する
auricular,耳の
crocus,クロッカス（花）
submersible,潜水艇
lancet,ランセット（医療器具）
smartness,利口さ
underappreciated,正当に評価されていない
prefigure,予示する
thoughtlessly,考えなしに
dolomite,ドロマイト（岩石）
totter,よろめく
clearinghouse,清算所
opossum,オポッサム（有袋類）
finisher,仕上げる人
isotonic,等張の
transmigration,転生
goon,暴漢
commercialism,商業主義
mesquite,メスキート（木）
whiplash,むち打ち
chrysalis,さなぎ
silage,飼料
untitled,無題の
nonfunctional,機能しない
caseworker,ケースワーカー
cubit,キュービット（古代の長さ単位）
mitogen,細胞分裂誘発因子
serge,サージ（布地）
lognormal,対数正規の
objector,反対者
speedboat,高速ボート
bended,曲げられた
protean,変幻自在の
worthily,価値あるように
hairbrush,ヘアブラシ
recognizably,認識できるほどに
technicality,専門的細則
hoodlum,不良
astigmatism,乱視
uncannily,奇妙に
mishear,聞き間違える
betake,行く|向かう
lackluster,精彩のない
sprinter,短距離走者
claustrophobia,閉所恐怖症
inviolate,侵されていない
swain,恋人
enfold,包み込む
coquette,おしゃれな女|いかにも気のある女性
commercialize,商業化する
maggot,ウジ虫
hater,嫌う人
jerkin,ジャーキン（革製短上着）
letterhead,レターヘッド（便箋の頭部分）
nullification,無効化
trigonometry,三角法
transgene,遺伝子組み換え
expandable,拡張可能な
excruciatingly,ひどく
solvation,溶媒和
agnosticism,不可知論
cleanser,洗顔料|洗浄剤
coagulate,凝固する
tagline,キャッチフレーズ
rollback,巻き戻し
unkindness,不親切
fastening,留め具
satirize,風刺する
hollowness,空洞
hypotenuse,斜辺
puss,猫|不機嫌な顔
scrimmage,乱闘|練習試合
wheelhouse,得意分野
liquidator,清算人
biopic,伝記映画
replaceable,交換可能な
inoperative,機能しない
seasick,船酔いの
quiche,キッシュ（料理）
mimosa,ミモザ
moneyed,裕福な
prompting,促すこと
flapper,1920年代の女性
recrimination,責任転嫁
menarche,初経
maison,家（仏）
unction,塗油|塗布
intransigent,妥協しない
clarion,明瞭な
bilious,胆汁の|不機嫌な
unswerving,揺るがない
copilot,副操縦士
admiralty,海軍省
calcine,焼成する
unmeasured,無制限の
lithic,石の
asymptote,漸近線
inopportune,不適切な
tracksuit,トラックスーツ（運動着）
abridge,短縮する
herdsman,牧夫
banyan,バニヤン（樹木）
gorgeously,豪華に
malocclusion,不正咬合
analysand,分析対象者（心理学）
gabble,早口で話す
importunate,しつこい
wristband,リストバンド
incontestable,議論の余地のない
filet,フィレ肉
lubricate,潤滑する
perennially,永続的に
pol,政治家
scat,スキャット（ジャズ歌唱法）
civics,市民学
overblown,誇張された
trusteeship,受託管理
winsome,愛らしい
prefatory,序文の
retiree,退職者
telomerase,テロメラーゼ
nativism,土着主義
prosthetics,義肢学
parquet,寄木細工の床
rumbling,ゴロゴロ鳴る音
tangerine,タンジェリン（みかんの一種）
aromatherapy,アロマセラピー
hydraulics,水力学
gunnery,砲術
malignity,悪意
hypnotize,催眠術をかける
headrest,ヘッドレスト
raffle,抽選会
chug,シュッという音|音を立てて進む
recordkeeping,記録保持
locution,言い回し
cabbie,タクシー運転手
schist,片岩
wingspan,翼幅
immunoreactivity,免疫反応性
boggy,沼地のような
putrefaction,腐敗
goggle,目を見張る|ゴーグル
unsullied,汚れていない
tuberculous,結核の
betimes,時おり|早めに
luteal,黄体の
newt,イモリ
unbuckle,バックルを外す
sclerotic,硬化した
collude,共謀する
deportee,強制送還された人
preordain,あらかじめ定める
uncalled,求められていない
gopher,ジリス（動物）
morphogenetic,形態形成の
phenobarbital,フェノバルビタール（薬）
cockle,ザルガイ|縮む
personable,好感の持てる
wordy,言葉が多すぎる
inexact,不正確な
moo,モーと鳴く（牛）
connivance,黙認|共謀
demobilization,動員解除
landward,陸側に向かう
mesoderm,中胚葉
ted,干し草を広げる
decentralize,分散化する
commiseration,哀れみ
vegetal,植物の
explainable,説明可能な
polycarbonate,ポリカーボネート
clapboard,下見板
bruit,噂する
barnyard,家畜小屋の庭
inauspicious,縁起の悪い
deprecation,非難
impresario,興行主
servitor,召使い
scabies,疥癬（皮膚病）
buttercream,バタークリーム
commutator,整流子（電気）
meridional,南の|経線の
wolfish,狼のような|貪欲な
minder,世話係
sulfonate,スルホン酸塩
pedlar,行商人
badminton,バドミントン
midget,小人（差別的表現）
impressionistic,印象主義的な
polyclonal,ポリクローナル（免疫）
whelp,子犬
turnstile,改札機
stepsister,異父（母）姉妹
carmine,深紅色
plainness,質素|簡素
cinematographer,撮影監督
vacillation,優柔不断
preferment,昇進
rightward,右方の
astrolabe,アストロラーベ（天文観測器）
peninsular,半島の
whir,ブーンという音
leftward,左方の
colloquium,学術討論会
sorter,分類機
neurotoxic,神経毒性の
fleecy,柔らかく毛羽立った
pensioner,年金受給者
exculpatory,無罪を証明する
sandstorm,砂嵐
nameplate,名札|表札
fritter,細かく切った揚げ物
semaphore,手旗信号|信号装置
cornbread,コーンブレッド（料理）
disquisition,詳細な論文
phthalate,フタル酸エステル
corpulent,肥満した
athleticism,運動能力
passe,時代遅れの
drowsily,眠そうに
wimp,弱虫
maul,酷く扱う|引き裂く
admonishment,注意|忠告
playtime,遊びの時間
gazette,官報|新聞
stratify,層にする
acrobatic,曲芸的な
segregationist,人種隔離主義者
woodcutter,木こり
singsong,単調な話し方
whomsoever,誰でも［whomeverの文語］
detachable,取り外し可能な
cytogenetic,細胞遺伝学の
tensely,緊張して
hypodermic,皮下注射の
septicemia,敗血症
taster,味見役
indubitable,疑う余地のない
nary,全く～ない（方言）
hookup,接続|つながり
besiege,包囲する
thymine,チミン|塩基の一種
antler,枝角|シカなどの角
hubby,夫|口語
obtrusive,出しゃばりの
stranglehold,締め付け|支配
scraggly,ごつごつした|乱れた
internecine,内部抗争の
sorta,なんとなく|口語
lam,逃走|逃げること
roan,ろーん毛の馬（体毛が混ざった馬）
conglomeration,集合体|複合体
slat,細板|薄板
abbe,修道士|カトリックの神父
newsprint,新聞用紙
spillway,放水路
twelvemonth,一年|古風
beryllium,ベリリウム（金属元素）
scintillate,きらめく|輝く
fallback,代替策|後退
sporty,スポーティーな
extravaganza,豪華ショー|派手な催し
miscible,混ざり合う|混和性の
typhimurium,チフミュリウム菌|細菌名
bullpen,控え投手の待機場所
unplug,電源を抜く
eavesdropper,盗み聞きする人
subtotal,小計
handhold,手がかり|握る場所
effervescence,発泡|興奮
homeopathic,ホメオパシーの
troubleshoot,問題を解決する
dumbass,ばか|のろま（俗語）
gustatory,味覚の
sturgeon,チョウザメ
miscellany,雑多なもの|寄せ集め
haggle,値切る|交渉する
preconception,先入観
whorl,渦巻き|指紋の模様
ethnological,民族学の
inviolability,不可侵性
undersea,海中の
vacuole,液胞|細胞小器官
sundae,サンデー（アイスデザート）
fizzy,炭酸のある|泡立つ
endear,好かれるようにする
semiautomatic,半自動の
sombrero,ソンブレロ（広いつばの帽子）
nosocomial,院内感染の
sop,なだめるもの|パンの浸し物
sagebrush,セージの低木
baldness,はげ|脱毛
whinny,いななき|馬の鳴き声
accost,声をかける
celerity,迅速さ
ordering,順序づけ|注文
encomium,賛辞|賞賛
freedman,解放奴隷
fatten,太らせる
almshouse,救貧院
penknife,小型ナイフ
flipper,ひれ|足ひれ
viva,口頭試問|歓声
behove,〜するのが適切である
basaltic,玄武岩の
aether,エーテル（古典的な物質）
undergrad,大学生|学部生
theocratic,神政政治の
paresis,まひ|不完全麻痺
embryology,発生学
glasnost,グラスノスチ（情報公開政策）
bifurcate,二分する
slurp,音を立ててすする
crony,親友|仲間
disapprobation,不承認|非難
pouty,ふくれっ面の|唇を突き出した
tong,秘密結社|組織
perceivable,知覚できる
retinoic,レチノイン酸の
unintelligent,知能の低い
spacer,スペーサー|間隔材
gridlock,交通渋滞|行き詰まり
gymnastic,体操の
treeless,木のない
decimate,大虐殺する|大打撃を与える
brainchild,独創的な発想
dabble,ちょっと手を出す
astir,騒がしい|活動中の
unmanly,男らしくない
kiwi,キーウィ（鳥|果物）
turd,糞（俗語）
sickroom,病室
nit,シラミの卵|くだらないこと
shipper,発送業者
ageless,年を取らない|不変の
accentuation,強調
irreproachable,非の打ち所がない
debasement,低下|堕落
conic,円錐の
cesium,セシウム（金属元素）
misdirection,誤誘導|間違った指示
broadsheet,大判新聞
bedpost,ベッドの柱
presbyter,長老
entomologist,昆虫学者
tusk,牙
solitaire,一人遊び|ソリティア
changeover,切り替え|交代
anther,葯（やく）|花粉を出す部分
chitchat,おしゃべり
crosshairs,照準線
horsemanship,乗馬術
picking,収穫|選別
aerodrome,飛行場
reformatory,少年院
cytological,細胞学の
wadi,ワジ（乾燥地の涸れ川）
motorboat,モーターボート
coevolution,共進化
supernumerary,定員外の|余分の
ferryman,渡し守
unasked,尋ねられていない|求められていない
beanbag,ビーンバッグ
equivalency,同等性
valency,原子価|結合力
catty,意地悪な|陰険な
ploughman,農夫
anaphylactic,アナフィラキシーの
lignite,亜炭|褐炭
ophthalmology,眼科学
waterside,水辺
lyricist,作詞家
ticker,株価表示器|心臓（俗語）
chowder,チャウダー（スープ）
ileal,回腸の
useable,使用可能な
hypnotism,催眠術
triathlon,トライアスロン
seaplane,水上飛行機
bellicose,好戦的な
abattoir,屠殺場
fungicide,殺菌剤
watercress,クレソン
superman,超人
skier,スキーヤー
fathomless,深く計り知れない
gladden,喜ばせる
gemstone,宝石
squishy,ぐにゃぐにゃした
directorship,重役職|取締役の地位
cerium,セリウム（元素）
technologist,技術者
intron,イントロン（遺伝子の非翻訳部分）
madhouse,精神病院|狂気の場所（口語）
microclimate,微気候
phlegmatic,冷静な|鈍感な
topaz,トパーズ（宝石）
looseness,緩さ|だらしなさ
henchman,手下|側近
masochistic,マゾ的な
emulator,模倣者|エミュレーター
mononucleosis,単核球症（病気）
sully,汚す
clew,糸口|手がかり（古語）
leviathan,巨大なもの|海の怪物
glottis,声門
multiyear,複数年にわたる
limpet,カサガイ
gratuitously,不必要に|根拠なく
lux,ルクス（照度の単位）
gab,おしゃべり
integument,外皮|皮膚
judo,柔道
miserly,けちな
bah,ばかばかしい（感嘆詞）
snobbery,紳士気取り|気取り屋根性
bookie,ノミ屋|賭け屋
raze,完全に破壊する
crumbly,もろい|崩れやすい
midwinter,真冬
soldierly,軍人らしい
irreverence,不敬|無礼
irruption,侵入|突発
cowgirl,カウガール
unconcern,無関心
extrajudicial,法廷外の
materiel,軍需品
embolden,勇気づける
darkroom,暗室
fervid,熱烈な
chanson,シャンソン（フランスの歌）
apologist,弁明者|擁護者
scoreboard,得点板
overstatement,誇張表現
doorjamb,戸枠の側柱
plaint,悲嘆|嘆願（古語）
desecrate,冒涜する
immunosorbent,免疫吸着性の
polygamous,一夫多妻（多婚）の
herbivorous,草食の
supercomputer,スーパーコンピュータ
inclosure,囲い地|囲い込み
ordinariness,平凡さ
benumb,麻痺させる
berg,氷山
politicize,政治化する
blackface,ブラックフェイス|黒塗り（差別的演出）
unwed,未婚の
blastocyst,胚盤胞
unfashionable,流行遅れの
bravo,喝采|ブラボー
suppository,座薬
assembler,アセンブラ|組立作業者
cooper,たる職人
kaleidoscopic,万華鏡のような|千変万化の
imminence,差し迫った状態
hie,急ぐ（古語）|急いで行く（古語）
lymphoproliferative,リンパ増殖性の
beagle,ビーグル犬
stinger,毒針
imitator,模倣者
leery,疑い深い
remover,除去剤|取り除く人
airman,空軍兵
medicate,薬を投与する
icily,冷たく
transfected,トランスフェクションされた|遺伝子導入された
talc,タルク|滑石
citywide,市全体の
sadist,サディスト
granulosa,顆粒膜の
astrophysics,天体物理学
imaginal,成虫期の|想像上の
weightlessness,無重力
acolyte,侍者|助手
basolateral,基底外側の
crossfire,集中砲火|板挟みの状況
tattle,告げ口する
intension,内包|意味内容
cheapness,安っぽさ|安さ
exoticism,異国情緒
turner,旋盤工
selfsame,まさに同じ|そっくりな
stripper,脱衣ダンサー
gulch,狭く深い谷
confectionery,菓子類|製菓業
parkland,公園地帯
infectivity,感染性
mollify,和らげる|なだめる
paunch,太鼓腹
masochism,マゾヒズム
redneck,無教養な白人労働者（蔑称）
hereunder,以下に|本契約において
rebus,判じ絵
speedup,促進|スピードアップ
gunfight,銃撃戦
wormwood,ニガヨモギ
paean,賛歌|勝利の歌
trustful,信じやすい|信頼に満ちた
thermonuclear,熱核の
unsung,称賛されていない
workhorse,働き者|実働部隊
drake,雄ガモ
qt,クォート（液量単位）|かわいい人［cutieの略語］（俗語）
cinematography,映画撮影術
declassify,機密解除する
transvestite,異性装者
phobic,恐怖症の
pleasantry,冗談|軽口
airless,空気のない|息苦しい
stringer,臨時記者|張線工
thesaurus,類語辞典
paratrooper,空挺部隊兵
opprobrium,非難|軽蔑
revengeful,復讐心に燃えた
hermetic,密封された|神秘的な
vestigial,痕跡の|名残の
constrictor,締め付けるもの|締め蛇
pentagon,五角形
overmuch,あまりに多すぎる（古語）
flagpole,旗竿
antitoxin,抗毒素
conformable,一致する|従順な
macaque,マカク属のサル
tulle,チュール（薄いレース生地）
tomboy,おてんば娘
emirate,首長国
mastication,咀嚼
puerile,子供じみた
statuesque,彫像のように美しい
crosswalk,横断歩道
cheapen,安くする|価値を下げる
electrospray,エレクトロスプレー（電気噴霧）
olivine,カンラン石
seawall,防波堤
eyelash,まつ毛
checkbook,小切手帳
whatnot,その他いろいろ
cyclooxygenase,シクロオキシゲナーゼ（酵素名）
bower,木陰のあずまや|木の下の小屋
synthetically,合成的に|人工的に
cajole,言いくるめる|甘言で誘う
bloodletting,瀉血|流血（比喩含む）
grail,聖杯|追い求めるもの
actuary,保険数理士
nilly,望むと望まざるとに関わらず［willy-nillyの一部］
nmol,ナノモル（物質量の単位）
singe,焦がす|焦げ目をつける
cholestasis,胆汁うっ滞
subtree,部分木（コンピュータや数学の用語）
handoff,引き渡し|ハンドオフ（通信・スポーツ用語）
mullah,イスラム教の聖職者
disabuse,誤解を解く|迷いを正す
woodworking,木工|木工細工
bassist,ベーシスト
pater,父（古風）（ラテン語起源）
sod,芝地|芝生（土地の意味も）
softwood,針葉樹材
bole,木の幹
jiggle,小刻みに揺れる
collinear,一直線上の
thereunder,その下で|それに従って（文語）
interpolate,挿入する|補間する
intolerably,我慢できないほどに
unimpeachable,非の打ち所がない
bloodbath,大虐殺|流血の惨事
immunocompetent,免疫応答能を持つ
whereat,そこで（古風）（古語）
fixative,定着液|固定剤
tempter,誘惑者
halftime,ハーフタイム|中間時間
mange,疥癬（かいせん）|皮膚病
vandalize,故意に破壊する
spiel,大げさな宣伝文句|口上
superficiality,表面的なこと|浅薄さ
sanitize,清潔にする|除去する|修正する
gastronomy,美食学|料理法
pendulous,垂れ下がった|ぶら下がった
heraldry,紋章学
dunce,劣等生|のろま
sealer,封印材|シーラー
smallish,やや小さい
scree,岩くず|がれ場
romanticize,美化する
ceremonious,儀礼的な|形式ばった
hashish,ハシシ（大麻樹脂）
ouster,追放|追い出し
cluck,コッコッという鳴き声|舌打ち
degradable,分解可能な
reexamination,再検査|再試験
pullout,撤退
halfhearted,気乗りしない|中途半端な
nicety,細かい点|正確さ
bray,ロバの鳴き声|やかましい音
epitomize,典型である|要約する
unicameral,一院制の
retrial,再審
intrastate,州内の
houseboat,住居用の船
dialectal,方言の
ageism,年齢差別
halibut,オヒョウ（大型の魚）
sensationalism,扇情主義
sinker,沈めるもの|釣りの錘
hymnal,賛美歌集
infuriate,激怒させる
bespeak,示す|物語る
rollick,はしゃぐ|陽気に騒ぐ
scissor,はさみで切る
biplane,複葉機
epididymis,副睾丸
bloodlust,殺戮欲|血に飢えた欲望
abnegation,拒否|自己犠牲
venal,金で動く|買収されやすい
workability,作業可能性|実行性
cupidity,強欲
gantry,ガントリー|支柱構造物
hideaway,隠れ家
coagulant,凝固剤
paladin,英雄|擁護者（古風）
foreshadow,前兆となる
copycat,模倣者|まねっこ
restaurateur,レストラン経営者
phonetically,音声的に
schemer,陰謀家|策略家
jeer,嘲笑する|やじる
joyless,喜びのない
stopwatch,ストップウォッチ
cantata,カンタータ（声楽曲）
necropolis,大墓地
aplomb,落ち着き|沈着
mangy,みすぼらしい|毛並みの悪い
prescience,予知|先見
depositor,預金者
satiate,飽き飽きさせる|満足させる
imbecility,愚かさ|低能
dispossess,奪う|追い出す
hora,ホラ（バルカン地方のダンス）
wheedle,甘言で誘う|うまく丸め込む
newsboy,新聞売りの少年
substantiation,立証|証明
croup,クループ|喉頭炎
synovitis,滑膜炎
mucilage,粘液質|粘着物
acrimony,辛辣さ|とげとげしさ
roundup,一斉検挙|まとめ
triangulate,三角測量する
somnolence,眠気
crape,喪服用の黒い布
bod,体|肉体（俗語）
fishmonger,魚屋
wacky,風変わりな|おかしな
tigress,雌トラ|気の強い女性
shepherdess,女性の羊飼い
glibly,口先だけで|軽々しく
inglorious,不名誉な
redistrict,選挙区を再編する
reedy,アシの多い|細く高い（音など）
coffeepot,コーヒーポット
archeology,考古学
ceremonially,儀式的に
extraordinaire,非凡な|特別な（フランス語由来）
urogenital,泌尿生殖の
pinafore,エプロン型の服
deaconess,女性の教会奉仕者
ovule,胚珠|卵細胞
pawnshop,質屋
forecourt,前庭|建物前の広場
bristly,剛毛の|ざらざらした
flatbed,平床台車|フラットベッド型
barque,バーク船（3本マスト帆船）
rhodium,ロジウム（金属元素）
ecologist,生態学者
gastrocnemius,腓腹筋（ふくらはぎの筋肉）
trashy,くだらない|安っぽい
globalism,地球主義|グローバリズム
laminin,ラミニン（細胞接着タンパク質）
farfetched,こじつけの|信じがたい
trespasser,不法侵入者
