whit	ほんの少し|微少
artistry	芸術性
repaint	塗り直し|塗り直したもの|にペンキを塗り直す
wholesome	健康によい|健康的な|健康そうな|健全な
seaweed	海草|海藻
wank	オナニー|自慰行為
vegetative	生長する|生長に関する|植物(性)の|無為徒食の
salamander	サンショウウオ|(ギリシャ神話)火の精|火中にすむという伝説の怪物(火トカゲなど)
reeve	議長|執事|代官|滑車を通る|にロープを通す|の間を縫って行く|穴に通して結び付ける|穴に通す
willful	計画的な|故意の|がんこな|わがまま|わがままな|強情な|わざとした
grandeur	雄大|壮大
trinket	安物の宝石
dermatologist	皮膚科専門医|皮膚科学者
ladybug	テントウムシ(=ladybird)
whereabouts	(人･物のおよその)所在|位置|居所|どのあたりに
smelly	臭い
ephemera	(昆虫)カゲロウ(=mayfly)|カゲロウのように短命なもの|はかないもの
testicular	精巣の
doubtless	疑いのない
cabana	(海辺やプールサイドの)簡易更衣所|小屋
mortuary	葬儀場|死の|死体置き場|遺体安置所
weaponry	(集合的に)兵器類
cryptic	隠れた|秘密の|神秘的な|あいまいな|なぞめいた
primus	監督長|1番目の|最年長の|首位の|第一の
logbook	航海(航空)日誌
cholera	コレラ
dissociation	分離(状態)|分裂|解離
fungicide	殺菌剤
permeate	(pˈɚːmièɪt)|に浸透する|に広がる|に充満している|普及する|に行きわたる
midsummer	真夏|夏至
radiologist	レントゲン技師|放射線医(師)|放射線学者
detriment	損害
pail	手おけ|バケツ|手桶|ペール(円筒型容器)
bullion	金塊|銀塊|純金･純銀の延べ棒|純金|金モール
hateful	憎しみに満ちた|憎い|憎むべき|ひどくいやな
rata	比例の|比例する
grumpy	不機嫌な
journalistic	(しばしばけなして)新聞雑誌記者流の|新聞雑誌的な
imputation	(罪を)帰する(負わせる)こと|非難|そしり|汚名
bagel	ベーグル|ドーナツ型の堅いロールパン
repatriation	本国送還
stratum	(複数形)strata|stratums|地層|層|単層
swoop	さっと舞い降りる|(空から舞い降りて)飛びかかる|をひったくる|不意の襲撃|急襲(する)|急降下
solidify	凝固させる|固める
leftfield	(野球で)左翼|レフト;左翼手の守備位置
linebacker	ラインバッカー(守備の選手)
custard	カスタード(牛乳･卵･砂糖などでつくった菓子･料理)
fundamentalism	根本主義|原理主義
psychosis	精神病
humankind	人間|人類
causeway	(低地に土を盛り上げた)土手道|(敷石などによる昔の)舗装道路|街道(石灰で舗装された道が原義)
gable	切妻
wield	を扱う|(権力など)を行使する|(影響など)を及ぼす
instill	(液体を)一滴ずつたらす|点滴する|(思想・感情などを)しみ込ませる|教え込む(in|into)|Ex|instill confidence in a person人に自信を植えつける
zucchini	ズッキーニ(西洋カボチャの類)
enthusiastically	熱心に
leek	ニラ|にらねぎ(洋種のねぎ)
chiral	3次元の図形や物体や現象がその鏡像と重ね合わすことができない性質(例|左右の手)をキラリティー(chirality)といい|キラリティがあることをキラル(chiral)という
multiculturalism	多文化主義
cuddly	抱きしめたいような|愛らしい|抱きしめたくなるような
bookworm	読書家|クラスで一番勉強のできた子供のあだ名|勉強好き|ガリ勉
detach	引き離す|取り外す
unmarked	ノーマーク(和製英語)
underside	裏面
joyous	とてもうれしい
pricey	金のかかる
diocesan	監督管区の|教区の
androgen	男性ホルモン物質
catapult	発射する|カタパルト
grossly	肉眼で見て
cranky	ぐらぐらする
splint	へぎ板|副木|添え木|つぎ板
paparazzi	パパラッチ(ゴシップメディア)
wristwatch	腕時計
stanza	連|節|一ヶ所での興行期間|一区切り
phenol	フェノール|常温で白色の有機化合物|(和名は石炭酸)|毒性･腐食性あり|触れると薬傷をおこす|有機合成化学工業の重要な原料|コールタールから分離するかベンゼンから合成
hilly	起伏の多い
nonstick	(フライパンなどが)こげつかない|テフロン加工の
auger	らせん形のきり(大工用でT字型の柄がついている)
yeti	=Abominable Snowman
umbilical	へその緒|供給管|必須の接続線|命綱|へその緒で結ばれた 緊密な関係の
foray	略奪を目的として侵略する|略奪する|不意打ち|手出し
imperialist	帝国主義の
untrue	真実でない|虚偽の|不誠実な|不正確な
savor	趣|風味|味|の味がする|の香りがする|味わう
shimmer	ちらちら光る|かすかに光る|きらめき|ゆらめき
etch	エッチング|食刻する
potluck	あり合わせのもの
autonomic	自律神経の
relive	追体験する
larval	幼虫の
mistakenly	誤って
posit	仮定(する)|肯定的に仮定する|置く
hogg	pig|grunter(家畜豚)|domestic swine|1歳までの羊(a sheep up to the age of one year)|Hoggスコットランドの田舎風の詩の作家(18C-)
radiative	(光・熱を)放射する|発光する|発熱する
intimately	親密に|親しく|詳細に|深く
excretion	排泄|排出
vacate	あける|明け渡す
polymerization	重合
bandwagon	楽隊車|人気のあるグループ|馬が引っ張って動かす大きな楽隊車のこと|時流
burrow	に穴を掘る|(うさぎの)穴|潜伏する
snuggle	すり寄る|寄添う|心地好く横たわる|をすり寄せる|を抱きしめる
vane	風見|風向計|翼|(風車タービンの)羽根|移り気の人
afar	遠く(farの方が一般的)
shaolin	少林寺拳法
dugout	塹壕(=foxhole)|防空壕|(野球)ダッグアウト(選手控え所)
prudence	慎重|思慮|分別|細心|抜目なさ|つつましいこと
hypnotherapy	催眠療法
muppet	マペット(操り人形) 
gingerbread	ショウガ風味のケーキ|安ぴか物(飾り)
tasteful	風雅な|審美眼のある|趣のある|上品な
excellency	閣下
slat	スラット|細長い薄板|板石|細長の薄板|羽根板|肋骨|に羽根板をつける
hillbilly	(アメリカ南部の)田舎者|山の住民
colonialism	植民地主義|植民地化政策
decanter	栓付きガラスビン
scorer	点数係
virtuoso	名人|巨匠|名演奏家|音楽の大家
guarantor	保証人
colosseum	《the C-》(また『the Coliseum』)コロシウム(ローマの円形大競技場)|=coliseum 1
emptiness	空|空しさ|空虚|空腹|無意味
neuropathy	神経障害
backorder	繰り越し注文(処理や納期などが将来に繰り越された注文)
dada	ダダ|ダダイズム|兄貴|父方の祖父|(幼児語)father|パパ(da-da)
hastily	あわてて|急いで
invader	侵入者
shaky	震える|揺れる|当てにならない|不安定な
unethical	汚い|道義に反する|倫理に反する|倫理にもとる|非倫理的な
alphanumeric	英数字の(文字)
holm	(hoʊm)中州|河川敷|川辺の低地|セイヨウヒイラギ|(H-)|人名
coagulation	凝固
tun	大樽|醸造桶|注ぐ
powerfully	強烈に
archdiocese	archbishopの管区
resection	切除
anaconda	アナコンダ|大ヘビ
thirdly	3番目に|第三に
plumb	おもり|垂直の|鉛錘|の深さを測る|を垂直かどうか調べる|(口)全くの
plenum	物質が充満した空間|充満|充実|全員出席の会議|総会
keyless	(時計が)巻きねじの不要な;竜頭(りゅうず)巻きの
translocation	転座
deliverance	救出
unfairly	不当に
choreographer	振付け師
fiasco	大しくじり|大失敗
calico	キャラコ(インド産の平織りの綿布)|更紗|calico cat 三毛猫(tortoiseshell cat)
vamp	継ぎはぎ|継ぎを当てる|ボランティアの消防士|即興伴奏|男たらし|不当な攻撃をする|しょっぴく|徒歩で行く|逮捕する
grumble	ぼやく|ぶつぶついう|不満|不平|ゴロゴロ鳴る
hyphen	ハイフン
paramilitary	(団体など)軍補助的な|準軍事的な
frivolous	浅はかな|軽率な|つまらない
indecent	破廉恥な
dishonesty	嘘|詐欺|不正|不正行為|不正直|不誠実
schilling	シリング(オーストリアの通貨単位)
oppressive	圧制的な|圧迫する|非道な
agnostic	不可知論の|独断的な意見にとらわれない|寛容な
structurally	構造的に
moray	ウツボ(魚)
substation	変電所;分署|派出所;分局
homeownership	家を持つこと
optimist	楽天家
glycine	アミノ酢酸|タンパク質を構成するアミノ酸の中で最も単純な形を持つ|別名グリココル
sharpness	鋭さ|鋭敏|鮮明
esophagus	食道
unlicensed	無免許の
adenocarcinoma	腺癌
defiant	挑戦的な|反抗的な|傲慢な
ibuprofen	(医)イブプロフェン|非ステロイド系消炎鎮痛剤
vise	(主に英)万力(米ではvice)
audiology	聴力(覚)学(聴覚障害の治療などを扱う)
forint	フォリント(ハンガリーの貨幣単位)
sidestep	(決定･問題など)を避ける
falter	よろめく|ためらう|口ごもる|よろめき|ためらい
privy	内々関与して|関知して|(特に水洗でない)便所|屋外便所
macroeconomics	マクロ経済学
mildew	白カビ|白かび(を生じる･はやす)|うどん粉病(菌)
ponce	女々しい男|ひも|たかる
perjury	偽証(罪)
buster	ベビーブームのあとの世代の人|破壊する人|(よびかけで)おい
vigilant	油断のない|用心深い|眠らずに注意している
pronto	早くしなさい|急いで
imager	撮像装置
eerie	不気味な|薄気味の悪い|異常な
hectare	ヘクタール(10|000m2=100are)|略号ha
tourmaline	電気石|トルマリン(宝石の一つ)
holographic	自筆書類の
calibre	(caliberの英国式綴)才能|銃などの口径
padlock	ナンキン錠|南京錠
salaam	(イスラム教徒間の)挨拶|額手の礼|敬礼|礼の言葉|敬礼する|挨拶をする
clockwork	ぜんまいじかけ|時計じかけ
affliction	苦悩|不幸|悲嘆|苦痛
geometrical	幾何学的な
crispy	ちじれた|ぱりぱりの
priory	小修道院
realist	現実主義者|写実主義作家|実在論者
bandage	包体|包帯
silencer	消音器
slurry	スラリー|泥･粘土･セメントなどの懸濁液
quadruple	4倍の;4重の;4部(4人)から成る|4倍|4倍の数(量)|4倍になる|〜‘を'4倍にする
bronchitis	気管支炎
innkeeper	宿屋の主人
yolk	羊毛脂|卵黄|黄身
gestation	妊娠|懐胎|妊娠期間|立案|計画を練ること|その期間
foreskin	陰茎の包皮|(植)種子の包皮
puke	吐く|吐いたもの
howling	遠吠え|吠える|怒鳴る|寂しい|どえらい|ものすごい|とてつもなく
nibble	少しずつかむ|(獣･魚が)少しづつかじる|気のあるふりをする
unbelievably	信じれないほど
farce	笑劇|茶番劇|ばかげたもの
annihilation	(ənὰɪəléɪʃən)|全滅|崩壊|無効化|消滅
hora	ホーラ|ルーマニア･イスラエルの輪になって踊るダンス
diligent	勤勉な
randomness	ランダム性
daw	コクマルガラス(ヨーロッパ産の光沢のあるガラス)|=jackdaw
misinformation	誤報
microfiche	マイクロフィッシュ
egress	出口|出ていくこと
concave	凹(おう)面の|くぼんだ|へこませる
porcupine	ヤマアラシ(=hedgehog)|麻すき機
contestant	競争者
snell	厳しい|鋭い|厳しく|敏捷に|利口に|はりす(に付ける)
believable	信じられる
anesthesiology	麻酔学
forthwith	ただちに
oat	オート麦|エンバク(燕麦)|カラス麦
rupiah	ルピア|インドネシアの通貨単位
divination	占い|易断|予言|予知
curiously	物珍しそうに
fullness	充満|十分|肥満|(音色などの)豊かさ
subsidize	補助金を与える|を援助･助成する
melatonin	メラトニンはホルモンの一つ|不眠症などの睡眠障害の治療や|不妊症の治療に利用される|動物では脳の松果腺から分泌される
brutally	残忍に
nutcracker	山烏の類|クルミ割り器
cess	運
slalom	回転競技|スラローム
transmittal	伝送
powerless	力の無い
slurp	ずるずるする飲み食いの音|音をたてて飲食する
populace	庶民|民衆|住民
deliberation	熟慮|慎重さ|(pl|)審議|討議|審理
monolithic	一枚岩の|巨大な|融通のきかない
valence	結合価|原子価|価電子帯
luster	輝き|つや|栄誉|光沢のある毛織物|シャンデリア|渇望者|好色者|に光沢を付ける
prophylaxis	予防
hangout	すみか|たまり場|行きつけの所
unstructured	体系化されていない
habitual	習慣的な|習慣による|不断の|常習的な|習慣性の
canto	小説などの編･章
draught	(drˈæft)|(draftの英国式綴)|為替手形|すきま風|下絵
handshake	握手
extradition	(犯人)引渡し
jerky	乾燥肉|ぐいと動く|がたがた動く|つっかえがちの|(米)ばかな|ぶざまな
proportionate	比例した
algo	アルゴリズム
statistician	統計学の専門家
corkscrew	らせん状の(に進ませる)|コルク栓抜き
drifter	流れ者|漂流者
autopilot	自動操縦装置
acidity	酸性度|酸味
formaldehyde	ホルムアルデヒド|有機化合物の一種で最も簡単なアルデヒド|毒性が強い|防腐･消毒剤
lavatory	洗面台|便所|トイレ
hemlock	ヘムロック(毒にんじん)|毒にんじんから採った毒
bodyguard	ボディーガード
tron	トロン (すべての技術情報が公開･利用できるというオープンな思想の組込み用技術開発プロジェクト) 東京大学の坂村健教授が開発
heave	力をいれて持ちあげる|あえぎ|胸が波打つこと
huddle	集まる|身を寄せ合う|(ごちゃごちゃに)集める|秘密会議|密談
decompose	分解する|腐敗させる
metallurgy	冶金学|冶金
rigor	厳格さ|厳しさ|厳格|厳密|精密|正確|苦しさ|悪寒|寒気|硬直
shiite	(イスラム教)シーア派の信徒
felon	重罪犯人
argon	アルゴン|元素記号はAr
hooray	=hurray
carefree	のんきな|苦労のない
biotin	ビオチン|ビタミンB群に分類される水溶性ビタミンの一種で|ビタミンB7(VitaminB7)と呼ばれる
delicacy	おいしいもの|美味|珍味|ごちそう
msec	ミリ秒
fluctuation	変動|動揺
journeyman	(徒弟奉公を済ませた)一人前の職人
thingy	あれ|何とかいうもの|名前を忘れたときの代名詞|物の|物質の|物体の
monstrous	ぞっとするような|怪物のような|馬鹿げた|ひどい|巨大な
stetson	ステットソン(フェルトのカウボーイ帽)
incinerator	焼却炉|ごみ焼却炉
continuance	連続
commemoration	記念
erupt	噴出させる
germination	発芽
attrition	摩耗|摩擦|消耗|摩滅
proverb	ことわざ|諺|格言|通り言葉|たとえ|なぞ
mercenary	傭兵|欲得ずくの|報酬目当ての
wearer	着用者|携帯者|使用者|すりへるもの
convocation	召集
brocade	にしき
straddle	足をふんばる|両足を広げる|大股に歩く|広げる|日和見する|爆撃する
bioterrorism	バイオテロリズム
murderous	殺人の|残忍な|非常に困難な
anaesthesia	感覚がない|感覚喪失
wretched	哀れな|あさましい|いやな|ひどい|みじめな
interstellar	恒星間の
decadent	退廃的な|頽廃的な|頽廃期の|デカダン派の
kitchenette	簡易台所
unsurpassed	卓絶した
birdhouse	家の形をした鳥の巣箱
transferase	トランスフェラーゼ|転移酵素|付加酵素
yap	ほえる|おしゃべり|がみがみしゃべる|キャンキャン|犬の鳴き声
sandpiper	イソシギ(細長いくちばしと脚をした海岸の鳥)
typeface	活字面
uppercase	大文字
cirrhosis	(肝臓)硬変(症)
gourd	ヒョウタン|瓢箪
hideous	見るも恐ろしい|ぞっとする|忌まわしい|胸が悪くなる
abreast	並んで|並行して
intuitively	直観的に
tonnage	容積トン数|総トン数
connexion	=connection
feeble	かよわい|弱々しい
stoneware	炻器(せつき)(粘土製の堅い粗末な磁器の一種)
pathogenic	病原となる
columbine	オダマキ(植物)
caseload	(裁判所･行政機関･病院などの一定期間の)取扱い件数
riverfront	リバーフロント|川沿いの散策地
dumbbell	ダンベル|鉄亜鈴|(俗)のろま
blockage	障害物
decency	礼儀正しいこと
papal	ローマ教皇の;ローマカトリック教[会]の
mutter	つぶやく|ささやき|不平|ブツブツ|しゃべり声
palais	宮殿|ダンスホール|フランス政府庁舎|邸宅
positional	位置の
arouse	刺激する|起こす|喚起する|奮起させる
sadism	サディズム
goddamn	こんちくしょう
hydrolysis	加水分解
minibus	マイクロバス|小型バス
existential	実存の|存在に関する
sweaty	汗にまみれた|汗のような|汗まみれの
fiercely	獰猛に
hysteria	ヒステリー
shew	=show
retort	言い返す|しっぺ返しする|加熱蒸留器|レトルト食品
illiterate	読み書きのできない|文盲の|教育のない|無学の
cytoplasm	細胞質
insistence	強い主張|断言|無理強い|執拗|強調|強要|主張
phage	ファージ|細菌を宿主にするウイルス|細菌を食うものの意|(=bacteriophage)
sedimentary	堆積岩
handkerchief	ハンカチーフ
intelligently	知的に
bogart	脅し取る
tableau	活人画|劇的画面
densely	こんもり|濃く|密集して
untranslated	翻訳されていない
flowchart	フローチャート
daffodil	ラッパスイセン|水仙
teeny	teen-ager(13才から19才まで)
semaphore	シグナル|手旗信号|信号装置|手旗で知らせる|手旗で送る
arousal	目覚めさせること|奮起
fraternal	友愛の|兄弟の
sorter	分類する人|分類機
repost	再投稿
eloquent	雄弁な
wondrous	驚くべき
bridle	馬勒(おもがい･手綱の総称)|添え金|馬靱をつける|反り返っていばる
spire	芽を出す|尖塔|渦巻|尖頂
inhaler	ブランデーグラス|吸入者|吸入麻酔器|空気濾過器
hyperbolic	双曲線の
byline	(記事タイトルの下の)筆者名を記す行|署名記事を書く|副業|アルバイト
occlusion	閉塞|咬合
photovoltaic	光電池の
pleasurable	愉快な
armband	腕章
postman	郵便集配人
lucerne	=alfalfa
emir	(アラビアの)首長|エミール(マホメットの子孫の尊称)
quid	1ポンド|噛み煙草の一回分
kinship	親類関係
detain	引き留める|待たせておく|拘留する
loudspeaker	拡声器
paraffin	パラフィン|石ろう|パラフィンを塗る
stead	代理|助け|利益
spook	幽霊|おばけ|スパイ|びっくりさせる
petro	石油の
strainer	ろ過器|こし器|引っ張る人
rove	うろつき回る|流浪する|広い地域を歩き回る
fondue	フォンデュ|フランスを中心とするヨーロッパ一円のチーズ鍋料理
reappear	再びあらわれる
subconscious	潜在意識(の)
incandescent	白熱の|光り輝く
shitty	くだらない(卑語)
capstone	かさ石|冠石
workday	平日の|平日|仕事日|勤務日|1日の就労時間
hidalgo	(スペイン語)下級貴族
prosthetic	人工装具
firewood	まき
brawl	乱闘|喧嘩|騒ぎ|口論する|どなりたてる|(衆目の中での)騒々しいけんか･口論
waistband	ベルト|腰のベルト
aural	耳の
magneto	マグネト|高圧磁石発電機
teatro	テアトロ(劇場|演劇|シアター|イタリア語)
lawless	法律を守らない|非合法の|無法の
caldera	カルデラ
thermodynamic	熱力学的な
anion	anion(化学)|陰イオン
gout	痛風
bittersweet	ほろ苦い(さ)|楽しくてつらい
sabbatical	(S～)安息日の|安息日にふさわしい|(s～)安息休暇(休暇年度)の(= ～ year)
inhuman	冷酷な
interstitial	間質(臓器に固有の細胞群に対し|その間に入り込む結合組織などを指す|血管|神経|膠原繊維など)|隙間の
epistemology	(哲)認識論
geranium	ゼラニウム(植物)
spanner	スパナー|スパナ
whitehouse	ホワイトハウス
indentation	ぎざぎざ(をつけること)|へこみ|(海岸線などの)湾入
rundown	(野球用語)挟殺(走者が塁と塁の間に挟まれること)
bankroll	融資する|資金を出す
auteur	(監督こそ映画製作の主人公だとする立場の)映画監督
talker	おしゃべりな人
shipbuilding	造船
fulfilment	充足感|達成感|実現(主に英|頻度低)
foggy	霧がかかった|霧の深い|霧の多い
mystique	神秘性|奥義
gentile	異邦人
trouser	ズボン
rationalize	正当化する|合理化する|理屈づける
concomitant	付随物|付随する|両立する
sepia	イカ墨|セピア色|暗褐色|セピアの|暗褐色の(皮膚をした)
practicality	実用性
disobedience	不服従
ewe	雌羊
squamous	扁平な|鱗片状|落屑性の|鱗屑状の
triumphant	勝ち誇った|勝利を得た|成功した|意気揚々とした
superbly	見事に
typeset	活字に組む
domestically	国内で
moat	堀|堀で囲む
whomever	whoeverの目的格
footpath	(歩行者用の)小道|歩道
insufficiency	不十分
slicer	薄く切る人|(パン・肉などを切る)薄切り機|スライサー
unplanned	計画外の
millet	キビ|アワ
lactate	乳酸塩|乳を分泌する|乳汁を分泌する
pelvis	骨盤
papaya	パパイア(の実)
cognac	コニャック
profane	神聖を汚す|不敬な|世俗的な|異教の
bedspread	ベッドカバー
scourge	悩みの種|災い|災害の元|苦しめる
hourglass	砂時計|水時計|水時計で測った時間|漏刻|くびれた|漏刻形の
pagoda	仏塔|パゴーダ
antiretroviral	抗レトロウイルス薬
pollack	タラ(魚)
enumerate	列挙する|数える|数え上げる|～の一つ一つの名を挙げる|列挙
unnoticed	注目されない|気付かれない|無視されている
drawstring	締めひも(袋の口やそで口などを締める)
mammary	おっぱい|乳房の|乳房状の
regress	逆行
trimmer	trimする人･もの|手ごわい人|ごまかしを言う人|素晴らしいもの|一級品
blindly	盲目的に
unintentional	故意でない
repertory	repertoire|貯蔵庫|(知識･事実などの)蓄積|宝庫
conveyancing	財産譲渡に関する法律
marshmallow	マシュマロ|ウスベニタチアオイ
aeroplane	飛行機
hah	=ha
conductance	伝導度
halibut	オヒョウ(の身)|ハリバ|寒海魚|カレイに似た大型魚
sump	水などを集める穴;汚水だめ|(坑底の)水だめ|集水坑|(エンジンなどを)油だめ|油つぼ|《英》=crankcase
