mystical	神話的な
bullshit	嘘|でたらめ|ナンセンス|心にもないことを言う
jive	スイングに合わせて踊る(曲)|ジルバ|(俗)たわごと
inhalation	吸入
mobil	モービル
counterpart	よく似たもの|対応物|複製|対の片方|相手方|片割れ|対照物
downtime	中断時間|運転休止時間
secretly	秘密に
hive	ミツバチの巣箱(=beehive)
repeater	リピータ(繰り返す人|客)
fob	フォッブ|策略|ごまかす|無視する|つかませる
fam	家族
experimentation	試すこと|実験
dealing	分配する
pathetic	哀れな|感傷的な|無価値な
guerrilla	ゲリラ兵|不正規兵
centric	中心の
striker	ストライキをする人|撃鉄|打ち手|打つ人(物)
geophysical	地球物理学[上]の
fictional	虚構の
adherence	固守|執着|忠実|支持(to)
brotherhood	兄弟関係|組合|兄弟の間柄|同業者
illegally	不法に
harden	がんこにする|非情にする|堅くなる|かたくする|を強健にする
halogen	ハロゲン|ハロゲン元素 (フッ素F|塩素Cl|臭素Br|ヨウ素I|アスタチンAtの総称)|ハロゲンの語源はギリシャ語の｢塩を作るもの」
mediate	調停する|仲介する
proclamation	宣言|公布|布告|発布|宣言書|声明文
bender	曲げるもの|曲げ|ベンダー(曲げる道具)|(俗)深酒|(B-)人名(姓)
cardigan	カーディガン
servo	=servomechanism|=servomotor
respectfully	うやうやしく
ulster	(通例ベルト付きの)防寒用長コート
macroeconomic	マクロ経済の
yogurt	ヨーグルト (=yoghurt)
tanker	油送船|タンカー|タンクローリー
salesman	販売係|男子販売員|男子店員|外交販売員|セールスマン
equate	等しく扱う|同一視する
brownie	クルミ入りチョコレートケーキ|夜農家に来て仕事をする小妖精
destroyer	破壊するもの|破壊者
chit	幼児|子供|小娘|(飲食の)伝票|短い手紙|メモ|(chit-chatおしゃべり)
starch	澱粉|糊|のり
leash	(犬などを)つなぐひも|鎖
elicit	引き出す|導きだす
grenade	手りゅう弾|手榴弾|催涙弾
sanity	正気|(思想･判断などの)健全さ
pragmatic	実用主義の|実際的な
heron	アオサギ|サギ
hector	いばりちらす|どなる人|からいばり屋
audible	聞こえる
checker	照合係|(携帯品)一時預かり|レジ係|格子縞(にする)|色とりどりにする|チェッカー(ボードゲーム)
stomp	どっしりと歩む
homogeneous	同種の|同質の|同性の|均一の|等質の|均質の
forte	強み|長所|得手|おはこ|特長
convection	伝達|対流
catheter	導尿管
paragon	模範|手本
derivation	誘導|(文法)派生
feminism	フェミニズム
pointless	無意味な|無得点の|先のない
vox	音声|言葉|声
harrow	まぐわ(農具の一種)|〈掘り起こした土〉‘を'まぐわでならす《+『up』+『名|』+『名』+『up』》|〈人〉‘に'精神的な苦痛を与える;〈人の心〉‘を'傷つける
whisky	ウイスキー
genealogical	系図の
forehead	ひたい|額|前面|前部
grit	軋らせる|小砂
kicker	ける人|反抗者|不平家|意外な結末
selfish	わがままな|利己的な|自分勝手な
eventual	終局の|結果として来るべき|最後の
upscale	高所得者向けの|金持ち相手の
unpack	の梱包を解く
persuasion	説得
kiln	窯|かま
novelist	小説家
arguably	間違いなく (she is arguably the best 彼女は間違いなくベストだ) 
walkman	ウォークマン
keepsake	記念品|形見
bureaucracy	官僚政治|官僚主義|官僚制|官僚社会
saltwater	塩水
truss	トラス|桁構え|干し草･わらなどの束
grassland	草原|牧草地|牧場|草地
haute	高級な
interviewer	面接官|インタビューをする人
sportsman	スポーツマン
unfamiliar	なじみのない
deterioration	(品質などの)低下|悪化|堕落|退歩
caliber	能力|価値|直径|銃などの口径
arid	乾燥した|不毛の|異常に乾燥した
bobcat	ボブキャット|北米産のヤマネコ
raft	いかだ|(rafting|いかだ競技)
linden	シナノキ(植物)
synagogue	ユダヤ教の礼拝堂|《the ~》ユダヤ教徒の集会
gall	心痛|すりむく|いらだたせる|植物のこぶ(昆虫(gallfly)による虫こぶや|菌類の寄生によるコブ)
neighbour	に隣接する
allure	そそのかす
dispense	分配する|調剤する|施す|施行する|免除する
ding	ジャン|ゴーン(と鳴る･鳴らす)|くどくど話す
permissible	許すことのできる|許される|許された|差支えない
latent	潜伏している|隠れている|潜在している|見えない
cockpit	操縦室(席)|操縦席|闘鶏場|コクピット|戦場
nicotine	ニコチン
inward	本質的な|内へ|内部へ|内陸の|奥地の|内部|内側
sulphur	硫黄
wager	を賭ける|請け合う|賭け|賭事|賭け金
curricular	教育(教科)課程の
duvet	羽根ぶとん
relic	記念物|遺物|遺跡|遺風|なごり|面影
chaotic	混とんとした
principally	主に
outright	完全に|率直な
parachute	落下傘|パラシュートで降下する
sandal	サンダル|サンダルをはく
naive	あどけない|ばか正直の|無邪気な|世間知らずの|だまされやすい
skeptical	懐疑的な|無神論の|疑い深い|疑わしい
transceiver	トランシーバー
weir	ダム|堰|(魚をとるための)やな
dependable	信頼できる
prudent	分別のある|慎重な|思慮深い|賢明な|用心深い
sultan	(またはS-)トルコ皇帝|イスラム国王|サルタン|絶対君主|回教徒の君主
alchemy	錬金術
stalk	茎|軸|細長い支え|煙突|忍び寄る|大またに歩く
geographically	地質学的に
pandemic	全地域にわたる
sire	の種馬となる|を産む|種付けする
tong	(中国の)党|(中国人の)秘密結社|(俗)学生クラブハウス|物をつまむ|箸(はし|通常複数形|tongs)
forfeit	没収される|剥奪される|権利を失う|放棄する|没収物|罰金|違約金
colleen	少女|娘
mismatch	不適当に組み合わせる|の組合せを誤る|不釣り合い|不釣合いな縁組
childbirth	出産|分娩
seduce	を誘惑する|をそそのかす|誘惑|誘惑する
plumber	配管工|(俗)台無しにする|ぶち壊す
plank	厚板|政策|支えとなるもの|を板張りする
intestine	腸|(large intestine大腸|small intestine小腸)
fiery	火の
convex	凸(おう)状の
carver	彫刻者|肉を切る人|肉切り包丁と大型フォーク
manure	こやし|肥料|肥料をやる
maven	達人|(自称)物知り|通
surfer	サーファー|サーフィンをする人|波乗り人
proprietor	所有者|経営者|持主
bop	bebop|ビーバップ(ジャズの一形式)
slang	スラング|俗語
squat	しゃがむ|うずくまる|すわる|無断で居座る
outbound	外国行きの
scrabble	ひっかき回す|手さぐりする
restless	絶えず動いている|落ち着かない|不安な|やむことのない
unanswered	未回答
cameo	カメオ(瑪瑙･大理石･貝殻などに横顔を浮き彫りにした装身具)
courtroom	法廷
bolster	強める|支持(する)|長まくら(pillowの下の)
corsair	(アフリカ北岸の)海賊(船)
workaround	次善策・本来の方法でうまくいかないときの代わりの方法・回避方法
jargon	わけの分からない言葉|専門語(=technical term)|特殊用語
intellect	知性
torso	胴|胴体
annoy	うるさがらせる|をいらいらさせる
playhouse	おもちゃの家|劇場
synthase	シンターゼ|合成酵素の一種
excitation	励起|励磁|励振|エキサイテーション|エクサイテーション|加振
ascension	上昇|即位
taper	だんだん細くなる|次第に細くなる|次第に小さくなる|漸減|次第に細くする
scientology	サイエントロジー|米国の作家Hubbardが創始した応用宗教哲学
flagstaff	旗ざお
hoist	引き上げ|掲げる|持ち上げる|巻き上げる
savior	救済者|救世主
attest	証明する|誓言する|実証する
rightly	正しく
basal	基底の|基礎的な|根元から出ている
rooster	おんどり(米ではcockよりもこちらを用いる)|うぬぼれの強い人
indispensable	(絶対に)欠くことのできない|必須の|無くてはならない|不可欠の
wen	瘤|腫れ物|(腫れ物のように)異常に膨れ上がった都市|人口が密集した大都市|ロンドン市の俗称|おニューの|新しい
ornamental	飾りの|装飾的な|装飾品
illicit	違法の|不法な|無免許の|もぐりの|不義の|禁制の
oppression	圧迫|憂鬱
homecoming	帰郷|(大学の)同窓会
monoclonal	monoclonal antibody モノクローナル抗体(単一な抗原決定基と反応する構造が均一な抗体)
curling	カーリング(スポーツ)
crusader	十字軍の戦死|改革運動家
ignite	点火する
are	2人称単数および各人称の複数を主語とするbe動詞の直説法現在形|アール(面積の単位=100平方メートル)
wholesaler	卸売業者|卸し売りで|卸し売りの
smoky	けむい|煤けた|煙を出す|煙のような|くすんだ
opus	(音楽･文芸)作品|音声圧縮フォーマット
recession	景気後退|後退|退去|窪み|返還
narrator	ナレーター
mage	魔法使い|学者
inherently	生得的に|もともと|本質的に
forefront	(theをつけて)最前部
outboard	外側寄りの|船外の|中心を離れた所にある
dilution	薄めること|希薄|薄めたもの
monophonic	単旋律の;単旋律曲の|1チャンネル録音再生の(monaural)
amazingly	驚くほど|すてきに
gambler	ばくち打ち|やくざ
hereinafter	以下|以下の
skipper	スキッパー|船長|機長|主将|経営者|ボス
analogous	外見や機能は似ているが共通の祖先に由来しない場合「相似analogous」という|cf|遺伝子が共通の祖先に由来する場合「相同|orthologous」という
unpleasant	不愉快な|いやな|気にさわる
dram	ドラム(重量の単位で常衡は1.772グラム|薬局衡では3.9グラム)|(ウイスキーなどの)微量|一口《+『of』+『名』》|(一般に)わずか(の〜)《+『of』+『名』》
ecstasy	こうこつ|忘我|有頂天
blindness	盲目
negotiable	交渉できる|交渉の余地がある
hearted	「〜の心を持った」「心が〜の」の意を表す
tint	薄い色|色合い|気味|色彩|濃淡|淡い色
agility	機敏さ
crouch	身をかがめる|かがむ(こと)|卑屈にちぢこまること
indemnity	将来の損害にたいする法的な保護･保障|補償(金)|賠償金|保険
syringe	注入する|注射器(=injector)
noteworthy	注目に値する
agile	機敏な|頭の回転の早い|活気のある|身の軽い|鋭敏な
ionic	イオンの;イオンを含む
clinically	臨床的に
monmouth	モンマス
burr	いが|荒い削り面|バリ
presenter	司会者|申告者|推薦者|贈呈者
teal	小ガモ
unnamed	名前のない
inlay	はめ込む
mindless	思慮のない|愚かな|意に介さない
amplification	増幅
intruder	侵略者|侵入者
greedy	どん欲な|切望した|欲張りの
baht	バーツ(タイの通貨単位)
thermostat	サーモスタット
societal	社会の|社会的な
detergent	洗剤|洗浄剤
witty	機知に富んだ|機知のある|気のきいた
dorado	シイラ(魚)|ドラド|旗魚座
occult	神秘(の)|超自然的な|隠れる
hoax	人をかつぐこと|いたずら|でっち上げ
coaxial	共通軸の|同軸の
accompaniment	伴うもの|随伴物
deprivation	(権利などを)奪うこと|剥奪
setter	置く人|並べる人|垂れ込み屋|(バレーボールの)セッター
heuristic	発見的な|発見を助ける
ballistic	弾道(学)の|衝撃の
recite	学課を復唱する|暗誦する|を暗唱する|を吟唱する|を物語る
confederation	連盟|連合|同盟
exemplary	模範的な|称賛に値する|見上げた|りっぱな|見せしめの|戒めの
cider	リンゴ酒(日本語で言う｢サイダー｣の意味はない)
playful	遊び好きの|滑稽な|ふざけた|陽気な|冗談の
plaid	格子じまの|格子じま(の肩掛け･織物)
revere	尊敬する
contraception	避妊
deodorant	脱臭剤|防臭剤
polaroid	ポラロイド|(人造偏光板)
marquis	侯爵
prognosis	病気の予後|予後|予知|予測
underage	未成年の
cardio	(連結形)|「心臓」の意
brow	額|ひたい|(複数形で)眉･眉毛
acclaim	に喝采する|大声で言う|歓呼
cleanse	清潔にする|浄化する
kool	クール|メンソールたばこの商品名|(Keep Only One Loveの頭文字)
synthesizer	シンセサイザー
caveat	予告記載|警告|手続停止申請|誤解を招かないようにするための警告･注
lymph	リンパ|リンパ液|血清|痘苗
cleanser	洗剤
pollutant	汚染物質
protease	プロテアーゼ(Protease)|ペプチド結合加水分解酵素の総称
grandson	男の孫|孫息子
almighty	全能の
modernization	近代化
pinpoint	ピンの先|正確に示す(ねらう)|ピン先(ほどの)|ごく小さい物|わずか
openness	公開|開放性
chromium	クロミウム(金属元素)|クロム
tyrosine	チロシンまたは4-ヒドロキシフェニルアラニン(4-hydroxyphenylalanine)と呼ばれ|細胞でのタンパク質生合成に使われるアミノ酸のうちの一つ
weary	疲れた|退屈な|飽き飽きして|うんざりした
fart	おなら|いやな奴|屁を放る
envoy	大使|外交使節|個人の使節
teaser	いじめる人|悩ます人|男をじらす女|難問
grower	栽培者
slippery	つるつるした|つるつる滑る|不安定な|理解しにくい|信頼できない|ずるい
unpredictable	予想できない|予言できない|突発的
stash	を隠す|(俗)置く|かくまう
nationalism	民族主義|愛国心|愛国主義
sparse	まばらな|希薄な|薄い
generalization	一般化すること|総括
braille	点字
motorize	動力化する|農業を動力化する|車にエンジンをつける
snare	誘惑(する)|わな(に･をかける)|陥れる
plume	羽を思わせるもの|羽毛|羽(飾り)|を整える|を羽毛で飾る
standpoint	立場|観点
creepy	むずむずする|はう|はい回る
aerobic	好気性の
gladiator	剣闘士
modal	様式の|様態の|形式上の|形態上の
ratification	批准|承認
ooh	アア|ウー|オー|ワー|アッと驚く
vial	ガラスびん|水薬びん
lucent	光る|輝く
orthopedic	整形外科の|整形外科
familiarity	親密
groovy	いかす|かっこいい
erroneous	誤った|誤っている
conceal	の中に身を隠す|隠す|を秘密にする|に潜伏する
histogram	ヒストグラム|柱状図|棒グラフ(=a bar chart)
ism	イズム|学説|主義
ophthalmology	眼科学
paddy	水田|稲
invocation	祈り|発動|呼びかけ|(関数の)呼び出し(＝call)
cracker	かんしゃく玉|クラッカー
renegade	背教者|脱党者|変節者|裏切り者|背教の|裏切りの
fumble	不器用に手で捜す|手探りする|探し回る|いじくり回す|口ごもる
ironic	皮肉の好きな|皮肉な|反語の|反語的な|皮肉を言う
shred	断片|破片|ぼろ切れ|ほんの少し|少量|ちぎれる
unsupported	支持されていない
fugitive	変わりやすい|逃亡者|脱走者|亡命者|放浪者|脱走する|逃亡する|さまよう
foreword	はしがき|序文
payoff	賄賂|利益|支払|収益|献金
faire	放任
medley	ごたまぜ|寄せ集め|メドレー
conversely	逆に
transgender	性転換の
upwards	=upward
pong	ポーンという音|嫌なにおい|悪臭|ポーンという音を立てる|アドリブで言う|悪臭を放つ
loosely	しまりがなく|ゆるく|大まかに
hertz	ヘルツ
firefighter	消防士
digestion	消化
puck	(アイスホッケーの)パック
propulsion	推進(力)
allotment	割当て|分配
compassionate	あわれみ深い|哀れに思う|情け深い|同情的な
catastrophic	悲劇的な
misdemeanor	軽罪|軽犯罪
silky	絹のような
niece	めい|姪
reusable	再使用|再利用できる
inversion	逆にすること|転倒|転置|転換|反転|(文法)倒置(法)
actuarial	保険計理(士)の|(もと法廷の)記録係(書記)の
horseshoe	蹄鉄|馬てい鉄|馬蹄|U字形の(もの)
godfather	名づけの父|マフィアのボス
cram	詰込み勉強(をする)(cram school予備校)|無理に詰め込む
lament	悲しむ|嘆く
erectile	直立できる|勃起性の
timeliness	適時性
contender	(スポーツでタイトルをねらう)選手|競争者|チーム
pageant	ページェント|野外劇|華麗なもの|虚飾|誇示|出し物
obstetrics	産科学|産科
rapper	ラッパー|ラップ歌手
glitch	突然の故障|不調|困ったこと
malfunction	うまく作動(機能)しない|不調|機能不全
chemically	化学的に|化学反応により
storefront	店先|店頭
segregation	人種差別|分離
superannuation	老齢退職;老朽|退職者年金
overcast	曇った|憂鬱な
revisit	再訪問(する)
cabaret	キャバレー
silica	シリカ|珪土
pilgrimage	巡礼|聖地巡り
graveyard	墓地
presume	あえて～する|を推定する|と思い込む|と仮定する|想像する|思う
pax	(ラテン語でpeace平和)|強国の支配による平和|親睦の接吻|Pax Romana(ローマ支配による平和)|(子供の遊びで一時中断の)タイム|(子供のけんかで)仲直り
pun	しゃれ(を言う)|ごろ合わせ
conjecture	推測する|推測
tummy	(幼児語)おなか|ポンポン
pervasive	普及する|広がる|全面的に広がる
anabolic	同化作用の|(同化は小さな部品から分子を構成する代謝過程|大きな分子を分解して細胞呼吸に用いる「異化」から得られるエネルギーによって起こる)
syllable	音節
dyer	染め物屋
naturalist	動(植)物学者|博物学者|自然主義者
knowingly	しりた顔で|わざと
sag	下がる|下落する|たわむ|垂れ下がる|沈下する
capitalize	を利用する|につけ込む|を大文字で書く|資本化する|投資する
transverse	横断する|横の|横断の|横軸の|横軸
meteor	いん石|流星|隕石
uniformly	変わらずに|一様に|一律に|均等に|変化なく
salesperson	セールスマン(nonsexist)
piedmont	山麓地帯
yin	陰|陽(yang)に対するもの
outlying	境界外にある
filthy	不潔な|非常に汚い|みだらな
marvelous	驚嘆すべき|不思議な|驚くべき|素晴らしい
vigorous	精力的な|活気のある|元気な|力強い|強制的な
boredom	退屈
exponent	解説者|指数|説明者|解釈者
gopher	ジネズミ(北米産)|ほりねずみ|食用ガメ(米国南部産)
downstairs	階下に
concordance	用語索引
cheerful	気持ちのよい
snip	はさみ切る|(～を)はさみでちょきんと切る|ちょきんと切り取る|少量|断片
spherical	球状の|丸い|球の|球形の
intracellular	細胞内の
favourable	(=favorable)
bullock	去勢牛|去勢雄ウシ|去性雄ウシ
overdrive	オーバードライブ
billiard	玉突きの|ビリヤードの
momma	ママ
needy	貧窮している|非常に貧乏な
